local_label	global_label	n_cells_target	n_reported_markers	recovery_top100_barcode_constant	recovery_top100_local	recovery_top100_global_label_based
Mac1	Macrophages	2264	8	0.125	0.875	0.25
immature LAMs	Macrophages	761	10	0.0	0.8	0.1
mature LAMs	Macrophages	531	9	0.1111111111111111	0.7777777777777778	0.2222222222222222
Pre-moKCs and moKCs	Macrophages	1732	8	0.375	1.0	0.375
ResKCs	Macrophages	3442	10	0.2	0.3	0.2
Mono	Mono+mono derived cells	19112	9	0.4444444444444444	0.8888888888888888	0.1111111111111111
Pat Mono	Mono+mono derived cells	7842	9	0.1111111111111111	0.7777777777777778	0.0
cDC1s	cDC1s	1196	10	0.3	0.8	0.3
cDC2s	cDC2s	3849	10	0.1	0.5	0.1
Mig cDCs	Mig.cDCs	92	10	0.4	0.7	0.4
