local_label	global_label	context	replicate	recovery_top100
Mac1	Macrophages	local	0	0.875
immature LAMs	Macrophages	local	0	0.8
mature LAMs	Macrophages	local	0	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	0	1.0
ResKCs	Macrophages	local	0	0.3
Mono	Mono+mono derived cells	local	0	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	0	0.6666666666666666
cDC1s	cDC1s	local	0	0.8
cDC2s	cDC2s	local	0	0.5
Mig cDCs	Mig.cDCs	local	0	0.8
Mac1	Macrophages	local	1	0.875
immature LAMs	Macrophages	local	1	0.8
mature LAMs	Macrophages	local	1	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	1	1.0
ResKCs	Macrophages	local	1	0.4
Mono	Mono+mono derived cells	local	1	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	1	0.6666666666666666
cDC1s	cDC1s	local	1	0.8
cDC2s	cDC2s	local	1	0.5
Mig cDCs	Mig.cDCs	local	1	0.7
Mac1	Macrophages	local	2	0.875
immature LAMs	Macrophages	local	2	0.7
mature LAMs	Macrophages	local	2	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	2	1.0
ResKCs	Macrophages	local	2	0.4
Mono	Mono+mono derived cells	local	2	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	2	0.6666666666666666
cDC1s	cDC1s	local	2	0.8
cDC2s	cDC2s	local	2	0.5
Mig cDCs	Mig.cDCs	local	2	0.7
Mac1	Macrophages	local	3	0.875
immature LAMs	Macrophages	local	3	0.8
mature LAMs	Macrophages	local	3	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	3	1.0
ResKCs	Macrophages	local	3	0.4
Mono	Mono+mono derived cells	local	3	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	3	0.6666666666666666
cDC1s	cDC1s	local	3	0.8
cDC2s	cDC2s	local	3	0.5
Mig cDCs	Mig.cDCs	local	3	0.7
Mac1	Macrophages	local	4	0.875
immature LAMs	Macrophages	local	4	0.8
mature LAMs	Macrophages	local	4	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	4	1.0
ResKCs	Macrophages	local	4	0.4
Mono	Mono+mono derived cells	local	4	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	4	0.6666666666666666
cDC1s	cDC1s	local	4	0.8
cDC2s	cDC2s	local	4	0.5
Mig cDCs	Mig.cDCs	local	4	0.7
Mac1	Macrophages	local	5	0.875
immature LAMs	Macrophages	local	5	0.8
mature LAMs	Macrophages	local	5	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	5	1.0
ResKCs	Macrophages	local	5	0.4
Mono	Mono+mono derived cells	local	5	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	5	0.6666666666666666
cDC1s	cDC1s	local	5	0.8
cDC2s	cDC2s	local	5	0.5
Mig cDCs	Mig.cDCs	local	5	0.7
Mac1	Macrophages	local	6	0.875
immature LAMs	Macrophages	local	6	0.8
mature LAMs	Macrophages	local	6	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	6	0.875
ResKCs	Macrophages	local	6	0.3
Mono	Mono+mono derived cells	local	6	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	6	0.7777777777777778
cDC1s	cDC1s	local	6	0.8
cDC2s	cDC2s	local	6	0.5
Mig cDCs	Mig.cDCs	local	6	0.7
Mac1	Macrophages	local	7	0.875
immature LAMs	Macrophages	local	7	0.8
mature LAMs	Macrophages	local	7	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	7	0.875
ResKCs	Macrophages	local	7	0.4
Mono	Mono+mono derived cells	local	7	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	7	0.6666666666666666
cDC1s	cDC1s	local	7	0.8
cDC2s	cDC2s	local	7	0.5
Mig cDCs	Mig.cDCs	local	7	0.7
Mac1	Macrophages	local	8	0.875
immature LAMs	Macrophages	local	8	0.8
mature LAMs	Macrophages	local	8	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	8	1.0
ResKCs	Macrophages	local	8	0.3
Mono	Mono+mono derived cells	local	8	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	8	0.6666666666666666
cDC1s	cDC1s	local	8	0.8
cDC2s	cDC2s	local	8	0.5
Mig cDCs	Mig.cDCs	local	8	0.7
Mac1	Macrophages	local	9	0.875
immature LAMs	Macrophages	local	9	0.8
mature LAMs	Macrophages	local	9	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	9	1.0
ResKCs	Macrophages	local	9	0.4
Mono	Mono+mono derived cells	local	9	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	9	0.6666666666666666
cDC1s	cDC1s	local	9	0.8
cDC2s	cDC2s	local	9	0.5
Mig cDCs	Mig.cDCs	local	9	0.8
Mac1	Macrophages	local	10	0.875
immature LAMs	Macrophages	local	10	0.8
mature LAMs	Macrophages	local	10	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	10	0.875
ResKCs	Macrophages	local	10	0.4
Mono	Mono+mono derived cells	local	10	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	10	0.6666666666666666
cDC1s	cDC1s	local	10	0.8
cDC2s	cDC2s	local	10	0.5
Mig cDCs	Mig.cDCs	local	10	0.7
Mac1	Macrophages	local	11	0.875
immature LAMs	Macrophages	local	11	0.8
mature LAMs	Macrophages	local	11	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	11	1.0
ResKCs	Macrophages	local	11	0.3
Mono	Mono+mono derived cells	local	11	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	11	0.7777777777777778
cDC1s	cDC1s	local	11	0.8
cDC2s	cDC2s	local	11	0.5
Mig cDCs	Mig.cDCs	local	11	0.7
Mac1	Macrophages	local	12	0.875
immature LAMs	Macrophages	local	12	0.8
mature LAMs	Macrophages	local	12	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	12	1.0
ResKCs	Macrophages	local	12	0.4
Mono	Mono+mono derived cells	local	12	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	12	0.7777777777777778
cDC1s	cDC1s	local	12	0.8
cDC2s	cDC2s	local	12	0.5
Mig cDCs	Mig.cDCs	local	12	0.7
Mac1	Macrophages	local	13	0.875
immature LAMs	Macrophages	local	13	0.8
mature LAMs	Macrophages	local	13	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	13	1.0
ResKCs	Macrophages	local	13	0.4
Mono	Mono+mono derived cells	local	13	0.8888888888888888
Pat Mono	Mono+mono derived cells	local	13	0.6666666666666666
cDC1s	cDC1s	local	13	0.8
cDC2s	cDC2s	local	13	0.5
Mig cDCs	Mig.cDCs	local	13	0.7
Mac1	Macrophages	local	14	0.875
immature LAMs	Macrophages	local	14	0.8
mature LAMs	Macrophages	local	14	0.7777777777777778
Pre-moKCs and moKCs	Macrophages	local	14	1.0
