local_label	global_label	context	n_reps	mean	sd	q025	q975	sem	observed	subsampling_fraction	max_cells_per_cell_type	seed
Mac1	Macrophages	local	50	0.875	0.0	0.875	0.875	0.0	0.875	0.8	10000	1440
immature LAMs	Macrophages	local	50	0.7980000000000002	0.014142135623730975	0.8	0.8	0.0020000000000000035	0.8	0.8	10000	1440
mature LAMs	Macrophages	local	50	0.78	0.015713484026367717	0.7777777777777778	0.7777777777777778	0.0022222222222222214	0.7777777777777778	0.8	10000	1440
Pre-moKCs and moKCs	Macrophages	local	50	0.9825	0.04381372909423321	0.875	1.0	0.006196196990320526	1.0	0.8	10000	1440
ResKCs	Macrophages	local	50	0.37200000000000005	0.045355736761107275	0.3	0.4	0.006414269805898186	0.3	0.8	10000	1440
Mono	Mono+mono derived cells	local	50	0.8888888888888888	0.0	0.8888888888888888	0.8888888888888888	0.0	0.8888888888888888	0.8	10000	1440
Pat Mono	Mono+mono derived cells	local	50	0.6866666666666665	0.04312088161017818	0.6666666666666666	0.7777777777777778	0.006098213559459856	0.7777777777777778	0.8	10000	1440
cDC1s	cDC1s	local	50	0.8	0.0	0.8	0.8	0.0	0.8	0.8	10000	1440
cDC2s	cDC2s	local	50	0.5	0.0	0.5	0.5	0.0	0.5	0.8	10000	1440
Mig cDCs	Mig.cDCs	local	50	0.71	0.054398379327599375	0.6	0.8	0.007693092581620724	0.7	0.8	10000	1440
Mac1	Macrophages	global	50	0.2	0.06185895741317419	0.125	0.25	0.008748177652797064	0.25	0.8	10000	1440
immature LAMs	Macrophages	global	50	0.1	0.0	0.1	0.1	0.0	0.1	0.8	10000	1440
mature LAMs	Macrophages	global	50	0.2222222222222222	0.0	0.2222222222222222	0.2222222222222222	0.0	0.2222222222222222	0.8	10000	1440
Pre-moKCs and moKCs	Macrophages	global	50	0.325	0.0618589574131742	0.25	0.375	0.008748177652797066	0.375	0.8	10000	1440
ResKCs	Macrophages	global	50	0.2	0.0	0.2	0.2	0.0	0.2	0.8	10000	1440
Mono	Mono+mono derived cells	global	50	0.1111111111111111	0.0	0.1111111111111111	0.1111111111111111	0.0	0.1111111111111111	0.8	10000	1440
Pat Mono	Mono+mono derived cells	global	50	0.0	0.0	0.0	0.0	0.0	0.0	0.8	10000	1440
cDC1s	cDC1s	global	50	0.3	0.0	0.3	0.3	0.0	0.3	0.8	10000	1440
cDC2s	cDC2s	global	50	0.0	0.0	0.0	0.0	0.0	0.1	0.8	10000	1440
Mig cDCs	Mig.cDCs	global	50	0.47200000000000003	0.045355736761107254	0.4	0.5	0.0064142698058981835	0.4	0.8	10000	1440
