resource	project_relation	marker_relation	n_pairs	mean_jaccard	median_jaccard	q25_jaccard	q75_jaccard	pct_jaccard_eq_0	pct_jaccard_gt_0	pct_jaccard_ge_0_10	pct_jaccard_ge_0_25	pct_jaccard_eq_1	mean_shared_genes
CAP	same_project	Exact	657	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	5.289193302891933
CAP	same_project	Partial	89	0.3631008380077848	0.2857142857142857	0.125	0.6	0.0	1.0	0.9325842696629213	0.5730337078651685	0.0	2.955056179775281
CAP	same_project	Different	3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
CAP	same_project	All	749	0.920315052847387	1.0	1.0	1.0	0.004005340453938585	0.9959946595460614	0.9879839786381842	0.945260347129506	0.87716955941255	4.990654205607477
CAP	different_project_or_unknown	Exact	2	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	3.0
CAP	different_project_or_unknown	Partial	208	0.22754121075317343	0.2	0.1111111111111111	0.3	0.0	1.0	0.8413461538461539	0.42788461538461536	0.0	1.9519230769230769
CAP	different_project_or_unknown	Different	97	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
CAP	different_project_or_unknown	All	307	0.16067938709009796	0.125	0.0	0.2792207792207792	0.31596091205211724	0.6840390879478827	0.5765472312703583	0.2964169381107492	0.006514657980456026	1.3420195439739413
LLMarkers	same_project	Exact	0										
LLMarkers	same_project	Partial	0										
LLMarkers	same_project	Different	0										
LLMarkers	same_project	All	0										
LLMarkers	different_project_or_unknown	Exact	45	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	3.3777777777777778
LLMarkers	different_project_or_unknown	Partial	2408	0.20918043437908884	0.16666666666666666	0.1111111111111111	0.25	0.0	1.0	0.8280730897009967	0.25290697674418605	0.0	1.5406976744186047
LLMarkers	different_project_or_unknown	Different	3167	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
LLMarkers	different_project_or_unknown	All	5620	0.09763460604712564	0.0	0.0	0.16666666666666666	0.5635231316725978	0.4364768683274021	0.3628113879003559	0.11637010676156584	0.00800711743772242	0.6871886120996441
