resource	label_relation	marker_relation	n_pairs	fraction_of_between_study_pairs	mean_marker_jaccard	median_marker_jaccard
CAP	Exact	Exact	659	0.0008212779533603852	1.0	1.0
CAP	Exact	Partial	297	0.00037013589096818574	0.2681634559574173	0.2
CAP	Exact	Different	100	0.00012462487911386725	0.0	0.0
CAP	Partial	Exact	12	1.4954985493664072e-05	1.0	1.0
CAP	Partial	Partial	4645	0.005788825634839134	0.19164389480710503	0.14285714285714285
CAP	Partial	Different	12629	0.015738875983290296	0.0	0.0
CAP	Different	Exact	3	3.738746373416018e-06	1.0	1.0
CAP	Different	Partial	14796	0.0184394971136878	0.11957733622810227	0.09090909090909091
CAP	Different	Different	769267	0.9586980688128732	0.0	0.0
LLMarkers	Exact	Exact	45	8.039344911300122e-06	1.0	1.0
LLMarkers	Exact	Partial	2408	0.00043019427880912646	0.20918043437908884	0.16666666666666666
LLMarkers	Exact	Different	3167	0.0005657912296463886	0.0	0.0
LLMarkers	Partial	Exact	30	5.359563274200081e-06	1.0	1.0
LLMarkers	Partial	Partial	8248	0.0014735225961867422	0.17254774200433065	0.14285714285714285
LLMarkers	Partial	Different	55504	0.009915906665706709	0.0	0.0
LLMarkers	Different	Exact	76	1.3577560294640205e-05	1.0	1.0
LLMarkers	Different	Partial	102437	0.018300586103974455	0.1257829873209131	0.1111111111111111
LLMarkers	Different	Different	5425556	0.9692870226571965	0.0	0.0
