resource	example_category	label_relation	marker_relation	marker_jaccard	shared_markers	union_markers	shared_marker_names	study_a	labelset_a	cell_type_a	marker_names_a	study_b	labelset_b	cell_type_b	marker_names_b
CAP	different_label_exact_markers	Different	Exact	1.0	4	4	SEMA3G; DLL4; FBLN5; ELN	snRNA-seq of the human retinal pigment epithelium and the choroid	author_cell_type	Arteriole	SEMA3G; DLL4; FBLN5; ELN	snRNA-seq of the human retinal pigment epithelium and the choroid - endothelial cells	author_cell_type	Arterial	SEMA3G; DLL4; FBLN5; ELN
CAP	different_label_exact_markers	Different	Exact	1.0	4	4	SEMA3G; DLL4; FBLN5; ELN	snRNA-seq of the human retinal pigment epithelium and the choroid	author_cell_type	Artery	SEMA3G; DLL4; FBLN5; ELN	snRNA-seq of the human retinal pigment epithelium and the choroid - endothelial cells	author_cell_type	Arterial	SEMA3G; DLL4; FBLN5; ELN
CAP	different_label_exact_markers	Different	Exact	1.0	4	4	SEMA3G; DLL4; FBLN5; ELN	snRNA-seq of the human retinal pigment epithelium and the choroid	author_cell_type	Artery	SEMA3G; DLL4; FBLN5; ELN	snRNA-seq of the human retinal pigment epithelium and the choroid - endothelial cells	author_cell_type	Arteriole	SEMA3G; DLL4; FBLN5; ELN
CAP	partial_label_exact_markers	Partial	Exact	1.0	8	8	ST6GAL1; PDE10A; SOX5; FXYD4; SCNN1G; SCNN1B; PAPPA; SLC25A29	Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.5)	subclass.l2	CCD-PC	ST6GAL1; PDE10A; SOX5; FXYD4; SCNN1G; SCNN1B; PAPPA; SLC25A29	Single-cell RNA-seq of the Adult Human Kidney (Version 1.5)	author_cell_type	CNT-PC	ST6GAL1; PDE10A; SOX5; FXYD4; SCNN1G; SCNN1B; PAPPA; SLC25A29
CAP	partial_label_exact_markers	Partial	Exact	1.0	8	8	ST6GAL1; PDE10A; SOX5; FXYD4; SCNN1G; SCNN1B; PAPPA; SLC25A29	Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.5)	subclass.l2	CNT-PC	ST6GAL1; PDE10A; SOX5; FXYD4; SCNN1G; SCNN1B; PAPPA; SLC25A29	Single-cell RNA-seq of the Adult Human Kidney (Version 1.5)	author_cell_type	CCD-PC	ST6GAL1; PDE10A; SOX5; FXYD4; SCNN1G; SCNN1B; PAPPA; SLC25A29
CAP	partial_label_exact_markers	Partial	Exact	1.0	7	7	MCM5; HELLS; TOP2A; PCNA; CCNA2; MKI67; PCLAF	HCA Gut Cell Atlas v1 Epithelial Lineage	Prelim annotation	Cycling TA	MCM5; HELLS; TOP2A; PCNA; CCNA2; MKI67; PCLAF	Human Gut Cell Atlas (HGCA) v1 - All Cells	hgca_celltype_v0	Transiently Amplifying Cells (TA)	MCM5; HELLS; TOP2A; PCNA; CCNA2; MKI67; PCLAF
CAP	partial_label_exact_markers	Partial	Exact	1.0	7	7	EYA4; MYO18B; PDGFRA; EGFR; IGFBP3; TSPAN18; KLF3-AS1	snRNA-seq of human retina - amacrine cell subset	author_cell_type	HAC3	EYA4; MYO18B; PDGFRA; EGFR; IGFBP3; TSPAN18; KLF3-AS1	snRNA-seq of human retina - all cells	author_cell_type	HAC79	EYA4; MYO18B; PDGFRA; EGFR; IGFBP3; TSPAN18; KLF3-AS1
CAP	partial_label_exact_markers	Partial	Exact	1.0	7	7	EYA4; MYO18B; PDGFRA; EGFR; IGFBP3; TSPAN18; KLF3-AS1	snRNA-seq of human retina - amacrine cell subset	author_cell_type	HAC79	EYA4; MYO18B; PDGFRA; EGFR; IGFBP3; TSPAN18; KLF3-AS1	snRNA-seq of human retina - all cells	author_cell_type	HAC3	EYA4; MYO18B; PDGFRA; EGFR; IGFBP3; TSPAN18; KLF3-AS1
CAP	partial_label_exact_markers	Partial	Exact	1.0	4	4	NKG7; GNLY; EOMES; PRF1	HCA Gut Cell Atlas v1 Lymphoid Lineage	Prelim annotation	ILC NKs	NKG7; GNLY; EOMES; PRF1	Human Gut Cell Atlas (HGCA) v1 - All Cells	hgca_celltype_v0	ILC NK Cells	NKG7; GNLY; EOMES; PRF1
CAP	partial_label_exact_markers	Partial	Exact	1.0	3	3	PAX6; NRG1; KCND2	scRNA-seq of the human retinal pigment epithelium and the choroid	author_cell_type	RPE_Fetal_KCND2	PAX6; NRG1; KCND2	snRNA-seq of the human retinal pigment epithelium and the choroid	author_cell_type	RPE_Fetal	PAX6; NRG1; KCND2
CAP	partial_label_exact_markers	Partial	Exact	1.0	7	7	CLCA1; FXYD3; SPINK4; REG4; TFF3; ITLN1; MUC2	HCA Gut Cell Atlas v1 Epithelial Lineage	Prelim annotation	Secretory Goblet cells Mature	CLCA1; FXYD3; SPINK4; REG4; TFF3; ITLN1; MUC2	Human Gut Cell Atlas (HGCA) v1 - All Cells	hgca_celltype_v0	Secretory Goblet Cells	CLCA1; FXYD3; SPINK4; REG4; TFF3; ITLN1; MUC2
