dataset	study	source_type	optimal_n	best_f1	matched_reported_ranks
adipose_Emont2022	Emont	image	126	0.5135135135135135	96
adipose_Emont2022	Emont	text	41	0.28571428571428575	22
adipose_Hildreth2021	Hildreth	image	61	0.5921052631578947	91
adipose_Hildreth2021	Hildreth	text	41	0.5057471264367817	46
bone_He2021	He	image	21	0.5652173913043478	25
bone_He2021	He	text	31	0.6865671641791045	36
eye_Gautam2021	Gautam	image	161	0.5094339622641508	157
eye_Gautam2021	Gautam	text	21	0.4324324324324324	16
lung_Adams2020	Adams	image	91	0.3977900552486187	90
lung_Adams2020	Adams	text	186	0.1658986175115207	31
ovary_Wagner2020	Wagner	image	31	0.5	33
ovary_Wagner2020	Wagner	text	31	0.5483870967741935	31
testis_Shamis2020	Shamis	image	41	0.48275862068965514	46
testis_Shamis2020	Shamis	text	71	0.489795918367347	76
