normalized_cell_type	n_profiles	n_papers	mean_local_marker_specificity	median_local_marker_specificity	mean_global_recovery_of_local_markers	median_global_recovery_of_local_markers	mean_global_recovery_of_all_markers	median_global_recovery_of_all_markers	local_to_global_gap
ADIPOCYTE	3	3	0.9153439153439153	0.8888888888888888	0.25	0.25	0.25396825396825395	0.3333333333333333	0.6653439153439153
ALTERNATIVELY ACTIVATED MACROPHAGE	4	3	0.9285714285714286	0.9285714285714286	0.29166666666666663	0.3333333333333333	0.26785714285714285	0.2857142857142857	0.636904761904762
B CELL	22	9	0.9176767676767678	1.0	0.42739898989898983	0.5	0.438510101010101	0.45	0.4902777777777779
BEST 4 ENTEROCYTE	3	2	0.5555555555555555	0.3333333333333333	0.3333333333333333	0.0	0.6666666666666666	0.5	0.22222222222222215
BLOOD VESSEL ENDOTHELIAL CELL	8	4	0.6020833333333333	0.5	0.0	0.0	0.30416666666666664	0.3	0.6020833333333333
BLOOD VESSEL SMOOTH MUSCLE CELL	6	2	0.3611111111111111	0.3333333333333333	0.0	0.0	0.3194444444444444	0.3333333333333333	0.3611111111111111
CAPILLARY ENDOTHELIAL CELL	9	4	0.5492063492063493	0.42857142857142855	0.3888888888888889	0.3333333333333333	0.3513227513227513	0.2857142857142857	0.16031746031746036
CD 1 C POSITIVE MYELOID DENDRITIC CELL	3	3	1.0	1.0	0.9166666666666666	1.0	0.9166666666666666	1.0	0.08333333333333337
CD 14 POSITIVE CD 16 NEGATIVE CLASSICAL MONOCYTE	6	2	0.5833333333333334	0.5	0.027777777777777776	0.0	0.23611111111111108	0.25	0.5555555555555556
CD 14 POSITIVE CD 16 POSITIVE MONOCYTE	6	2	0.7000000000000001	0.6	0.6194444444444445	0.6666666666666666	0.5499999999999999	0.6	0.0805555555555556
CD 16 NEGATIVE CD 56 BRIGHT NATURAL KILLER CELL HUMAN	5	5	0.5557142857142857	0.5	0.5866666666666667	0.6	0.6978571428571428	0.7142857142857143	-0.030952380952380953
CD 16 POSITIVE CD 56 DIM NATURAL KILLER CELL HUMAN	8	4	0.484375	0.5	0.78125	1.0	0.7083333333333334	0.75	-0.296875
CD 4 POSITIVE ALPHA BETA T CELL	6	2	0.4583333333333333	0.4	0.0	0.0	0.20833333333333334	0.2	0.4583333333333333
CD 8 POSITIVE ALPHA BETA CYTOTOXIC T CELL	6	2	0.45	0.5	0.0	0.0	0.45	0.5	0.45
CENTROBLAST	4	3	0.7	0.7	0.325	0.4	0.4	0.4	0.37499999999999994
CENTROCYTE	4	3	0.7071428571428572	0.7142857142857143	0.25	0.3333333333333333	0.20238095238095238	0.23809523809523808	0.4571428571428572
CHOLANGIOCYTE	3	2	1.0	1.0	0.15	0.1	0.15	0.1	0.85
CLASSICAL MONOCYTE	3	3	0.7833333333333333	0.75	0.5925925925925926	0.6666666666666666	0.5314814814814816	0.4444444444444444	0.19074074074074077
COLONOCYTE	10	2	0.7095238095238094	0.6904761904761905	0.17333333333333334	0.0	0.19523809523809524	0.14285714285714285	0.5361904761904761
CONVENTIONAL DENDRITIC CELL	18	6	0.7603174603174603	0.8	0.7004850088183422	0.775	0.5984126984126984	0.6	0.05983245149911809
CYCLING T CELL	8	3	0.4083333333333333	0.3333333333333333	0.7291666666666666	1.0	0.6583333333333333	0.6666666666666666	-0.3208333333333333
DENDRITIC CELL	21	7	0.6471139971139971	0.6363636363636364	0.3486394557823129	0.2857142857142857	0.4974025974025974	0.5	0.29847454133168416
EFFECTOR MEMORY CD 8 POSITIVE ALPHA BETA T CELL	3	2	0.5333333333333333	0.75	0.0	0.0	0.19999999999999998	0.25	0.5333333333333333
ENDOTHELIAL CELL	19	9	0.8508771929824562	1.0	0.5114035087719299	0.6	0.4956140350877193	0.5	0.33947368421052637
ENDOTHELIAL CELL OF ARTERY	9	4	0.6158730158730159	0.42857142857142855	0.32962962962962966	0.3333333333333333	0.24603174603174605	0.14285714285714285	0.28624338624338624
ENDOTHELIAL CELL OF HEPATIC SINUSOID	3	2	0.8888888888888888	1.0	0.19999999999999998	0.1	0.14444444444444446	0.1	0.6888888888888889
ENDOTHELIAL CELL OF LYMPHATIC VESSEL	17	6	0.4784313725490196	0.3333333333333333	0.5677871148459384	0.75	0.4549019607843137	0.3333333333333333	-0.08935574229691878
ENTEROCYTE	7	2	0.7476190476190476	0.8333333333333334	0.0	0.0	0.0	0.0	0.7476190476190476
EPITHELIAL CELL	16	4	0.71875	0.8500000000000001	0.09826388888888889	0.0	0.125	0.1	0.6204861111111111
EXHAUSTED T CELL	3	2	0.6944444444444443	0.6666666666666666	0.38888888888888884	0.25	0.5833333333333334	0.5	0.30555555555555547
FIBRO ADIPOGENIC PROGENITOR CELL	28	4	0.49107142857142855	0.3333333333333333	0.3875	0.0	0.41309523809523807	0.3333333333333333	0.10357142857142854
FIBROBLAST	34	10	0.7695378151260505	0.6833333333333333	0.26937441643323995	0.16666666666666666	0.25550887021475255	0.2	0.5001633986928105
FIBROBLASTIC RETICULAR CELL	4	2	0.8035714285714286	0.8571428571428572	0.35	0.35	0.33571428571428574	0.35	0.4535714285714286
FOLLICULAR DENDRITIC CELL	5	3	0.52	0.5	0.6833333333333333	0.75	0.67	0.75	-0.16333333333333333
GAMMA DELTA T CELL	3	2	0.8333333333333334	1.0	0.4444444444444444	0.6666666666666666	0.4444444444444444	0.6666666666666666	0.38888888888888895
GOBLET CELL	5	3	0.9142857142857143	1.0	0.8300000000000001	0.8	0.8228571428571427	0.8	0.08428571428571419
GRANULOCYTE	4	3	0.825	0.775	0.1125	0.1	0.1	0.1	0.7124999999999999
GROUP 3 INNATE LYMPHOID CELL HUMAN	3	2	0.31746031746031744	0.3333333333333333	0.0	0.0	0.5396825396825397	0.6666666666666666	0.31746031746031744
HEPATIC STELLATE CELL	4	3	0.65	0.7	0.027777777777777776	0.0	0.07777777777777778	0.05555555555555555	0.6222222222222222
HEPATOCYTE	6	3	1.0	1.0	0.0	0.0	0.0	0.0	1.0
INTESTINAL TUFT CELL	3	2	0.7999999999999999	1.0	0.0	0.0	0.0	0.0	0.7999999999999999
KUPFFER CELL	3	2	0.7666666666666666	1.0	0.3666666666666667	0.3	0.4000000000000001	0.3	0.3999999999999999
LEUKOCYTE	5	2	0.82	1.0	0.0	0.0	0.0	0.0	0.82
LIPID ASSOCIATED MACROPHAGE	7	2	0.5428571428571428	0.6	0.47619047619047616	0.6666666666666666	0.3428571428571429	0.4	0.06666666666666665
LYMPHOCYTE	11	5	0.9363636363636364	1.0	0.21893939393939393	0.25	0.20757575757575755	0.25	0.7174242424242425
M CELL OF GUT	3	2	0.688888888888889	0.8333333333333334	0.16666666666666666	0.0	0.24444444444444446	0.16666666666666666	0.5222222222222224
MACROPHAGE	14	8	0.5714285714285714	0.45	0.46825396825396826	0.41666666666666663	0.611111111111111	0.6666666666666666	0.10317460317460314
MAST CELL	14	10	0.9190476190476191	1.0	0.7986394557823129	0.75	0.7916666666666667	0.7916666666666667	0.12040816326530623
MATURE NATURAL KILLER CELL	7	2	0.48809523809523814	0.25	0.073015873015873	0.0	0.06190476190476191	0.0	0.41507936507936516
MATURE NK T CELL	5	3	0.7511111111111111	0.7777777777777778	0.05714285714285714	0.0	0.06444444444444444	0.1	0.6939682539682539
MELANOCYTE	5	2	0.8400000000000001	1.0	0.0	0.0	0.0	0.0	0.8400000000000001
MEMORY B CELL	6	3	0.4619047619047619	0.5	0.16666666666666666	0.0	0.25317460317460316	0.26785714285714285	0.2952380952380952
MESOTHELIAL CELL	11	4	0.990909090909091	1.0	0.797979797979798	1.0	0.7939393939393938	1.0	0.19292929292929295
MONOCYTE	14	7	0.6452380952380953	0.5833333333333333	0.6224489795918366	0.6190476190476191	0.5986394557823129	0.6190476190476191	0.02278911564625863
MUCOSAL ASSOCIATED INVARIANT T CELL	7	2	0.5714285714285714	0.4	0.0	0.0	0.0	0.0	0.5714285714285714
MURAL CELL	6	2	0.875	1.0	0.0	0.0	0.0	0.0	0.875
MYELINATING SCHWANN CELL	6	4	0.8666666666666667	0.9	0.6547619047619048	0.75	0.6083333333333333	0.675	0.21190476190476193
MYELOID LEUKOCYTE	6	2	0.9500000000000001	1.0	0.0	0.0	0.0	0.0	0.9500000000000001
MYOFIBROBLAST CELL	6	4	0.7131944444444445	0.6666666666666666	0.2467948717948718	0.2403846153846154	0.3368055555555555	0.34375	0.46639957264957266
NAIVE T CELL	4	3	0.29910714285714285	0.2857142857142857	0.15	0.0	0.4794642857142857	0.4857142857142857	0.14910714285714285
NATURAL KILLER CELL	8	6	0.5226370851370852	0.4920634920634921	0.42083333333333334	0.43333333333333335	0.6892766955266956	0.775	0.10180375180375184
NEURAL CELL	3	2	1.0	1.0	0.0	0.0	0.0	0.0	1.0
NEUTROPHIL	9	5	0.8888888888888888	0.8	0.7919753086419754	1.0	0.7919753086419754	1.0	0.09691358024691343
NON CLASSICAL MONOCYTE	5	4	0.8361904761904763	0.8571428571428571	0.2733333333333333	0.25	0.30095238095238097	0.2857142857142857	0.562857142857143
NON MYELINATING SCHWANN CELL	5	4	0.7333333333333333	0.7	0.3404761904761905	0.2857142857142857	0.27999999999999997	0.2	0.3928571428571428
PANETH CELL	3	2	0.7380952380952381	0.8571428571428571	0.6666666666666666	0.5	0.5357142857142857	0.42857142857142855	0.07142857142857151
PERICYTE	18	7	0.7712962962962963	0.9166666666666667	0.40648148148148144	0.4	0.5425925925925925	0.6	0.3648148148148148
PLASMA CELL	9	5	0.8068783068783069	1.0	0.5240740740740741	0.6	0.5785714285714286	0.5	0.2828042328042327
PLASMACYTOID DENDRITIC CELL	14	7	0.8869047619047619	1.0	0.7489795918367347	0.8571428571428571	0.7430272108843538	0.8452380952380952	0.13792517006802718
REGULATORY T CELL	11	6	0.6617965367965367	0.6	0.8247474747474748	1.0	0.8086219336219337	1.0	-0.16295093795093807
RETINAL PIGMENT EPITHELIAL CELL	16	2	0.47916666666666663	0.3333333333333333	0.10416666666666666	0.0	0.5833333333333333	0.6666666666666666	0.375
SMOOTH MUSCLE CELL	8	5	0.7819444444444444	0.775	0.3680555555555556	0.375	0.49930555555555556	0.5	0.41388888888888886
STROMAL CELL	8	2	0.95	1.0	0.0	0.0	0.0	0.0	0.95
T CELL	10	7	0.6880555555555555	0.6666666666666666	0.3516666666666667	0.25	0.35750000000000004	0.35416666666666663	0.33638888888888885
T FOLLICULAR HELPER CELL	4	2	0.48392857142857143	0.45	0.35416666666666663	0.375	0.3	0.35	0.1297619047619048
