resource	label_basis	profile_idx	normalized_cell_type	cell_type	context_uid	comparison_context	n_local_markers	n_comparison_profiles	observed_global_recovery
LLMarkers	reported label	2	DC	DC	biorxiv|01e5e65d-751c-1014-a8e3-b5f1d7a951ab	biorxiv|01e5e65d-751c-1014-a8e3-b5f1d7a951ab	9	4	0.0
LLMarkers	reported label	12	MAST CELL	MAST CELL	biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	3	14	1.0
LLMarkers	reported label	14	PLASMA CELL	PLASMA CELL	biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	3	15	1.0
LLMarkers	reported label	18	B CELL	B CELL	biorxiv|06056998-6fcf-1014-a978-d2cf5726c0ad	biorxiv|06056998-6fcf-1014-a978-d2cf5726c0ad	4	29	0.0
LLMarkers	reported label	20	CLUSTER 3	CLUSTER 3	biorxiv|09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv|09d40fbc-6c3d-1014-b39f-eee50a07ad3b	3	11	0.0
LLMarkers	reported label	21	CLUSTER 4	CLUSTER 4	biorxiv|09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv|09d40fbc-6c3d-1014-b39f-eee50a07ad3b	4	10	0.0
LLMarkers	reported label	22	CLUSTER 5	CLUSTER 5	biorxiv|09d40fbc-6c3d-1014-b39f-eee50a07ad3b	biorxiv|09d40fbc-6c3d-1014-b39f-eee50a07ad3b	4	8	0.25
LLMarkers	reported label	56	ACINAR CELL	ACINAR CELL	biorxiv|10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv|10f6f17d-749e-1014-bdcf-fe1d1407f022	3	6	0.3333333333333333
LLMarkers	reported label	57	ALPHA CELL	ALPHA CELL	biorxiv|10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv|10f6f17d-749e-1014-bdcf-fe1d1407f022	8	5	0.625
LLMarkers	reported label	58	BETA CELL	BETA CELL	biorxiv|10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv|10f6f17d-749e-1014-bdcf-fe1d1407f022	19	9	0.3157894736842105
LLMarkers	reported label	59	DELTA CELL	DELTA CELL	biorxiv|10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv|10f6f17d-749e-1014-bdcf-fe1d1407f022	5	4	0.2
LLMarkers	reported label	70	CD 4 T CELL	CD4+ T CELL	biorxiv|1934a72f-6bf9-1014-9f9e-eb610960180d	biorxiv|1934a72f-6bf9-1014-9f9e-eb610960180d	3	16	0.6666666666666666
LLMarkers	reported label	72	CLUSTER 3	CLUSTER 3	biorxiv|1b938bfc-6db4-1014-bcdd-aff1924d9f72	biorxiv|1b938bfc-6db4-1014-bcdd-aff1924d9f72	1	11	0.0
LLMarkers	reported label	97	MONOCYTE	MONOCYTE	biorxiv|1efd9fbe-6f02-1014-8df4-f37a8d806beb	biorxiv|1efd9fbe-6f02-1014-8df4-f37a8d806beb	2	23	0.0
LLMarkers	reported label	102	T CELL	T CELL	biorxiv|1fa7b83f-6da7-1014-a69d-d257852e8dd1	biorxiv|1fa7b83f-6da7-1014-a69d-d257852e8dd1	3	37	1.0
LLMarkers	reported label	123	PERICYTE	PERICYTE	biorxiv|219b21d9-7007-1014-9157-ab439216a355	biorxiv|219b21d9-7007-1014-9157-ab439216a355	3	13	1.0
LLMarkers	reported label	131	BASAL CELL	BASAL CELL	biorxiv|2439b48c-6d2d-1014-8b64-9f8fdc0d5fe9	biorxiv|2439b48c-6d2d-1014-8b64-9f8fdc0d5fe9	5	6	0.6
LLMarkers	reported label	132	EPITHELIAL CELL	EPITHELIAL CELL	biorxiv|2439b48c-6d2d-1014-8b64-9f8fdc0d5fe9	biorxiv|2439b48c-6d2d-1014-8b64-9f8fdc0d5fe9	5	6	0.8
LLMarkers	reported label	133	MESENCHYMAL	MESENCHYMAL	biorxiv|2439b48c-6d2d-1014-8b64-9f8fdc0d5fe9	biorxiv|2439b48c-6d2d-1014-8b64-9f8fdc0d5fe9	3	6	0.6666666666666666
LLMarkers	reported label	137	CLUSTER 4	CLUSTER 4	biorxiv|2696a317-6c07-1014-9562-d326b0aa508e	biorxiv|2696a317-6c07-1014-9562-d326b0aa508e	11	10	0.09090909090909091
LLMarkers	reported label	141	EC	EC	biorxiv|2746af96-6da7-1014-ab14-859a63e4801c	biorxiv|2746af96-6da7-1014-ab14-859a63e4801c	3	6	0.6666666666666666
LLMarkers	reported label	164	B CELL	B CELL	biorxiv|307b2bd7-6cb9-1014-a6b4-a58a7220bba3	biorxiv|307b2bd7-6cb9-1014-a6b4-a58a7220bba3	4	29	1.0
LLMarkers	reported label	165	NK CELL	NK CELL	biorxiv|307b2bd7-6cb9-1014-a6b4-a58a7220bba3	biorxiv|307b2bd7-6cb9-1014-a6b4-a58a7220bba3	3	15	0.6666666666666666
