normalized_cell_type	marker_scope	marker_scope_label	n_profiles	n_papers	example_reported_labels	median_n_markers	median_observed_union_recall	median_expected_union_recall	median_union_recall_lift	pct_union_lift_gt_1	median_observed_mean_profile_recall	median_expected_mean_profile_recall	median_mean_profile_recall_lift
T CELL	all_reported_markers	All reported markers	38	37	T CELL; T-CELL; ΑΒ T CELL; ΓΔ T CELL	3	0.928571428571	0.261476484409	3.53547783749	0.973684210526	0.180367867868	0.00853797957524	24.8758144464
B CELL	all_reported_markers	All reported markers	30	30	B CELL; B-CELL	3.5	0.708333333333	0.136808490712	5.44006005008	0.965517241379	0.213793103448	0.00519107545183	45.221300742
FIBROBLAST	all_reported_markers	All reported markers	29	29	FIBROBLAST	4	0.7	0.180203446259	2.98145739558	0.896551724138	0.128571428571	0.00762331838565	15.5776397516
MACROPHAGE	all_reported_markers	All reported markers	29	29	MACROPHAGE	3	0.666666666667	0.216188514259	2.81918163539	0.892857142857	0.107142857143	0.00915969733174	11.0890694223
ENDOTHELIAL CELL	all_reported_markers	All reported markers	28	28	ENDOTHELIAL CELL	3	0.666666666667	0.133852088979	3.99369620238	0.928571428571	0.16049382716	0.00554311167769	25.9838607311
MONOCYTE	all_reported_markers	All reported markers	24	24	MONOCYTE	3.5	0.333333333333	0.176024010694	2.44937017507	0.708333333333	0.095652173913	0.00895363086426	9.86509886879
CELL	all_reported_markers	All reported markers	19	8	Α CELL; Α-CELL; Β CELL; Β-CELL; Γ-CELL; Δ-CELL; Ε-CELL	8	0.5	0.0314391143746	14.4250474382	1	0.0882352941176	0.00214638917568	38.9661016949
CLUSTER 2	all_reported_markers	All reported markers	19	19	CLUSTER 2; CLUSTER-2	5	0.0769230769231	0.0912296430043	0.696802969244	0.421052631579	0.0042735042735	0.00562692958869	0.647309330236
MICROGLIA	all_reported_markers	All reported markers	18	18	MICROGLIA	6.5	0.627450980392	0.0656041331068	9.31226816033	0.944444444444	0.0857843137255	0.00408761020116	24.6286764706
CD 4 T CELL	all_reported_markers	All reported markers	17	17	CD4 + T CELL; CD4 T CELL; CD4+ T CELL; CD4+T CELL	5	0.545454545455	0.120906905607	4.43079973825	0.823529411765	0.0625	0.00836320191159	11.5538674033
PLASMA CELL	all_reported_markers	All reported markers	16	16	PLASMA CELL	3	1	0.0469786500667	12.9811359861	0.9375	0.215873015873	0.00322379650177	55.5688359
NK CELL	all_reported_markers	All reported markers	16	16	NK CELL	4	0.633333333333	0.130988833787	4.21579913787	0.875	0.14	0.00950402899681	13.4057087965
MAST CELL	all_reported_markers	All reported markers	15	15	MAST CELL	3	1	0.0397648754324	21.6115245529	0.933333333333	0.404761904762	0.002902031422	84.025210084
TREG	all_reported_markers	All reported markers	15	15	TREG	4	0.75	0.112105241238	6.69014215317	1	0.397959183673	0.00860778443114	46.3938973648
CD 8 T CELL	all_reported_markers	All reported markers	15	15	CD8 + T CELL; CD8 T CELL; CD8+ T CELL; CD8+ T-CELL	5	0.5	0.117138432061	4.3306997433	0.8	0.0892857142857	0.0090736863097	9.71544715447
PERICYTE	all_reported_markers	All reported markers	14	14	PERICYTE	3	0.833333333333	0.0712661093491	8.59059452206	1	0.217948717949	0.00568757592605	29.6853205128
