source_corpus	paper_id	paper_key	relation	relation_label	marker_scope	marker_scope_label	n_profiles_with_comparison	paper_n_profiles	local_marker_lb_log2	atlas_marker_lb_log2	marker_lb_gap_log2	median_observed_union_recall	median_expected_union_recall	median_union_recall_lift	median_observed_mean_profile_recall	median_expected_mean_profile_recall	median_mean_profile_recall_lift
biorxiv	5a3c7d4e-70da-1014-80b6-cd48bfa975fe	biorxiv:5a3c7d4e-70da-1014-80b6-cd48bfa975fe	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	10	4	12	8	0.333333333333	0.0371910068631	8.96274022804	0.0666666666667	0.00758256011174	8.79210526316
biorxiv	06056998-6fcf-1014-a978-d2cf5726c0ad	biorxiv:06056998-6fcf-1014-a978-d2cf5726c0ad	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	1	0	12	12	0.75	0.104700335267	7.16330084417	0.0298913043478	0.00134328358209	22.2524154589
biorxiv	fc7595eb-733c-1014-9892-ed444a916a2a	biorxiv:fc7595eb-733c-1014-9892-ed444a916a2a	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	4	2	12	10	1	0.157060174658	6.36698642527	0.175	0.00428244198785	40.8645348837
biorxiv	ede8f8d0-6d2d-1014-a8e8-fbbc8a92dcf4	biorxiv:ede8f8d0-6d2d-1014-a8e8-fbbc8a92dcf4	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	2	1	12	11	1	0.157196350794	6.36147082898	0.0121951219512	0.00141833383099	8.59820282413
hca	0083_10.1126_sciimmunol.adz8650_c0046d094c	hca:0083_10.1126_sciimmunol.adz8650_c0046d094c	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	4	14	4	12	8	0.9	0.136925014556	6.06714455044	0.0473619072434	0.00392568175007	16.4654605263
biorxiv	fa200037-7001-1014-b4a8-b2d1b5dda72e	biorxiv:fa200037-7001-1014-b4a8-b2d1b5dda72e	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	2	1	12	11	0.583333333333	0.0974630363893	6.02521935682	0.0886752136752	0.00274957698816	32.4771531887
hca	0295_10.1016_j.isci.2021.102551_1c1e582cdd	hca:0295_10.1016_j.isci.2021.102551_1c1e582cdd	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	6	3	12	9	0.9	0.204497457185	5.90301353296	0.0109797297297	0.00169656203288	7.76473487229
biorxiv	b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e	biorxiv:b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	6	3	12	9	1	0.172619656005	5.79308303088	0.0325203252033	0.001644245142	19.77827051
hca	0273_10.15252_embj.20105114_43aa56d0ae	hca:0273_10.15252_embj.20105114_43aa56d0ae	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	1	0	12	12	1	0.178892835469	5.58993878866	0.0121951219512	0.00164179104478	7.42793791574
hca	0442_10.1038_s41591-024-03011-9_e42f5ec07c	hca:0442_10.1038_s41591-024-03011-9_e42f5ec07c	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	6	3	12	9	0.8375	0.337777273084	4.95137862925	0.030537890832	0.00453662182362	9.61682177919
hca	0090_10.1038_s41586-021-03852-1_eec89a5e36	hca:0090_10.1038_s41586-021-03852-1_eec89a5e36	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	5	27	5	12	7	1	0.17590392027	4.89069238917	0.0194444444444	0.00165463297232	10.0680335508
hca	0281_10.1016_j.devcel.2019.06.001_238d93bfef	hca:0281_10.1016_j.devcel.2019.06.001_238d93bfef	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	10	4	12	8	0.25	0.126703576592	4.62857014442	0.0559360730594	0.00274368951412	14.3755707763
biorxiv	36b52534-7118-1014-9621-c8d35d0ed1df	biorxiv:36b52534-7118-1014-9621-c8d35d0ed1df	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	1	0	12	12	0.428571428571	0.0929217649688	4.61217486253	0.002828854314	0.000511727078891	5.52805280528
hca	0279_10.1186_s12860-019-0199-y_bf14d4299c	hca:0279_10.1186_s12860-019-0199-y_bf14d4299c	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	2	1	12	11	0.628571428571	0.148966892968	4.58846058218	0.0791208791209	0.00422727466621	19.8151122313
hca	0412_10.1038_s41598-019-57110-6_5feef6086a	hca:0412_10.1038_s41598-019-57110-6_5feef6086a	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	2	1	12	11	1	0.220205656296	4.54120941678	0.045045045045	0.00348362695332	12.9305019305
hca	0075_10.1126_scitranslmed.abm1375_6de08b3db5	hca:0075_10.1126_scitranslmed.abm1375_6de08b3db5	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	2	1	12	11	0.563157894737	0.177564985128	4.40617613594	0.014649122807	0.00367588125285	4.88410378014
biorxiv	8bff4e38-6c13-1014-bcce-e068e3eafd28	biorxiv:8bff4e38-6c13-1014-bcce-e068e3eafd28	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	6	3	12	9	0.857142857143	0.21546723968	3.97806579978	0.0278745644599	0.00217809096733	12.7977044476
hca	0002_10.1038_s41586-019-1373-2_de5bb9e220	hca:0002_10.1038_s41586-019-1373-2_de5bb9e220	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	6	3	12	9	0.666666666667	0.170771758734	3.90384611372	0.0670289855072	0.00239162929746	28.0264945652
hca	0513_10.1186_s13059-019-1906-x_0a4cb34cd5	hca:0513_10.1186_s13059-019-1906-x_0a4cb34cd5	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	3	2	12	10	1	0.431322519431	3.74092930595	0.0455768402927	0.00457984866587	14.9900777892
hca	0128_10.1016_j.devcel.2020.07.023_7908e44bb1	hca:0128_10.1016_j.devcel.2020.07.023_7908e44bb1	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	6	3	12	9	1	0.27095968973	3.69058586167	0.0945945945946	0.00448430493274	21.0945945946
hca	0319_10.1016_j.cell.2018.05.060_d1a05e99e8	hca:0319_10.1016_j.cell.2018.05.060_d1a05e99e8	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	5	6	3	12	9	1	0.149495857352	3.58617294108	0.0938320209974	0.00568011958146	19.5804878049
hca	0272_10.1016_j.cell.2020.04.035_15a2d05837	hca:0272_10.1016_j.cell.2020.04.035_15a2d05837	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	2	1	12	11	0.5	0.143912874896	3.47432431157	0.010162601626	0.00130636010749	7.77932636469
