partition	coverage_threshold	method	rank	gene_id	gene_name	role	pair_constraints_covered	new_pair_constraints_covered_greedy	n_on_groups	n_groups	mean_on_group_coverage	global_profile_count	on_groups
broad_neighborhoods	0.05	greedy_set_cover	1	ENSG00000100450	GZMH	not_tested	12	12.0	2	8	0.06546118951612903	31	NK cell; T cell
broad_neighborhoods	0.05	greedy_set_cover	2	ENSG00000140968	IRF8	not_tested	12	8.0	2	8	0.07566220823498558	21	B cell; dendritic cell
broad_neighborhoods	0.05	greedy_set_cover	3	ENSG00000203747	FCGR3A	not_tested	12	4.0	2	8	0.14738598442714126	58	NK cell; monocyte/macrophage
broad_neighborhoods	0.05	greedy_set_cover	4	ENSG00000007908	SELE	not_tested	7	2.0	1	8	0.06666666666666667	15	endothelial
broad_neighborhoods	0.05	greedy_set_cover	5	ENSG00000004468	CD38	not_tested	7	1.0	1	8	0.13978494623655913	35	B cell
broad_neighborhoods	0.05	greedy_set_cover	6	ENSG00000011465	DCN	not_tested	7	1.0	1	8	0.16	57	fibroblast/stromal
broad_neighborhoods	0.05	ilp_minimum	1	ENSG00000139193	CD27	exchangeable_in_minimum_panels	12		2	8	0.10752688172043011	43	B cell; NK cell
broad_neighborhoods	0.05	ilp_minimum	2	ENSG00000168542	COL3A1	exchangeable_in_minimum_panels	7		1	8	0.10666666666666667	35	fibroblast/stromal
broad_neighborhoods	0.05	ilp_minimum	3	ENSG00000198788	MUC2	exchangeable_in_minimum_panels	7		1	8	0.08870967741935484	14	epithelial
broad_neighborhoods	0.05	ilp_minimum	4	ENSG00000261371	PECAM1	exchangeable_in_minimum_panels	7		1	8	0.3333333333333333	52	endothelial
broad_neighborhoods	0.05	ilp_minimum	5	ENSG00000274221	CCL3	exchangeable_in_minimum_panels	12		2	8	0.07794374702049897	47	NK cell; monocyte/macrophage
broad_neighborhoods	0.05	ilp_minimum	6	ENSG00000275302	CCL4	exchangeable_in_minimum_panels	12		2	8	0.07768397177419355	55	NK cell; T cell
broad_neighborhoods	0.1	greedy_set_cover	1	ENSG00000004468	CD38	not_tested	7	7.0	1	8	0.13978494623655913	35	B cell
broad_neighborhoods	0.1	greedy_set_cover	2	ENSG00000011465	DCN	not_tested	7	6.0	1	8	0.16	57	fibroblast/stromal
broad_neighborhoods	0.1	greedy_set_cover	3	ENSG00000073282	TP63	not_tested	7	5.0	1	8	0.10483870967741936	34	epithelial
broad_neighborhoods	0.1	greedy_set_cover	4	ENSG00000081059	TCF7	not_tested	7	4.0	1	8	0.10546875	43	T cell
broad_neighborhoods	0.1	greedy_set_cover	5	ENSG00000100453	GZMB	not_tested	7	3.0	1	8	0.14516129032258066	66	NK cell
broad_neighborhoods	0.1	greedy_set_cover	6	ENSG00000110799	VWF	not_tested	7	2.0	1	8	0.25333333333333335	32	endothelial
broad_neighborhoods	0.1	greedy_set_cover	7	ENSG00000129226	CD68	not_tested	7	1.0	1	8	0.11330049261083744	39	monocyte/macrophage
broad_neighborhoods	0.1	ilp_minimum	1	ENSG00000168542	COL3A1	exchangeable_in_minimum_panels	7		1	8	0.10666666666666667	35	fibroblast/stromal
broad_neighborhoods	0.1	ilp_minimum	2	ENSG00000177455	CD19	exchangeable_in_minimum_panels	7		1	8	0.25806451612903225	32	B cell
broad_neighborhoods	0.1	ilp_minimum	3	ENSG00000177575	CD163	exchangeable_in_minimum_panels	7		1	8	0.10837438423645321	60	monocyte/macrophage
broad_neighborhoods	0.1	ilp_minimum	4	ENSG00000186847	KRT14	exchangeable_in_minimum_panels	7		1	8	0.1532258064516129	41	epithelial
broad_neighborhoods	0.1	ilp_minimum	5	ENSG00000197992	CLEC9A	exchangeable_in_minimum_panels	7		1	8	0.2682926829268293	20	dendritic cell
broad_neighborhoods	0.1	ilp_minimum	6	ENSG00000198851	CD3E	exchangeable_in_minimum_panels	7		1	8	0.1015625	37	T cell
broad_neighborhoods	0.1	ilp_minimum	7	ENSG00000261371	PECAM1	exchangeable_in_minimum_panels	7		1	8	0.3333333333333333	52	endothelial
broad_neighborhoods	0.2	greedy_set_cover	1	ENSG00000105369	CD79A	not_tested	4	4.0	1	5	0.26881720430107525	31	B cell
broad_neighborhoods	0.2	greedy_set_cover	2	ENSG00000105374	NKG7	not_tested	4	3.0	1	5	0.20967741935483872	52	NK cell
broad_neighborhoods	0.2	greedy_set_cover	3	ENSG00000110799	VWF	not_tested	4	2.0	1	5	0.25333333333333335	32	endothelial
broad_neighborhoods	0.2	greedy_set_cover	4	ENSG00000158481	CD1C	not_tested	4	1.0	1	5	0.2682926829268293	27	dendritic cell
broad_neighborhoods	0.2	ilp_minimum	1	ENSG00000177455	CD19	exchangeable_in_minimum_panels	4		1	5	0.25806451612903225	32	B cell
broad_neighborhoods	0.2	ilp_minimum	2	ENSG00000197992	CLEC9A	exchangeable_in_minimum_panels	4		1	5	0.2682926829268293	20	dendritic cell
broad_neighborhoods	0.2	ilp_minimum	3	ENSG00000203747	FCGR3A	exchangeable_in_minimum_panels	4		1	5	0.22580645161290322	58	NK cell
broad_neighborhoods	0.2	ilp_minimum	4	ENSG00000261371	PECAM1	exchangeable_in_minimum_panels	4		1	5	0.3333333333333333	52	endothelial
reported_exact_labels_min5	0.05	greedy_set_cover	1	ENSG00000107796	ACTA2	not_tested	826	826.0	14	73	0.3279478458049887	94	BASAL; CARDIOMYOCYTE; CLUSTER 3; CLUSTER 7; EC; FB 1; FB 2; MESENCHYMAL; MYOFIBROBLAST; MYOFIBROBLASTS; PERICYTE; PERICYTES; SMC; SMOOTH MUSCLE CELL
reported_exact_labels_min5	0.05	greedy_set_cover	2	ENSG00000129226	CD68	not_tested	520	408.0	8	73	0.15577729263074092	39	CLUSTER 4; IMMUNE CELL; MAC 2; MACROPHAGE; MACROPHAGES; MICROGLIA; MONOCYTE; MYELOID CELL
reported_exact_labels_min5	0.05	greedy_set_cover	3	ENSG00000271503	CCL5	not_tested	576	301.0	9	73	0.11929863651999877	43	CD 4 T CELL; CD 8 T CELL; CLUSTER 2; CLUSTER 3; CLUSTER 4; CLUSTER 7; DC; NK CELL; NK CELLS
reported_exact_labels_min5	0.05	greedy_set_cover	4	ENSG00000174059	CD34	not_tested	520	254.0	8	73	0.17856116584564863	38	EC; ENDOTHELIAL; ENDOTHELIAL CELL; FB 1; FIBROBLAST; HSC; LYMPHOCYTE; STEM CELL
reported_exact_labels_min5	0.05	greedy_set_cover	5	ENSG00000165092	ALDH1A1	not_tested	462	176.0	7	73	0.15819906910132472	19	ALPHA CELL; ASTROCYTES; CELL; CLUSTER 0; CLUSTER 1; CLUSTER 3; HSC
reported_exact_labels_min5	0.05	greedy_set_cover	6	ENSG00000125398	SOX9	not_tested	402	128.0	6	73	0.24126984126984122	52	ASTROCYTES; C 1; DUCTAL CELL; EPITHELIAL CELL; OPC; STEM CELL
reported_exact_labels_min5	0.05	greedy_set_cover	7	ENSG00000177455	CD19	not_tested	276	104.0	4	73	0.34791666666666665	32	B CELL; B CELLS; MEMORY B CELL; PLASMA CELL
reported_exact_labels_min5	0.05	greedy_set_cover	8	ENSG00000168685	IL7R	not_tested	520	84.0	8	73	0.13817768435125247	71	CD 4 T CELL; CD 8 T CELL; CLUSTER 4; MYELOID CELL; NK CELL; T CELL; T CELLS; TREG
reported_exact_labels_min5	0.05	greedy_set_cover	9	ENSG00000113721	PDGFRB	not_tested	576	70.0	9	73	0.2471157939548744	46	FIBROBLAST; MESENCHYMAL; MYOFIBROBLAST; PC; PERICYTE; PERICYTES; PODOCYTE; SMOOTH MUSCLE CELL; STEM CELL
reported_exact_labels_min5	0.05	greedy_set_cover	10	ENSG00000157404	KIT	not_tested	340	56.0	5	73	0.20865800865800868	42	CLUSTER 4; LYMPHOCYTE; MAST CELL; MELANOCYTE; TUFT CELL
reported_exact_labels_min5	0.05	greedy_set_cover	11	ENSG00000160307	S100B	not_tested	340	47.0	5	73	0.10496031746031745	20	ASTROCYTE; CLUSTER 3; CLUSTER 5; NK CELL; OLIGODENDROCYTE
reported_exact_labels_min5	0.05	greedy_set_cover	12	ENSG00000139329	LUM	not_tested	462	36.0	7	73	0.17242552193291108	31	C 1; CLUSTER 0; CLUSTER 3; DENDRITIC CELL; FIBROBLAST; FIBROBLASTS; MESENCHYMAL
reported_exact_labels_min5	0.05	greedy_set_cover	13	ENSG00000136826	KLF4	not_tested	340	30.0	5	73	0.17774853801169593	25	CDC 2; CLUSTER 2; ENDOTHELIAL; GOBLET CELL; MAC 2
reported_exact_labels_min5	0.05	greedy_set_cover	14	ENSG00000204983	PRSS1	not_tested	210	22.0	3	73	0.17619047619047615	4	ACINAR CELL; BETA CELL; IMMUNE CELL
reported_exact_labels_min5	0.05	greedy_set_cover	15	ENSG00000162992	NEUROD1	not_tested	210	16.0	3	73	0.2922305764411028	15	CELL; ENTEROENDOCRINE CELL; EXCITATORY NEURON
reported_exact_labels_min5	0.05	greedy_set_cover	16	ENSG00000186847	KRT14	not_tested	276	12.0	4	73	0.2631578947368421	41	BASAL; BASAL CELL; CLUSTER 2; EPITHELIAL CELL
reported_exact_labels_min5	0.05	greedy_set_cover	17	ENSG00000169710	FASN	not_tested	210	10.0	3	73	0.17037037037037037	4	ADIPOCYTE; CLUSTER 5; MEMORY B CELL
reported_exact_labels_min5	0.05	greedy_set_cover	18	ENSG00000163017	ACTG2	not_tested	402	9.0	6	73	0.23644179894179898	14	CLUSTER 0; CLUSTER 1; MYOFIBROBLAST; MYOFIBROBLASTS; SMC; SMOOTH MUSCLE CELL
reported_exact_labels_min5	0.05	greedy_set_cover	19	ENSG00000090382	LYZ	not_tested	276	8.0	4	73	0.26249999999999996	40	AT 2; GOBLET CELL; MONOCYTE; MYELOID CELL
reported_exact_labels_min5	0.05	greedy_set_cover	20	ENSG00000140968	IRF8	not_tested	210	6.0	3	73	0.2383838383838384	21	B CELL; CDC 1; DC
reported_exact_labels_min5	0.05	greedy_set_cover	21	ENSG00000011465	DCN	not_tested	402	4.0	6	73	0.24192397265419577	57	C 1; CD 4 T CELL; CLUSTER 5; FIBROBLAST; FIBROBLASTS; MACROPHAGES
reported_exact_labels_min5	0.05	greedy_set_cover	22	ENSG00000117318	ID3	not_tested	340	4.0	5	73	0.12250000000000001	18	ASTROCYTES; BETA CELL; CLUSTER 3; PLASMA CELL; T CELLS
reported_exact_labels_min5	0.05	greedy_set_cover	23	ENSG00000164120	HPGD	not_tested	142	4.0	2	73	0.13333333333333333	4	HEPATOCYTE; MAST CELL
reported_exact_labels_min5	0.05	greedy_set_cover	24	ENSG00000106483	SFRP4	not_tested	276	3.0	4	73	0.17774122807017545	9	CLUSTER 2; FB 1; FB 2; MYOFIBROBLAST
reported_exact_labels_min5	0.05	greedy_set_cover	25	ENSG00000026508	CD44	not_tested	520	2.0	8	73	0.12133581502776548	51	ASTROCYTE; ASTROCYTES; CD 4 T CELL; CLUSTER 2; CLUSTER 3; CLUSTER 5; IMMUNE CELL; T CELL
reported_exact_labels_min5	0.05	greedy_set_cover	26	ENSG00000075213	SEMA3A	not_tested	142	2.0	2	73	0.17142857142857143	3	PODOCYTE; SMC
reported_exact_labels_min5	0.05	greedy_set_cover	27	ENSG00000121904	CSMD2	not_tested	142	2.0	2	73	0.2	2	EXCITATORY NEURON; OPC
reported_exact_labels_min5	0.05	greedy_set_cover	28	ENSG00000159216	RUNX1	not_tested	276	2.0	4	73	0.17738095238095236	14	HSC; IMMUNE CELL; MICROGLIA; TUFT CELL
reported_exact_labels_min5	0.05	greedy_set_cover	29	ENSG00000000971	CFH	not_tested	142	1.0	2	73	0.07142857142857142	6	ENDOTHELIAL CELL; PERICYTE
reported_exact_labels_min5	0.05	greedy_set_cover	30	ENSG00000022355	GABRA1	not_tested	72	1.0	1	73	0.2	2	DELTA CELL
