label_a	label_b	papers
b cell	t cell	60
b cell	natural killer cell	52
endothelial cell	fibroblast	49
b cell	monocyte	41
b cell	macrophage	40
natural killer cell	t cell	40
macrophage	t cell	37
fibroblast	pericyte	35
endothelial cell	pericyte	33
macrophage	natural killer cell	33
monocyte	natural killer cell	33
endothelial cell	t cell	32
b cell	mast cell	31
b cell	plasma cell	31
fibroblast	t cell	30
macrophage	monocyte	30
endothelial cell	macrophage	29
fibroblast	smooth muscle cell	29
astrocyte	oligodendrocyte	28
b cell	endothelial cell	28
macrophage	mast cell	28
dendritic cell	macrophage	27
fibroblast	macrophage	27
mast cell	natural killer cell	27
b cell	dendritic cell	26
b cell	fibroblast	26
mast cell	t cell	26
monocyte	t cell	26
natural killer cell	plasma cell	26
endothelial cell	immune cell	25
natural killer cell	plasmacytoid dendritic cell	25
plasma cell	t cell	25
astrocyte	microglia	24
fibroblast	lymphatic endothelial cell	24
pericyte	smooth muscle cell	24
endothelial cell	smooth muscle cell	23
macrophage	plasma cell	23
cd4 t cell	cd8 t cell	22
endothelial cell	epithelial cell	22
alpha cell	beta cell	21
dendritic cell	monocyte	21
endothelial cell	mast cell	21
fibroblast	myofibroblast	21
myeloid cell	t cell	21
lymphatic endothelial cell	pericyte	20
mast cell	pericyte	20
b cell	myeloid cell	19
endothelial cell	oligodendrocyte	19
macrophage	plasmacytoid dendritic cell	19
mast cell	plasma cell	19
monocyte	plasma cell	19
myofibroblast	pericyte	19
alpha cell	delta cell	18
astrocyte	endothelial cell	18
astrocyte	excitatory neuron	18
b cell	plasmacytoid dendritic cell	18
beta cell	delta cell	18
dendritic cell	t cell	18
endothelial cell	lymphatic endothelial cell	18
excitatory neuron	inhibitory neuron	18
fibroblast	mast cell	18
mast cell	monocyte	18
monocyte	plasmacytoid dendritic cell	18
natural killer cell	regulatory t cell	18
dendritic cell	natural killer cell	17
endothelial cell	monocyte	17
endothelial cell	natural killer cell	17
fibroblast	immune cell	17
fibroblast	natural killer cell	17
macrophage	pericyte	17
microglia	oligodendrocyte	17
astrocyte	inhibitory neuron	16
cd8 t cell	natural killer cell	16
conventional dendritic cell type 1	conventional dendritic cell type 2	16
fibroblast	plasma cell	16
macrophage	regulatory t cell	16
myeloid cell	natural killer cell	16
acinar cell	ductal cell	15
b cell	regulatory t cell	15
endothelial cell	microglia	15
endothelial cell	myeloid cell	15
enteroendocrine cell	goblet cell	15
epithelial cell	fibroblast	15
excitatory neuron	oligodendrocyte	15
acinar cell	beta cell	14
arterial endothelial cell	venous endothelial cell	14
astrocyte	oligodendrocyte precursor cell	14
beta cell	ductal cell	14
cd4 positive t cell	cd8 positive t cell	14
cd4 t cell	natural killer cell	14
endothelial cell	myofibroblast	14
endothelial cell	plasma cell	14
inhibitory neuron	oligodendrocyte	14
lymphatic endothelial cell	macrophage	14
lymphatic endothelial cell	smooth muscle cell	14
macrophage	neutrophil	14
mast cell	plasmacytoid dendritic cell	14
acinar cell	alpha cell	13
acinar cell	delta cell	13
alpha cell	ductal cell	13
b cell	cd4 t cell	13
b cell	cd8 t cell	13
b cell	epithelial cell	13
b cell	smooth muscle cell	13
conventional dendritic cell type 1	plasmacytoid dendritic cell	13
conventional dendritic cell type 2	plasmacytoid dendritic cell	13
delta cell	ductal cell	13
fibroblast	monocyte	13
fibroblast	myeloid cell	13
lymphatic endothelial cell	mast cell	13
lymphatic endothelial cell	t cell	13
neuron	oligodendrocyte	13
oligodendrocyte	oligodendrocyte precursor cell	13
pericyte	t cell	13
plasmacytoid dendritic cell	regulatory t cell	13
regulatory t cell	t cell	13
alveolar type 1 cell	alveolar type 2 cell	12
arterial endothelial cell	endothelial cell	12
astrocyte	neuron	12
b cell	cd4 positive t cell	12
cd8 positive t cell	natural killer cell	12
endothelial cell	excitatory neuron	12
endothelial cell	inhibitory neuron	12
endothelial cell	stromal cell	12
epithelial cell	t cell	12
fibroblast	melanocyte	12
fibroblast	vascular endothelial cell	12
macrophage	smooth muscle cell	12
mast cell	regulatory t cell	12
mast cell	smooth muscle cell	12
memory b cell	plasma cell	12
natural killer cell	neutrophil	12
plasma cell	regulatory t cell	12
plasmacytoid dendritic cell	t cell	12
smooth muscle cell	t cell	12
amacrine cell	horizontal cell	11
arterial endothelial cell	fibroblast	11
b cell	cd8 positive t cell	11
b cell	neutrophil	11
b cell	pericyte	11
bipolar cell	horizontal cell	11
cd4 t cell	monocyte	11
cd8 t cell	monocyte	11
conventional dendritic cell type 2	macrophage	11
dendritic cell	endothelial cell	11
dendritic cell	fibroblast	11
dendritic cell	mast cell	11
endothelial cell	mesenchymal cell	11
endothelial cell	oligodendrocyte precursor cell	11
epithelial cell	macrophage	11
excitatory neuron	microglia	11
lymphatic endothelial cell	vascular endothelial cell	11
mucosal associated invariant t cell	natural killer cell	11
myofibroblast	smooth muscle cell	11
natural killer cell	pericyte	11
pericyte	vascular smooth muscle cell	11
alpha cell	epsilon cell	10
amacrine cell	bipolar cell	10
arterial endothelial cell	lymphatic endothelial cell	10
beta cell	epsilon cell	10
cd8 t cell	plasma cell	10
classical monocyte	natural killer cell	10
conventional dendritic cell type 1	macrophage	10
conventional dendritic cell type 2	monocyte	10
endothelial cell	plasmacytoid dendritic cell	10
enterocyte	goblet cell	10
epithelial cell	monocyte	10
epithelial cell	natural killer cell	10
epithelial cell	pericyte	10
excitatory neuron	oligodendrocyte precursor cell	10
gamma delta t cell	natural killer cell	10
horizontal cell	müller glia	10
horizontal cell	retinal ganglion cell	10
immune cell	macrophage	10
immune cell	pericyte	10
inhibitory neuron	oligodendrocyte precursor cell	10
lymphatic endothelial cell	natural killer cell	10
lymphatic endothelial cell	venous endothelial cell	10
macrophage	myofibroblast	10
mast cell	myeloid cell	10
megakaryocyte	natural killer cell	10
memory b cell	natural killer cell	10
monocyte	neutrophil	10
myeloid cell	plasma cell	10
plasma cell	plasmacytoid dendritic cell	10
arterial endothelial cell	capillary endothelial cell	9
astrocyte	oligodendrocyte progenitor cell	9
b cell	basal cell	9
b cell	megakaryocyte	9
basal cell	ciliated cell	9
basal cell	t cell	9
bipolar cell	müller glia	9
capillary endothelial cell	fibroblast	9
capillary endothelial cell	lymphatic endothelial cell	9
capillary endothelial cell	venous endothelial cell	9
cd8 t cell	mast cell	9
ciliated cell	goblet cell	9
classical monocyte	non classical monocyte	9
conventional dendritic cell type 1	natural killer cell	9
conventional dendritic cell type 2	mast cell	9
conventional dendritic cell type 2	natural killer cell	9
delta cell	epsilon cell	9
endothelial cell	melanocyte	9
endothelial cell	neuron	9
enterocyte	enteroendocrine cell	9
enteroendocrine cell	intestinal stem cell	9
enteroendocrine cell	paneth cell	9
enteroendocrine cell	tuft cell	9
epithelial cell	immune cell	9
epithelial cell	mast cell	9
fibroblast	goblet cell	9
fibroblast	plasmacytoid dendritic cell	9
fibroblast	regulatory t cell	9
goblet cell	intestinal stem cell	9
goblet cell	macrophage	9
goblet cell	paneth cell	9
goblet cell	tuft cell	9
horizontal cell	rod photoreceptor	9
inhibitory neuron	microglia	9
macrophage	vascular endothelial cell	9
mast cell	myofibroblast	9
memory b cell	monocyte	9
microglia	oligodendrocyte precursor cell	9
monocyte	myeloid cell	9
monocyte	regulatory t cell	9
natural killer cell	smooth muscle cell	9
nephron progenitor cell	podocyte	9
pericyte	plasmacytoid dendritic cell	9
regulatory t cell	t helper 17 cell	9
acinar cell	endothelial cell	8
amacrine cell	retinal ganglion cell	8
b cell	conventional dendritic cell type 2	8
b cell	goblet cell	8
b cell	lymphatic endothelial cell	8
b cell	memory b cell	8
b cell	mucosal associated invariant t cell	8
basal cell	macrophage	8
bipolar cell	retinal ganglion cell	8
capillary endothelial cell	endothelial cell	8
capillary endothelial cell	pericyte	8
cardiomyocyte	endothelial cell	8
cardiomyocyte	fibroblast	8
cd4 positive t cell	natural killer cell	8
cd4 t cell	dendritic cell	8
cd4 t cell	macrophage	8
cd8 t cell	epithelial cell	8
cd8 t cell	macrophage	8
conventional dendritic cell type 1	mast cell	8
dendritic cell	plasma cell	8
dendritic cell	plasmacytoid dendritic cell	8
endothelial cell	venous endothelial cell	8
epithelial cell	goblet cell	8
epithelial cell	plasma cell	8
fibroblast	venous endothelial cell	8
gamma delta t cell	plasmacytoid dendritic cell	8
goblet cell	mast cell	8
goblet cell	t cell	8
immune cell	lymphatic endothelial cell	8
intestinal stem cell	paneth cell	8
lymphatic endothelial cell	myofibroblast	8
lymphatic endothelial cell	plasmacytoid dendritic cell	8
macrophage	memory b cell	8
mast cell	neutrophil	8
memory b cell	plasmacytoid dendritic cell	8
microglia	neuron	8
müller glia	retinal ganglion cell	8
müller glia	rod photoreceptor	8
naive t cell	natural killer cell	8
natural killer cell	plasmablast	8
natural killer cell	vascular endothelial cell	8
neutrophil	plasma cell	8
neutrophil	t cell	8
pericyte	plasma cell	8
pericyte	vascular endothelial cell	8
t cell	vascular endothelial cell	8
acinar cell	epsilon cell	7
amacrine cell	müller glia	7
arterial endothelial cell	natural killer cell	7
arterial endothelial cell	pericyte	7
arterial endothelial cell	smooth muscle cell	7
astrocyte	ependymal cell	7
b cell	cd14 positive monocyte	7
b cell	conventional dendritic cell type 1	7
b cell	immune cell	7
