replicate	comparison	metric	estimate
0	same_label_same_identifier	any_shared_marker	0.4879032258064516
0	same_label_no_accepted_identifier	any_shared_marker	0.5161290322580645
0	same_identifier_different_label	any_shared_marker	0.4032258064516129
0	different_identifier_matched_control	any_shared_marker	0.016129032258064516
0	same_label_same_identifier	marker_jaccard	0.12693293070414904
0	same_label_no_accepted_identifier	marker_jaccard	0.13705044222356091
0	same_identifier_different_label	marker_jaccard	0.0767619980825626
0	different_identifier_matched_control	marker_jaccard	0.0018641193036354326
1	same_label_same_identifier	any_shared_marker	0.47580645161290325
1	same_label_no_accepted_identifier	any_shared_marker	0.5564516129032258
1	same_identifier_different_label	any_shared_marker	0.39919354838709675
1	different_identifier_matched_control	any_shared_marker	0.016129032258064516
1	same_label_same_identifier	marker_jaccard	0.10509565479323545
1	same_label_no_accepted_identifier	marker_jaccard	0.14063334376723843
1	same_identifier_different_label	marker_jaccard	0.06940676140747298
1	different_identifier_matched_control	marker_jaccard	0.00389910268942527
2	same_label_same_identifier	any_shared_marker	0.5
2	same_label_no_accepted_identifier	any_shared_marker	0.5161290322580645
2	same_identifier_different_label	any_shared_marker	0.49193548387096775
2	different_identifier_matched_control	any_shared_marker	0.008064516129032258
2	same_label_same_identifier	marker_jaccard	0.11803679631300598
2	same_label_no_accepted_identifier	marker_jaccard	0.12545760074134873
2	same_identifier_different_label	marker_jaccard	0.10163195899082997
2	different_identifier_matched_control	marker_jaccard	0.0010240655401945725
3	same_label_same_identifier	any_shared_marker	0.5
3	same_label_no_accepted_identifier	any_shared_marker	0.5524193548387096
3	same_identifier_different_label	any_shared_marker	0.4596774193548387
3	different_identifier_matched_control	any_shared_marker	0.036290322580645164
3	same_label_same_identifier	marker_jaccard	0.10790770949508341
3	same_label_no_accepted_identifier	marker_jaccard	0.13169846351778453
3	same_identifier_different_label	marker_jaccard	0.08215272959698956
3	different_identifier_matched_control	marker_jaccard	0.004959271239513175
4	same_label_same_identifier	any_shared_marker	0.4879032258064516
4	same_label_no_accepted_identifier	any_shared_marker	0.6088709677419355
