pair_id	target_key	target_label	target_label_a	target_label_b	profile_a	profile_b	paper_a	paper_b	collection_pair	markers_a	markers_b	shared_markers	union_markers	any_shared_marker	marker_jaccard	recovery_a_from_b	recovery_b_from_a	mean_directional_recovery	context_a	context_b	context_jaccard	normalized_label_a	normalized_label_b
pair:500cb9661d5dd5dba5f6	CL:0000084	T-cell	T-cell	T lymphocyte	profile:b77a46c77d71ec6df594	profile:1953e2d225b00edf98d6	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	biorxiv-biorxiv	7	3	0	10	0	0.0	0.0	0.0	0.0	4	7	0.1	t cell	t lymphocyte
pair:424ff69c7dce9664ee08	CL:0000084	T-cell	T-cell	T-lymphocyte	profile:b77a46c77d71ec6df594	profile:70ad0ddd15d9a6d6942e	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	biorxiv-hca	7	3	0	10	0	0.0	0.0	0.0	0.0	4	5	0.0	t cell	t lymphocyte
pair:19684552845ac8208870	CL:0000084	T cell	T cell	T lymphocyte	profile:dad4e5cef0740e905dab	profile:1953e2d225b00edf98d6	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	biorxiv-biorxiv	3	3	0	6	0	0.0	0.0	0.0	0.0	1	7	0.0	t cell	t lymphocyte
pair:6727beb309b5cd4466ae	CL:0000084	T cell	T cell	T-lymphocyte	profile:dad4e5cef0740e905dab	profile:70ad0ddd15d9a6d6942e	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	biorxiv-hca	3	3	1	5	1	0.2	0.3333333333333333	0.3333333333333333	0.3333333333333333	1	5	0.0	t cell	t lymphocyte
pair:2cf0e32f45dcd07da5d5	CL:0000084	T cell	T cell	T lymphocyte	profile:f6766d68fcac10e19510	profile:1953e2d225b00edf98d6	biorxiv:307b2bd7-6cb9-1014-a6b4-a58a7220bba3	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	biorxiv-biorxiv	5	3	0	8	0	0.0	0.0	0.0	0.0	7	7	0.4	t cell	t lymphocyte
pair:6ae35b0b55e13d626be8	CL:0000084	T cell	T cell	T-lymphocyte	profile:f6766d68fcac10e19510	profile:70ad0ddd15d9a6d6942e	biorxiv:307b2bd7-6cb9-1014-a6b4-a58a7220bba3	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	biorxiv-hca	5	3	1	7	1	0.14285714285714285	0.2	0.3333333333333333	0.26666666666666666	7	5	0.2	t cell	t lymphocyte
pair:a3e90afe291f048cebd1	CL:0000084	T cell	T cell	T lymphocyte	profile:9683d9c3fecd83665432	profile:1953e2d225b00edf98d6	biorxiv:8e460cfc-7020-1014-9694-e5bf39316223	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	biorxiv-biorxiv	3	3	0	6	0	0.0	0.0	0.0	0.0	3	7	0.42857142857142855	t cell	t lymphocyte
pair:ef6a573487f5e76193ce	CL:0000084	T cell	T cell	T-lymphocyte	profile:9683d9c3fecd83665432	profile:70ad0ddd15d9a6d6942e	biorxiv:8e460cfc-7020-1014-9694-e5bf39316223	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	biorxiv-hca	3	3	1	5	1	0.2	0.3333333333333333	0.3333333333333333	0.3333333333333333	3	5	0.3333333333333333	t cell	t lymphocyte
pair:3eb25f869a78eadb96d2	CL:0000084	T cell	T cell	T lymphocyte	profile:a05fcdc969d3299dc6b5	profile:1953e2d225b00edf98d6	biorxiv:a6ffed23-717d-1014-ae02-d2e67f78dddd	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	biorxiv-biorxiv	3	3	0	6	0	0.0	0.0	0.0	0.0	5	7	0.2	t cell	t lymphocyte
pair:db7ddc3ae60fd3883b9e	CL:0000084	T cell	T cell	T-lymphocyte	profile:a05fcdc969d3299dc6b5	profile:70ad0ddd15d9a6d6942e	biorxiv:a6ffed23-717d-1014-ae02-d2e67f78dddd	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	biorxiv-hca	3	3	1	5	1	0.2	0.3333333333333333	0.3333333333333333	0.3333333333333333	5	5	0.25	t cell	t lymphocyte
pair:24ef4f4fcd9276834e8a	CL:0000084	T cell	T cell	T lymphocyte	profile:2b44cfb9ed5b2c3fcad7	profile:1953e2d225b00edf98d6	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	biorxiv-biorxiv	6	3	0	9	0	0.0	0.0	0.0	0.0	13	7	0.17647058823529413	t cell	t lymphocyte
pair:d31307c037689326a620	CL:0000084	T cell	T cell	T-lymphocyte	profile:2b44cfb9ed5b2c3fcad7	profile:70ad0ddd15d9a6d6942e	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	biorxiv-hca	6	3	0	9	0	0.0	0.0	0.0	0.0	13	5	0.2857142857142857	t cell	t lymphocyte
pair:31c83ccbcf1e0459a52e	CL:0000084	T cell	T cell	T lymphocyte	profile:ba05fd3047198e41e7c1	profile:1953e2d225b00edf98d6	biorxiv:b60c0833-6df2-1014-8865-f92ffff4fcc6	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	biorxiv-biorxiv	3	3	0	6	0	0.0	0.0	0.0	0.0	6	7	0.0	t cell	t lymphocyte
pair:51b50843847569086675	CL:0000084	T cell	T cell	T-lymphocyte	profile:ba05fd3047198e41e7c1	profile:70ad0ddd15d9a6d6942e	biorxiv:b60c0833-6df2-1014-8865-f92ffff4fcc6	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	biorxiv-hca	3	3	1	5	1	0.2	0.3333333333333333	0.3333333333333333	0.3333333333333333	6	5	0.1	t cell	t lymphocyte
pair:02cb16884d6b6862854b	CL:0000084	T cell	T cell	T lymphocyte	profile:63966e3218f4f3ab7db6	profile:1953e2d225b00edf98d6	biorxiv:b71d9b5e-6f1d-1014-9408-ec8c7da502b4	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	biorxiv-biorxiv	4	3	0	7	0	0.0	0.0	0.0	0.0	2	7	0.0	t cell	t lymphocyte
pair:2c03449f57e0289e2895	CL:0000084	T cell	T cell	T-lymphocyte	profile:63966e3218f4f3ab7db6	profile:70ad0ddd15d9a6d6942e	biorxiv:b71d9b5e-6f1d-1014-9408-ec8c7da502b4	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	biorxiv-hca	4	3	0	7	0	0.0	0.0	0.0	0.0	2	5	0.0	t cell	t lymphocyte
pair:3ffabf145a109de01ec5	CL:0000084	T cell	T cell	T lymphocyte	profile:d1b16b5d5b32bf28fe36	profile:1953e2d225b00edf98d6	biorxiv:ba2fe3cc-7145-1014-8950-ece91a9c7114	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	biorxiv-biorxiv	3	3	0	6	0	0.0	0.0	0.0	0.0	0	7	0.0	t cell	t lymphocyte
pair:148045b19c9122383b7e	CL:0000084	T cell	T cell	T-lymphocyte	profile:d1b16b5d5b32bf28fe36	profile:70ad0ddd15d9a6d6942e	biorxiv:ba2fe3cc-7145-1014-8950-ece91a9c7114	hca:0149_10.1038_s41368-023-00238-z_c77e60a0ab	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	0	5	0.0	t cell	t lymphocyte
pair:a2b59db94623c20d9f16	CL:0000084	T cell	T cell	T lymphocyte	profile:65310456d85274bafa23	profile:1953e2d225b00edf98d6	biorxiv:c245f005-7ab6-1014-adbd-b49bd8bfffbc	biorxiv:dbf486c9-6c54-1014-9bc5-bf4d8f303013	biorxiv-biorxiv	3	3	0	6	0	0.0	0.0	0.0	0.0	9	7	0.3333333333333333	t cell	t lymphocyte
