papers_combined	labels	estimate	uncertainty_95_lower	uncertainty_95_upper	mean_shared_markers	mean_shared_markers_95_lower	mean_shared_markers_95_upper	bootstrap_replicates
1	37	1.0	1.0	1.0	4.87772972972973	4.081081081081081	5.838513513513512	1000
2	37	0.5175405405405407	0.35135135135135137	0.6756756756756757	0.8574594594594594	0.5405405405405406	1.2162162162162162	1000
3	37	0.28754054054054057	0.13513513513513514	0.4594594594594595	0.3828378378378378	0.18851351351351356	0.6216216216216216	1000
4	37	0.1773783783783784	0.05405405405405406	0.29797297297297237	0.21124324324324326	0.05405405405405406	0.3783783783783784	1000
5	37	0.11343243243243244	0.02702702702702703	0.21621621621621623	0.12786486486486487	0.02702702702702703	0.24324324324324326	1000
6	37	0.07643243243243243	0.0	0.16216216216216217	0.08297297297297297	0.0	0.1891891891891892	1000
7	37	0.05321621621621622	0.0	0.13513513513513514	0.05613513513513514	0.0	0.13513513513513514	1000
8	37	0.03662162162162163	0.0	0.10810810810810811	0.03837837837837838	0.0	0.10810810810810811	1000
9	37	0.024945945945945944	0.0	0.08108108108108109	0.025513513513513515	0.0	0.08108108108108109	1000
10	37	0.01683783783783784	0.0	0.05405405405405406	0.01710810810810811	0.0	0.05405405405405406	1000
