replicate	papers_combined	fraction_labels_with_shared_marker	mean_shared_markers
0	1	1.0	4.27027027027027
0	2	0.6486486486486487	0.918918918918919
0	3	0.2702702702702703	0.3783783783783784
0	4	0.16216216216216217	0.21621621621621623
0	5	0.08108108108108109	0.10810810810810811
0	6	0.02702702702702703	0.02702702702702703
0	7	0.02702702702702703	0.02702702702702703
0	8	0.02702702702702703	0.02702702702702703
0	9	0.02702702702702703	0.02702702702702703
0	10	0.0	0.0
1	1	1.0	5.486486486486487
1	2	0.4594594594594595	0.6486486486486487
1	3	0.35135135135135137	0.3783783783783784
1	4	0.16216216216216217	0.16216216216216217
1	5	0.08108108108108109	0.08108108108108109
1	6	0.08108108108108109	0.08108108108108109
1	7	0.08108108108108109	0.08108108108108109
1	8	0.08108108108108109	0.08108108108108109
1	9	0.05405405405405406	0.05405405405405406
1	10	0.0	0.0
2	1	1.0	4.027027027027027
2	2	0.4594594594594595	0.6486486486486487
2	3	0.21621621621621623	0.21621621621621623
2	4	0.10810810810810811	0.10810810810810811
2	5	0.02702702702702703	0.02702702702702703
2	6	0.0	0.0
2	7	0.0	0.0
2	8	0.0	0.0
2	9	0.0	0.0
2	10	0.0	0.0
3	1	1.0	5.297297297297297
3	2	0.5135135135135135	0.7837837837837838
3	3	0.2702702702702703	0.35135135135135137
3	4	0.10810810810810811	0.10810810810810811
3	5	0.08108108108108109	0.08108108108108109
3	6	0.02702702702702703	0.02702702702702703
3	7	0.02702702702702703	0.02702702702702703
3	8	0.02702702702702703	0.02702702702702703
3	9	0.02702702702702703	0.02702702702702703
3	10	0.02702702702702703	0.02702702702702703
4	1	1.0	4.45945945945946
4	2	0.5135135135135135	0.7837837837837838
4	3	0.21621621621621623	0.21621621621621623
4	4	0.10810810810810811	0.10810810810810811
4	5	0.02702702702702703	0.02702702702702703
4	6	0.0	0.0
4	7	0.0	0.0
4	8	0.0	0.0
4	9	0.0	0.0
4	10	0.0	0.0
5	1	1.0	5.8108108108108105
5	2	0.6216216216216216	0.8918918918918919
5	3	0.24324324324324326	0.2972972972972973
5	4	0.16216216216216217	0.21621621621621623
5	5	0.05405405405405406	0.05405405405405406
5	6	0.02702702702702703	0.02702702702702703
5	7	0.02702702702702703	0.02702702702702703
5	8	0.0	0.0
5	9	0.0	0.0
5	10	0.0	0.0
6	1	1.0	5.1891891891891895
6	2	0.5945945945945946	1.027027027027027
6	3	0.21621621621621623	0.2702702702702703
6	4	0.10810810810810811	0.16216216216216217
6	5	0.08108108108108109	0.13513513513513514
6	6	0.08108108108108109	0.08108108108108109
6	7	0.08108108108108109	0.08108108108108109
6	8	0.05405405405405406	0.05405405405405406
6	9	0.05405405405405406	0.05405405405405406
6	10	0.02702702702702703	0.02702702702702703
7	1	1.0	4.5675675675675675
7	2	0.3783783783783784	0.6486486486486487
7	3	0.32432432432432434	0.4594594594594595
7	4	0.1891891891891892	0.21621621621621623
7	5	0.10810810810810811	0.10810810810810811
7	6	0.10810810810810811	0.10810810810810811
7	7	0.10810810810810811	0.10810810810810811
7	8	0.05405405405405406	0.05405405405405406
7	9	0.02702702702702703	0.02702702702702703
7	10	0.02702702702702703	0.02702702702702703
8	1	1.0	4.648648648648648
8	2	0.5675675675675675	1.1891891891891893
8	3	0.3783783783783784	0.5135135135135135
8	4	0.13513513513513514	0.13513513513513514
8	5	0.10810810810810811	0.10810810810810811
8	6	0.08108108108108109	0.08108108108108109
8	7	0.05405405405405406	0.05405405405405406
