profile_id	paper_key	article_key	collection	target_key	target_label	marker_count	gene_curies	gene_symbols
profile:f80cbc1d2f6067ff05f2	biorxiv:001efeeb-7491-1014-a82f-ef19de5990ad	title:integrative multi omic profiling of the human phosphatome identifies dusp15 as a tumour selective regulator of immune metabolic reprogramming in chromophobe renal cell carcinoma	biorxiv	regenerative epithelial cell	regenerative epithelial cell	9	ENSG00000105929 | ENSG00000116039 | ENSG00000144227 | ENSG00000149599 | ENSG00000164266 | ENSG00000168269 | ENSG00000184908 | ENSG00000186510 | ENSG00000214128	ATP6V0A4 | ATP6V1B1 | NXPH2 | DUSP15 | SPINK1 | FOXI1 | CLCNKB | CLCNKA | TMEM213
profile:ea27accf214187474919	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	title:singist an integrative method for comparative single cell transcriptomics between disease models and humans	biorxiv	antigen presenting cell	antigen presenting cell	1	ENSG00000166825	ANPEP
profile:9ffc923fd5db7351a2ed	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	title:singist an integrative method for comparative single cell transcriptomics between disease models and humans	biorxiv	dendritic cell	dendritic cell	5	ENSG00000099985 | ENSG00000157873 | ENSG00000166068 | ENSG00000181374 | ENSG00000185338	OSM | TNFRSF14 | SPRED1 | CCL13 | SOCS1
profile:e0d49b0bd578680fdb5c	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	title:singist an integrative method for comparative single cell transcriptomics between disease models and humans	biorxiv	keratinocyte	keratinocyte	5	ENSG00000108688 | ENSG00000115009 | ENSG00000121807 | ENSG00000134470 | ENSG00000164136	CCL7 | CCL20 | CCR2 | IL15RA | IL15
profile:2322c45864cf54d05701	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	title:singist an integrative method for comparative single cell transcriptomics between disease models and humans	biorxiv	langerhans cell	Langerhans cell	3	ENSG00000102970 | ENSG00000121966 | ENSG00000163823	CCL17 | CXCR4 | CCR1
profile:a814f33d334cd3757590	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	title:singist an integrative method for comparative single cell transcriptomics between disease models and humans	biorxiv	melanocyte	melanocyte	8	ENSG00000105383 | ENSG00000110092 | ENSG00000110324 | ENSG00000112576 | ENSG00000136634 | ENSG00000140678 | ENSG00000159128 | ENSG00000173762	CD33 | CCND1 | IL10RA | CCND3 | IL10 | ITGAX | IFNGR2 | CD7
profile:4d31c1756b8f2621335b	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	title:singist an integrative method for comparative single cell transcriptomics between disease models and humans	biorxiv	t cell	T-cell	7	ENSG00000027697 | ENSG00000104432 | ENSG00000111536 | ENSG00000113525 | ENSG00000134460 | ENSG00000164400 | ENSG00000169194	IFNGR1 | IL7 | IL26 | IL5 | IL2RA | CSF2 | IL13
profile:7c83ae2fb6c93f6b3eb3	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	title:deciphering tumor microenvironment dynamics in tumorigenesis and lymph node metastasis of esophageal squamous cell carcinoma using single cell rna sequencing	biorxiv	activated b cell	activated B cell	2	ENSG00000169508 | ENSG00000240505	GPR183 | TNFRSF13B
profile:2936ae60deac979e3fc4	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	title:deciphering tumor microenvironment dynamics in tumorigenesis and lymph node metastasis of esophageal squamous cell carcinoma using single cell rna sequencing	biorxiv	antigen presenting cancer associated fibroblast	antigen-presenting cancer-associated fibroblast	2	ENSG00000019582 | ENSG00000204287	CD74 | HLA-DRA
profile:c2f701ecfea8c6dfe005	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	title:deciphering tumor microenvironment dynamics in tumorigenesis and lymph node metastasis of esophageal squamous cell carcinoma using single cell rna sequencing	biorxiv	b cell	B cell	2	ENSG00000105369 | ENSG00000156738	CD79A | MS4A1
