gene_curie	gene_symbol	labels	articles
ENSG00000148773	MKI67	107	99
ENSG00000126353	CCR7	90	84
ENSG00000168685	IL7R	87	83
ENSG00000107796	ACTA2	72	113
ENSG00000108821	COL1A1	69	79
ENSG00000188404	SELL	69	57
ENSG00000125398	SOX9	66	50
ENSG00000113088	GZMK	64	51
ENSG00000180644	PRF1	63	51
ENSG00000170458	CD14	61	113
ENSG00000130203	APOE	61	57
ENSG00000177575	CD163	59	79
ENSG00000181449	SOX2	59	56
ENSG00000134853	PDGFRA	57	80
ENSG00000131747	TOP2A	57	59
ENSG00000026508	CD44	56	46
ENSG00000111537	IFNG	56	42
ENSG00000145649	GZMA	55	45
ENSG00000105374	NKG7	54	64
ENSG00000125538	IL1B	54	60
ENSG00000107485	GATA3	54	43
ENSG00000100453	GZMB	53	53
ENSG00000081059	TCF7	53	35
ENSG00000275302	CCL4	52	43
ENSG00000163508	EOMES	51	45
ENSG00000133110	POSTN	51	45
ENSG00000026025	VIM	50	48
ENSG00000154096	THY1	49	41
ENSG00000143546	S100A8	48	64
ENSG00000110848	CD69	48	43
ENSG00000203747	FCGR3A	47	63
ENSG00000119888	EPCAM	47	49
ENSG00000186081	KRT5	45	57
ENSG00000118785	SPP1	45	44
ENSG00000188389	PDCD1	45	43
ENSG00000271503	CCL5	45	36
ENSG00000007372	PAX6	45	30
ENSG00000186847	KRT14	44	49
ENSG00000277632	CCL3	44	40
ENSG00000272398	CD24	44	28
ENSG00000157404	KIT	43	69
ENSG00000139193	CD27	43	44
ENSG00000108691	CCL2	43	39
ENSG00000111796	KLRB1	43	37
ENSG00000011465	DCN	42	72
ENSG00000133800	LYVE1	42	56
ENSG00000163220	S100A9	42	53
ENSG00000019582	CD74	42	41
ENSG00000089692	LAG3	41	36
ENSG00000115523	GNLY	40	63
ENSG00000149294	NCAM1	40	51
ENSG00000174059	CD34	40	46
ENSG00000169429	CXCL8	40	41
ENSG00000121966	CXCR4	40	34
ENSG00000163599	CTLA4	39	54
ENSG00000149591	TAGLN	39	51
ENSG00000261371	PECAM1	38	87
ENSG00000129226	CD68	38	63
ENSG00000090382	LYZ	38	53
ENSG00000171345	KRT19	38	45
ENSG00000135077	HAVCR2	38	35
ENSG00000138795	LEF1	38	32
ENSG00000168329	CX3CR1	38	29
ENSG00000113721	PDGFRB	36	63
ENSG00000156234	CXCL13	36	32
ENSG00000136244	IL6	36	32
ENSG00000171476	HOPX	36	27
ENSG00000260314	MRC1	35	41
ENSG00000133392	MYH11	34	59
ENSG00000004468	CD38	34	38
ENSG00000204287	HLA-DRA	34	35
ENSG00000158481	CD1C	33	51
ENSG00000168542	COL3A1	33	37
ENSG00000145423	SFRP2	33	27
ENSG00000100450	GZMH	33	26
ENSG00000187608	ISG15	33	21
ENSG00000139187	KLRG1	33	20
ENSG00000115414	FN1	32	34
ENSG00000095970	TREM2	32	33
ENSG00000140678	ITGAX	32	28
ENSG00000130234	ACE2	32	10
ENSG00000170421	KRT8	31	32
