source_pair_id	source_target_key	profile_a	profile_b	paper_a	paper_b	target_a	target_b	collection_pair	markers_a	markers_b	shared_markers	union_markers	any_shared_marker	marker_jaccard	recovery_a_from_b	recovery_b_from_a	mean_directional_recovery
pair:60ed950d9f5f613c53cd	aberrant basaloid cell	profile:fa88491bc376b044b7a6	profile:1c0f196b8446a2b4d136	hca:0417_10.1101_gr.212720.116_ba8d2583ab	hca:0286_10.1038_s41467-018-06318-7_d818827349	beta cell	αβ t cell	hca-hca	17	19	0	36	0	0.0	0.0	0.0	0.0
pair:898dd7b3cbb44ea5f2bb	acinar cell	profile:9479759f5626cc6e89e9	profile:451672683205cc1d4eae	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	biorxiv:8c2f79d9-6d11-1014-b01f-be5bb307bf23	natural killer cell	endothelial cell	biorxiv-biorxiv	3	8	0	11	0	0.0	0.0	0.0	0.0
pair:a1c7556504fa8aacb2a5	acinar cell	profile:5fc49aa50e092b2c863c	profile:756a96948f9d26d143c5	biorxiv:cf0d429c-6c7f-1014-a5a8-f09b6915373d	biorxiv:1d26f338-6e4a-1014-b712-c54808557510	deuterosomal cell	neural crest cell	biorxiv-biorxiv	3	6	0	9	0	0.0	0.0	0.0	0.0
pair:ca8c3deb90add2d70a7f	acinar cell	profile:fabc48f6d51f25b58b8b	profile:81f281628330f07f2241	biorxiv:6ca25eee-7853-1014-8aed-fc8cff0a87e5	hca:0090_10.1038_s41586-021-03852-1_eec89a5e36	multiciliated cell	enteric glia 2	biorxiv-hca	3	4	0	7	0	0.0	0.0	0.0	0.0
pair:d0fdec5055e73a7f3f69	acinar cell	profile:d08c0f13ffa2c3d50572	profile:3152d914688c6764991c	biorxiv:219b21d9-7007-1014-9157-ab439216a355	hca:0368_10.1016_j.cell.2019.08.008_98c14c4ebe	fibroblast 5	fibroblast	biorxiv-hca	3	5	1	7	1	0.14285714285714285	0.3333333333333333	0.2	0.26666666666666666
pair:dc7322884d92c76d54d6	acinar cell	profile:ba38c746942e91b84db7	profile:b0a8803563284f90cbc0	biorxiv:d2042444-7138-1014-94ac-a1f590fd3173	hca:0201_10.1038_s41467-019-13382-0_3e98068ead	bile duct cell	distal nephron cell	biorxiv-hca	3	7	0	10	0	0.0	0.0	0.0	0.0
pair:9afa32a23abda012c90b	acinar cell	profile:56d4999d53bed5587b8f	profile:342adaa725a6f3f2fc7a	biorxiv:9df09f81-6df1-1014-bd96-ce3556dd2289	hca:0233_10.1038_s41590-025-02241-4_110ace5bba	endothelial cell	plasma cell	biorxiv-hca	3	6	0	9	0	0.0	0.0	0.0	0.0
pair:6371f1aec4179c90f033	acinar cell	profile:5e40698f89c60475ce2d	profile:bc8f0bfda525f3baa10e	biorxiv:315fa881-726d-1014-9d3d-bbe9b5731a1d	biorxiv:611ca78b-6e32-1014-bb2a-be11d7247499	cd56dimcd16 positive natural killer cell	human induced pluripotent stem cell derived stellate cell like neuron	biorxiv-biorxiv	8	5	0	13	0	0.0	0.0	0.0	0.0
pair:12358757275e0ad98c93	acinar cell	profile:e2ffb61e3378fb411ba1	profile:3b48981162b7815204f1	biorxiv:a0900ed8-7609-1014-846c-dd411913591f	hca:0345_10.3389_fimmu.2021.645666_15198bd9bb	cd34 positive kshv infected vascular endothelial cell	cd8 positive t cell	biorxiv-hca	8	5	0	13	0	0.0	0.0	0.0	0.0
pair:75a6d371597e4c40db60	acinar cell	profile:18b64df2131e6846c033	profile:1ba74c4a4e639ab43900	biorxiv:876ca999-6c0e-1014-8ed9-e7563228589e	hca:0124_10.1126_science.aba6500_a77c502bf7	lympho myeloid progenitor	tc17 th17 t cell	biorxiv-hca	8	5	0	13	0	0.0	0.0	0.0	0.0
