profile_id	paper_key	article_key	collection	target_key	target_label	marker_count	gene_curies	gene_symbols
profile:9ffc923fd5db7351a2ed	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	title:singist an integrative method for comparative single cell transcriptomics between disease models and humans	biorxiv	dendritic cell	dendritic cell	5	ENSG00000110944 | ENSG00000112486 | ENSG00000182393 | ENSG00000271503 | ENSG00000276085	IL23A | CCR6 | IFNL1 | CCL5 | CCL3L1
profile:e0d49b0bd578680fdb5c	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	title:singist an integrative method for comparative single cell transcriptomics between disease models and humans	biorxiv	keratinocyte	keratinocyte	1	ENSG00000164056	SPRY1
profile:2322c45864cf54d05701	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	title:singist an integrative method for comparative single cell transcriptomics between disease models and humans	biorxiv	langerhans cell	Langerhans cell	6	ENSG00000110092 | ENSG00000110944 | ENSG00000118971 | ENSG00000162434 | ENSG00000164485 | ENSG00000166888	CCND1 | IL23A | CCND2 | JAK1 | IL22RA2 | STAT6
profile:3696564acbae54a8c688	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	title:singist an integrative method for comparative single cell transcriptomics between disease models and humans	biorxiv	lesional cell	lesional cell	1	ENSG00000271503	CCL5
profile:4d31c1756b8f2621335b	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	title:singist an integrative method for comparative single cell transcriptomics between disease models and humans	biorxiv	t cell	T-cell	1	ENSG00000196664	TLR7
profile:58bebf99b67a0b40348d	biorxiv:0900c414-6db3-1014-86e7-ea4583587c92	title:metastasis of colon cancer requires dickkopf 2 to generate cancer cells with paneth cell properties	biorxiv	lysozyme positive colon cancer cell	lysozyme-positive colon cancer cell	1	ENSG00000101076	HNF4A
profile:69fff863d64d8fd3d3e1	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	title:mesenchymal epithelial transition in lymph node metastases of oral squamous cell carcinoma is accompanied by zeb1 expression	biorxiv	oral squamous cell carcinoma cell	oral squamous cell carcinoma cell	1	ENSG00000039068	CDH1
profile:64ade895caa007c45db1	biorxiv:0c5b4463-70b4-1014-b7ae-f953f2710002	title:single cell proteomic analysis defines discrete neutrophil functional states in human glioblastoma	biorxiv	engaged neutrophil	engaged neutrophil	2	ENSG00000005381 | ENSG00000143546	MPO | S100A8
profile:d27955ed6b6afdcf4a73	biorxiv:0c5b4463-70b4-1014-b7ae-f953f2710002	title:single cell proteomic analysis defines discrete neutrophil functional states in human glioblastoma	biorxiv	exhausted neutrophil	exhausted neutrophil	3	ENSG00000059804 | ENSG00000100504 | ENSG00000128340	SLC2A3 | PYGL | RAC2
profile:e77a3e3b0f74ab9c1da4	biorxiv:0c5b4463-70b4-1014-b7ae-f953f2710002	title:single cell proteomic analysis defines discrete neutrophil functional states in human glioblastoma	biorxiv	immunosuppressive and angiogenic neutrophil	immunosuppressive and angiogenic neutrophil	2	ENSG00000100985 | ENSG00000118113	MMP9 | MMP8
profile:315a0e61ecc6f8e149e3	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	title:detailed survey of an in vitro intestinal epithelium model by single cell transcriptomics	biorxiv	immature fetal intestinal cell	immature fetal intestinal cell	1	ENSG00000102837	OLFM4
profile:513ff2e6cce3d620d65f	biorxiv:0ea346cb-7048-1014-a5d3-d23c8828e500	title:continuous dna methylation deconvolution based surrogate for b cell differentiation state in cll	biorxiv	b naive cell	B-naive cell	1	ENSG00000139193	CD27
profile:70dcf2e523366e900320	biorxiv:0ea346cb-7048-1014-a5d3-d23c8828e500	title:continuous dna methylation deconvolution based surrogate for b cell differentiation state in cll	biorxiv	chronic lymphocytic leukemia b cell	chronic lymphocytic leukemia B cell	5	ENSG00000116824 | ENSG00000124469 | ENSG00000149294 | ENSG00000170458 | ENSG00000259207	CD2 | CEACAM8 | NCAM1 | CD14 | CD61
profile:582e8c365f480f048054	biorxiv:11b72b7e-6c1b-1014-84e4-aaf6df161d14	title:donor monocyte derived macrophages promote human acute graft versus host disease	biorxiv	graft versus host disease related cd11c cd14 macrophage	graft versus host disease-related CD11c+CD14+ macrophage	1	ENSG00000158481	CD1C
profile:ce3cb193c49d59057465	biorxiv:11b72b7e-6c1b-1014-84e4-aaf6df161d14	title:donor monocyte derived macrophages promote human acute graft versus host disease	biorxiv	resident macrophage	resident macrophage	1	ENSG00000140678	ITGAX
profile:11698802eeba24aaf3c9	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed	title:multiscale networks in multiple sclerosis	biorxiv	b memory cell	B memory cell	2	ENSG00000004468 | ENSG00000170458	CD38 | CD14
profile:ef4e1b018df1a51adce8	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed	title:multiscale networks in multiple sclerosis	biorxiv	cd8 positive naive t cell	CD8-positive naive T cell	1	ENSG00000178562	CD28
profile:74a5ac843fdcd18c24d4	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed	title:multiscale networks in multiple sclerosis	biorxiv	cd8 positive regulatory t cell	CD8-positive regulatory T cell	1	ENSG00000178562	CD28
profile:7cfff546b1ecc96353f5	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed	title:multiscale networks in multiple sclerosis	biorxiv	classic t helper 1 cell	classic T helper 1 cell	2	ENSG00000111796 | ENSG00000112486	KLRB1 | CCR6
profile:3968ee98c9026a972f85	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed	title:multiscale networks in multiple sclerosis	biorxiv	effector natural killer cell	effector natural killer cell	1	ENSG00000170458	CD14
profile:515033a1b321127dda14	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed	title:multiscale networks in multiple sclerosis	biorxiv	mature b cell	mature B cell	1	ENSG00000170458	CD14
profile:c4d7265e80bec643c383	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed	title:multiscale networks in multiple sclerosis	biorxiv	natural killer cell	natural killer cell	1	ENSG00000170458	CD14
profile:34dcf400df930f36e2bb	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed	title:multiscale networks in multiple sclerosis	biorxiv	regulatory t cell	regulatory T cell	1	ENSG00000168685	IL7R
profile:cbcd6d427f9e159934cf	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed	title:multiscale networks in multiple sclerosis	biorxiv	t helper 17 cell	T helper 17 cell	1	ENSG00000112486	CCR6
profile:46e89f5ab98f65ec1aad	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed	title:multiscale networks in multiple sclerosis	biorxiv	th1 17 cell	Th1/17 cell	1	ENSG00000112486	CCR6
profile:c37e80edda6b44b51821	biorxiv:166eb232-7528-1014-af8e-ff8db1c08d2e	title:an integrated single cell atlas reveals hepatic stellate cell heterogeneity and spatiotemporal dynamics after liver injury	biorxiv	lx 2 hepatic stellate cell	LX-2 hepatic stellate cell	2	ENSG00000108821 | ENSG00000168542	COL1A1 | COL3A1
profile:8bb3781abbf8022cc014	biorxiv:1819420a-7028-1014-9d82-b8532c727b67	title:cross species consensus atlas of the primate basal ganglia	biorxiv	strd d2 striomat hybrid medium spiny neuron	STRd D2 StrioMat Hybrid medium spiny neuron	1	ENSG00000171509	RXFP1
profile:e70ba6d8b8d86e7e529d	biorxiv:1b938bfc-6db4-1014-bcdd-aff1924d9f72	title:primed smooth muscle cells acting as first responder cells in disease	biorxiv	vascular smooth muscle cell	vascular smooth muscle cell	1	ENSG00000133392	MYH11
profile:66d11336dc7430aa3ad2	biorxiv:1e0a6787-73c3-1014-991b-bc3d9c192616	title:single cell rna sequencing of peripheral blood defines two immunological subtypes of sjögren s disease	biorxiv	m1 monocyte	M1 monocyte	1	ENSG00000177575	CD163
profile:2f127a52779316bb2536	biorxiv:1e0a6787-73c3-1014-991b-bc3d9c192616	title:single cell rna sequencing of peripheral blood defines two immunological subtypes of sjögren s disease	biorxiv	transitional b cell	transitional B cell	1	ENSG00000139193	CD27
profile:a22beaa4d11c6fa1bacf	biorxiv:1e500b21-6c04-1014-adde-c104b14bbdad	title:the cd8 t cell landscape of human brain metastases	biorxiv	cd8 t cell cluster 4	CD8+ T cell cluster 4	2	ENSG00000081059 | ENSG00000168685	TCF7 | IL7R
profile:bfb02491d727af629f0b	biorxiv:1e500b21-6c04-1014-adde-c104b14bbdad	title:the cd8 t cell landscape of human brain metastases	biorxiv	cd8 t cell cluster 5	CD8+ T cell cluster 5	2	ENSG00000081059 | ENSG00000168685	TCF7 | IL7R
profile:5eecd9d0114b84c92c75	biorxiv:1e500b21-6c04-1014-adde-c104b14bbdad	title:the cd8 t cell landscape of human brain metastases	biorxiv	dividing cd8 t cell	dividing CD8+ T cell	2	ENSG00000081059 | ENSG00000168685	TCF7 | IL7R
profile:60382f0cbca6efa1765f	biorxiv:1e500b21-6c04-1014-adde-c104b14bbdad	title:the cd8 t cell landscape of human brain metastases	biorxiv	terminally differentiated cd8 t cell	terminally-differentiated CD8+ T cell	1	ENSG00000081059	TCF7
profile:43bf4d5a5a7a7cd289f3	biorxiv:1efd9fbe-6f02-1014-8df4-f37a8d806beb	title:single recipient cell tracking of tellurium labeled extracellular vesicle proteomes telev identifies ev driven immunomodulation	biorxiv	monocyte derived dendritic cell like cell	monocyte-derived dendritic cell-like cell	2	ENSG00000170458 | ENSG00000186810	CD14 | CXCR3
profile:56f9e3def3145a816135	biorxiv:1efd9fbe-6f02-1014-8df4-f37a8d806beb	title:single recipient cell tracking of tellurium labeled extracellular vesicle proteomes telev identifies ev driven immunomodulation	biorxiv	monocyte derived dendritic like cell	monocyte-derived dendritic-like cell	1	ENSG00000186810	CXCR3
profile:1d7a8869da0103582b86	biorxiv:20db10ff-6d71-1014-91a5-bffabd7bad90	title:ultraviolet light induced collagen degradation inhibits melanoma invasion	biorxiv	melanoma cell	melanoma cell	3	ENSG00000108821 | ENSG00000164692 | ENSG00000196611	COL1A1 | COL1A2 | MMP1
