papers_combined	labels	estimate	uncertainty_95_lower	uncertainty_95_upper	mean_shared_markers	mean_shared_markers_95_lower	mean_shared_markers_95_upper	bootstrap_replicates
1	27	1.0	1.0	1.0	4.490888888888889	3.7777777777777777	5.481481481481482	1000
2	27	0.5205185185185185	0.3333333333333333	0.7037037037037037	0.841925925925926	0.5185185185185185	1.2222222222222223	1000
3	27	0.272	0.1111111111111111	0.4444444444444444	0.36181481481481476	0.14814814814814814	0.6296296296296297	1000
4	27	0.16122222222222224	0.037037037037037035	0.3333333333333333	0.19718518518518516	0.037037037037037035	0.4074074074074074	1000
5	27	0.10022222222222221	0.0	0.2222222222222222	0.11692592592592592	0.0	0.26018518518518435	1000
6	27	0.06662962962962962	0.0	0.18518518518518517	0.07522222222222222	0.0	0.2222222222222222	1000
7	27	0.04485185185185185	0.0	0.14814814814814814	0.04937037037037037	0.0	0.14814814814814814	1000
8	27	0.031148148148148144	0.0	0.1111111111111111	0.03348148148148148	0.0	0.1111111111111111	1000
9	27	0.02051851851851852	0.0	0.07407407407407407	0.021407407407407406	0.0	0.07407407407407407	1000
10	27	0.01448148148148148	0.0	0.07407407407407407	0.01485185185185185	0.0	0.07407407407407407	1000
