replicate	papers_combined	fraction_labels_with_shared_marker	mean_shared_markers
0	1	1.0	3.7037037037037037
0	2	0.2962962962962963	0.3333333333333333
0	3	0.07407407407407407	0.07407407407407407
0	4	0.07407407407407407	0.07407407407407407
0	5	0.037037037037037035	0.037037037037037035
0	6	0.0	0.0
0	7	0.0	0.0
0	8	0.0	0.0
0	9	0.0	0.0
0	10	0.0	0.0
1	1	1.0	4.148148148148148
1	2	0.4074074074074074	0.5555555555555556
1	3	0.1111111111111111	0.14814814814814814
1	4	0.07407407407407407	0.1111111111111111
1	5	0.037037037037037035	0.037037037037037035
1	6	0.037037037037037035	0.037037037037037035
1	7	0.037037037037037035	0.037037037037037035
1	8	0.037037037037037035	0.037037037037037035
1	9	0.037037037037037035	0.037037037037037035
1	10	0.037037037037037035	0.037037037037037035
2	1	1.0	4.111111111111111
2	2	0.37037037037037035	0.6296296296296297
2	3	0.25925925925925924	0.2962962962962963
2	4	0.18518518518518517	0.2222222222222222
2	5	0.14814814814814814	0.14814814814814814
2	6	0.037037037037037035	0.037037037037037035
2	7	0.037037037037037035	0.037037037037037035
2	8	0.0	0.0
2	9	0.0	0.0
2	10	0.0	0.0
3	1	1.0	4.2592592592592595
3	2	0.5185185185185185	0.9259259259259259
3	3	0.2962962962962963	0.37037037037037035
3	4	0.1111111111111111	0.14814814814814814
3	5	0.07407407407407407	0.1111111111111111
3	6	0.037037037037037035	0.037037037037037035
3	7	0.037037037037037035	0.037037037037037035
3	8	0.037037037037037035	0.037037037037037035
3	9	0.037037037037037035	0.037037037037037035
3	10	0.0	0.0
4	1	1.0	4.481481481481482
4	2	0.48148148148148145	0.7407407407407407
4	3	0.2222222222222222	0.2962962962962963
4	4	0.1111111111111111	0.18518518518518517
4	5	0.1111111111111111	0.18518518518518517
4	6	0.07407407407407407	0.07407407407407407
4	7	0.037037037037037035	0.037037037037037035
4	8	0.037037037037037035	0.037037037037037035
4	9	0.037037037037037035	0.037037037037037035
4	10	0.037037037037037035	0.037037037037037035
5	1	1.0	5.074074074074074
5	2	0.6666666666666666	1.2592592592592593
5	3	0.5555555555555556	0.7037037037037037
5	4	0.4074074074074074	0.5185185185185185
5	5	0.3333333333333333	0.3333333333333333
5	6	0.25925925925925924	0.25925925925925924
5	7	0.07407407407407407	0.07407407407407407
5	8	0.07407407407407407	0.07407407407407407
5	9	0.037037037037037035	0.037037037037037035
5	10	0.037037037037037035	0.037037037037037035
6	1	1.0	4.555555555555555
6	2	0.5555555555555556	1.0
6	3	0.18518518518518517	0.2962962962962963
6	4	0.037037037037037035	0.037037037037037035
6	5	0.037037037037037035	0.037037037037037035
6	6	0.0	0.0
6	7	0.0	0.0
6	8	0.0	0.0
6	9	0.0	0.0
6	10	0.0	0.0
7	1	1.0	4.444444444444445
7	2	0.4074074074074074	0.7777777777777778
7	3	0.2962962962962963	0.37037037037037035
7	4	0.18518518518518517	0.18518518518518517
7	5	0.07407407407407407	0.07407407407407407
7	6	0.07407407407407407	0.07407407407407407
7	7	0.07407407407407407	0.07407407407407407
7	8	0.037037037037037035	0.037037037037037035
7	9	0.037037037037037035	0.037037037037037035
7	10	0.0	0.0
8	1	1.0	4.592592592592593
8	2	0.5925925925925926	0.7777777777777778
8	3	0.25925925925925924	0.3333333333333333
8	4	0.2222222222222222	0.25925925925925924
8	5	0.1111111111111111	0.14814814814814814
8	6	0.037037037037037035	0.037037037037037035
8	7	0.0	0.0
8	8	0.0	0.0
8	9	0.0	0.0
8	10	0.0	0.0
9	1	1.0	4.148148148148148
9	2	0.5185185185185185	0.8148148148148148
9	3	0.25925925925925924	0.37037037037037035
9	4	0.14814814814814814	0.2222222222222222
9	5	0.14814814814814814	0.2222222222222222
9	6	0.1111111111111111	0.14814814814814814
9	7	0.1111111111111111	0.14814814814814814
