profile_id	paper_key	article_key	collection	target_key	target_label	marker_count	gene_curies	gene_symbols
profile:b77a46c77d71ec6df594	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	title:singist an integrative method for comparative single cell transcriptomics between disease models and humans	biorxiv	CL:0000084	T-cell	7	ENSG00000027697 | ENSG00000104432 | ENSG00000111536 | ENSG00000113525 | ENSG00000134460 | ENSG00000164400 | ENSG00000169194	IFNGR1 | IL7 | IL26 | IL5 | IL2RA | CSF2 | IL13
profile:d3fdef74971ca532bbd1	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	title:singist an integrative method for comparative single cell transcriptomics between disease models and humans	biorxiv	CL:0000148	melanocyte	8	ENSG00000105383 | ENSG00000110092 | ENSG00000110324 | ENSG00000112576 | ENSG00000136634 | ENSG00000140678 | ENSG00000159128 | ENSG00000173762	CD33 | CCND1 | IL10RA | CCND3 | IL10 | ITGAX | IFNGR2 | CD7
profile:8a5002c857e2c32af9af	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	title:singist an integrative method for comparative single cell transcriptomics between disease models and humans	biorxiv	CL:0000312	keratinocyte	5	ENSG00000108688 | ENSG00000115009 | ENSG00000121807 | ENSG00000134470 | ENSG00000164136	CCL7 | CCL20 | CCR2 | IL15RA | IL15
profile:1004b66546938ded0da2	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	title:singist an integrative method for comparative single cell transcriptomics between disease models and humans	biorxiv	CL:0000451	dendritic cell	5	ENSG00000099985 | ENSG00000157873 | ENSG00000166068 | ENSG00000181374 | ENSG00000185338	OSM | TNFRSF14 | SPRED1 | CCL13 | SOCS1
profile:3040c31e5de471ad7c4c	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	title:singist an integrative method for comparative single cell transcriptomics between disease models and humans	biorxiv	CL:0000453	Langerhans cell	3	ENSG00000102970 | ENSG00000121966 | ENSG00000163823	CCL17 | CXCR4 | CCR1
profile:ab92319515561bf208ac	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	title:deciphering tumor microenvironment dynamics in tumorigenesis and lymph node metastasis of esophageal squamous cell carcinoma using single cell rna sequencing	biorxiv	CL:0000097	mast cell	3	ENSG00000157404 | ENSG00000172236 | ENSG00000197253	KIT | TPSAB1 | TPSB2
profile:706f99327c0ad4725be0	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	title:deciphering tumor microenvironment dynamics in tumorigenesis and lymph node metastasis of esophageal squamous cell carcinoma using single cell rna sequencing	biorxiv	CL:0000192	smooth muscle cell	3	ENSG00000101335 | ENSG00000130176 | ENSG00000133392	MYL9 | CNN1 | MYH11
profile:8d15807a0416a3f7482e	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	title:deciphering tumor microenvironment dynamics in tumorigenesis and lymph node metastasis of esophageal squamous cell carcinoma using single cell rna sequencing	biorxiv	CL:0000786	plasma cell	3	ENSG00000132465 | ENSG00000170476 | ENSG00000211892	JCHAIN | MZB1 | IGHG4
profile:d9c76e7db5631bacad98	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	title:integrative omics analysis reveals gene regulatory mechanisms distinguishing organoid derived hepatocytes from primary human hepatocytes	biorxiv	CL:0000182	hepatocyte	4	ENSG00000135821 | ENSG00000145321 | ENSG00000160868 | ENSG00000163631	GLUL | GC | CYP3A4 | ALB
profile:9efe73f1cb2d2e52ad32	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	title:integrative omics analysis reveals gene regulatory mechanisms distinguishing organoid derived hepatocytes from primary human hepatocytes	biorxiv	CL:0019026	periportal hepatocyte	4	ENSG00000130707 | ENSG00000135094 | ENSG00000136872 | ENSG00000163631	ASS1 | SDS | ALDOB | ALB
profile:7f5ea5f2ffa070e4bbca	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	title:integrative omics analysis reveals gene regulatory mechanisms distinguishing organoid derived hepatocytes from primary human hepatocytes	biorxiv	CL:1000488	cholangiocyte	6	ENSG00000117983 | ENSG00000119888 | ENSG00000135480 | ENSG00000160180 | ENSG00000160182 | ENSG00000171345	MUC5B | EPCAM | KRT7 | TFF3 | TFF1 | KRT19
profile:275c68fdb726b658e467	biorxiv:0c7fdd53-755f-1014-abd5-c154158d9e44	title:engineering fluorescent reporters in human pluripotent cells and strategies for live imaging human neurogenesis	biorxiv	CL:0002248	pluripotent stem cell	3	ENSG00000111704 | ENSG00000181449 | ENSG00000204531	NANOG | SOX2 | POU5F1
profile:428ec23b71d0f2caf663	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	title:detailed survey of an in vitro intestinal epithelium model by single cell transcriptomics	biorxiv	CL:0000160	goblet cell	5	ENSG00000064651 | ENSG00000124664 | ENSG00000160180 | ENSG00000198788 | ENSG00000275395	SLC12A2 | SPDEF | TFF3 | MUC2 | FCGBP
profile:02880f25916ab737ce6d	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	title:detailed survey of an in vitro intestinal epithelium model by single cell transcriptomics	biorxiv	CL:0000164	enteroendocrine cell	4	ENSG00000089199 | ENSG00000100604 | ENSG00000106331 | ENSG00000173404	CHGB | CHGA | PAX4 | INSM1
profile:aeed68fcf3dea4a9dbed	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	title:detailed survey of an in vitro intestinal epithelium model by single cell transcriptomics	biorxiv	CL:0000510	Paneth cell	6	ENSG00000090382 | ENSG00000158764 | ENSG00000164816 | ENSG00000164821 | ENSG00000188257 | ENSG00000275896	LYZ | ITLN2 | DEFA5 | DEFA4 | PLA2G2A | PRSS2
profile:0b6930963efb0184da5c	biorxiv:0e94bf21-6c7c-1014-b6a7-bcc9b09c8181	title:detailed survey of an in vitro intestinal epithelium model by single cell transcriptomics	biorxiv	CL:0000584	enterocyte	3	ENSG00000110244 | ENSG00000145384 | ENSG00000166825	APOA4 | FABP2 | ANPEP
profile:c8c7568534ab6a26882d	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	title:single cell proteomics of pancreatic islet cells reveals type 1 diabetes and donor specific features	biorxiv	CL:0000622	acinar cell	3	ENSG00000091704 | ENSG00000142789 | ENSG00000168928	CPA1 | CELA3A | CTRB2
profile:a44cc524def93e8e1eea	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed	title:multiscale networks in multiple sclerosis	biorxiv	CL:0000785	mature B cell	3	ENSG00000004468 | ENSG00000177455 | ENSG00000272398	CD38 | CD19 | CD24
profile:945359c5dbb34ac2d49f	biorxiv:1219c420-6c6a-1014-afb9-e13c88e111ed	title:multiscale networks in multiple sclerosis	biorxiv	CL:0000969	regulatory B cell	3	ENSG00000004468 | ENSG00000177455 | ENSG00000272398	CD38 | CD19 | CD24
profile:38106243ae33fd9bee0a	biorxiv:166eb232-7528-1014-af8e-ff8db1c08d2e	title:an integrated single cell atlas reveals hepatic stellate cell heterogeneity and spatiotemporal dynamics after liver injury	biorxiv	CL:0000632	hepatic stellate cell	3	ENSG00000011028 | ENSG00000141510 | ENSG00000184937	MRC2 | TP53 | WT1
profile:c4ecc1b329cab11ad6f0	biorxiv:1819420a-7028-1014-9d82-b8532c727b67	title:cross species consensus atlas of the primate basal ganglia	biorxiv	CL:0000700	dopaminergic neuron	3	ENSG00000122691 | ENSG00000163064 | ENSG00000184486	TWIST1 | EN1 | POU3F2
profile:ccf71120baecdc8b46bc	biorxiv:1819420a-7028-1014-9d82-b8532c727b67	title:cross species consensus atlas of the primate basal ganglia	biorxiv	CL:4030057	eccentric medium spiny neuron	3	ENSG00000077092 | ENSG00000171509 | ENSG00000185668	RARB | RXFP1 | POU3F1
profile:678a7d0db8f9b5914011	biorxiv:1b938bfc-6db4-1014-bcdd-aff1924d9f72	title:primed smooth muscle cells acting as first responder cells in disease	biorxiv	CL:0000359	vascular smooth muscle cell	12	ENSG00000107562 | ENSG00000107796 | ENSG00000111341 | ENSG00000118526 | ENSG00000119681 | ENSG00000130176 | ENSG00000133392 | ENSG00000136378 | ENSG00000139329 | ENSG00000144810 | ENSG00000163520 | ENSG00000166033	CXCL12 | ACTA2 | MGP | TCF21 | LTBP2 | CNN1 | MYH11 | ADAMTS7 | LUM | COL8A1 | FBLN2 | HTRA1
profile:18450b4b55a3cf481797	biorxiv:1d26f338-6e4a-1014-b712-c54808557510	title:brg1 establishes the neuroectodermal chromatin landscape to restrict dorsal cell fates	biorxiv	CL:0000064	ciliated cell	3	ENSG00000152669 | ENSG00000160188 | ENSG00000164287	CCNO | RSPH1 | CDC20B
profile:b3a24d4a6ae5554542e3	biorxiv:1e0a6787-73c3-1014-991b-bc3d9c192616	title:single cell rna sequencing of peripheral blood defines two immunological subtypes of sjögren s disease	biorxiv	CL:0000818	transitional B cell	4	ENSG00000004468 | ENSG00000128218 | ENSG00000211898 | ENSG00000272398	CD38 | VPREB3 | IGHD | CD24
profile:fe881ca6912fecdd7e5e	biorxiv:1efd9fbe-6f02-1014-8df4-f37a8d806beb	title:single recipient cell tracking of tellurium labeled extracellular vesicle proteomes telev identifies ev driven immunomodulation	biorxiv	CL:0000576	monocyte	4	ENSG00000120217 | ENSG00000168685 | ENSG00000171791 | ENSG00000185291	CD274 | IL7R | BCL-2 | IL3RA
profile:45685bcc1be6dfa1f355	biorxiv:1efd9fbe-6f02-1014-8df4-f37a8d806beb	title:single recipient cell tracking of tellurium labeled extracellular vesicle proteomes telev identifies ev driven immunomodulation	biorxiv	CL:0000782	myeloid dendritic cell	4	ENSG00000120217 | ENSG00000168685 | ENSG00000171791 | ENSG00000185291	CD274 | IL7R | BCL-2 | IL3RA
profile:0df92857de03fadb5a1e	biorxiv:1efd9fbe-6f02-1014-8df4-f37a8d806beb	title:single recipient cell tracking of tellurium labeled extracellular vesicle proteomes telev identifies ev driven immunomodulation	biorxiv	CL:0000784	plasmacytoid dendritic cell	3	ENSG00000120217 | ENSG00000171791 | ENSG00000185291	CD274 | BCL-2 | IL3RA
profile:8a625c3ffb13cf24f76f	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	title:accurate highly variable gene selection using recode in scrna seq data analysis	biorxiv	CL:0000623	natural killer cell	3	ENSG00000105374 | ENSG00000111796 | ENSG00000115523	NKG7 | KLRB1 | GNLY
profile:dad4e5cef0740e905dab	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	title:single cell atlas of tumor clonal evolution in liver cancer	biorxiv	CL:0000084	T cell	3	ENSG00000160654 | ENSG00000167286 | ENSG00000198851	CD3G | CD3D | CD3E
