paper_key	paper_id	collection	organism	source_sha256	manuscript	title	title_key	article_key
biorxiv:001efeeb-7491-1014-a82f-ef19de5990ad	001efeeb-7491-1014-a82f-ef19de5990ad	biorxiv	homo_sapiens	sha256:ca85eb1b5002d3d2cae46033f9274566f85fae1bcfbac0441c24719aed583fa1	data/biorxiv/meca/001efeeb-7491-1014-a82f-ef19de5990ad/manuscript.md	Integrative Multi-Omic Profiling of the Human Phosphatome Identifies DUSP15 as a Tumour-Selective Regulator of Immune-Metabolic Reprogramming in Chromophobe Renal Cell Carcinoma	integrative multi omic profiling of the human phosphatome identifies dusp15 as a tumour selective regulator of immune metabolic reprogramming in chromophobe renal cell carcinoma	title:integrative multi omic profiling of the human phosphatome identifies dusp15 as a tumour selective regulator of immune metabolic reprogramming in chromophobe renal cell carcinoma
biorxiv:00f35402-6c29-1014-b443-c03ca585b6ab	00f35402-6c29-1014-b443-c03ca585b6ab	biorxiv	homo_sapiens	sha256:5cf5ea1f6a98e01f893ba6041f376f06732efeff44292d3f22ed19132f7ca148	data/biorxiv/meca/00f35402-6c29-1014-b443-c03ca585b6ab/manuscript.md	Label-free imaging flow cytometry: analysis and sorting of enzymatically dissociated tissues	label free imaging flow cytometry analysis and sorting of enzymatically dissociated tissues	title:label free imaging flow cytometry analysis and sorting of enzymatically dissociated tissues
biorxiv:0136dd0f-6c39-1014-a9ca-cd3ee66443fe	0136dd0f-6c39-1014-a9ca-cd3ee66443fe	biorxiv	homo_sapiens	sha256:d8f059cd91280459c6af3f1f9b6f4d59846dfc0816192078dc1c0a31a0e381c4	data/biorxiv/meca/0136dd0f-6c39-1014-a9ca-cd3ee66443fe/manuscript.md	CRISPR/Cas-9 mediated knock-in by homology dependent repair in the West Nile Virus vector Culex quinquefasciatus Say	crispr cas 9 mediated knock in by homology dependent repair in the west nile virus vector culex quinquefasciatus say	title:crispr cas 9 mediated knock in by homology dependent repair in the west nile virus vector culex quinquefasciatus say
biorxiv:013a7c23-7117-1014-9b42-823175dea768	013a7c23-7117-1014-9b42-823175dea768	biorxiv	homo_sapiens	sha256:76e8c66372aad5c632c041de5863a0e822dd61c52e839188af57cd8d751e25a4	data/biorxiv/meca/013a7c23-7117-1014-9b42-823175dea768/manuscript.md	A genome-wide, machine learning-guided exploration of the cis-regulatory code involved in neuronal differentiation	a genome wide machine learning guided exploration of the cis regulatory code involved in neuronal differentiation	title:a genome wide machine learning guided exploration of the cis regulatory code involved in neuronal differentiation
biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	01e5e65d-751c-1014-a8e3-b5f1d7a951ab	biorxiv	homo_sapiens	sha256:c398b63e7c4066e21d94b56bb8d34edf5e25d38a1278363a860b9842261b3540	data/biorxiv/meca/01e5e65d-751c-1014-a8e3-b5f1d7a951ab/manuscript.md	singIST: an integrative method for comparative single-cell transcriptomics between disease models and humans	singist an integrative method for comparative single cell transcriptomics between disease models and humans	title:singist an integrative method for comparative single cell transcriptomics between disease models and humans
biorxiv:02107348-6c12-1014-a284-d4a1f7037327	02107348-6c12-1014-a284-d4a1f7037327	biorxiv	homo_sapiens	sha256:f7182bb3359a70884f490eeae30b0a66b5c7bfbd308afa162064c5f988100569	data/biorxiv/meca/02107348-6c12-1014-a284-d4a1f7037327/manuscript.md	Single-cell DNA and RNA sequencing reveals the dynamics of intra-tumor heterogeneity in a colorectal cancer model	single cell dna and rna sequencing reveals the dynamics of intra tumor heterogeneity in a colorectal cancer model	title:single cell dna and rna sequencing reveals the dynamics of intra tumor heterogeneity in a colorectal cancer model
biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv	homo_sapiens	sha256:b5e2c3bf2ee54fece3e810b00c20b43fa168866b6d713f8200a75cbff06ed3e6	data/biorxiv/meca/03092aac-75a4-1014-b9cc-d44d468fbd97/manuscript.md	Deciphering Tumor Microenvironment Dynamics in Tumorigenesis and Lymph Node Metastasis of Esophageal Squamous Cell Carcinoma using Single-cell RNA Sequencing	deciphering tumor microenvironment dynamics in tumorigenesis and lymph node metastasis of esophageal squamous cell carcinoma using single cell rna sequencing	title:deciphering tumor microenvironment dynamics in tumorigenesis and lymph node metastasis of esophageal squamous cell carcinoma using single cell rna sequencing
biorxiv:03a1691c-70ce-1014-bf1a-b6bd63c41968	03a1691c-70ce-1014-bf1a-b6bd63c41968	biorxiv	homo_sapiens	sha256:39defc9ef679ba0f7f5d9c1c256721aabf4e7d1858ceed2d88962df7f8a234e3	data/biorxiv/meca/03a1691c-70ce-1014-bf1a-b6bd63c41968/manuscript.md	A single-cell immune atlas of primary and secondary lymphoid organs in pigs	a single cell immune atlas of primary and secondary lymphoid organs in pigs	title:a single cell immune atlas of primary and secondary lymphoid organs in pigs
biorxiv:03bcb34d-755c-1014-ade5-9b7bdb3d9312	03bcb34d-755c-1014-ade5-9b7bdb3d9312	biorxiv	homo_sapiens	sha256:8dadab1bd121142d632341cfed9befa5dd6265b4a3967284740eeeb8ed9bb15b	data/biorxiv/meca/03bcb34d-755c-1014-ade5-9b7bdb3d9312/manuscript.md	Optical tissue clearing and 3D imaging of intact primate testicular tissue: a novel technology development	optical tissue clearing and 3d imaging of intact primate testicular tissue a novel technology development	title:optical tissue clearing and 3d imaging of intact primate testicular tissue a novel technology development
biorxiv:0517eca3-71a7-1014-8287-ebb9aa6433a6	0517eca3-71a7-1014-8287-ebb9aa6433a6	biorxiv	homo_sapiens	sha256:04c17c88895f25504776a0ec88fc4548a07afd8580b9fc84b61a43b35438cb1c	data/biorxiv/meca/0517eca3-71a7-1014-8287-ebb9aa6433a6/manuscript.md	Network Analysis and Transcriptome Profiling Identify Autophagic and Mitochondrial Dysfunctions in SARS-CoV-2 Infection	network analysis and transcriptome profiling identify autophagic and mitochondrial dysfunctions in sars cov 2 infection	title:network analysis and transcriptome profiling identify autophagic and mitochondrial dysfunctions in sars cov 2 infection
