profile_id	paper_key	target_key	target_label	marker_count	local_comparison_profiles	reported_panel_exclusivity	global_same_label_profiles	global_marker_recovery
profile:f80cbc1d2f6067ff05f2	biorxiv:001efeeb-7491-1014-a82f-ef19de5990ad	regenerative epithelial cell	regenerative epithelial cell	9	0		0	
profile:9ffc923fd5db7351a2ed	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	dendritic cell	dendritic cell	5	5	1.0	11	0.0
profile:e0d49b0bd578680fdb5c	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	keratinocyte	keratinocyte	5	5	1.0	2	0.0
profile:2322c45864cf54d05701	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	langerhans cell	Langerhans cell	3	5	1.0	3	0.0
profile:a814f33d334cd3757590	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	melanocyte	melanocyte	8	5	1.0	9	0.0
profile:4d31c1756b8f2621335b	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	t cell	T-cell	7	5	1.0	36	0.0
profile:4555739d8091054bec09	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	cd4 tissue resident memory t cell	CD4+ tissue resident memory T cell	3	39	1.0	1	0.6666666666666666
profile:c42144834effd7efd442	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	cd8 exhausted t cell	CD8+ exhausted T cell	3	39	0.6666666666666666	0	
profile:47c040c556d80d276df6	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	cd8 proliferating exhausted t cell	CD8+ proliferating exhausted T cell	3	39	0.0	0	
profile:76672a3f37b57a11dd4c	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	germinal center light zone b cell	germinal center light-zone B cell	3	39	1.0	0	
profile:5d2afbc8599d38de354f	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	inflammatory cancer associated fibroblast	inflammatory cancer-associated fibroblast	3	39	0.6666666666666666	4	0.25
profile:6539bdb1505a405da912	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	mast cell	mast cell	3	39	1.0	19	0.49122807017543857
profile:96264011b2d575f70c18	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	myofibroblast like cancer associated fibroblast	myofibroblast-like cancer-associated fibroblast	3	39	0.6666666666666666	0	
profile:3dba2e2212b90833cb8f	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	plasma cell	plasma cell	3	39	1.0	22	0.19696969696969693
profile:f4a94ee37586f6a20fc1	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	smooth muscle cell	smooth muscle cell	3	39	1.0	24	0.3333333333333333
profile:ea8fd50e4efd57c641ee	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	stard13 positive macrophage	STARD13-positive macrophage	3	39	1.0	0	
profile:f3be52c30781e621b71e	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	trem2high macrophage	TREM2high macrophage	3	39	0.3333333333333333	0	
profile:988c71bf592be319ea54	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	trem2low macrophage	TREM2low macrophage	3	39	0.3333333333333333	0	
profile:70e158b1f3e271464114	biorxiv:0900c414-6db3-1014-86e7-ea4583587c92	lysozyme positive cancer cell	lysozyme-positive cancer cell	3	1	1.0	0	
profile:fae519a9acf78194cc80	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	cholangiocyte	cholangiocyte	6	8	1.0	3	0.3333333333333333
profile:91251da6e98a98ac114a	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	endothelial epithelial and immune cell	endothelial/epithelial and immune cell	4	8	1.0	0	
profile:65027f73e3d0d8b5ba60	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	hepatocyte	hepatocyte	4	8	0.25	3	0.3333333333333333
profile:161283a5f818b3d36e4e	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	pericentral hepatocyte	pericentral hepatocyte	3	8	0.3333333333333333	1	0.6666666666666666
profile:aa31934cd033aa9e54a1	biorxiv:09d40fbc-6c3d-1014-b39f-eee50a07ad3b	periportal hepatocyte	periportal hepatocyte	4	8	0.75	1	0.0
profile:cba6e5943e5015227feb	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	epithelial differentiated 4 oral squamous cell carcinoma cell	epithelial differentiated 4 oral squamous cell carcinoma cell	4	11	1.0	0	
profile:b146b2adba44b2b26a66	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	epithelial differentiated oral squamous cell carcinoma cell	epithelial differentiated oral squamous cell carcinoma cell	6	11	0.8333333333333334	0	
profile:07b6c4f83434eabde37b	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	immune regulatory oral squamous cell carcinoma cell	immune-regulatory oral squamous cell carcinoma cell	5	11	1.0	0	
profile:4463e0c18e67b72bdad0	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	metabolic oral squamous cell carcinoma cell	metabolic oral squamous cell carcinoma cell	3	11	1.0	0	
profile:69fff863d64d8fd3d3e1	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	oral squamous cell carcinoma cell	oral squamous cell carcinoma cell	6	11	1.0	0	
profile:394e7aa3351cf92f1695	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	partial epithelial mesenchymal transition 1 oral squamous cell carcinoma cell	partial epithelial-mesenchymal transition 1 oral squamous cell carcinoma cell	3	11	1.0	0	
profile:e77a3e3b0f74ab9c1da4	biorxiv:0c5b4463-70b4-1014-b7ae-f953f2710002	immunosuppressive and angiogenic neutrophil	immunosuppressive and angiogenic neutrophil	7	4	1.0	0	
