pair_id	target_key	target_label	target_label_a	target_label_b	profile_a	profile_b	paper_a	paper_b	collection_pair	markers_a	markers_b	shared_markers	union_markers	any_shared_marker	marker_jaccard	recovery_a_from_b	recovery_b_from_a	mean_directional_recovery	context_a	context_b	context_jaccard
pair:60ed950d9f5f613c53cd	aberrant basaloid cell	aberrant basaloid cell	aberrant basaloid cell	aberrant basaloid cell	profile:6d492b941e32c50b4819	profile:f3c505fe6405ee28ff58	hca:0358_10.1126_sciadv.aba1983_17b603cdcb	hca:0359_10.1101_759902_400af2c5fc	hca-hca	19	19	19	19	1	1.0	1.0	1.0	1.0	6	6	0.7142857142857143
pair:898dd7b3cbb44ea5f2bb	acinar cell	acinar cell	acinar cell	acinar cell	profile:bae5a3617c52f27258f1	profile:e683c0c5c436f0d46a6b	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:3491a20c-6c0b-1014-8496-82b032785c2c	biorxiv-biorxiv	3	12	3	12	1	0.25	1.0	0.25	0.625	6	6	0.5
pair:a1c7556504fa8aacb2a5	acinar cell	acinar cell	acinar cell	acinar cell	profile:bae5a3617c52f27258f1	profile:87adb1b9a03b7425d7e1	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	biorxiv:bb90a40e-70a1-1014-887a-db6e99ca95cb	biorxiv-biorxiv	3	4	0	7	0	0.0	0.0	0.0	0.0	6	13	0.11764705882352941
pair:ca8c3deb90add2d70a7f	acinar cell	acinar cell	acinar cell	acinar cell	profile:bae5a3617c52f27258f1	profile:c3236fee27bdc0536595	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	hca:0008_10.1016_j.cels.2016.09.002_fd6b21337a	biorxiv-hca	3	4	0	7	0	0.0	0.0	0.0	0.0	6	6	0.5
pair:d0fdec5055e73a7f3f69	acinar cell	acinar cell	acinar cell	acinar cell	profile:bae5a3617c52f27258f1	profile:c7dac544fc2ba4f8268e	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	hca:0164_10.1177_00220345221147908_13bf485ac8	biorxiv-hca	3	5	0	8	0	0.0	0.0	0.0	0.0	6	12	0.058823529411764705
pair:dc7322884d92c76d54d6	acinar cell	acinar cell	acinar cell	acinar cell	profile:bae5a3617c52f27258f1	profile:472f24ddc341ddc6a58d	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	hca:0427_10.7150_ijbs.58886_44183be8e8	biorxiv-hca	3	4	1	6	1	0.16666666666666666	0.3333333333333333	0.25	0.29166666666666663	6	14	0.05263157894736842
pair:9afa32a23abda012c90b	acinar cell	acinar cell	acinar cell	acinar cell	profile:bae5a3617c52f27258f1	profile:b93203f220d12faa0d3c	biorxiv:10f6f17d-749e-1014-bdcf-fe1d1407f022	hca:0433_10.15252_embr.201540946_1830154973	biorxiv-hca	3	6	1	8	1	0.125	0.3333333333333333	0.16666666666666666	0.25	6	8	0.5555555555555556
pair:6371f1aec4179c90f033	acinar cell	acinar cell	acinar cell	acinar cell	profile:e683c0c5c436f0d46a6b	profile:87adb1b9a03b7425d7e1	biorxiv:3491a20c-6c0b-1014-8496-82b032785c2c	biorxiv:bb90a40e-70a1-1014-887a-db6e99ca95cb	biorxiv-biorxiv	12	4	0	16	0	0.0	0.0	0.0	0.0	6	13	0.11764705882352941
pair:12358757275e0ad98c93	acinar cell	acinar cell	acinar cell	acinar cell	profile:e683c0c5c436f0d46a6b	profile:c3236fee27bdc0536595	biorxiv:3491a20c-6c0b-1014-8496-82b032785c2c	hca:0008_10.1016_j.cels.2016.09.002_fd6b21337a	biorxiv-hca	12	4	2	14	1	0.14285714285714285	0.16666666666666666	0.5	0.3333333333333333	6	6	0.7142857142857143
pair:75a6d371597e4c40db60	acinar cell	acinar cell	acinar cell	acinar cell	profile:e683c0c5c436f0d46a6b	profile:c7dac544fc2ba4f8268e	biorxiv:3491a20c-6c0b-1014-8496-82b032785c2c	hca:0164_10.1177_00220345221147908_13bf485ac8	biorxiv-hca	12	5	0	17	0	0.0	0.0	0.0	0.0	6	12	0.058823529411764705
