pair_id	target_key	target_label	target_label_a	target_label_b	profile_a	profile_b	paper_a	paper_b	collection_pair	markers_a	markers_b	shared_markers	union_markers	any_shared_marker	marker_jaccard	recovery_a_from_b	recovery_b_from_a	mean_directional_recovery	context_a	context_b	context_jaccard
pair:4bf05e13ae36d4ad1122	CL:0000031	neuroblast	neuroblast	neuroblast	profile:f9cc867380c0a76ad3b5	profile:e8b1aaea4509d1ad1ed7	biorxiv:f29672cc-6d87-1014-b915-87fbd4bb053f	hca:0249_10.1038_s41588-021-00801-6_bd85f761cf	biorxiv-hca	3	3	3	3	1	1.0	1.0	1.0	1.0	2	1	0.5
pair:96094526f1acae114f49	CL:0000031	neuroblast	neuroblast	neuroblast	profile:f9cc867380c0a76ad3b5	profile:3ac455d746cf3008495c	biorxiv:f29672cc-6d87-1014-b915-87fbd4bb053f	hca:0419_10.1038_s41588-021-00806-1_d66603cd99	biorxiv-hca	3	12	0	15	0	0.0	0.0	0.0	0.0	2	3	0.0
pair:16134f5ca22da48e8d8c	CL:0000031	neuroblast	neuroblast	neuroblast	profile:e8b1aaea4509d1ad1ed7	profile:3ac455d746cf3008495c	hca:0249_10.1038_s41588-021-00801-6_bd85f761cf	hca:0419_10.1038_s41588-021-00806-1_d66603cd99	hca-hca	3	12	0	15	0	0.0	0.0	0.0	0.0	1	3	0.0
pair:e2b737c80d4292196bf9	CL:0000034	stem cell	stem cell	stem cell	profile:22f0c18b476d0f87be2b	profile:bd22de6e8c494367ff19	biorxiv:8bff4e38-6c13-1014-bcce-e068e3eafd28	hca:0302_10.1016_j.isci.2022.104772_3e028c0be0	biorxiv-hca	4	3	0	7	0	0.0	0.0	0.0	0.0	3	5	0.0
pair:fd99af864c8ac02d73b0	CL:0000034	stem cell	stem cell	stem cell	profile:22f0c18b476d0f87be2b	profile:3776ed1fd7010191956f	biorxiv:8bff4e38-6c13-1014-bcce-e068e3eafd28	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446	biorxiv-hca	4	5	4	5	1	0.8	1.0	0.8	0.9	3	22	0.13636363636363635
pair:6c2a6953e30385de7327	CL:0000034	stem cell	stem cell	stem cell	profile:bd22de6e8c494367ff19	profile:3776ed1fd7010191956f	hca:0302_10.1016_j.isci.2022.104772_3e028c0be0	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446	hca-hca	3	5	0	8	0	0.0	0.0	0.0	0.0	5	22	0.125
pair:4a182b851a48f1ed98be	CL:0000037	hematopoietic stem cell	hematopoietic stem cell	hematopoietic stem cell	profile:0329400dc774f1902bbc	profile:1515041c38f34b869189	biorxiv:35208be1-70ce-1014-9f75-f7d24dac9096	biorxiv:dd32f357-70c5-1014-bad0-ccf1b5b647f4	biorxiv-biorxiv	7	3	0	10	0	0.0	0.0	0.0	0.0	1	1	0.0
pair:8725aad2099ca1921f3b	CL:0000037	hematopoietic stem cell	hematopoietic stem cell	hematopoietic stem cell	profile:0329400dc774f1902bbc	profile:39ba3590d0111ded3e89	biorxiv:35208be1-70ce-1014-9f75-f7d24dac9096	biorxiv:f1a588ac-746e-1014-a4d0-f5cc921ee68b	biorxiv-biorxiv	7	3	1	9	1	0.1111111111111111	0.14285714285714285	0.3333333333333333	0.23809523809523808	1	0	0.0
pair:6cae53969495d1db4c8e	CL:0000037	hematopoietic stem cell	hematopoietic stem cell	hematopoietic stem cell	profile:0329400dc774f1902bbc	profile:baa5dfb7688fa48b7f57	biorxiv:35208be1-70ce-1014-9f75-f7d24dac9096	hca:0212_10.1038_s41586-022-04571-x_30a05d7904	biorxiv-hca	7	21	4	24	1	0.16666666666666666	0.5714285714285714	0.19047619047619047	0.38095238095238093	1	1	0.0
pair:d243f8981cbbdcc19b29	CL:0000037	hematopoietic stem cell	hematopoietic stem cell	hematopoietic stem cell	profile:0329400dc774f1902bbc	profile:63b087b11e619cbe83ab	biorxiv:35208be1-70ce-1014-9f75-f7d24dac9096	hca:0331_10.3389_fdmed.2021.806294_aea78ef1b6	biorxiv-hca	7	5	1	11	1	0.09090909090909091	0.14285714285714285	0.2	0.17142857142857143	1	9	0.0
pair:eb60b14498e3929ae195	CL:0000037	hematopoietic stem cell	hematopoietic stem cell	hematopoietic stem cell	profile:0329400dc774f1902bbc	profile:32af726ac721c1f3b02d	biorxiv:35208be1-70ce-1014-9f75-f7d24dac9096	hca:0376_10.1038_s41590-017-0001-2_5fb0775c07	biorxiv-hca	7	3	2	8	1	0.25	0.2857142857142857	0.6666666666666666	0.47619047619047616	1	2	0.0
pair:bfe2ea2beef480832abc	CL:0000037	hematopoietic stem cell	hematopoietic stem cell	hematopoietic stem cell	profile:1515041c38f34b869189	profile:39ba3590d0111ded3e89	biorxiv:dd32f357-70c5-1014-bad0-ccf1b5b647f4	biorxiv:f1a588ac-746e-1014-a4d0-f5cc921ee68b	biorxiv-biorxiv	3	3	1	5	1	0.2	0.3333333333333333	0.3333333333333333	0.3333333333333333	1	0	0.0
pair:1507fbb89049a18ca19e	CL:0000037	hematopoietic stem cell	hematopoietic stem cell	hematopoietic stem cell	profile:1515041c38f34b869189	profile:baa5dfb7688fa48b7f57	biorxiv:dd32f357-70c5-1014-bad0-ccf1b5b647f4	hca:0212_10.1038_s41586-022-04571-x_30a05d7904	biorxiv-hca	3	21	0	24	0	0.0	0.0	0.0	0.0	1	1	0.0
pair:2082a725ce9e7efaaa75	CL:0000037	hematopoietic stem cell	hematopoietic stem cell	hematopoietic stem cell	profile:1515041c38f34b869189	profile:63b087b11e619cbe83ab	biorxiv:dd32f357-70c5-1014-bad0-ccf1b5b647f4	hca:0331_10.3389_fdmed.2021.806294_aea78ef1b6	biorxiv-hca	3	5	0	8	0	0.0	0.0	0.0	0.0	1	9	0.0
pair:540d99b1ea5ed0f52824	CL:0000037	hematopoietic stem cell	hematopoietic stem cell	hematopoietic stem cell	profile:1515041c38f34b869189	profile:32af726ac721c1f3b02d	biorxiv:dd32f357-70c5-1014-bad0-ccf1b5b647f4	hca:0376_10.1038_s41590-017-0001-2_5fb0775c07	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	1	2	0.0
pair:4f8164d605076f8544b3	CL:0000037	hematopoietic stem cell	hematopoietic stem cell	hematopoietic stem cell	profile:39ba3590d0111ded3e89	profile:baa5dfb7688fa48b7f57	biorxiv:f1a588ac-746e-1014-a4d0-f5cc921ee68b	hca:0212_10.1038_s41586-022-04571-x_30a05d7904	biorxiv-hca	3	21	1	23	1	0.043478260869565216	0.3333333333333333	0.047619047619047616	0.19047619047619047	0	1	0.0
pair:6a691ccc3f7c6834781a	CL:0000037	hematopoietic stem cell	hematopoietic stem cell	hematopoietic stem cell	profile:39ba3590d0111ded3e89	profile:63b087b11e619cbe83ab	biorxiv:f1a588ac-746e-1014-a4d0-f5cc921ee68b	hca:0331_10.3389_fdmed.2021.806294_aea78ef1b6	biorxiv-hca	3	5	0	8	0	0.0	0.0	0.0	0.0	0	9	0.0
pair:d9d11c1e5e96d23ace1f	CL:0000037	hematopoietic stem cell	hematopoietic stem cell	hematopoietic stem cell	profile:39ba3590d0111ded3e89	profile:32af726ac721c1f3b02d	biorxiv:f1a588ac-746e-1014-a4d0-f5cc921ee68b	hca:0376_10.1038_s41590-017-0001-2_5fb0775c07	biorxiv-hca	3	3	0	6	0	0.0	0.0	0.0	0.0	0	2	0.0
pair:af062805c6ca26d772ec	CL:0000037	hematopoietic stem cell	hematopoietic stem cell	hematopoietic stem cell	profile:baa5dfb7688fa48b7f57	profile:63b087b11e619cbe83ab	hca:0212_10.1038_s41586-022-04571-x_30a05d7904	hca:0331_10.3389_fdmed.2021.806294_aea78ef1b6	hca-hca	21	5	1	25	1	0.04	0.047619047619047616	0.2	0.12380952380952381	1	9	0.0
pair:e32283fb56ca95f1f813	CL:0000037	hematopoietic stem cell	hematopoietic stem cell	hematopoietic stem cell	profile:baa5dfb7688fa48b7f57	profile:32af726ac721c1f3b02d	hca:0212_10.1038_s41586-022-04571-x_30a05d7904	hca:0376_10.1038_s41590-017-0001-2_5fb0775c07	hca-hca	21	3	2	22	1	0.09090909090909091	0.09523809523809523	0.6666666666666666	0.38095238095238093	1	2	0.0
pair:3c1215b7b9e7f856442b	CL:0000037	hematopoietic stem cell	hematopoietic stem cell	hematopoietic stem cell	profile:63b087b11e619cbe83ab	profile:32af726ac721c1f3b02d	hca:0331_10.3389_fdmed.2021.806294_aea78ef1b6	hca:0376_10.1038_s41590-017-0001-2_5fb0775c07	hca-hca	5	3	0	8	0	0.0	0.0	0.0	0.0	9	2	0.0
pair:4aabad3b73b69e76bff7	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:1dab0e11008739695791	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	biorxiv:446f40c7-6f7f-1014-8708-b70b3848c315	biorxiv-biorxiv	3	5	0	8	0	0.0	0.0	0.0	0.0	0	16	0.0
pair:7aa7fe013802c0e57770	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:b2015ab89f2e5d5337aa	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	biorxiv:5a3c7d4e-70da-1014-80b6-cd48bfa975fe	biorxiv-biorxiv	3	3	1	5	1	0.2	0.3333333333333333	0.3333333333333333	0.3333333333333333	0	9	0.0
pair:01db3518467fb596b8c2	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:c19723bda4e63738c7e4	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	biorxiv:a54482c5-73e0-1014-b3b0-b8dec8f62e56	biorxiv-biorxiv	3	3	0	6	0	0.0	0.0	0.0	0.0	0	2	0.0
pair:d120d9ef8e0047ae809a	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:ffa1734e1c2fe7f18338	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	biorxiv:c55f45c7-7001-1014-966f-865cda24634e	biorxiv-biorxiv	3	3	0	6	0	0.0	0.0	0.0	0.0	0	3	0.0
pair:0b5bd0bb9349a29736e6	CL:0000057	fibroblast	fibroblast	fibroblast	profile:bc89704ca529d16b9192	profile:ebe65e0377159828afd7	biorxiv:29ae8fb9-6d50-1014-8923-847f08fdc25e	biorxiv:eda68d46-7b76-1014-b9f8-bf62f9afae8d	biorxiv-biorxiv	3	3	0	6	0	0.0	0.0	0.0	0.0	0	3	0.0
