group	target	rank	nnz	nnz_frac	mean	log_fc	p_raw	p_corr
B	ENSG00000169442	81.0	20.0	1.0	1.7368777330531937	1.0389855519509814	1.447581602995044e-07	0.004877481453131501
B	ENSG00000177954	7.0	20.0	1.0	3.0807811770394933	0.6488432390490151	1.4765286142416345e-07	0.004975015512825763
B	ENSG00000019582	2.0	20.0	1.0	3.2604162572483095	2.1120565014271566	3.9196041978985574e-11	1.3206714384399399e-06
B	ENSG00000204628	70.0	20.0	1.0	1.8861947340191672	0.8080955837638233	7.662654927179174e-07	0.02581854951163751
B	ENSG00000204287	25.0	19.0	0.95	2.529125704153666	1.7273961190049847	6.231532183456392e-08	0.0020996524538937967
B	ENSG00000196126	94.0	19.0	0.95	1.4768651788369629	0.9182118031611535	9.529301135963898e-07	0.03210802724751676
B	ENSG00000167526	6.0	20.0	1.0	3.0813499165949723	0.6632020655307165	4.7062194711199447e-07	0.015857135885991542
B	ENSG00000105369	111.0	17.0	0.85	1.1840999185761494	1.1782580288733866	4.7490091321216405e-07	0.016001311369770656
B	ENSG00000104894	116.0	18.0	0.9	1.153851573536589	0.9064385305436051	1.0728617115313913e-06	0.0361490025083387
CD8 T	ENSG00000116824	161.0	120.0	0.547945205479452	0.672062428018984	0.42066370854084406	1.3043394164635787e-15	4.394841229832382e-11
CD8 T	ENSG00000197747	120.0	156.0	0.7123287671232876	0.9685241252926658	0.30963603673225104	7.018834265480433e-09	0.00023649260174109772
CD8 T	ENSG00000177954	6.0	216.0	0.9863013698630136	2.788929356243513	0.4030396215132308	7.531368110836785e-16	2.5376191712653462e-11
CD8 T	ENSG00000163564	446.0	47.0	0.2146118721461187	0.2356981237217216	0.1752291048041797	1.223752956204558e-07	0.004123313210635638
CD8 T	ENSG00000143184	443.0	48.0	0.2191780821917808	0.23616319676003786	0.164404180921551	6.577290587827407e-07	0.022161522906625666
CD8 T	ENSG00000090104	252.0	59.0	0.2694063926940639	0.3666970749600799	0.24029135776635854	2.1774070718328442e-07	0.007336555387833585
CD8 T	ENSG00000081237	123.0	146.0	0.6666666666666666	0.960378348210341	0.5388769147044692	1.0478242862975695e-18	3.530539150251031e-14
CD8 T	ENSG00000152518	101.0	165.0	0.7534246575342466	1.1272752864964997	0.4597075654228494	1.8703685426158458e-14	6.302019767489831e-10
CD8 T	ENSG00000153563	292.0	66.0	0.3013698630136986	0.32724517601973097	0.2954567897961067	2.2583096894749744e-14	7.609148667716979e-10
CD8 T	ENSG00000172116	509.0	41.0	0.1872146118721461	0.20801530168385154	0.17586992750766145	2.5303364903218008e-08	0.0008525715770490276
CD8 T	ENSG00000158050	182.0	96.0	0.4383561643835616	0.5724829292168668	0.45984922826801217	9.96613795417322e-18	3.357990522279125e-13
CD8 T	ENSG00000121966	76.0	195.0	0.8904109589041096	1.5542001752183598	0.8844465255765666	1.5889283329243357e-40	5.353735124955257e-36
CD8 T	ENSG00000187118	281.0	53.0	0.2420091324200913	0.33728848340212914	0.2365315211295344	1.9202153010592297e-07	0.006469973435388968
CD8 T	ENSG00000172215	389.0	56.0	0.2557077625570776	0.2610671111337752	0.2043819188635188	1.5526794951951197e-09	5.2315982911104365e-05
CD8 T	ENSG00000145220	336.0	57.0	0.2602739726027397	0.29193505673025305	0.20292143389971873	4.73785671510917e-08	0.0015963734415888838
CD8 T	ENSG00000197057	839.0	26.0	0.1187214611872146	0.13217580853180605	0.12224476798520079	1.3428968880126606e-06	0.04524756774469859
CD8 T	ENSG00000113088	114.0	134.0	0.6118721461187214	1.0023345823386376	0.9240359756825983	3.433223343501562e-35	1.1567902733594165e-30
CD8 T	ENSG00000145649	109.0	151.0	0.6894977168949772	1.041972349941574	0.8423394905910739	1.533719200200981e-35	5.167713473157185e-31
CD8 T	ENSG00000164587	18.0	216.0	0.9863013698630136	2.345731576634392	0.2800703013426564	5.909787244389218e-10	1.991243714124503e-05
CD8 T	ENSG00000204642	309.0	63.0	0.2876712328767123	0.3087610949108442	0.2039988745123088	3.199725904045526e-08	0.0010781156461090995
CD8 T	ENSG00000206503	52.0	213.0	0.9726027397260274	1.8837069053134363	0.7988698822690914	3.8224684102050395e-42	1.287942506134486e-37
CD8 T	ENSG00000204525	88.0	192.0	0.8767123287671232	1.3676213819587437	0.396266378298352	7.322183075127684e-13	2.4671363653335216e-08
CD8 T	ENSG00000234745	26.0	217.0	0.9908675799086758	2.2101068777526915	0.6553554114656297	5.0328837066823024e-34	1.695779836129535e-29
CD8 T	ENSG00000240065	286.0	69.0	0.3150684931506849	0.33406705042816703	0.18179694238024585	1.2061137822121716e-06	0.04063879777785691
CD8 T	ENSG00000231500	10.0	217.0	0.9908675799086758	2.64640396944319	0.2392729369999156	1.4410620659109794e-08	0.00048555145248804543
CD8 T	ENSG00000075624	15.0	213.0	0.9726027397260274	2.451153544562193	0.28168389093824286	5.580288110166599e-08	0.001880222275839534
CD8 T	ENSG00000122545	195.0	105.0	0.4794520547945205	0.5296914344478881	0.21135818040997173	8.557089976772893e-07	0.028832258967738587
