scope	replicate	k_cell_types	protein_coding_genes	n_tissues	n_nonempty_contexts	max_tissue_cell_types	median_tissue_cell_types	complete_edges	admissible_edges	admissible_edge_fraction	binary_lower_complete	binary_lower_admissible_clique	note	complete_experiment_lower_r10	admissible_experiment_lower_r10	per_context_lower_sum_r10	complete_experiment_lower_r20	admissible_experiment_lower_r20	per_context_lower_sum_r20	complete_experiment_lower_r50	admissible_experiment_lower_r50	per_context_lower_sum_r50	complete_experiment_lower_r100	admissible_experiment_lower_r100	per_context_lower_sum_r100	random_panel_sufficient_complete_q0.5	random_panel_sufficient_admissible_q0.5	random_panel_sufficient_complete_q0.1	random_panel_sufficient_admissible_q0.1	random_panel_sufficient_complete_q0.02	random_panel_sufficient_admissible_q0.02
C. elegans adult	0	146	20000	12	12	49	9.0	10585	2099	0.1982994803967879	8	6	small organism, modest tissue constraint	236	47	55	56	12	20	9	2	12	3	2	12	18	16	117	102	607	527
C. elegans adult	1	146	20000	12	12	41	11.0	10585	1830	0.17288615965989607	8	6	small organism, modest tissue constraint	236	41	48	56	10	19	9	3	12	3	3	12	18	16	117	100	607	521
C. elegans adult	2	146	20000	12	12	28	15.5	10585	1494	0.14114312706660367	8	5	small organism, modest tissue constraint	236	34	41	56	8	14	9	4	12	3	4	12	18	15	117	98	607	511
C. elegans adult	3	146	20000	12	12	32	14.5	10585	1469	0.13878129428436467	8	5	small organism, modest tissue constraint	236	33	40	56	8	15	9	3	12	3	3	12	18	15	117	98	607	510
C. elegans adult	4	146	20000	12	12	26	13.5	10585	1373	0.12971185640056684	8	5	small organism, modest tissue constraint	236	31	39	56	8	14	9	5	12	3	5	12	18	15	117	98	607	506
C. elegans adult	5	146	20000	12	12	42	9.0	10585	2111	0.19943316013226264	8	6	small organism, modest tissue constraint	236	47	55	56	12	20	9	3	12	3	3	12	18	16	117	102	607	528
C. elegans adult	6	146	20000	12	12	38	10.0	10585	1674	0.15814832309872462	8	6	small organism, modest tissue constraint	236	38	43	56	9	18	9	3	12	3	3	12	18	16	117	99	607	516
C. elegans adult	7	146	20000	12	12	28	12.0	10585	1539	0.1453944260746339	8	5	small organism, modest tissue constraint	236	35	41	56	9	16	9	5	12	3	5	12	18	15	117	99	607	512
C. elegans adult	8	146	20000	12	12	34	17.0	10585	1632	0.15418044402456307	8	6	small organism, modest tissue constraint	236	37	45	56	9	16	9	3	12	3	3	12	18	15	117	99	607	515
C. elegans adult	9	146	20000	12	12	32	12.5	10585	1472	0.13906471421823335	8	5	small organism, modest tissue constraint	236	33	41	56	8	16	9	3	12	3	3	12	18	15	117	98	607	510
