resource	normalized_cell_type	n_profiles	n_studies	example_reported_labels	n_pairs	mean_jaccard	median_jaccard	q25_jaccard	q75_jaccard	pct_jaccard_eq_0	pct_jaccard_gt_0	pct_jaccard_ge_0_10	pct_jaccard_ge_0_25	pct_jaccard_eq_1	mean_shared_genes	underspecification_score
CAP	ENTEROCYTES	5	5	Enterocytes; enterocytes	10	0.4	0.0	0.0	1.0	0.6	0.4	0.4	0.4	0.4	1.2	1.0
CAP	EPITHELIAL	5	5	Epithelial; epithelial	10	0.3	0.0	0.0	0.75	0.7	0.3	0.3	0.3	0.3	0.9	1.0
CAP	LYMPHATIC ENDOTHELIUM	4	4	Lymphatic Endothelium; lymphatic endothelium	6	0.17543859649122806	0.0	0.0	0.039473684210526314	0.6666666666666666	0.3333333333333333	0.16666666666666666	0.16666666666666666	0.16666666666666666	1.0	1.0
CAP	T	4	3	T	5	0.4	0.0	0.0	1.0	0.6	0.4	0.4	0.4	0.4	2.4	1.0
CAP	VASCULAR ENDOTHELIUM	4	4	Vascular Endothelium; Vascular_Endothelium	6	0.19607843137254902	0.0	0.0	0.1323529411764706	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.16666666666666666	0.16666666666666666	1.1666666666666667	1.0
CAP	EC	3	3	EC	3	0.3333333333333333	0.0	0.0	0.5	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	2.0	1.0
CAP	ENDOTHELIAL CELLS	3	3	Endothelial cells; Endothelial_cells	3	0.19047619047619047	0.0	0.0	0.2857142857142857	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.0	1.3333333333333333	1.0
CAP	GRANULOCYTES	3	3	Granulocytes	3	0.3333333333333333	0.0	0.0	0.5	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.3333333333333333	1.0
CAP	HEPATOCYTES	3	3	Hepatocytes; hepatocytes	3	0.14285714285714285	0.0	0.0	0.21428571428571427	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.0	2.0	1.0
CAP	MACROPHAGES	3	3	Macrophages	3	0.030303030303030304	0.0	0.0	0.045454545454545456	0.6666666666666666	0.3333333333333333	0.0	0.0	0.0	0.3333333333333333	1.0
CAP	MYELOID	3	3	Myeloid; myeloid	3	0.037037037037037035	0.0	0.0	0.05555555555555555	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.0	0.0	0.6666666666666666	1.0
CAP	PC	3	3	PC	3	0.3333333333333333	0.0	0.0	0.5	0.6666666666666666	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	1.0
CAP	NKT	3	3	NKT	3	0.3703703703703704	0.05555555555555555	0.05555555555555555	0.5277777777777778	0.0	1.0	0.3333333333333333	0.3333333333333333	0.3333333333333333	3.6666666666666665	0.9444444444444444
