resource	study_uid	context_uid	study_label	labelset	cell_type	normalized_cell_type	n_markers	n_local_private_markers	local_private_fraction	n_same_label_other_study_profiles	marker_fraction_recovered_by_same_label_other_studies	local_private_fraction_recovered_by_same_label_other_studies
LLMarkers	llmarkers|biorxiv|001efeeb-7491-1014-a82f-ef19de5990ad	llmarkers|biorxiv|001efeeb-7491-1014-a82f-ef19de5990ad	biorxiv:001efeeb-7491-1014-a82f-ef19de5990ad		REGENERATIVE EPITHELIAL	REGENERATIVE EPITHELIAL	9	9	1.0	0		
LLMarkers	llmarkers|biorxiv|013a7c23-7117-1014-9b42-823175dea768	llmarkers|biorxiv|013a7c23-7117-1014-9b42-823175dea768	biorxiv:013a7c23-7117-1014-9b42-823175dea768		NEURONS	NEURONS	5	5	1.0	2	0.0	0.0
LLMarkers	llmarkers|biorxiv|01e5e65d-751c-1014-a8e3-b5f1d7a951ab	llmarkers|biorxiv|01e5e65d-751c-1014-a8e3-b5f1d7a951ab	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab		DC	DC	12	9	0.75	4	0.0	0.0
LLMarkers	llmarkers|biorxiv|01e5e65d-751c-1014-a8e3-b5f1d7a951ab	llmarkers|biorxiv|01e5e65d-751c-1014-a8e3-b5f1d7a951ab	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab		KC	KC	5	5	1.0	0		
LLMarkers	llmarkers|biorxiv|01e5e65d-751c-1014-a8e3-b5f1d7a951ab	llmarkers|biorxiv|01e5e65d-751c-1014-a8e3-b5f1d7a951ab	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab		LC	LC	8	6	0.75	0		
LLMarkers	llmarkers|biorxiv|01e5e65d-751c-1014-a8e3-b5f1d7a951ab	llmarkers|biorxiv|01e5e65d-751c-1014-a8e3-b5f1d7a951ab	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab		MC	MC	8	7	0.875	0		
LLMarkers	llmarkers|biorxiv|01e5e65d-751c-1014-a8e3-b5f1d7a951ab	llmarkers|biorxiv|01e5e65d-751c-1014-a8e3-b5f1d7a951ab	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab		TC	TC	10	8	0.8	3	0.0	0.0
LLMarkers	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97		CD4+ TISSUE RESIDENT MEMORY T CELL (TRM)	CD 4 TISSUE RESIDENT MEMORY T CELL TRM	3	3	1.0	0		
LLMarkers	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97		CD8+ EXHAUSTED T CELL (TEXH)	CD 8 EXHAUSTED T CELL TEXH	3	2	0.6666666666666666	0		
LLMarkers	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97		CD8+ PROLIFERATING EXHAUSTED T CELL	CD 8 PROLIFERATING EXHAUSTED T CELL	3	2	0.6666666666666666	0		
LLMarkers	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97		GC1	GC 1	3	3	1.0	1	0.0	0.0
LLMarkers	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97		INFLAMMATORY CANCER-ASSOCIATED FIBROBLAST (ICAFS)	INFLAMMATORY CANCER ASSOCIATED FIBROBLAST ICAFS	3	3	1.0	0		
LLMarkers	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97		MAST CELL	MAST CELL	3	3	1.0	14	1.0	1.0
LLMarkers	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97		MYOFIBROBLAST-LIKE CAF (MYCAFS)	MYOFIBROBLAST LIKE CAF MYCAFS	3	3	1.0	0		
LLMarkers	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	llmarkers|biorxiv|03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97		PLASMA CELL	PLASMA CELL	3	3	1.0	15	1.0	1.0
