resource	study_uid	study_label	dataset_ids	labelsets	local_contexts	marker_profiles	reported_labels	marker_genes	n_rationale_dois	rationale_dois
CAP	cap|1152	Single cell atlas of the human retina - all cells - scRNA-seq	1152	cell_type	1	4	4	15	0	
CAP	cap|1153	snRNA-seq of human retina - retinal ganglion cell subset	1153	author_cell_type	1	11	11	97	0	
CAP	cap|1154	snRNA-seq of human retina - bipolar cell subset	1154	author_cell_type	1	9	9	42	0	
CAP	cap|1155	snRNA-seq of human retina - amacrine cell subset	1155	author_cell_type	1	89	85	390	0	
CAP	cap|1156	snRNA-seq of human retina - all cells	1156	author_cell_type	1	109	105	489	0	
CAP	cap|1208	Single Cell Atlas of Human Ocular Surface scRNA-seq: Cornea, Limbus, Sclera	1208	author_cell_type	1	31	31	236	0	
CAP	cap|1209	Single Cell Atlas of Human Ocular Surface snRNA-seq: Cornea, Limbus, Sclera	1209	author_cell_type	1	26	26	214	0	
CAP	cap|1241	Single cell atlas of the human trabecular meshwork and ciliary body - snRNA-seq	1241	author_cell_type	1	11	11	38	0	
CAP	cap|1242	Single cell atlas of the human trabecular meshwork and ciliary body - scRNA-seq	1242	author_cell_type	1	13	13	47	0	
CAP	cap|1265	The Human Neural Organoid Atlas	1265	annot_level_1; annot_level_2	2	12	10	25	0	
CAP	cap|1326	Single-nucleus RNA-seq of the Adult Human Kidney (Version 1.5)	1326	subclass.l1; subclass.l2	2	61	56	277	0	
CAP	cap|1327	Single-cell RNA-seq of the Adult Human Kidney (Version 1.5)	1327	author_cell_type; subclass.l1	2	40	38	207	0	
CAP	cap|1373	human intestine organoid cell atlas	1373	level_1; level_2	2	23	22	91	0	
CAP	cap|1374	human endoderm organoid cell atlas	1374	level_1; level_2	2	28	27	114	0	
CAP	cap|1375	human lung organoid cell atlas	1375	level_1; level_2	2	5	4	16	0	
CAP	cap|1426	Skin fibroblast scRNA-seq atlas in health	1426	cell_type	1	9	9	63	5	10.1016/j.jid.2023.09.288; 10.1038/s41586-021-03549-5; 10.1038/s41586-021-03852-1; 10.1038/s41591-023-02327-2; 10.12688/f1000research.143511.1
CAP	cap|1427	Skin fibroblasts - Pan-disease fibroblast atlas in skin fibrosis, inflammation, and cancer	1427	cell_type	1	14	14	101	21	10.1002/jor.22834; 10.1016/j.canlet.2023.216095; 10.1016/j.cell.2019.06.029; 10.1016/j.isci.2020.101019; 10.1016/j.jid.2018.01.016; 10.1016/j.stem.2020.07.008; 10.1038/s41586-019-1794-y; 10.1038/s41586-021-03549-5; 10.1038/s41586-023-06725-x; 10.1038/s41588-022-01243-4; 10.1038/s42003-020-0922-4; 10.1101/2023.10.29.563503; 10.1101/gad.1614408; 10.1111/exd.14244; 10.1111/imr.12981; 10.1242/dev.131797; 10.12688/f1000research.143511.2; 10.1369/0022155414530994; 10.3389/fgene.2021.797747; 10.3389/fimmu.2023.1233800; 10.7554/eLife.43882
CAP	cap|1437	All cells from human liver dataset	1437	author_cell_type	1	17	17	154	0	
CAP	cap|1438	CD45 negative cells from human liver dataset	1438	author_cell_type	1	8	8	77	0	
CAP	cap|1439	Lymphoid cells from human liver dataset	1439	author_cell_type	1	13	13	90	0	
CAP	cap|1440	Myeloid cells from human liver dataset	1440	author_cell_type	1	10	10	84	0	
CAP	cap|1487	snRNA-seq of human optic nerve and optic nerve head - oligodendrocytes	1487	author_cell_type	1	5	5	7	2	10.1016/j.neuron.2022.03.008; 10.1073/pnas.2306153120
CAP	cap|1489	snRNA-seq of human optic nerve and optic nerve head - all cells	1489	author_cell_type	1	31	31	67	4	10.1016/j.neuron.2022.03.008; 10.1038/s41586-021-04369-3; 10.1073/pnas.2306153120; 10.1101/2023.11.07.566105
CAP	cap|1490	snRNA-seq of human optic nerve and optic nerve head - endothelial cells	1490	author_cell_type	1	3	3	8	2	10.1038/s41586-021-04369-3; 10.1073/pnas.2306153120
CAP	cap|1491	snRNA-seq of human optic nerve and optic nerve head - fibroblasts	1491	author_cell_type	1	5	5	12	1	10.1073/pnas.2306153120
CAP	cap|1565	Human liver cell atlas - cholangiocyte cells	1565	author_cell_type	1	4	4	10	0	
CAP	cap|1566	Human liver cell atlas - mesenchyme cells	1566	author_cell_type	1	5	5	16	0	
CAP	cap|1567	Human liver cell atlas - myeloid cells	1567	author_cell_type	1	10	10	40	0	
CAP	cap|1568	Human liver cell atlas - lymphocyte cells	1568	author_cell_type	1	5	5	16	0	
CAP	cap|1569	Human liver cell atlas - endothelia cells	1569	author_cell_type	1	5	5	16	0	
CAP	cap|1570	Human liver cell atlas - hepatocyte cells	1570	author_cell_type	1	5	5	20	0	
CAP	cap|1742	BoneMarrowMap: A Balanced Single-cell Reference Atlas of Human Hematopoiesis	1742	AuthorCellType	1	55	55	362	13	10.1016/j.cell.2019.01.031; 10.1016/j.cell.2021.04.048; 10.1016/j.stem.2014.06.008; 10.1038/s41467-019-10291-0; 10.1038/s41587-019-0332-7; 10.1038/s41590-017-0001-2; 10.1126/sciimmunol.aau7148; 10.1158/2159-8290.CD-21-0145; 10.1158/2643-3230.BCD-20-0155; 10.1158/2643-3230.BCD-24-0342; 10.1182/blood-2014-01-548305; 10.1182/blood-2014-07-588806; 10.26508/lsa.201900309
CAP	cap|1780	An integrated cell atlas of the human lung in health and disease (core)	1780	ann_finest_level	1	42	42	147	8	10.1016/j.celrep.2015.06.011; 10.1038/s41586-018-0394-6; 10.1152/ajplung.00155.2003; 10.1161/CIRCULATIONAHA.120.052318; 10.1164/rccm.201911-2199oc; 10.1165/rcmb.2010-0283OC; 10.1242/dev.116855; 10.7554/eLife.80083
CAP	cap|2185	Human lymph nodes with partial T and B cell depletion	2185	final annotation	1	15	15	64	6	10.1016/j.celrep.2017.09.070; 10.1016/j.ebiom.2025.106036; 10.1016/j.immuni.2024.01.006; 10.1038/ni.3368; 10.1038/s41556-022-00866-3; 10.1084/jem.20210790
CAP	cap|2186	Human lymph node slices cultured with and without ex vivo stimulation by liposomal TLR4 and QS-21 adjuvant	2186	final annotation	1	17	17	69	6	10.1016/j.celrep.2017.09.070; 10.1016/j.ebiom.2025.106036; 10.1016/j.immuni.2024.01.006; 10.1038/ni.3368; 10.1038/s41556-022-00866-3; 10.1084/jem.20210790
CAP	cap|2708	Reinisch MHUO 2025 — abdominal visceral adipose tissue	2708	author_cell_type	1	1	1	3	0	
CAP	cap|2711	Reinisch MHNO 2025 — abdominal visceral adipose tissue	2711	author_cell_type	1	1	1	3	0	
CAP	cap|2712	Hinte NEFA 2024 — abdominal subcutaneous adipose tissue	2712	author_cell_type	1	2	2	7	0	
CAP	cap|2726	Massier 2023 — abdominal subcutaneous and omental adipose tissue	2726	author_cell_type	1	7	7	42	0	
CAP	cap|2739	Lazarescu 2025 — abdominal visceral adipose tissue	2739	author_cell_type	1	2	2	7	0	
CAP	cap|2740	Lazarescu 2025 — abdominal subcutaneous adipose tissue	2740	author_cell_type	1	1	1	4	0	
CAP	cap|2789	Single-nucleus RNA-seq of Asian Skeletal Muscle Reveals Ancestry-specific Regulatory Programs Across Metabolic States	2789	author_cell_type	1	10	10	60	0	
CAP	cap|2854	HCA Gut Cell Atlas v1 Myeloid Lineage	2854	Prelim annotation	1	10	10	52	5	10.1016/j.cell.2019.06.029; 10.1038/s41586-021-03852-1; 10.1084/jem.20222129; 10.1126/science.aah4573; 10.1182/bloodadvances.2022006969
CAP	cap|2855	HCA Gut Cell Atlas v1 Stromal Lineage	2855	Prelim annotation	1	17	17	66	0	
CAP	cap|2856	HCA Gut Cell Atlas v1 Epithelial Lineage	2856	Prelim annotation	1	22	22	100	1	10.1038/s41467-021-27901-5
CAP	cap|2857	HCA Gut Cell Atlas v1 Lymphoid Lineage	2857	Prelim annotation	1	23	23	90	0	
CAP	cap|2858	Human Gut Cell Atlas (HGCA) v1 - All Cells	2858	hgca_celltype_v0	1	70	70	291	6	10.1016/j.cell.2019.06.029; 10.1038/s41467-021-27901-5; 10.1038/s41586-021-03852-1; 10.1084/jem.20222129; 10.1126/science.aah4573; 10.1182/bloodadvances.2022006969
CAP	cap|2913	snRNAseq on trained and untrained human skeletal muscle from healthy donors	2913	author_cell_type	1	1	1	6	3	10.1038/s41586-024-07348-6; 10.1038/s43587-024-00613-3; 10.18632/aging.204435
CAP	cap|2926	Human intercostal skeletal muscle aging atlas (scRNA-seq and snRNA-seq, young vs aged)	2926	author_cell_type	1	38	37	167	24	10.1002/jcsm.13023; 10.1016/0092-8674(88)90463-1; 10.1016/j.cell.2019.05.054; 10.1016/j.celrep.2017.05.054; 10.1016/j.celrep.2017.10.080; 10.1016/j.molcel.2019.02.026; 10.1038/s41467-020-18789-8; 10.1038/s41467-020-20063-w; 10.1038/s41467-020-20064-9; 10.1038/s41586-021-03549-5; 10.1038/s41588-022-01243-4; 10.1038/s41591-024-03376-x; 10.1038/s41598-019-57110-6; 10.1126/science.aau0964; 10.1126/science.abl5197; 10.1128/MCB.00775-15; 10.1152/physrev.00033.2014; 10.1186/s13395-015-0046-6; 10.1186/s13395-020-00236-3; 10.1242/dev.174177; 10.1242/dev.183855; 10.18632/aging.204435; 10.3389/fncel.2021.624826; 10.7554/eLife.51576
CAP	cap|2980	Subcutaneous, omental, mesenteric, mesocolic, and epiploic adipose tissue (Jalkanen et al., 2026, Cell Met)	2980	author_cell_type	1	6	6	57	0	
CAP	cap|3012	Human Adipose Tissue Atlas v1.0 — ASPCs	3012	lvl3_cell_types	1	5	5	11	4	10.1016/j.cmet.2024.04.017; 10.1038/s42255-025-01296-9; 10.1038/s42255-025-01433-4; 10.1152/ajpcell.00838.2025
CAP	cap|3013	Human Adipose Tissue Atlas v1.0 — Vascular cells	3013	lvl2_cell_types; lvl3_cell_types	2	6	6	17	1	10.1038/s42255-025-01296-9
CAP	cap|3014	Human Adipose Tissue Atlas v1.0 — Mesothelial cells	3014	lvl2_cell_types; lvl3_cell_types	2	2	1	3	1	10.1038/s42255-025-01296-9
CAP	cap|3015	Human Adipose Tissue Atlas v1.0 — Abdominal Subcutaneous WAT	3015	lvl2_cell_types; lvl3_cell_types	2	35	33	100	10	10.1016/j.celrep.2018.06.110; 10.1016/j.cmet.2024.04.017; 10.1016/s1074-7613(01)00150-9; 10.1038/s42255-025-01296-9; 10.1038/s42255-025-01433-4; 10.1097/MOH.0000000000000476; 10.1152/ajpcell.00838.2025; 10.2119/molmed.2011.00144; 10.3390/cancers14143545; 10.57785/e9e1-wh09
CAP	cap|3016	Human Adipose Tissue Atlas v1.0 — Lymphoid cells	3016	lvl2_cell_types; lvl3_cell_types	2	12	11	31	3	10.1016/j.celrep.2018.06.110; 10.1038/s42255-025-01296-9; 10.57785/e9e1-wh09
CAP	cap|3017	Human Adipose Tissue Atlas v1.0 — Myeloid cells	3017	lvl2_cell_types; lvl3_cell_types	2	12	11	44	5	10.1016/s1074-7613(01)00150-9; 10.1038/s42255-025-01296-9; 10.1097/MOH.0000000000000476; 10.2119/molmed.2011.00144; 10.3390/cancers14143545
CAP	cap|3018	Human Adipose Tissue Atlas v1.0 — Cervical Subcutaneous WAT	3018	lvl2_cell_types; lvl3_cell_types	2	35	33	100	10	10.1016/j.celrep.2018.06.110; 10.1016/j.cmet.2024.04.017; 10.1016/s1074-7613(01)00150-9; 10.1038/s42255-025-01296-9; 10.1038/s42255-025-01433-4; 10.1097/MOH.0000000000000476; 10.1152/ajpcell.00838.2025; 10.2119/molmed.2011.00144; 10.3390/cancers14143545; 10.57785/e9e1-wh09
CAP	cap|3019	Human Adipose Tissue Atlas v1.0 — Abdominal Visceral WAT	3019	lvl2_cell_types; lvl3_cell_types	2	37	34	103	10	10.1016/j.celrep.2018.06.110; 10.1016/j.cmet.2024.04.017; 10.1016/s1074-7613(01)00150-9; 10.1038/s42255-025-01296-9; 10.1038/s42255-025-01433-4; 10.1097/MOH.0000000000000476; 10.1152/ajpcell.00838.2025; 10.2119/molmed.2011.00144; 10.3390/cancers14143545; 10.57785/e9e1-wh09
CAP	cap|3021	Human Adipose Tissue Atlas v1.0 — All cells	3021	lvl2_cell_types; lvl3_cell_types	2	37	34	103	10	10.1016/j.celrep.2018.06.110; 10.1016/j.cmet.2024.04.017; 10.1016/s1074-7613(01)00150-9; 10.1038/s42255-025-01296-9; 10.1038/s42255-025-01433-4; 10.1097/MOH.0000000000000476; 10.1152/ajpcell.00838.2025; 10.2119/molmed.2011.00144; 10.3390/cancers14143545; 10.57785/e9e1-wh09
CAP	cap|3052	scRNA-seq of the human retinal pigment epithelium and the choroid	3052	author_cell_type	1	8	8	25	0	
CAP	cap|3053	snRNA-seq of the human retinal pigment epithelium and the choroid - retinal pigment epithelial cells	3053	author_cell_type	1	5	5	7	0	
CAP	cap|3054	snRNA-seq of the human retinal pigment epithelium and the choroid	3054	author_cell_type	1	11	11	27	0	
CAP	cap|3055	snRNA-seq of the human retinal pigment epithelium and the choroid - all cells	3055	author_cell_type	1	8	8	16	0	
CAP	cap|3056	snRNA-seq of the human retinal pigment epithelium and the choroid - stromal cells	3056	author_cell_type	1	4	4	8	0	
CAP	cap|3057	snRNA-seq of the human retinal pigment epithelium and the choroid - endothelial cells	3057	author_cell_type	1	4	4	10	0	
CAP	cap|591	AIDA Phase 1 Data Freeze v2: Chinese, Indian, Japanese, Korean, Malay, and Thai donors in Japan, Singapore, South Korea, Thailand, and India	591	author_cell_type	1	19	19	68	0	
