mode	name_judgment	skos_relation_from_1_to_2	cell_type_1	cell_type_2	paper_1	paper_2	markers_1	markers_2	pairwise_assessment	followup_flag	jaccard
Different labels, exact marker match (J=1)	Unresolved	unresolved	MAIT	CD8-GZMK	biorxiv:315fa881-726d-1014-9d3d-bbe9b5731a1d	hca:0378_10.1101_2022.06.17.496207_92cb140ff3	GZMH;GZMB;GZMK;GZMA;GZMM	GZMH;GZMB;GZMK;GZMA;GZMM	MAIT is a lineage/subset label and CD8-GZMK is a marker-defined CD8 T-cell state; the shared markers are a granzyme cytotoxicity program. Flag for review because the MAIT source sentence says the cells expressed cytotoxic molecules except GZMB and GZMH, yet those genes are included in the extracted marker set.	extraction caveat on GZMB/GZMH	1.0
Different labels, exact marker match (J=1)	Context distinction	closeMatch	CONTRACTILE SMCS	MES3	biorxiv:98d19bc0-7b12-1014-9641-857e081ce400	hca:0284_10.1002_hep4.1854_fe09f5fe1e	MYL9;ACTA2;TAGLN	MYL9;ACTA2;TAGLN	Contractile SMCs and Mes3 both point to a contractile mesenchymal/smooth muscle program marked by ACTA2/TAGLN/MYL9. The difference is a descriptive cell-state label versus a study-specific mesenchymal cluster label.		1.0
Different labels, exact marker match (J=1)	Context distinction	closeMatch	KERA A	EPIDERMIS	hca:0158_10.2337_db21-0830_d021248f76	hca:0307_10.1038_s41419-021-03724-6_32b837a8da	KRT1;KRT10;KRT14	KRT1;KRT10;KRT14	KERA A and epidermis both map to keratinocyte/epidermal identity through KRT1/KRT10/KRT14. This is mainly nomenclature or cluster naming rather than a deep state difference.		1.0
Different labels, exact marker match (J=1)	Context distinction	relatedMatch	PERICYTE	VASCULAR SMOOTH MUSCLE CELL	hca:0205_10.1038_s41588-020-0636-z_f39ba80540	hca:0210_10.1016_j.stem.2020.11.008_213dabcee4	ACTA2;RGS5;TAGLN	ACTA2;RGS5;TAGLN	Pericyte and vascular smooth muscle cell labels share contractile/mural markers ACTA2/TAGLN/RGS5. The relationship reflects the perivascular mural continuum and the ambiguity between cell type and contractile state.		1.0
Different labels, exact marker match (J=1)	Context distinction	broadMatch	PC	VASCULAR MURAL CELL	hca:0274_10.1016_j.isci.2021.103592_3ec037cca1	hca:0293_10.1172_jci.insight.150861_5764a5bfad	NOTCH3;PDGFRB;RGS5	NOTCH3;PDGFRB;RGS5	PC is explicitly pericyte in the source context and vascular mural cell is a broader mural label; both use NOTCH3/PDGFRB/RGS5.		1.0
Different labels, exact marker match (J=1)	Context distinction	relatedMatch	SMOOTH MUSCLE CELL	EMSC	hca:0422_10.1038_s41591-020-1040-z_d966e12866	hca:0486_10.1016_j.xfss.2022.09.001_c256ed6917	MCAM;SUSD2;PDGFRB	MCAM;SUSD2;PDGFRB	Smooth muscle cell and eMSC are linked by MCAM/SUSD2/PDGFRB, markers of endometrial mesenchymal stem-like cells. This suggests a stem-like mesenchymal state embedded in a smooth-muscle label.		1.0
Different labels, exact marker match (J=1)	Same name supported	exactMatch	EC	ENDOTHELIAL CELLS	biorxiv:2746af96-6da7-1014-ab14-859a63e4801c	hca:0274_10.1016_j.isci.2021.103592_3ec037cca1	CD144;AQP1;PECAM1	CD144;AQP1;PECAM1	EC is an abbreviation for endothelial cells; the shared markers CD144/AQP1/PECAM1 support the same endothelial lineage.		1.0
Different labels, exact marker match (J=1)	Context distinction	broadMatch	FIBROBLAST (COL1A1)	FIBROBLAST CLUSTERS	biorxiv:d8ee72e2-7047-1014-a159-a9ef37bce7a4	biorxiv:eda68d46-7b76-1014-b9f8-bf62f9afae8d	COL1A1;COL1A2;COL3A1	COL1A1;COL1A2;COL3A1	Fibroblast (COL1A1) and fibroblast clusters are both fibroblast labels anchored by extracellular matrix collagens. This is a subtype/broad-label naming difference.		1.0
Different labels, exact marker match (J=1)	Context distinction	broadMatch	MAC3	MACROPHAGE	hca:0099_10.1126_sciimmunol.abl9165_5f9974d5f2	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446	C1QC;C1QB;CD163	C1QC;C1QB;CD163	Mac3 is a study-specific macrophage cluster distinguished by complement genes and CD163, while the neighbor is a classical macrophage label with the same markers. This maps a cluster code onto macrophage subtype biology.		1.0
Different labels, exact marker match (J=1)	Context distinction	closeMatch	BASAL RADIAL GLIA	OUTER RADIAL GLIA	hca:0107_10.1101_2022.10.24.513487_4d505f4f68	hca:0352_10.1038_nature25980_27cde67bed	TNC;FAM107A;HOPX	TNC;FAM107A;HOPX	Basal radial glia and outer radial glia are closely related progenitor labels anchored by TNC/FAM107A/HOPX. This is mostly nomenclature across developmental neurobiology contexts.		1.0
Different labels, exact marker match (J=1)	Context distinction	broadMatch	CD.MONO.FCN1.S100A4	MONOCYTE	hca:0109_10.7554_elife.91792.1_056dda27be	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446	FCN1;S100A4;S100A6	FCN1;S100A4;S100A6	CD.Mono.FCN1.S100A4 is a marker-coded monocyte label and the neighbor is a classical monocyte label; the shared markers FCN1/S100A4/S100A6 map the coded label to monocyte identity.		1.0
Different labels, exact marker match (J=1)	Context distinction	relatedMatch	NAÏVE T CELL	TREG.1	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	TCF7;CCR7;LEF1;SELL	TCF7;CCR7;LEF1;SELL	Naive T-cell markers retrieve Treg.1 because the source states Treg.1 has elevated naive markers. This is not a cell-type identity match; it shows that a regulatory subtype can carry a naive-like state program.		1.0
Different labels, exact marker match (J=1)	Context distinction	relatedMatch	TCM	TREG.1	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	TCF7;CCR7;LEF1;SELL	TCF7;CCR7;LEF1;SELL	TCM and Treg.1 share CCR7/SELL/TCF7/LEF1 because Treg.1 is described as naive-like. This links memory/naive state markers across regulatory and non-regulatory labels.		1.0
Different labels, exact marker match (J=1)	Context distinction	relatedMatch	TN	TREG.1	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	TCF7;CCR7;LEF1;SELL	TCF7;CCR7;LEF1;SELL	TN and Treg.1 share naive markers. The name difference reflects lineage/state layering: Treg.1 remains a regulatory cluster but carries a naive-like transcriptional program.		1.0
Different labels, exact marker match (J=1)	Context distinction	relatedMatch	TREG.1	NAÏVE/MEMORY	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	hca:0163_10.1126_sciimmunol.abb4432_91494cf647	TCF7;CCR7;LEF1;SELL	TCF7;CCR7;LEF1;SELL	Treg.1 and naive/memory clusters share CCR7/SELL/TCF7/LEF1. This is a state-program bridge between a Treg subtype and broader naive/memory annotation.		1.0
Different labels, exact marker match (J=1)	Context distinction	narrowMatch	ACTIVATED	ACTIVATED TRM/TEM CLUSTER	biorxiv:6f28f2e1-6c20-1014-910c-d12c701e7668	hca:0426_10.1038_s41467-019-12464-3_0f8440336d	IFNG;CCL3;CCL4	IFNG;CCL3;CCL4	Activated and activated TRM/TEM cluster are both activation labels using IFNG/CCL3/CCL4. This is a clean cross-study state match despite different specificity.		1.0
Different labels, exact marker match (J=1)	Context distinction	closeMatch	PLURIPOTENT	IPSC	biorxiv:48122146-7aab-1014-a240-edfb3f67c90f	biorxiv:f29672cc-6d87-1014-b915-87fbd4bb053f	NANOG;SOX2;POU5F1	NANOG;SOX2;POU5F1	Pluripotent and iPSC labels are linked by canonical pluripotency markers NANOG/SOX2/POU5F1. This is a shared developmental state rather than a conflicting cell type.		1.0
Different labels, exact marker match (J=1)	Context distinction	broadMatch	CARCINOMA CELL	EPITHELIAL CELL	hca:0032_10.15252_msb.20209682_ea064ade0e	hca:0068_10.1093_ibd_izac201_351dddd961	KRT18;EPCAM;KRT8	KRT18;EPCAM;KRT8	Carcinoma cell and epithelial cell share epithelial markers EPCAM/KRT8/KRT18. The key context difference is malignant epithelial tumor compartment versus broad epithelial lineage.		1.0
Different labels, exact marker match (J=1)	Context distinction	broadMatch	CARCINOMA CELL	EPITHELIAL CELL	hca:0032_10.15252_msb.20209682_ea064ade0e	hca:0264_10.1186_s13059-022-02677-z_ec9d743757	KRT18;EPCAM;KRT8	KRT18;EPCAM;KRT8	Carcinoma cell and epithelial cell again share epithelial markers; the relationship is malignant context versus canonical epithelial annotation.		1.0
Different labels, exact marker match (J=1)	Context distinction	broadMatch	CARCINOMA CELL	EPITHELIAL	hca:0032_10.15252_msb.20209682_ea064ade0e	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446	KRT18;EPCAM;KRT8	KRT18;EPCAM;KRT8	Carcinoma cell and epithelial share epithelial markers; this connects disease/tumor context to a broad epithelial lineage label.		1.0
Different labels, exact marker match (J=1)	Context distinction	relatedMatch	CLASSICAL	MDSC	hca:0113_10.1101_2021.04.28.441762_c83625bbe4	hca:0349_10.1038_s41467-023-36296-4_67ae3c1e19	S100A8;S100A9;S100A12	S100A8;S100A9;S100A12	Classical monocytes and MDSC share S100A8/S100A9/S100A12. The marker bridge captures an inflammatory/immature myeloid program that different studies name as classical monocyte or MDSC.		1.0
Different labels, exact marker match (J=1)	Context distinction	relatedMatch	MDSC	MACROPHAGE	hca:0349_10.1038_s41467-023-36296-4_67ae3c1e19	hca:0460_10.1016_j.cell.2021.08.003_652ffcecb6	S100A8;S100A9;S100A12	S100A8;S100A9;S100A12	MDSC and macrophage/disease programs are linked through S100A8/S100A9/S100A12 alarmin genes. This is a disease-context myeloid state rather than a simple identity match.		1.0
Different labels, exact marker match (J=1)	Context distinction	relatedMatch	NAÏVE CD4+ T CELL	CT0B	hca:0366_10.1038_s41467-021-22164-6_097f05776f	hca:0480_10.1038_s41590-019-0398-x_7e5ee33388	TCF7;CCR7;KLF2;LEF1;SELL	TCF7;CCR7;KLF2;LEF1;SELL	Naive CD4 T cells and CT0b both express CCR7/SELL/TCF7/KLF2/LEF1; the CT0b context describes mostly central memory cells. This exposes the continuum between naive and central-memory labels.		1.0
Different labels, exact marker match (J=1)	Context distinction	broadMatch	NAÏVE T CELL	NAÏVE/MEMORY	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	hca:0163_10.1126_sciimmunol.abb4432_91494cf647	TCF7;CCR7;LEF1;SELL	TCF7;CCR7;LEF1;SELL	Naive T cell and naive/memory are essentially different granularities of the same naive/memory marker program.		1.0
Different labels, exact marker match (J=1)	Context distinction	broadMatch	TCM	NAÏVE/MEMORY	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	hca:0163_10.1126_sciimmunol.abb4432_91494cf647	TCF7;CCR7;LEF1;SELL	TCF7;CCR7;LEF1;SELL	TCM and naive/memory share CCR7/SELL/TCF7/LEF1; the broader HCA label groups several clusters under naive/memory.		1.0
Different labels, exact marker match (J=1)	Context distinction	broadMatch	TN	NAÏVE/MEMORY	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	hca:0163_10.1126_sciimmunol.abb4432_91494cf647	TCF7;CCR7;LEF1;SELL	TCF7;CCR7;LEF1;SELL	TN and naive/memory share the same naive markers; this is abbreviation/granularity rather than a distinct biological conflict.		1.0
Different labels, exact marker match (J=1)	Unresolved	unresolved	LUMHR	KRTS+ MACROPHAGE	biorxiv:824fd1db-6db8-1014-aa73-9a84848dcec3	biorxiv:d2042444-7138-1014-94ac-a1f590fd3173	KRT18;KRT8;KRT19	KRT18;KRT8;KRT19	LumHR epithelial cells and KRTs+ macrophages share keratin genes. This is biologically interesting but potentially confounded by epithelial RNA, phagocytosis, doublets, or keratin-positive macrophage annotation; it requires manual follow-up before using as a biological claim.	review before manuscript use	1.0
Different labels, exact marker match (J=1)	Context distinction	relatedMatch	NAÏVE T CELLS	CT0B	hca:0366_10.1038_s41467-021-22164-6_097f05776f	hca:0480_10.1038_s41590-019-0398-x_7e5ee33388	TCF7;CCR7;KLF2;LEF1;SELL	TCF7;CCR7;KLF2;LEF1;SELL	Naive T cells and CT0b are linked by naive/central-memory markers. The source calls CT0b central memory, so this is a state-continuum relation rather than exact identity.		1.0
Different labels, exact marker match (J=1)	Context distinction	relatedMatch	NAÏVE T CELL	TCM	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	TCF7;CCR7;LEF1;SELL	TCF7;CCR7;LEF1;SELL	Naive T cell and TCM share CCR7/SELL/TCF7/LEF1. The bridge captures the shared resting/central-memory axis, not necessarily identical T-cell states.		1.0
Different labels, exact marker match (J=1)	Same name supported	exactMatch	NAÏVE T CELL	TN	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	biorxiv:96c0ca44-7598-1014-bd6e-c97aae1f298a	TCF7;CCR7;LEF1;SELL	TCF7;CCR7;LEF1;SELL	TN is a naive-like T-cell label; the shared markers support a straightforward abbreviation/state alias.		1.0
Different labels, exact marker match (J=1)	Context distinction	narrowMatch	MESENCHYMAL STEM CELL	HTDSCS	biorxiv:2439b48c-6d2d-1014-8b64-9f8fdc0d5fe9	biorxiv:e78eaa01-6c93-1014-839e-bb3dc2108ab1	CD44;CD105;CD90	CD44;CD105;CD90	Mesenchymal stem cell and hTDSC share CD44/CD90/CD105. The relationship maps a general MSC marker panel onto tendon-derived stem cells.		1.0
Different labels, exact marker match (J=1)	Context distinction	broadMatch	CENTRAL MEMORY T CELL	NAIVE OR TCM CELL	hca:0123_10.1371_journal.pone.0267704_5a8157f0f3	hca:0426_10.1038_s41467-019-12464-3_0f8440336d	TCF7;CCR7;SELL	TCF7;CCR7;SELL	Central memory T cell maps to a broader naive-or-TCM label using CCR7/SELL/TCF7. This is a granularity difference in resting CD4 T-cell states.		1.0
Different labels, exact marker match (J=1)	Same name supported	exactMatch	REGULATORY T CELL	TREG	biorxiv:9e5c18fc-76e5-1014-9f81-96148d260e0f	hca:0098_10.1038_s41586-020-03148-w_f50cb505c0	FOXP3;IL7R;CD25	FOXP3;IL7R;CD25	Regulatory T cell and Treg are the same concept; the marker overlap supports nomenclature harmonization rather than state discovery. The second snippet is not very specific and should be checked before using.	review before manuscript use	1.0
