mode	name_judgment	review_resolution_class	cell_type	paper_key_1	paper_key_2	shared_markers	unique_markers_1	unique_markers_2	pairwise_assessment	top_label_neighbor_marker_jaccard
Same label, partial marker overlap (0<J<1)	Same name supported	same_entity_reporting_detail	STEM CELL	biorxiv:8bff4e38-6c13-1014-bcce-e068e3eafd28	hca:0090_10.1038_s41586-021-03852-1_eec89a5e36	OLFM4;SMOC2;LGR5;RGMB		ASCL2	Same stem-cell identity with one paper reporting a more complete canonical marker set.	0.8
Same label, partial marker overlap (0<J<1)	Same name supported	same_entity_reporting_detail	STEM CELL	biorxiv:8bff4e38-6c13-1014-bcce-e068e3eafd28	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446	OLFM4;SMOC2;LGR5;RGMB		ASCL2	Same stem-cell identity with one paper reporting a more complete canonical marker set.	0.8
Same label, partial marker overlap (0<J<1)	Same name supported	same_entity_reporting_detail	B CELL	biorxiv:307b2bd7-6cb9-1014-a6b4-a58a7220bba3	hca:0100_10.1038_s41467-021-22804-x_e7667133b9	CD79B;CD79A;MS4A1	CD19		Same B-cell identity with one paper reporting an extra canonical B-cell surface marker.	0.75
Same label, partial marker overlap (0<J<1)	Same name supported	same_entity_reporting_detail	B CELL	biorxiv:307b2bd7-6cb9-1014-a6b4-a58a7220bba3	hca:0184_10.1016_j.cell.2021.07.023_f621bea088	CD79B;CD79A;MS4A1	CD19		Same B-cell identity with one paper reporting an extra canonical B-cell surface marker.	0.75
Same label, partial marker overlap (0<J<1)	Same name supported	same_entity_reporting_detail	IONOCYTE	biorxiv:cf0d429c-6c7f-1014-a5a8-f09b6915373d	hca:0132_10.1038_s41467-020-16239-z_001d78a35b	CFTR;FOXI1;ASCL3	DMRT2		Same ionocyte identity with one paper reporting an extra regulatory marker.	0.75
Same label, partial marker overlap (0<J<1)	Same name supported	same_entity_reporting_detail	MAST CELL	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	hca:0410_10.3389_fcell.2021.820274_b0973e038f	KIT;TPSAB1;TPSB2		CPA3	Same mast-cell identity with one paper reporting an extra canonical mast-cell marker.	0.75
Same label, partial marker overlap (0<J<1)	Same name supported	same_entity_reporting_detail	MAST CELL	biorxiv:db8af155-6c8b-1014-b5f3-cedb7b3b1723	hca:0410_10.3389_fcell.2021.820274_b0973e038f	CPA3;TPSAB1;TPSB2		KIT	Same mast-cell identity with one paper reporting an extra canonical mast-cell marker.	0.75
Same label, partial marker overlap (0<J<1)	Same name supported	same_entity_reporting_detail	T CELL	biorxiv:1fa7b83f-6da7-1014-a69d-d257852e8dd1	hca:0418_10.1038_s42003-020-0922-4_8904851286	CD3D;CD3E;CD3G		LCK	Same T-cell identity with one paper reporting an extra canonical T-cell signaling marker.	0.75
Same label, partial marker overlap (0<J<1)	Same name supported	same_entity_reporting_detail	T CELL	biorxiv:8e460cfc-7020-1014-9694-e5bf39316223	hca:0418_10.1038_s42003-020-0922-4_8904851286	CD3D;CD3E;CD3G		LCK	Same T-cell identity with one paper reporting an extra canonical T-cell signaling marker.	0.75
Same label, partial marker overlap (0<J<1)	Same name supported	same_entity_reporting_detail	OPC	biorxiv:acd52af7-6c95-1014-8d0b-873ff14c4a57	hca:0385_10.1038_s41586-022-04521-7_37f1f319e2	VCAN;PDGFRA;CSPG4	PTPRZ1;PCDH15		Same OPC identity with one paper reporting a broader canonical OPC marker set.	0.6
