normalized_cell_type	n_profiles	n_papers	mean_local_marker_specificity	median_local_marker_specificity	mean_global_recovery_of_local_markers	median_global_recovery_of_local_markers	mean_global_recovery_of_all_markers	median_global_recovery_of_all_markers	local_to_global_gap
B	3	1	1.0	1.0	0.25	0.25	0.25	0.25	0.75
B CELL	5	5	0.9333333333333332	1.0	0.5	0.6666666666666666	0.4666666666666666	0.6666666666666666	0.43333333333333324
B CELLS	13	3	0.9461538461538462	1.0	0.21474358974358973	0.2	0.21474358974358973	0.2	0.7314102564102565
B MEMORY	3	2	0.5	0.5	0.3333333333333333	0.5	0.2222222222222222	0.25	0.16666666666666669
CD 16 NK	3	2	0.5555555555555555	0.6666666666666666	0.4166666666666667	0.5	0.5694444444444445	0.625	0.13888888888888878
CD 4 NAIVE	4	3	0.24910714285714286	0.2857142857142857	0.0	0.0	0.44553571428571426	0.42857142857142855	0.24910714285714286
CD 4 TFH	3	2	0.5499999999999999	0.5	0.47222222222222215	0.5	0.39999999999999997	0.5	0.07777777777777778
CD 4 TREG	3	2	0.6527777777777778	0.6666666666666666	0.5333333333333333	0.5	0.4583333333333333	0.5	0.11944444444444446
CDC 1	8	4	0.6482142857142857	0.6	0.6502976190476191	0.6666666666666666	0.4044642857142857	0.4	-0.002083333333333326
CDC 2	3	3	0.8666666666666667	1.0	0.7777777777777777	1.0	0.7666666666666666	1.0	0.08888888888888902
COLONOCYTES	4	2	0.6666666666666666	0.6666666666666666	0.16666666666666666	0.16666666666666666	0.25	0.25	0.5
DC	4	3	0.5738095238095238	0.6904761904761905	0.35	0.2	0.36428571428571427	0.42857142857142855	0.2238095238095238
EC	3	2	0.9333333333333332	1.0	0.0	0.0	0.0	0.0	0.9333333333333332
ENDOTHELIAL	3	2	0.9444444444444445	1.0	0.20000000000000004	0.2	0.18888888888888888	0.2	0.7444444444444445
ENDOTHELIAL CELLS	3	2	0.8777777777777778	0.8333333333333334	0.0	0.0	0.0	0.0	0.8777777777777778
ENTEROCYTES	5	2	0.8	1.0	0.0	0.0	0.0	0.0	0.8
EPITHELIAL	5	3	0.8400000000000001	1.0	0.0	0.0	0.0	0.0	0.8400000000000001
GRANULOCYTES	3	2	0.7666666666666666	0.75	0.0	0.0	0.0	0.0	0.7666666666666666
HEPATOCYTES	3	2	1.0	1.0	0.0	0.0	0.0	0.0	1.0
ILC 3	4	2	0.2738095238095238	0.30952380952380953	0.0	0.0	0.47619047619047616	0.47619047619047616	0.2738095238095238
LYMPHATIC ENDOTHELIUM	4	2	0.8	0.85	0.0	0.0	0.0	0.0	0.8
MACROPHAGES	3	3	0.7333333333333334	1.0	0.14814814814814814	0.1111111111111111	0.14814814814814814	0.1111111111111111	0.5851851851851853
MACROPHAGES MONOCYTES	6	2	0.9500000000000001	1.0	0.0	0.0	0.0	0.0	0.9500000000000001
MAST	4	3	0.9166666666666666	1.0	0.7083333333333333	0.75	0.6666666666666666	0.6666666666666666	0.20833333333333337
MAST CELL	3	2	1.0	1.0	0.611111111111111	0.6666666666666666	0.611111111111111	0.6666666666666666	0.38888888888888895
MAST CELLS	4	3	0.925	1.0	0.7261904761904762	0.6666666666666666	0.6833333333333333	0.6666666666666666	0.19880952380952388
MESOTHELIAL CELLS	8	2	1.0	1.0	0.3125	0.3333333333333333	0.3125	0.3333333333333333	0.6875
MONOCYTES	4	2	0.875	1.0	0.0	0.0	0.0	0.0	0.875
NEUTROPHILS	7	3	0.8571428571428571	0.8	0.884920634920635	1.0	0.7420634920634921	0.8	-0.0277777777777779
NK	3	3	0.2974025974025974	0.36363636363636365	0.3055555555555555	0.25	0.7008658008658007	0.7	-0.008152958152958134
NKT	3	2	0.5851851851851851	0.7777777777777778	0.09523809523809523	0.14285714285714285	0.1074074074074074	0.1111111111111111	0.4899470899470899
PC	3	2	0.7777777777777778	1.0	0.0	0.0	0.0	0.0	0.7777777777777778
PDC	13	7	0.8474358974358973	1.0	0.7681318681318682	0.8571428571428571	0.7771062271062271	0.8571428571428571	0.07930402930402913
PERICYTES	8	5	0.8625	0.9	0.35	0.3333333333333333	0.409375	0.4375	0.5125000000000001
PLASMA CELLS	4	2	0.8571428571428572	0.8571428571428572	0.13125	0.1625	0.10267857142857142	0.13392857142857142	0.7258928571428572
SMOOTH MUSCLE CELLS	3	2	0.6777777777777777	0.8	0.12037037037037036	0.1111111111111111	0.32222222222222224	0.2	0.5574074074074074
SMOOTH MUSCLE CELLS SMC	4	2	0.75	0.75	0.22916666666666666	0.29166666666666663	0.25	0.25	0.5208333333333334
T	3	1	0.7777777777777777	0.6666666666666666	0.0	0.0	0.0	0.0	0.7777777777777777
T CELLS	3	2	0.8222222222222223	0.8	0.2833333333333333	0.25	0.2111111111111111	0.2	0.538888888888889
VASCULAR ENDOTHELIUM	3	2	0.7166666666666667	0.75	0.0	0.0	0.0	0.0	0.7166666666666667
