normalized_cell_type	n_profiles	n_papers	mean_local_marker_specificity	median_local_marker_specificity	mean_global_recovery_of_local_markers	median_global_recovery_of_local_markers	mean_global_recovery_of_all_markers	median_global_recovery_of_all_markers	local_to_global_gap
ACINAR CELL	7	7	0.9428571428571428	1.0	0.5	0.3333333333333333	0.5	0.3333333333333333	0.44285714285714284
ADIPOCYTE	5	5	0.825	1.0	0.5833333333333333	0.6666666666666666	0.6833333333333333	0.6666666666666666	0.2416666666666667
ALPHA CELL	6	6	0.9064814814814816	0.975	0.6352296181630547	0.5477941176470588	0.5960239651416123	0.5130718954248366	0.2712518633184269
ASTROCYTE	8	8	0.8645833333333333	1.0	0.5354166666666667	0.5833333333333333	0.5076388888888889	0.5	0.3291666666666666
ASTROCYTES	6	6	0.6861111111111112	0.875	0.2824074074074074	0.24999999999999994	0.32407407407407407	0.29166666666666663	0.40370370370370384
AT 2	8	8	0.704861111111111	0.875	0.4270833333333333	0.41666666666666663	0.4270833333333333	0.5	0.27777777777777773
B CELL	30	30	0.91	1.0	0.6972222222222223	0.75	0.7072222222222222	0.7083333333333333	0.21277777777777773
B CELLS	5	5	1.0	1.0	0.41666666666666663	0.5	0.41666666666666663	0.5	0.5833333333333334
BASAL	6	6	0.7777777777777777	0.8333333333333333	0.4861111111111111	0.4583333333333333	0.5416666666666666	0.5	0.2916666666666666
BASAL CELL	7	7	0.7119047619047619	0.75	0.49523809523809526	0.5	0.6166666666666666	0.6666666666666666	0.21666666666666667
BETA CELL	10	10	0.9188387635756057	1.0	0.4658681630546956	0.53125	0.4552558479532164	0.5034722222222222	0.4529706005209101
CARDIOMYOCYTE	8	8	0.930921052631579	1.0	0.3412698412698413	0.38888888888888884	0.3703268588137009	0.38011695906432746	0.5896512113617377
CD 4 T CELL	17	17	0.671721415839063	0.6666666666666666	0.5377578304048892	0.5714285714285714	0.5017125031830915	0.5454545454545454	0.13396358543417375
CD 8 T CELL	15	15	0.7302222222222222	0.8888888888888888	0.5040909090909091	0.5	0.4828686868686869	0.5	0.22613131313131307
CDC 1	9	9	0.9629629629629629	1.0	0.7878306878306878	0.8	0.7693121693121694	0.8	0.17513227513227514
CDC 2	9	9	0.865993265993266	1.0	0.624074074074074	0.5	0.5572390572390573	0.5	0.24191919191919198
CELL	19	8	0.8551777170198221	0.9090909090909092	0.4557547715442452	0.4	0.47169803880330197	0.5	0.39942294547557694
CLUSTER 1	13	13	0.7807692307692308	1.0	0.04852071005917159	0.0	0.07416173570019723	0.0	0.7322485207100592
CLUSTER 2	18	18	0.8128590545257212	0.873015873015873	0.1712962962962963	0.0	0.1431483639816973	0.03846153846153845	0.6415627582294249
CLUSTER 3	11	11	0.6606983702571938	0.8	0.13484848484848483	0.0	0.09966577540106951	0.0625	0.525849885408709
CLUSTER 4	11	11	0.7592286501377411	1.0	0.03856749311294765	0.0	0.03856749311294765	0.0	0.7206611570247935
CLUSTER 5	9	9	0.7518518518518519	1.0	0.10185185185185185	0.0	0.12407407407407407	0.0	0.65
DC	5	5	0.95	1.0	0.10666666666666666	0.0	0.10666666666666666	0.0	0.8433333333333333
DELTA CELL	5	5	0.9333333333333333	1.0	0.625	0.625	0.635	0.625	0.30833333333333335
DENDRITIC CELL	6	6	0.8888888888888888	1.0	0.0	0.0	0.0	0.0	0.8888888888888888
DUCTAL CELL	5	5	0.95	1.0	0.24999999999999994	0.1666666666666666	0.24999999999999994	0.1666666666666666	0.7
EC	7	7	0.9260204081632654	1.0	0.3136672850958565	0.2	0.3386672850958565	0.375	0.6123531230674089
ENDOTHELIAL	5	5	0.8333333333333333	1.0	0.36666666666666664	0.5	0.4333333333333333	0.5	0.4666666666666666
ENDOTHELIAL CELL	28	28	0.8961143023643023	1.0	0.6452368856504195	0.6666666666666666	0.6176568685497257	0.6666666666666666	0.25087741671388286
ENTEROCYTE	6	6	1.0	1.0	0.6555555555555556	0.6333333333333333	0.6555555555555556	0.6333333333333333	0.34444444444444444
ENTEROENDOCRINE CELL	7	7	0.8952380952380953	1.0	0.569047619047619	0.5	0.6023809523809524	0.6666666666666666	0.32619047619047625
EPITHELIAL CELL	7	7	0.8571428571428571	1.0	0.8285714285714285	1.0	0.7333333333333334	0.8	0.02857142857142858
EXCITATORY NEURON	5	5	0.8923076923076924	1.0	0.37777777777777777	0.3333333333333333	0.34188034188034183	0.2222222222222222	0.5145299145299146
FB 1	5	5	0.8	1.0	0.2452380952380952	0.0833333333333333	0.3738095238095238	0.2857142857142857	0.5547619047619048
FIBROBLAST	27	27	0.8715167548500882	1.0	0.6862433862433862	0.7	0.6870370370370371	0.75	0.18527336860670196
FIBROBLASTS	6	6	0.8250000000000001	1.0	0.27777777777777773	0.16666666666666666	0.27777777777777773	0.16666666666666666	0.5472222222222223
GOBLET CELL	8	8	0.8809523809523809	1.0	0.6452380952380952	0.7	0.6345238095238095	0.6571428571428571	0.23571428571428577
HEPATOCYTE	5	5	0.9666666666666666	1.0	0.33238095238095233	0.4	0.35238095238095235	0.4285714285714285	0.6342857142857142
HSC	5	5	0.8126728110599079	0.75	0.3807246376811594	0.4	0.3784254992319508	0.4	0.43194817337874847
IMMUNE CELL	6	6	0.9444444444444443	1.0	0.05555555555555555	0.0	0.05555555555555555	0.0	0.8888888888888887
MAC 2	5	5	0.7964285714285715	0.8571428571428571	0.5	0.5	0.61	0.75	0.2964285714285715
MACROPHAGE	29	29	0.9250821018062397	1.0	0.6046419098143236	0.6666666666666666	0.5903530377668308	0.6666666666666666	0.3204401919919161
MACROPHAGES	6	6	0.880701754385965	1.0	0.29615384615384616	0.35	0.2921052631578947	0.35	0.5845479082321188
MAST CELL	15	15	0.9396825396825397	1.0	0.8333333333333334	1.0	0.8412698412698413	1.0	0.1063492063492063
MELANOCYTE	7	7	0.9523809523809523	1.0	0.8928571428571429	1.0	0.8928571428571429	1.0	0.05952380952380942
MEMORY B CELL	5	5	0.823076923076923	1.0	0.5	0.5	0.55	0.6666666666666666	0.32307692307692304
MESENCHYMAL	7	7	1.0	1.0	0.6952380952380952	0.6666666666666666	0.6952380952380952	0.6666666666666666	0.3047619047619048
MICROGLIA	18	18	0.9371595860566448	1.0	0.6250071823601235	0.7238095238095238	0.5929738562091503	0.6274509803921569	0.3121524036965213
MONOCYTE	21	21	0.8761904761904761	1.0	0.45674603174603173	0.5	0.48055555555555557	0.5	0.41944444444444434
MYELOID CELL	10	10	0.9550000000000001	1.0	0.3416666666666667	0.3333333333333333	0.35333333333333333	0.3333333333333333	0.6133333333333334
MYOFIBROBLAST	8	8	0.7643172799422799	0.8452380952380952	0.571875	0.6041666666666666	0.5817550505050505	0.5416666666666666	0.19244227994227991
MYOFIBROBLASTS	5	5	0.8	1.0	0.52	0.4	0.5866666666666667	0.4	0.28
NK CELL	12	12	0.8760912698412698	1.0	0.6061507936507936	0.7083333333333333	0.6060515873015873	0.6904761904761905	0.26994047619047623
OLIGODENDROCYTE	7	7	0.9714285714285714	1.0	0.6309523809523808	0.6666666666666666	0.6023809523809524	0.6666666666666666	0.3404761904761906
OPC	5	5	0.8857142857142858	1.0	0.6422222222222222	0.6	0.566031746031746	0.5	0.24349206349206354
PC	5	5	0.9	0.8666666666666667	0.2	0.0	0.22000000000000003	0.0	0.7
PERICYTE	13	13	0.917948717948718	1.0	0.782051282051282	1.0	0.7769230769230769	1.0	0.13589743589743597
PLASMA CELL	15	15	0.9448717948717948	1.0	0.788888888888889	1.0	0.7914529914529915	1.0	0.15598290598290587
PODOCYTE	7	7	0.7766439909297053	0.8	0.5738705738705738	0.5555555555555556	0.5634920634920635	0.5555555555555556	0.20277341705913143
SMC	5	5	0.9418181818181818	1.0	0.44666666666666666	0.3333333333333333	0.47212121212121205	0.4	0.4951515151515151
SMOOTH MUSCLE CELL	9	9	0.8796296296296295	1.0	0.6185185185185185	0.5	0.6370370370370371	0.6666666666666666	0.26111111111111107
STEM CELL	7	7	0.8285714285714285	1.0	0.6607142857142857	1.0	0.6749999999999999	1.0	0.16785714285714282
T CELL	34	33	0.9029878618113912	1.0	0.8015215176979883	1.0	0.8267549444020033	1.0	0.10146634411340294
T CELLS	5	5	0.9555555555555555	1.0	0.27	0.0	0.27	0.0	0.6855555555555555
TREG	15	15	0.7325146198830409	0.8	0.6858465608465608	0.75	0.7339167362851574	0.75	0.04666805903648008
TUFT CELL	5	5	0.9333333333333332	1.0	0.5696969696969697	0.5	0.5696969696969697	0.5	0.36363636363636354
