profile_idx_a	profile_idx_b	paper_key_a	paper_key_b	cell_type_a	cell_type_b	normalized_cell_type_a	normalized_cell_type_b	label_relation	label_linked	n_markers_a	n_markers_b	n_shared	n_union	jaccard	shared_gene_ids	shared_gene_names	weighted_gene_score	weighted_gene_probability
0	1	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	biorxiv:396ad855-6e2e-1014-85f5-9bd33dea0f81	CD14+ MONOCYTE	CD14+ MONOCYTE	CD 14 MONOCYTE	CD 14 MONOCYTE	Exact	1	4	7	3	8	0.375	ENSG00000131981;ENSG00000143546;ENSG00000170458	LGALS3;S100A8;CD14	-0.5003157029630767	0.3774664802986703
0	2	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	biorxiv:5200cce7-72d7-1014-98f6-994ae061fa4b	CD14+ MONOCYTE	MONOCYTE	CD 14 MONOCYTE	MONOCYTE	Partial	1	4	3	1	6	0.16666666666666666	ENSG00000143546	S100A8	0.0	0.5
0	3	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	biorxiv:a6ffed23-717d-1014-ae02-d2e67f78dddd	CD14+ MONOCYTE	MYELOID CELL	CD 14 MONOCYTE	MYELOID CELL	Different	0	4	3	1	6	0.16666666666666666	ENSG00000090382	LYZ	-0.274449251234396	0.4318151381079454
0	4	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	biorxiv:b88cbe76-6c0b-1014-a018-e498be98267a	CD14+ MONOCYTE	MACROPHAGE	CD 14 MONOCYTE	MACROPHAGE	Different	0	4	3	2	5	0.4	ENSG00000090382;ENSG00000170458	LYZ;CD14	-0.7747649541974727	0.3154492535055493
0	5	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	biorxiv:c245f005-7ab6-1014-adbd-b49bd8bfffbc	CD14+ MONOCYTE	MONOCYTE	CD 14 MONOCYTE	MONOCYTE	Partial	1	4	3	2	5	0.4	ENSG00000090382;ENSG00000170458	LYZ;CD14	-0.7747649541974727	0.3154492535055493
0	6	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	biorxiv:c8264099-6fc3-1014-9d27-9ae05a0c1d33	CD14+ MONOCYTE	MONOCYTE	CD 14 MONOCYTE	MONOCYTE	Partial	1	4	3	2	5	0.4	ENSG00000143546;ENSG00000170458	S100A8;CD14	-0.5003157029630767	0.3774664802986703
0	7	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	biorxiv:d2042444-7138-1014-94ac-a1f590fd3173	CD14+ MONOCYTE	MONOCYTE	CD 14 MONOCYTE	MONOCYTE	Partial	1	4	3	1	6	0.16666666666666666	ENSG00000143546	S100A8	0.0	0.5
0	8	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CD14+ MONOCYTE	CDC2.1	CD 14 MONOCYTE	CDC 2 1	Different	0	4	5	2	7	0.2857142857142857	ENSG00000143546;ENSG00000170458	S100A8;CD14	-0.5003157029630767	0.3774664802986703
0	9	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	biorxiv:e6e04172-6c15-1014-9229-c57ac33d21f6	CD14+ MONOCYTE	MONOCYTE	CD 14 MONOCYTE	MONOCYTE	Partial	1	4	4	3	5	0.6	ENSG00000090382;ENSG00000143546;ENSG00000170458	LYZ;S100A8;CD14	-0.7747649541974727	0.3154492535055493
0	10	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	biorxiv:ebaf49e5-7438-1014-8951-c3e925f71d14	CD14+ MONOCYTE	DYSFUNCTIONAL CD14 MONOCYTE	CD 14 MONOCYTE	DYSFUNCTIONAL CD 14 MONOCYTE	Partial	1	4	5	1	8	0.125	ENSG00000143546	S100A8	0.0	0.5
0	11	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	biorxiv:f3be1d12-72db-1014-a9a0-ac8d78e3151e	CD14+ MONOCYTE	MONOCYTE-DERIVED CELL	CD 14 MONOCYTE	MONOCYTE DERIVED CELL	Partial	1	4	3	1	6	0.16666666666666666	ENSG00000143546	S100A8	0.0	0.5
0	12	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	biorxiv:f3be1d12-72db-1014-a9a0-ac8d78e3151e	CD14+ MONOCYTE	MYELOID CELL	CD 14 MONOCYTE	MYELOID CELL	Different	0	4	3	2	5	0.4	ENSG00000090382;ENSG00000170458	LYZ;CD14	-0.7747649541974727	0.3154492535055493
0	13	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	biorxiv:f787a6d9-6ce3-1014-a3f6-a662a1333571	CD14+ MONOCYTE	MONOCYTES	CD 14 MONOCYTE	MONOCYTES	Different	0	4	3	2	5	0.4	ENSG00000143546;ENSG00000170458	S100A8;CD14	-0.5003157029630767	0.3774664802986703
0	14	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	hca:0109_10.7554_elife.91792.1_056dda27be	CD14+ MONOCYTE	INFLAMMATORY MONOCYTES	CD 14 MONOCYTE	INFLAMMATORY MONOCYTES	Different	0	4	4	2	6	0.3333333333333333	ENSG00000143546;ENSG00000170458	S100A8;CD14	-0.5003157029630767	0.3774664802986703
0	15	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	hca:0109_10.7554_elife.91792.1_056dda27be	CD14+ MONOCYTE	MONOCYTES	CD 14 MONOCYTE	MONOCYTES	Different	0	4	5	2	7	0.2857142857142857	ENSG00000143546;ENSG00000170458	S100A8;CD14	-0.5003157029630767	0.3774664802986703
0	16	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	hca:0207_10.1016_j.immuni.2020.11.017_b182001861	CD14+ MONOCYTE	MONOCYTE	CD 14 MONOCYTE	MONOCYTE	Partial	1	4	3	2	5	0.4	ENSG00000143546;ENSG00000170458	S100A8;CD14	-0.5003157029630767	0.3774664802986703
0	17	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	hca:0284_10.1002_hep4.1854_fe09f5fe1e	CD14+ MONOCYTE	INFLAMMATORY MACROPHAGES	CD 14 MONOCYTE	INFLAMMATORY MACROPHAGES	Different	0	4	3	2	5	0.4	ENSG00000090382;ENSG00000143546	LYZ;S100A8	-0.274449251234396	0.4318151381079454
0	18	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	hca:0325_10.1016_j.celrep.2017.10.030_a9d12a5d7c	CD14+ MONOCYTE	MACROPHAGES	CD 14 MONOCYTE	MACROPHAGES	Different	0	4	5	2	7	0.2857142857142857	ENSG00000143546;ENSG00000170458	S100A8;CD14	-0.5003157029630767	0.3774664802986703
0	19	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	hca:0349_10.1038_s41467-023-36296-4_67ae3c1e19	CD14+ MONOCYTE	MDSC	CD 14 MONOCYTE	MDSC	Different	0	4	3	1	6	0.16666666666666666	ENSG00000143546	S100A8	0.0	0.5
0	20	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	hca:0414_10.1186_s13059-020-02210-0_30c1533a3e	CD14+ MONOCYTE	MONOCYTE	CD 14 MONOCYTE	MONOCYTE	Partial	1	4	4	1	7	0.14285714285714285	ENSG00000143546	S100A8	0.0	0.5
0	21	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	hca:0460_10.1016_j.cell.2021.08.003_652ffcecb6	CD14+ MONOCYTE	MACROPHAGE	CD 14 MONOCYTE	MACROPHAGE	Different	0	4	3	1	6	0.16666666666666666	ENSG00000143546	S100A8	0.0	0.5
0	25	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	hca:0068_10.1093_ibd_izac201_351dddd961	CD14+ MONOCYTE	MACROPHAGE	CD 14 MONOCYTE	MACROPHAGE	Different	0	4	3	1	6	0.16666666666666666	ENSG00000143546	S100A8	0.0	0.5
0	27	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	hca:0161_10.1681_asn.2020030326_bf5d42b566	CD14+ MONOCYTE	DONOR MACROPHAGE	CD 14 MONOCYTE	DONOR MACROPHAGE	Different	0	4	6	1	9	0.1111111111111111	ENSG00000170458	CD14	-0.5003157029630767	0.3774664802986703
0	33	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	biorxiv:ab05f819-6c04-1014-81aa-9646e853264a	CD14+ MONOCYTE	MONOCYTE	CD 14 MONOCYTE	MONOCYTE	Partial	1	4	3	1	6	0.16666666666666666	ENSG00000170458	CD14	-0.5003157029630767	0.3774664802986703
