example	marker_cluster	gene_id	gene_name	label_group_f1	marker_group_f1	delta_marker_minus_label
TREG	2	ENSG00000135077	HAVCR2	0.04444444444444444	0.46511627906976744	0.420671834625323
TREG	2	ENSG00000089692	LAG3	0.0	0.3711340206185567	0.3711340206185567
TREG	2	ENSG00000188389	PDCD1	0.03125	0.3619047619047619	0.3306547619047619
TREG	2	ENSG00000163599	CTLA4	0.3380281690140845	0.6071428571428571	0.2691146881287726
TREG	2	ENSG00000156234	CXCL13	0.0	0.1951219512195122	0.1951219512195122
TREG	2	ENSG00000181847	TIGIT	0.3018867924528302	0.46808510638297873	0.16619831393014856
TREG	2	ENSG00000157404	KIT	0.0	0.10204081632653061	0.10204081632653061
TREG	2	ENSG00000143365	RORC	0.05	0.1481481481481481	0.09814814814814811
TREG	2	ENSG00000168685	IL7R	0.046511627906976744	0.14173228346456693	0.09522065555759018
TREG	2	ENSG00000134460	IL2RA	0.27450980392156865	0.3695652173913044	0.09505541346973573
TREG	2	ENSG00000198846	TOX	0.06451612903225808	0.1388888888888889	0.07437275985663082
TREG	2	ENSG00000030419	IKZF2	0.08333333333333334	0.15384615384615385	0.07051282051282051
TREG	2	ENSG00000153283	CD96	0.0	0.05970149253731343	0.05970149253731343
TREG	2	ENSG00000111537	IFNG	0.0	0.058823529411764705	0.058823529411764705
TREG	2	ENSG00000185291	IL3RA	0.0	0.05797101449275363	0.05797101449275363
TREG	2	ENSG00000186810	CXCR3	0.0	0.05633802816901408	0.05633802816901408
TREG	2	ENSG00000188404	SELL	0.0	0.03636363636363636	0.03636363636363636
TREG	2	ENSG00000089012	SIRPG	0.0	0.03508771929824561	0.03508771929824561
TREG	2	ENSG00000096264	NCR2	0.0	0.03448275862068965	0.03448275862068965
TREG	2	ENSG00000180644	PRF1	0.0	0.03448275862068965	0.03448275862068965
TREG	2	ENSG00000134256	CD101	0.0	0.03389830508474576	0.03389830508474576
TREG	2	ENSG00000185338	SOCS1	0.0	0.03333333333333333	0.03333333333333333
TREG	2	ENSG00000100453	GZMB	0.0	0.03278688524590164	0.03278688524590164
TREG	2	ENSG00000106546	AHR	0.0	0.03225806451612903	0.03225806451612903
TREG	2	ENSG00000126353	CCR7	0.0	0.031746031746031744	0.031746031746031744
TREG	2	ENSG00000115594	IL1R1	0.0	0.03125	0.03125
TREG	2	ENSG00000162594	IL23R	0.0	0.03125	0.03125
TREG	2	ENSG00000099250	NRP1	0.0	0.03076923076923077	0.03076923076923077
TREG	2	ENSG00000127318	IL22	0.0	0.03076923076923077	0.03076923076923077
TREG	2	ENSG00000173762	CD7	0.0	0.029850746268656716	0.029850746268656716
TREG	2	ENSG00000111796	KLRB1	0.0	0.024096385542168676	0.024096385542168676
TREG	2	ENSG00000004468	CD38	0.0	0.021978021978021976	0.021978021978021976
TREG	2	ENSG00000274221	CCL3	0.0	0.019417475728155338	0.019417475728155338
TREG	2	ENSG00000026508	CD44	0.0	0.018691588785046728	0.018691588785046728
TREG	2	ENSG00000139193	CD27	0.034482758620689655	0.0404040404040404	0.005921281783350746
TREG	2	ENSG00000057657	PRDM1	0.05128205128205127	0.05	-0.0012820512820512706
TREG	2	ENSG00000049768	FOXP3	0.45833333333333326	0.449438202247191	-0.00889513108614226
TREG	2	ENSG00000186891	TNFRSF18	0.1818181818181818	0.16216216216216214	-0.019656019656019652
TREG	2	ENSG00000204381	LAYN	0.19047619047619044	0.16129032258064516	-0.02918586789554528
TREG	2	ENSG00000178573	MAF	0.05714285714285715	0.026315789473684206	-0.030827067669172942
