example	group_name	gene_id	gene_name	n_profiles_group	n_profiles_with_gene_in_group	n_profiles_with_gene_global	coverage	purity	outside_prevalence	coverage_purity_hmean
TREG	label group TREG	ENSG00000049768	FOXP3	15	11	33	0.7333333333333333	0.3333333333333333	0.006594724220623501	0.45833333333333326
TREG	label group TREG	ENSG00000163599	CTLA4	15	12	56	0.8	0.21428571428571427	0.013189448441247002	0.3380281690140845
TREG	label group TREG	ENSG00000181847	TIGIT	15	8	38	0.5333333333333333	0.21052631578947367	0.008992805755395683	0.3018867924528302
TREG	label group TREG	ENSG00000156127	BATF	15	4	13	0.26666666666666666	0.3076923076923077	0.002697841726618705	0.28571428571428575
TREG	label group TREG	ENSG00000134460	IL2RA	15	7	36	0.4666666666666667	0.19444444444444445	0.00869304556354916	0.27450980392156865
TREG	label group TREG	ENSG00000186827	TNFRSF4	15	4	19	0.26666666666666666	0.21052631578947367	0.0044964028776978415	0.23529411764705882
TREG	label group TREG	ENSG00000049249	TNFRSF9	15	3	12	0.2	0.25	0.002697841726618705	0.22222222222222224
TREG	label group TREG	ENSG00000163600	ICOS	15	4	21	0.26666666666666666	0.19047619047619047	0.005095923261390888	0.2222222222222222
TREG	label group TREG	ENSG00000204381	LAYN	15	2	6	0.13333333333333333	0.3333333333333333	0.001199040767386091	0.19047619047619044
TREG	label group TREG	ENSG00000186891	TNFRSF18	15	3	18	0.2	0.16666666666666666	0.0044964028776978415	0.1818181818181818
TREG	label group TREG	ENSG00000173221	GLRX	15	1	1	0.06666666666666667	1.0	0.0	0.125
TREG	label group TREG	ENSG00000187601	MAGEH1	15	1	1	0.06666666666666667	1.0	0.0	0.125
TREG	label group TREG	ENSG00000182010	RTKN2	15	1	1	0.06666666666666667	1.0	0.0	0.125
TREG	label group TREG	ENSG00000162645	GBP2	15	1	1	0.06666666666666667	1.0	0.0	0.125
TREG	label group TREG	ENSG00000203780	FANK1	15	1	1	0.06666666666666667	1.0	0.0	0.125
TREG	label group TREG	ENSG00000172725	CORO1B	15	1	1	0.06666666666666667	1.0	0.0	0.125
TREG	label group TREG	ENSG00000134594	RAB33A	15	1	1	0.06666666666666667	1.0	0.0	0.125
TREG	label group TREG	ENSG00000100528	CNIH1	15	1	1	0.06666666666666667	1.0	0.0	0.125
TREG	label group TREG	ENSG00000136738	STAM	15	1	1	0.06666666666666667	1.0	0.0	0.125
TREG	label group TREG	ENSG00000233276	GPX1	15	1	2	0.06666666666666667	0.5	0.00029976019184652276	0.11764705882352941
TREG	label group TREG	ENSG00000150347	ARID5B	15	1	2	0.06666666666666667	0.5	0.00029976019184652276	0.11764705882352941
TREG	label group TREG	ENSG00000003147	ICA1	15	1	2	0.06666666666666667	0.5	0.00029976019184652276	0.11764705882352941
TREG	label group TREG	ENSG00000167618	LAIR2	15	1	3	0.06666666666666667	0.3333333333333333	0.0005995203836930455	0.1111111111111111
TREG	label group TREG	ENSG00000179934	CCR8	15	1	3	0.06666666666666667	0.3333333333333333	0.0005995203836930455	0.1111111111111111
TREG	label group TREG	ENSG00000204936	CD177	15	1	3	0.06666666666666667	0.3333333333333333	0.0005995203836930455	0.1111111111111111
TREG	label group TREG	ENSG00000134352	IL6ST	15	1	5	0.06666666666666667	0.2	0.001199040767386091	0.1
TREG	label group TREG	ENSG00000121594	CD80	15	1	5	0.06666666666666667	0.2	0.001199040767386091	0.1
TREG	label group TREG	ENSG00000124191	TOX2	15	1	6	0.06666666666666667	0.16666666666666666	0.001498800959232614	0.09523809523809522
