normalized_cell_type	display_label	n_profiles	n_papers	mean_silhouette	mean_within_jaccard
ERYTHROCYTE	ERYTHROCYTE	3	3	0.6618357487922705	0.6666666666666666
MACRO CCL	MACRO-CCL	3	3	0.5865952997486051	0.619047619047619
CHONDROCYTE	CHONDROCYTE	3	3	0.37219302436693735	0.42857142857142855
MELANOCYTE	MELANOCYTE	7	7	0.344028015010363	0.3888888888888889
OLIGODENDROCYTES	OLIGODENDROCYTES	4	4	0.33626332446863233	0.5726190476190476
ABERRANT BASALOID CELL	ABERRANT BASALOID CELL	3	3	0.31259059901470554	0.3576097105508871
PROXIMAL TUBULE	PROXIMAL TUBULE	4	4	0.2958289167387945	0.37222222222222223
ILC 3	ILC3	4	4	0.2643023000215984	0.3336339586339586
STEM CELL	STEM CELL	7	7	0.2290300120159378	0.2788593215063803
MONOCYTES	MONOCYTES	3	3	0.22249817195961583	0.39444444444444443
ADIPOCYTE	ADIPOCYTE	5	5	0.20172104128137672	0.21539682539682542
OPC	OPC	5	5	0.19593273234225778	0.23724025974025972
MAST CELL	MAST CELL	15	15	0.1939720807343114	0.246984126984127
PLASMABLAST	PLASMABLAST	4	4	0.18570177261392795	0.3388888888888889
ENTEROCYTE	ENTEROCYTE	6	6	0.17697638907407534	0.21182539682539683
ENTEROENDOCRINE CELL	ENTEROENDOCRINE CELL	7	7	0.1689851541175613	0.24854497354497354
CDC 1	CDC1	11	11	0.16422626120699776	0.2534920634920635
NATURAL KILLER NK CELL	NATURAL KILLER (NK) CELL	4	4	0.1544271020373961	0.3555555555555555
MREGDC	MREGDC	3	3	0.13400417412045315	0.1923076923076923
TE	TE	4	4	0.12142974003475634	0.17389092389092387
OSTEOCLAST	OSTEOCLAST	3	3	0.10851800359510176	0.12962962962962968
MESOTHELIAL CELL	MESOTHELIAL CELL	3	3	0.10174884308707081	0.1777777777777778
ALPHA CELL	ALPHA CELL	6	6	0.10110912794724096	0.1470258166916171
ATRIAL CARDIOMYOCYTE	ATRIAL CARDIOMYOCYTE	3	3	0.09826482249052704	0.14285714285714288
MAC 1	MAC1	3	3	0.09124255033201921	0.2101972101972102
DELTA CELL	DELTA CELL	5	5	0.08889987538382618	0.16854700854700852
NEURONAL CELL	NEURONAL CELL	3	3	0.0857142857142857	0.16666666666666666
CDC 2	CDC2	9	9	0.08491036911892412	0.1384004884004884
LYMPHATIC ENDOTHELIAL CELL	LYMPHATIC ENDOTHELIAL CELL	4	4	0.07047064037376478	0.1333333333333333
ACINAR CELL	ACINAR CELL	7	7	0.06752866928305505	0.09569160997732427
ASTROCYTE	ASTROCYTE	8	8	0.06704662577170499	0.13102215245072385
PODOCYTE	PODOCYTE	7	7	0.0646172623622133	0.13462629533240844
TUFT CELL	TUFT CELL	5	5	0.06255240868367698	0.1203117144293615
BIPOLAR CELL	BIPOLAR CELL	4	4	0.059450483091787396	0.07638888888888888
MEMORY B CELL	MEMORY B CELL	5	5	0.0546303212752358	0.20166666666666666
MULLER GLIA	MÜLLER GLIA	4	4	0.05237658804140234	0.10916791541791543
RPE	RPE	3	3	0.04852243167460558	0.09294871794871791
HSC	HSC	5	5	0.034898269018571106	0.07758180544945249
NEUTROPHIL	NEUTROPHIL	4	4	0.030877050493550332	0.06712962962962962
EXCITATORY NEURON	EXCITATORY NEURON	5	5	0.028185638272298662	0.09151515151515151
GOBLET CELL	GOBLET CELL	8	8	0.025312227019670345	0.1719816889459747
NEPHRON PROGENITOR	NEPHRON PROGENITOR	4	4	0.02373558104573616	0.06845238095238093
EXHAUSTED CD 8 T CELL	EXHAUSTED CD8 T CELL	4	4	0.023615357127953304	0.11210317460317462
MYOFIBROBLAST	MYOFIBROBLAST	8	8	0.02231311168696258	0.13984273968211192
FIB 1	FIB1	3	3	0.017871193241485197	0.06666666666666665
INTERNEURON	INTERNEURON	4	4	0.017362431637671392	0.27678571428571425
ROD	ROD	3	3	0.015426414242848685	0.07196969696969695
HEPATOCYTE	HEPATOCYTE	5	5	0.01180614430842413	0.06777777777777778
BETA CELL	BETA CELL	10	10	0.01066024412013839	0.06687319555514765
NK	NK	3	3	0.008109507983681208	0.26666666666666666
MAC 2	MAC2	5	5	0.007463464641122011	0.11944444444444444
TREG	TREG	15	15	0.005699845051237782	0.2004648898859425
CD 14 MONOCYTE	CD14+ MONOCYTE	3	3	0.0005834633281615297	0.23611111111111108
MYOFIBROBLASTS	MYOFIBROBLASTS	5	5	-0.00032826067937204856	0.1553846153846154
PDCS	PDCS	3	3	-0.006744542106655278	0.21203703703703702
B CELLS	B CELLS	5	5	-0.011715853269285748	0.17761904761904762
AT 2	AT2	10	10	-0.012696061157848836	0.0589337822671156
T CELL	T CELL	38	37	-0.015491758854485782	0.11956701555039506
FB 4	FB4	3	3	-0.018554077267157975	0.08333333333333333
GC B CELL	GC B CELL	4	4	-0.019281937869602386	0.04555860805860804
INHIBITORY NEURON	INHIBITORY NEURON	3	3	-0.01942631630369518	0.25
MESANGIAL CELL	MESANGIAL CELL	4	4	-0.021412355006105045	0.023809523809523798
DUCTAL CELL	DUCTAL CELL	5	5	-0.023606570000386844	0.05277777777777778
PERICYTE	PERICYTE	14	14	-0.026529867687353693	0.1299220620649192
CARDIOMYOCYTE	CARDIOMYOCYTE	9	9	-0.02905249295889321	0.030932766687597604
MICROGLIA	MICROGLIA	18	18	-0.030185624215496712	0.04228405018148907
PLASMA CELL	PLASMA CELL	16	16	-0.034315677865156956	0.10990588115588115
FIBROBLAST	FIBROBLAST	29	29	-0.03578543035469339	0.08446198308919259
EPI 4	EPI-4	3	3	-0.03652392580964007	0.0
IMMUNE	IMMUNE	3	3	-0.03698856705943137	0.06730769230769229
EPIBLAST	EPIBLAST	3	3	-0.03745100877938126	0.20573870573870576
ASTROCYTES	ASTROCYTES	6	6	-0.03837589624968681	0.04057840307840308
