label_token	display_label_token	n_profiles_with_token	n_papers_with_token	n_cross_paper_pairs_with_token	marker_linked_fraction	background_marker_linked_fraction	marker_linked_lift	mean_marker_jaccard	background_mean_marker_jaccard	mean_marker_jaccard_lift
melanocyte	melanocyte	7	7	21	1.0	0.020020112654446982	49.94976887794257	0.38888888888888895	0.0026539779524491726	146.53056500714723
myoepithelial	myoepithelial	8	6	26	0.8461538461538461	0.020020112654446982	42.26518905056678	0.2991758241758242	0.0026539779524491726	112.72732085047487
astrocyte	astrocyte	14	12	88	0.8181818181818182	0.020020112654446982	40.86799271831665	0.1341316808562797	0.0026539779524491726	50.539862523160316
cone	cone	7	7	21	0.8095238095238095	0.020020112654446982	40.43552718690589	0.1179209449395785	0.0026539779524491726	44.43177262673091
enteroendocrine	enteroendocrine	9	8	35	0.8	0.020020112654446982	39.95981510235406	0.1960997732426304	0.0026539779524491726	73.88899861118419
tuft	tuft	8	8	28	0.75	0.020020112654446982	37.462326658456924	0.10833256962458644	0.0026539779524491726	40.818941063400246
best	best	7	6	20	0.75	0.020020112654446982	37.462326658456924	0.3402777777777778	0.0026539779524491726	128.2142443812538
treg	treg	23	20	250	0.74	0.020020112654446982	36.962828969677496	0.18386431244699925	0.0026539779524491726	69.27876408216714
myofibroblast	myofibroblast	11	11	55	0.7090909090909091	0.020020112654446982	35.41892702254109	0.10597576316671632	0.0026539779524491726	39.93091316712658
muller	muller	7	6	20	0.7	0.020020112654446982	34.96483821455979	0.07810587288528464	0.0026539779524491726	29.4297369023756
exhausted	exhausted	12	9	63	0.6984126984126984	0.020020112654446982	34.885552867134486	0.14059431723997548	0.0026539779524491726	52.97493790791695
mast	mast	16	16	120	0.6833333333333333	0.020020112654446982	34.132342066594084	0.2522685185185184	0.0026539779524491726	95.0529819909458
alpha	alpha	8	8	28	0.5714285714285714	0.020020112654446982	28.542725073110034	0.08054954465622345	0.0026539779524491726	30.3504950302582
cytotoxic	cytotoxic	13	12	77	0.5584415584415584	0.020020112654446982	27.894026775993897	0.1163488620707872	0.0026539779524491726	43.83942299272565
ciliated	ciliated	8	4	22	0.5454545454545454	0.020020112654446982	27.24532847887776	0.08286435786435786	0.0026539779524491726	31.222700168962625
goblet	goblet	18	16	151	0.5231788079470199	0.020020112654446982	26.132660538791143	0.11026282400454579	0.0026539779524491726	41.546247173150725
smooth	smooth	19	18	170	0.5176470588235295	0.020020112654446982	25.856350948582037	0.1389962651727357	0.0026539779524491726	52.372803264799416
beta	beta	14	13	90	0.5	0.020020112654446982	24.974884438971284	0.0517701852033257	0.0026539779524491726	19.50663725580334
proliferating	proliferating	13	12	77	0.4935064935064935	0.020020112654446982	24.650535290413213	0.12588126159554733	0.0026539779524491726	47.431163276763556
lymphatic	lymphatic	12	12	66	0.48484848484848486	0.020020112654446982	24.218069759002457	0.09203897953897958	0.0026539779524491726	34.67963230592898
isg	isg	11	6	44	0.4772727272727273	0.020020112654446982	23.839662419018044	0.09623231134893816	0.0026539779524491726	36.25964988146643
adipocyte	adipocyte	11	5	34	0.47058823529411764	0.020020112654446982	23.50577358962003	0.08988201341142518	0.0026539779524491726	33.866902823544294
proximal	proximal	10	8	43	0.46511627906976744	0.020020112654446982	23.23245064090352	0.13901137622067858	0.0026539779524491726	52.3784970000955
