cluster	n_profiles	n_papers	n_labels	dominant_label	mean_label_silhouette	mean_within_label_jaccard
16	11	11	2	MAST CELL	1.0	1.0
19	10	9	5	MELANOCYTE	0.35555555555555557	0.35555555555555557
11	15	14	3	T CELL	0.30876190476190474	0.638095238095238
24	7	7	4	STEM CELL	0.3005794910556815	0.3492063492063492
36	5	5	3	PODOCYTE	0.3	0.3
37	5	4	4	PROXIMAL TUBULE	0.2833333333333333	0.2833333333333333
30	6	5	3	INTERNEURON	0.2365539452495974	0.26666666666666666
34	5	2	5	HLA DR HIGH INTERMEDIATE MONOCYTES	0.19198845260141906	0.21527777777777776
29	6	6	4	ENTEROENDOCRINE CELL	0.18611111111111112	0.20000000000000004
21	8	7	6	NATURAL KILLER NK CELL	0.15594716888104404	0.4285714285714286
6	38	29	25	FIBROBLAST	0.1377482365098595	0.16774537695590327
40	4	4	3	HEP 3	0.13095238095238096	0.16666666666666666
15	12	11	6	CDC 1	0.1293777619949495	0.3383838383838384
12	15	15	9	OLIGODENDROCYTES	0.12361111111111113	0.1333333333333333
26	7	7	6	ASTROCYTE	0.11534613845538219	0.1587301587301587
49	4	4	2	ENDOTHELIAL CELL	0.11212814645308927	0.5
51	4	4	3	LYMPHATIC ENDOTHELIAL CELL	0.10679012345679009	0.2777777777777778
7	36	28	15	B CELL	0.08964606782977048	0.13915343915343914
23	8	8	6	ERYTHROCYTE	0.06938244047619048	0.10714285714285714
35	5	5	3	EPITHELIAL CELL	0.06610389610389614	0.3
32	5	5	5	CD 4 TISSUE RESIDENT MEMORY T CELL TRM	0.05870306967353548	0.22000000000000003
39	5	3	3	AT 2	0.05714285714285714	0.4
50	4	4	4	T FH CELL	0.03323412698412695	0.05555555555555555
17	11	7	9	EPI	0.030429644339881767	0.05757575757575757
9	32	28	24	MACROPHAGE	0.0206106671066366	0.10453629032258063
47	4	4	4	NMSCWANN	-0.00697565543071163	0.0
1	89	61	70	PERICYTE	-0.010685236589198698	0.039802519577800476
2	56	39	45	TREG	-0.022149975069973637	0.10478821142782181
25	7	5	6	MATURE LUMINAL	-0.023447249670065052	0.09523809523809525
48	4	4	4	CLUSTER 3 CELL	-0.02976190476190471	0.0
43	4	4	4	HEMATOPOIETIC LINEAGES	-0.03125	0.0
8	33	28	31	CYCLING CELL	-0.038141815643655104	0.044999098124098115
28	6	4	6	FOREBRAIN MIDBRAIN NEURECTODERM	-0.0546031746031746	0.0
5	42	33	36	NAIVE T CELL	-0.05810857159745032	0.15931180060099917
33	5	5	5	ICOS	-0.060580524344569286	0.0
4	50	44	31	MONOCYTE	-0.07415001238816257	0.07929251700680272
41	4	4	4	DM ICOS	-0.07499999999999998	0.0
42	4	4	4	MESENCHYMAL STEM CELL	-0.08035714285714285	0.0
13	14	12	14	ISG GZMK EFFECTOR MEMORY CD 8 T CELL	-0.08079593906079167	0.05805860805860806
38	5	4	5	EPITHELIAL CELL DOMINANT DOMAIN 0	-0.11589285714285713	0.0
20	9	9	9	ACTIVATED	-0.12346845738653307	0.037037037037037035
3	55	39	52	CYTOTOXIC T CELL	-0.1677885802135148	0.09455667789001122
14	12	11	12	ALVEOLAR EPITHELIAL CELL	-0.19024044291560435	0.023106060606060606
45	4	4	4	DCS	-0.19958333333333328	0.0
22	8	8	7	EPITHELIAL CELL	-0.20351972144194755	0.10714285714285714
44	4	4	4	ICAFS	-0.20444078947368424	0.0
46	4	3	4	AT 0	-0.22499999999999992	0.19047619047619047
27	6	6	5	NK CELLS	-0.24286939911939917	0.15555555555555556
31	6	6	5	CDC 2	-0.25295138888888885	0.06666666666666667
10	23	21	14	ENDOTHELIAL CELL	-0.2640904719265082	0.34782608695652173
18	11	10	5	T CELL	-0.3866028708133971	0.3909090909090909
