cluster	profile_idx	profile_uid	paper_key	cell_type	normalized_cell_type	marker_names	marker_ids
1	36	biorxiv|0bd28b37-6e2e-1014-871e-a496f0a6bacd|TUMOR CELL	biorxiv:0bd28b37-6e2e-1014-871e-a496f0a6bacd	TUMOR CELL	TUMOR CELL	KRT17;SFN;KRT5;KRT14;S100A2;S100A14	ENSG00000128422;ENSG00000175793;ENSG00000186081;ENSG00000186847;ENSG00000196754;ENSG00000237632
1	125	biorxiv|219b21d9-7007-1014-9157-ab439216a355|SMC2	biorxiv:219b21d9-7007-1014-9157-ab439216a355	SMC2	SMC 2	ACTA2;CNN1;MYH11;PLN	ENSG00000107796;ENSG00000130176;ENSG00000133392;ENSG00000198523
1	126	biorxiv|219b21d9-7007-1014-9157-ab439216a355|SMC3	biorxiv:219b21d9-7007-1014-9157-ab439216a355	SMC3	SMC 3	ITGA8;ACTA2;MYH10;MYH11;ACTG2	ENSG00000077943;ENSG00000107796;ENSG00000133026;ENSG00000133392;ENSG00000163017
1	131	biorxiv|2439b48c-6d2d-1014-8b64-9f8fdc0d5fe9|BASAL CELL	biorxiv:2439b48c-6d2d-1014-8b64-9f8fdc0d5fe9	BASAL CELL	BASAL CELL	TP63;KRT17;ITGB4;KRT5;KRT14	ENSG00000073282;ENSG00000128422;ENSG00000132470;ENSG00000186081;ENSG00000186847
1	288	biorxiv|53fe4c58-6d7e-1014-9234-a9ab6cb90679|PERICYTES	biorxiv:53fe4c58-6d7e-1014-9234-a9ab6cb90679	PERICYTES	PERICYTES	NOTCH3;PDGFRB;RGS5;NDUFA4L2	ENSG00000074181;ENSG00000113721;ENSG00000143248;ENSG00000185633
1	314	biorxiv|5c1d40eb-7190-1014-a458-8ab6cf3c7650|MYOEPITHELIAL-LIKE CELL	biorxiv:5c1d40eb-7190-1014-a458-8ab6cf3c7650	MYOEPITHELIAL-LIKE CELL	MYOEPITHELIAL LIKE CELL	TP63;ACTA2;CNN1	ENSG00000073282;ENSG00000107796;ENSG00000130176
1	349	biorxiv|6ca25eee-7853-1014-8aed-fc8cff0a87e5|SMG MYOEPITHELIAL CELL	biorxiv:6ca25eee-7853-1014-8aed-fc8cff0a87e5	SMG MYOEPITHELIAL CELL	SMG MYOEPITHELIAL CELL	TP63;ACTA2;KRT5;KRT14	ENSG00000073282;ENSG00000107796;ENSG00000186081;ENSG00000186847
1	350	biorxiv|6ca25eee-7853-1014-8aed-fc8cff0a87e5|SMG MYOEPITHELIAL CELL (MEC)	biorxiv:6ca25eee-7853-1014-8aed-fc8cff0a87e5	SMG MYOEPITHELIAL CELL (MEC)	SMG MYOEPITHELIAL CELL MEC	ACTA2;PLD5;KRT5	ENSG00000107796;ENSG00000180287;ENSG00000186081
1	388	biorxiv|78211bc7-6c0f-1014-bc42-c103d41718b8|MYOEPITHELIAL	biorxiv:78211bc7-6c0f-1014-bc42-c103d41718b8	MYOEPITHELIAL	MYOEPITHELIAL	FHOD3;TAGLN;KRT14	ENSG00000134775;ENSG00000149591;ENSG00000186847
1	420	biorxiv|824fd1db-6db8-1014-aa73-9a84848dcec3|BASAL LINEAGE	biorxiv:824fd1db-6db8-1014-aa73-9a84848dcec3	BASAL LINEAGE	BASAL LINEAGE	ACTA2;KRT5;KRT14	ENSG00000107796;ENSG00000186081;ENSG00000186847
1	422	biorxiv|824fd1db-6db8-1014-aa73-9a84848dcec3|VASCULAR SMOOTH MUSCLE CELL	biorxiv:824fd1db-6db8-1014-aa73-9a84848dcec3	VASCULAR SMOOTH MUSCLE CELL	VASCULAR SMOOTH MUSCLE CELL	MYL9;CNN1;TAGLN	ENSG00000101335;ENSG00000130176;ENSG00000149591
1	490	biorxiv|98d19bc0-7b12-1014-9641-857e081ce400|CONTRACTILE SMCS	biorxiv:98d19bc0-7b12-1014-9641-857e081ce400	CONTRACTILE SMCS	CONTRACTILE SMCS	MYL9;ACTA2;TAGLN	ENSG00000101335;ENSG00000107796;ENSG00000149591
1	665	biorxiv|bc260922-6c47-1014-a865-fe4e19bf3ea8|BASAL CELL	biorxiv:bc260922-6c47-1014-a865-fe4e19bf3ea8	BASAL CELL	BASAL CELL	COL17A1;KRT5;KRT14	ENSG00000065618;ENSG00000186081;ENSG00000186847
1	726	biorxiv|cf0d429c-6c7f-1014-a5a8-f09b6915373d|BASAL CELL	biorxiv:cf0d429c-6c7f-1014-a5a8-f09b6915373d	BASAL CELL	BASAL CELL	TP63;DLK2;KRT5	ENSG00000073282;ENSG00000171462;ENSG00000186081
1	823	biorxiv|e2efdcad-73c4-1014-9c6c-8a89f519fd2d|PERICYTES/SMOOTH MUSCLE CELLS	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	PERICYTES/SMOOTH MUSCLE CELLS	PERICYTES SMOOTH MUSCLE CELLS	ACTA2;MYH11;COL4A1	ENSG00000107796;ENSG00000133392;ENSG00000187498
1	954	hca|0001_10.1016_j.celrep.2018.11.086_7aff07407b|BASAL	hca:0001_10.1016_j.celrep.2018.11.086_7aff07407b	BASAL	BASAL	TP63;KRT5;KRT14	ENSG00000073282;ENSG00000186081;ENSG00000186847
1	960	hca|0001_10.1016_j.celrep.2018.11.086_7aff07407b|SMOOTH MUSCLE	hca:0001_10.1016_j.celrep.2018.11.086_7aff07407b	SMOOTH MUSCLE	SMOOTH MUSCLE	MYL9;ACTA2;MYH11;TPM2	ENSG00000101335;ENSG00000107796;ENSG00000133392;ENSG00000198467
1	1000	hca|0011_10.1038_s41413-021-00163-z_07f1a1af96|PERICYTE	hca:0011_10.1038_s41413-021-00163-z_07f1a1af96	PERICYTE	PERICYTE	MCAM;ACTA2;TAGLN	ENSG00000076706;ENSG00000107796;ENSG00000149591
1	1005	hca|0012_10.1164_rccm.202207-1384oc_21f7132a40|SM1	hca:0012_10.1164_rccm.202207-1384oc_21f7132a40	SM1	SM 1	NOTCH3;PDGFRB;ADIRF	ENSG00000074181;ENSG00000113721;ENSG00000148671
1	1006	hca|0012_10.1164_rccm.202207-1384oc_21f7132a40|SM2	hca:0012_10.1164_rccm.202207-1384oc_21f7132a40	SM2	SM 2	NOTCH3;PDGFRB;ADIRF	ENSG00000074181;ENSG00000113721;ENSG00000148671
1	1079	hca|0039_10.1016_j.isci.2021.102405_1f6d3fbc60|EPITHELIAL-LIKE CELL POPULATION	hca:0039_10.1016_j.isci.2021.102405_1f6d3fbc60	EPITHELIAL-LIKE CELL POPULATION	EPITHELIAL LIKE CELL POPULATION	SFN;KRT5;KRT14	ENSG00000175793;ENSG00000186081;ENSG00000186847
1	1081	hca|0039_10.1016_j.isci.2021.102405_1f6d3fbc60|MYH11 + MSC SUBCLUSTER	hca:0039_10.1016_j.isci.2021.102405_1f6d3fbc60	MYH11 + MSC SUBCLUSTER	MYH 11 MSC SUBCLUSTER	ACTA2;RERGL;PLN	ENSG00000107796;ENSG00000111404;ENSG00000198523
1	1088	hca|0040_10.1016_j.xcrm.2021.100219_d37660c408|CLUSTER 15	hca:0040_10.1016_j.xcrm.2021.100219_d37660c408	CLUSTER 15	CLUSTER 15	TP63;ACTA2;KRT17	ENSG00000073282;ENSG00000107796;ENSG00000128422
1	1105	hca|0041_10.1016_j.xgen.2022.100108_d4824b85dd|MYOFB_2	hca:0041_10.1016_j.xgen.2022.100108_d4824b85dd	MYOFB_2	MYOFB 2	ACTA2;MYH11;MYOCD	ENSG00000107796;ENSG00000133392;ENSG00000141052
1	1150	hca|0047_10.15252_embj.2020107333_a4d0f57474|FIBROBLAST	hca:0047_10.15252_embj.2020107333_a4d0f57474	FIBROBLAST	FIBROBLAST	PDGFRB;POSTN;PDGFRA	ENSG00000113721;ENSG00000133110;ENSG00000134853
1	1162	hca|0048_10.1038_s41588-022-01243-4_ae2af85553|MYOEPITHELIAL CELL	hca:0048_10.1038_s41588-022-01243-4_ae2af85553	MYOEPITHELIAL CELL	MYOEPITHELIAL CELL	TP63;ACTA2;CNN1;TAGLN;KRT14	ENSG00000073282;ENSG00000107796;ENSG00000130176;ENSG00000149591;ENSG00000186847
1	1174	hca|0049_10.1038_s41586-023-06252-9_3d2f22d6e6|LUMSEC-BASAL	hca:0049_10.1038_s41586-023-06252-9_3d2f22d6e6	LUMSEC-BASAL	LUMSEC BASAL	LTF;KRT5;KRT14	ENSG00000012223;ENSG00000186081;ENSG00000186847
1	1204	hca|0056_10.1038_s41586-018-0449-8_fdcc67f757|BASAL	hca:0056_10.1038_s41586-018-0449-8_fdcc67f757	BASAL	BASAL	TP63;KRT5;LYPD2	ENSG00000073282;ENSG00000186081;ENSG00000197353
1	1215	hca|0060_10.3389_fcell.2022.872688_ac00c45d48|BASAL KERATINOCYTE	hca:0060_10.3389_fcell.2022.872688_ac00c45d48	BASAL KERATINOCYTE	BASAL KERATINOCYTE	KRT15;KRT5;KRT14	ENSG00000171346;ENSG00000186081;ENSG00000186847
