cluster	n_profiles	n_papers	n_labels	dominant_label	dominant_label_fraction	label_entropy	mean_edge_jaccard	core_genes	top_labels
1	89	61	70	PERICYTE	0.06741573033707865	5.947423880307366	0.5412162162162162	ACTA2; KRT14; TAGLN; KRT5; MYH11; TP63	PERICYTE (6); BASAL CELL (4); VASCULAR SMOOTH MUSCLE CELL (3); BASAL (3); PERICYTES (2); SMOOTH MUSCLE (2)
2	56	39	45	TREG	0.17857142857142858	5.1427249051134325	0.5572244474113633	CTLA4	TREG (10); EXHAUSTED CD 8 T CELL (2); ILC 3 (2); CD 8 EXHAUSTED T CELL TEXH (1); TERMINALLY DIFFERENTIATED (1); TERMINALLY DIFFERENTIATED PHENOTYPE OF CD 8 T CELL (1)
3	55	39	52	CYTOTOXIC T CELL	0.03636363636363636	5.672268804433749	0.5735665694849369	PRF1; GZMB	CYTOTOXIC T CELL (2); NK (2); CD 8 GZMK (2); NK T CELL (1); CD 4 CTLS (1); DNT (1)
4	50	44	31	MONOCYTE	0.18	4.433269689515109	0.5596115288220551	S100A8; S100A9; CD14	MONOCYTE (9); MACROPHAGE (8); CD 14 MONOCYTE (2); MYELOID CELL (2); MONOCYTES (2); MACROPHAGES (2)
5	42	33	36	NAIVE T CELL	0.07142857142857142	5.070656113151928	0.6580366531470633	CCR7; SELL; TCF7	NAIVE T CELL (3); CD 4 T CELL (3); TCM (2); NAIVE CD 4 T CELL (2); CEFX SPECIFIC BRAIN METASTASIS INFILTRATING PD 1 CD 8 T CELL (1); T CELL CLUSTER 1 (1)
6	38	29	25	FIBROBLAST	0.2631578947368421	4.143344133153136	0.5149215367965367	DCN	FIBROBLAST (10); FIBROBLASTS (3); MESENCHYMAL (2); FB (2); INFLAMMATORY CANCER ASSOCIATED FIBROBLAST ICAFS (1); FIBROMYOCYTE SMCS (1)
7	36	28	15	B CELL	0.3333333333333333	3.287301737252941	0.5944355270197967	CD19	B CELL (12); PLASMA CELL (4); PLASMABLAST (4); MEMORY B CELL (3); ANTIBODY SECRETING CELL (2); B CELLS (2)
8	33	28	31	CYCLING CELL	0.06060606060606061	4.923181998146335	0.5348684210526315	MKI67; TOP2A	CYCLING CELL (2); TRANSIT AMPLIFYING (2); CD 8 PROLIFERATING EXHAUSTED T CELL (1); TALC 4 (1); PROLIFERATING CELL (1); B CD 8 TCYCLING (1)
9	32	28	24	MACROPHAGE	0.21875	4.23730087635729	0.5800291545189504	CD163; C1QB	MACROPHAGE (7); MAC 1 (3); STRAD 13 MACROPHAGE (1); TREM 2 HIGH MACROPHAGE (1); TREM 2 LOW (1); MC 3 (1)
10	23	21	14	ENDOTHELIAL CELL	0.30434782608695654	3.375458827510635	0.528125	PECAM1; VWF	ENDOTHELIAL CELL (7); ENDOTHELIAL CELLS (3); ENDOTHELIAL (2); FIB 3 (1); EC (1); CLUSTER 4 (1)
11	15	14	3	T CELL	0.8	0.9055872616982603	0.6490909090909092	CD3D; CD3E; CD3G	T CELL (12); T CELLS (2); CD 4 AND CD 8 T CELLS (1)
