example	group_name	gene_id	gene_name	n_profiles_group	n_profiles_with_gene_in_group	n_profiles_with_gene_global	coverage	purity	outside_prevalence	coverage_purity_hmean
TREG	marker cluster C2	ENSG00000163599	CTLA4	56	34	56	0.6071428571428571	0.6071428571428571	0.006676783004552352	0.6071428571428571
TREG	marker cluster C2	ENSG00000181847	TIGIT	56	22	38	0.39285714285714285	0.5789473684210527	0.004855842185128983	0.46808510638297873
TREG	marker cluster C2	ENSG00000135077	HAVCR2	56	20	30	0.35714285714285715	0.6666666666666666	0.0030349013657056147	0.46511627906976744
TREG	marker cluster C2	ENSG00000049768	FOXP3	56	20	33	0.35714285714285715	0.6060606060606061	0.0039453717754172985	0.449438202247191
TREG	marker cluster C2	ENSG00000089692	LAG3	56	18	41	0.32142857142857145	0.43902439024390244	0.006980273141122913	0.3711340206185567
TREG	marker cluster C2	ENSG00000134460	IL2RA	56	17	36	0.30357142857142855	0.4722222222222222	0.005766312594840668	0.3695652173913044
TREG	marker cluster C2	ENSG00000188389	PDCD1	56	19	49	0.3392857142857143	0.3877551020408163	0.009104704097116844	0.3619047619047619
TREG	marker cluster C2	ENSG00000156234	CXCL13	56	8	26	0.14285714285714285	0.3076923076923077	0.005462822458270106	0.1951219512195122
TREG	marker cluster C2	ENSG00000186891	TNFRSF18	56	6	18	0.10714285714285714	0.3333333333333333	0.0036418816388467377	0.16216216216216214
TREG	marker cluster C2	ENSG00000204381	LAYN	56	5	6	0.08928571428571429	0.8333333333333334	0.00030349013657056146	0.16129032258064516
TREG	marker cluster C2	ENSG00000163600	ICOS	56	6	21	0.10714285714285714	0.2857142857142857	0.004552352048558422	0.1558441558441558
TREG	marker cluster C2	ENSG00000030419	IKZF2	56	5	9	0.08928571428571429	0.5555555555555556	0.0012139605462822458	0.15384615384615385
TREG	marker cluster C2	ENSG00000143365	RORC	56	6	25	0.10714285714285714	0.24	0.005766312594840668	0.1481481481481481
TREG	marker cluster C2	ENSG00000156127	BATF	56	5	13	0.08928571428571429	0.38461538461538464	0.0024279210925644916	0.14492753623188406
TREG	marker cluster C2	ENSG00000168685	IL7R	56	9	71	0.16071428571428573	0.1267605633802817	0.01881638846737481	0.14173228346456693
TREG	marker cluster C2	ENSG00000198846	TOX	56	5	16	0.08928571428571429	0.3125	0.003338391502276176	0.1388888888888889
TREG	marker cluster C2	ENSG00000049249	TNFRSF9	56	4	12	0.07142857142857142	0.3333333333333333	0.0024279210925644916	0.11764705882352941
TREG	marker cluster C2	ENSG00000186827	TNFRSF4	56	4	19	0.07142857142857142	0.21052631578947367	0.004552352048558422	0.10666666666666667
TREG	marker cluster C2	ENSG00000157404	KIT	56	5	42	0.08928571428571429	0.11904761904761904	0.011229135053110774	0.10204081632653061
TREG	marker cluster C2	ENSG00000153283	CD96	56	2	11	0.03571428571428571	0.18181818181818182	0.002731411229135053	0.05970149253731343
TREG	marker cluster C2	ENSG00000111537	IFNG	56	3	46	0.05357142857142857	0.06521739130434782	0.013050075872534143	0.058823529411764705
TREG	marker cluster C2	ENSG00000185291	IL3RA	56	2	13	0.03571428571428571	0.15384615384615385	0.003338391502276176	0.05797101449275363
TREG	marker cluster C2	ENSG00000186810	CXCR3	56	2	15	0.03571428571428571	0.13333333333333333	0.0039453717754172985	0.05633802816901408
TREG	marker cluster C2	ENSG00000057657	PRDM1	56	2	24	0.03571428571428571	0.08333333333333333	0.006676783004552352	0.05
TREG	marker cluster C2	ENSG00000139193	CD27	56	2	43	0.03571428571428571	0.046511627906976744	0.012443095599393019	0.0404040404040404
TREG	marker cluster C2	ENSG00000188404	SELL	56	2	54	0.03571428571428571	0.037037037037037035	0.015781487101669194	0.03636363636363636
TREG	marker cluster C2	ENSG00000089012	SIRPG	56	1	1	0.017857142857142856	1.0	0.0	0.03508771929824561
TREG	marker cluster C2	ENSG00000180644	PRF1	56	2	60	0.03571428571428571	0.03333333333333333	0.017602427921092564	0.03448275862068965
TREG	marker cluster C2	ENSG00000096264	NCR2	56	1	2	0.017857142857142856	0.5	0.00030349013657056146	0.03448275862068965
TREG	marker cluster C2	ENSG00000179934	CCR8	56	1	3	0.017857142857142856	0.3333333333333333	0.0006069802731411229	0.03389830508474576
TREG	marker cluster C2	ENSG00000134256	CD101	56	1	3	0.017857142857142856	0.3333333333333333	0.0006069802731411229	0.03389830508474576
TREG	marker cluster C2	ENSG00000185338	SOCS1	56	1	4	0.017857142857142856	0.25	0.0009104704097116844	0.03333333333333333
TREG	marker cluster C2	ENSG00000100453	GZMB	56	2	66	0.03571428571428571	0.030303030303030304	0.019423368740515933	0.03278688524590164
TREG	marker cluster C2	ENSG00000121594	CD80	56	1	5	0.017857142857142856	0.2	0.0012139605462822458	0.03278688524590164
TREG	marker cluster C2	ENSG00000106546	AHR	56	1	6	0.017857142857142856	0.16666666666666666	0.0015174506828528073	0.03225806451612903
TREG	marker cluster C2	ENSG00000124191	TOX2	56	1	6	0.017857142857142856	0.16666666666666666	0.0015174506828528073	0.03225806451612903
TREG	marker cluster C2	ENSG00000126353	CCR7	56	2	70	0.03571428571428571	0.02857142857142857	0.02063732928679818	0.031746031746031744
TREG	marker cluster C2	ENSG00000162594	IL23R	56	1	8	0.017857142857142856	0.125	0.0021244309559939304	0.03125
TREG	marker cluster C2	ENSG00000115594	IL1R1	56	1	8	0.017857142857142856	0.125	0.0021244309559939304	0.03125
TREG	marker cluster C2	ENSG00000099250	NRP1	56	1	9	0.017857142857142856	0.1111111111111111	0.0024279210925644916	0.03076923076923077
TREG	marker cluster C2	ENSG00000127318	IL22	56	1	9	0.017857142857142856	0.1111111111111111	0.0024279210925644916	0.03076923076923077
TREG	marker cluster C2	ENSG00000178562	CD28	56	1	10	0.017857142857142856	0.1	0.002731411229135053	0.030303030303030304
TREG	marker cluster C2	ENSG00000173762	CD7	56	1	11	0.017857142857142856	0.09090909090909091	0.0030349013657056147	0.029850746268656716
TREG	marker cluster C2	ENSG00000138185	ENTPD1	56	1	15	0.017857142857142856	0.06666666666666667	0.004248861911987861	0.02816901408450704
TREG	marker cluster C2	ENSG00000178573	MAF	56	1	20	0.017857142857142856	0.05	0.005766312594840668	0.026315789473684206
TREG	marker cluster C2	ENSG00000111796	KLRB1	56	1	27	0.017857142857142856	0.037037037037037035	0.007890743550834597	0.024096385542168676
TREG	marker cluster C2	ENSG00000004468	CD38	56	1	35	0.017857142857142856	0.02857142857142857	0.01031866464339909	0.021978021978021976
TREG	marker cluster C2	ENSG00000274221	CCL3	56	1	47	0.017857142857142856	0.02127659574468085	0.013960546282245826	0.019417475728155338
TREG	marker cluster C2	ENSG00000026508	CD44	56	1	51	0.017857142857142856	0.0196078431372549	0.015174506828528073	0.018691588785046728
EXHAUSTED	marker cluster C2	ENSG00000163599	CTLA4	56	34	56	0.6071428571428571	0.6071428571428571	0.006676783004552352	0.6071428571428571
EXHAUSTED	marker cluster C2	ENSG00000181847	TIGIT	56	22	38	0.39285714285714285	0.5789473684210527	0.004855842185128983	0.46808510638297873
EXHAUSTED	marker cluster C2	ENSG00000135077	HAVCR2	56	20	30	0.35714285714285715	0.6666666666666666	0.0030349013657056147	0.46511627906976744
EXHAUSTED	marker cluster C2	ENSG00000049768	FOXP3	56	20	33	0.35714285714285715	0.6060606060606061	0.0039453717754172985	0.449438202247191
EXHAUSTED	marker cluster C2	ENSG00000089692	LAG3	56	18	41	0.32142857142857145	0.43902439024390244	0.006980273141122913	0.3711340206185567
EXHAUSTED	marker cluster C2	ENSG00000134460	IL2RA	56	17	36	0.30357142857142855	0.4722222222222222	0.005766312594840668	0.3695652173913044
EXHAUSTED	marker cluster C2	ENSG00000188389	PDCD1	56	19	49	0.3392857142857143	0.3877551020408163	0.009104704097116844	0.3619047619047619
EXHAUSTED	marker cluster C2	ENSG00000156234	CXCL13	56	8	26	0.14285714285714285	0.3076923076923077	0.005462822458270106	0.1951219512195122
EXHAUSTED	marker cluster C2	ENSG00000186891	TNFRSF18	56	6	18	0.10714285714285714	0.3333333333333333	0.0036418816388467377	0.16216216216216214
EXHAUSTED	marker cluster C2	ENSG00000204381	LAYN	56	5	6	0.08928571428571429	0.8333333333333334	0.00030349013657056146	0.16129032258064516
EXHAUSTED	marker cluster C2	ENSG00000163600	ICOS	56	6	21	0.10714285714285714	0.2857142857142857	0.004552352048558422	0.1558441558441558
EXHAUSTED	marker cluster C2	ENSG00000030419	IKZF2	56	5	9	0.08928571428571429	0.5555555555555556	0.0012139605462822458	0.15384615384615385
EXHAUSTED	marker cluster C2	ENSG00000143365	RORC	56	6	25	0.10714285714285714	0.24	0.005766312594840668	0.1481481481481481
EXHAUSTED	marker cluster C2	ENSG00000156127	BATF	56	5	13	0.08928571428571429	0.38461538461538464	0.0024279210925644916	0.14492753623188406
EXHAUSTED	marker cluster C2	ENSG00000168685	IL7R	56	9	71	0.16071428571428573	0.1267605633802817	0.01881638846737481	0.14173228346456693
EXHAUSTED	marker cluster C2	ENSG00000198846	TOX	56	5	16	0.08928571428571429	0.3125	0.003338391502276176	0.1388888888888889
EXHAUSTED	marker cluster C2	ENSG00000049249	TNFRSF9	56	4	12	0.07142857142857142	0.3333333333333333	0.0024279210925644916	0.11764705882352941
EXHAUSTED	marker cluster C2	ENSG00000186827	TNFRSF4	56	4	19	0.07142857142857142	0.21052631578947367	0.004552352048558422	0.10666666666666667
EXHAUSTED	marker cluster C2	ENSG00000157404	KIT	56	5	42	0.08928571428571429	0.11904761904761904	0.011229135053110774	0.10204081632653061
EXHAUSTED	marker cluster C2	ENSG00000153283	CD96	56	2	11	0.03571428571428571	0.18181818181818182	0.002731411229135053	0.05970149253731343
EXHAUSTED	marker cluster C2	ENSG00000111537	IFNG	56	3	46	0.05357142857142857	0.06521739130434782	0.013050075872534143	0.058823529411764705
EXHAUSTED	marker cluster C2	ENSG00000185291	IL3RA	56	2	13	0.03571428571428571	0.15384615384615385	0.003338391502276176	0.05797101449275363
EXHAUSTED	marker cluster C2	ENSG00000186810	CXCR3	56	2	15	0.03571428571428571	0.13333333333333333	0.0039453717754172985	0.05633802816901408
EXHAUSTED	marker cluster C2	ENSG00000057657	PRDM1	56	2	24	0.03571428571428571	0.08333333333333333	0.006676783004552352	0.05
EXHAUSTED	marker cluster C2	ENSG00000139193	CD27	56	2	43	0.03571428571428571	0.046511627906976744	0.012443095599393019	0.0404040404040404
EXHAUSTED	marker cluster C2	ENSG00000188404	SELL	56	2	54	0.03571428571428571	0.037037037037037035	0.015781487101669194	0.03636363636363636
EXHAUSTED	marker cluster C2	ENSG00000089012	SIRPG	56	1	1	0.017857142857142856	1.0	0.0	0.03508771929824561
EXHAUSTED	marker cluster C2	ENSG00000180644	PRF1	56	2	60	0.03571428571428571	0.03333333333333333	0.017602427921092564	0.03448275862068965
EXHAUSTED	marker cluster C2	ENSG00000096264	NCR2	56	1	2	0.017857142857142856	0.5	0.00030349013657056146	0.03448275862068965
EXHAUSTED	marker cluster C2	ENSG00000179934	CCR8	56	1	3	0.017857142857142856	0.3333333333333333	0.0006069802731411229	0.03389830508474576
EXHAUSTED	marker cluster C2	ENSG00000134256	CD101	56	1	3	0.017857142857142856	0.3333333333333333	0.0006069802731411229	0.03389830508474576
EXHAUSTED	marker cluster C2	ENSG00000185338	SOCS1	56	1	4	0.017857142857142856	0.25	0.0009104704097116844	0.03333333333333333
EXHAUSTED	marker cluster C2	ENSG00000100453	GZMB	56	2	66	0.03571428571428571	0.030303030303030304	0.019423368740515933	0.03278688524590164
EXHAUSTED	marker cluster C2	ENSG00000121594	CD80	56	1	5	0.017857142857142856	0.2	0.0012139605462822458	0.03278688524590164
