result	value	detail
Local paper-level marker profiles are usually distinguishable	88.8%	Fraction of papers whose reported profiles have distinct full marker signatures
Typical local marker problem size	5 profiles, greedy panel 4 genes	Median across papers with at least two marker profiles
Same exact labels across papers are marker-enriched but sparse	mean J=0.098 vs background J=0.002	Pairwise marker Jaccard for different-paper profile pairs
Same exact labels often fail to recover local marker profiles	median liftover=0.333	Fraction of a profile's reported markers recovered by same-label profiles in other papers
Within-paper different-label markers are highly local	90.2% zero-overlap pairs	Same-paper, different-label profile pairs
Exact labels collapse at high coverage	73 labels -> 67 signatures	Reported exact labels, 20% within-label marker coverage threshold
myeloid_marker_clusters: Essential genes	2	Role among ILP-selected minimum separating panel genes at 20% threshold
myeloid_marker_clusters: Exchangeable genes	1	Role among ILP-selected minimum separating panel genes at 20% threshold
reported_exact_labels_min5: Essential genes	8	Role among ILP-selected minimum separating panel genes at 20% threshold
reported_exact_labels_min5: Exchangeable genes	36	Role among ILP-selected minimum separating panel genes at 20% threshold
tcell_marker_clusters: Essential genes	2	Role among ILP-selected minimum separating panel genes at 20% threshold
tcell_marker_clusters: Exchangeable genes	3	Role among ILP-selected minimum separating panel genes at 20% threshold
