normalized_cell_type	n_profiles	n_papers	n_source_corpora	example_reported_labels	global_label_underspecification_score	n_pairs	mean_jaccard	median_jaccard	q25_jaccard	q75_jaccard	pct_jaccard_eq_0	pct_jaccard_ge_0_10	pct_jaccard_ge_0_25	pct_jaccard_eq_1	mean_shared_genes
T CELL	38	37	2	T CELL; T-CELL; ΑΒ T CELL; ΓΔ T CELL	1.0	702	0.1191675383645694	0.0	0.0	0.2	0.5398860398860399	0.4373219373219373	0.12535612535612536	0.01566951566951567	0.6267806267806267
FIBROBLAST	29	29	2	FIBROBLAST	1.0	406	0.08446198308919259	0.0	0.0	0.15384615384615385	0.5665024630541872	0.3522167487684729	0.08620689655172414	0.0024630541871921183	0.6231527093596059
MACROPHAGE	29	29	2	MACROPHAGE	1.0	406	0.06034770873223495	0.0	0.0	0.1	0.7019704433497537	0.270935960591133	0.054187192118226604	0.0	0.3793103448275862
ENDOTHELIAL CELL	28	28	2	ENDOTHELIAL CELL	1.0	378	0.08631415876427816	0.0	0.0	0.16666666666666666	0.5026455026455027	0.3253968253968254	0.0873015873015873	0.007936507936507936	0.6878306878306878
MONOCYTE	24	24	2	MONOCYTE	1.0	276	0.06106945590641243	0.0	0.0	0.09090909090909091	0.7427536231884058	0.2463768115942029	0.08333333333333333	0.0	0.34782608695652173
CELL	19	8	2	Α CELL; Α-CELL; Β CELL; Β-CELL; Γ-CELL; Δ-CELL; Ε-CELL	1.0	150	0.04426646935020233	0.0	0.0	0.06839080459770115	0.5933333333333334	0.17333333333333334	0.02666666666666667	0.0	0.8933333333333333
CLUSTER 2	19	19	2	CLUSTER 2; CLUSTER-2	1.0	171	0.004262258209626631	0.0	0.0	0.0	0.9590643274853801	0.023391812865497075	0.0	0.0	0.05263157894736842
MICROGLIA	18	18	2	MICROGLIA	1.0	153	0.04228405018148907	0.0	0.0	0.07142857142857142	0.5751633986928104	0.20261437908496732	0.013071895424836602	0.0	0.6405228758169934
CD 4 T CELL	17	17	2	CD4 + T CELL; CD4 T CELL; CD4+ T CELL; CD4+T CELL	1.0	136	0.04228032506300957	0.0	0.0	0.06724137931034482	0.6544117647058824	0.17647058823529413	0.03676470588235294	0.0	0.5661764705882353
NK CELL	16	16	2	NK CELL	1.0	120	0.06973577549041945	0.0	0.0	0.125	0.55	0.39166666666666666	0.041666666666666664	0.0	0.625
CD 8 T CELL	15	15	2	CD8 + T CELL; CD8 T CELL; CD8+ T CELL; CD8+ T-CELL	1.0	105	0.046700051018578485	0.0	0.0	0.07407407407407407	0.638095238095238	0.14285714285714285	0.02857142857142857	0.009523809523809525	0.5904761904761905
CLUSTER 1	14	14	2	CLUSTER 1; CLUSTER-1	1.0	91	0.002106227106227106	0.0	0.0	0.0	0.978021978021978	0.01098901098901099	0.0	0.0	0.03296703296703297
CLUSTER 3	12	12	2	CLUSTER 3; CLUSTER-3	1.0	66	0.003911926280347333	0.0	0.0	0.0	0.9393939393939394	0.015151515151515152	0.0	0.0	0.06060606060606061
CLUSTER 4	11	11	2	CLUSTER 4; CLUSTER-4	1.0	55	0.0013986013986013986	0.0	0.0	0.0	0.9818181818181818	0.0	0.0	0.0	0.01818181818181818
AT 2	10	10	2	AT2	1.0	45	0.058933782267115604	0.0	0.0	0.125	0.6888888888888889	0.28888888888888886	0.06666666666666667	0.0	0.4
MYELOID CELL	10	10	2	MYELOID CELL	1.0	45	0.08705467372134039	0.0	0.0	0.16666666666666666	0.5111111111111111	0.4888888888888889	0.044444444444444446	0.0	0.5333333333333333
CARDIOMYOCYTE	9	9	2	CARDIOMYOCYTE	1.0	36	0.030932766687597604	0.0	0.0	0.05075757575757576	0.6388888888888888	0.1388888888888889	0.0	0.0	0.4722222222222222
CLUSTER 5	9	9	2	CLUSTER 5	1.0	36	0.008597883597883597	0.0	0.0	0.0	0.9444444444444444	0.05555555555555555	0.0	0.0	0.05555555555555555
ACINAR CELL	7	7	2	ACINAR CELL	1.0	21	0.09569160997732426	0.0	0.0	0.1	0.7142857142857143	0.2857142857142857	0.14285714285714285	0.0	0.5714285714285714
BASAL	7	7	2	BASAL	1.0	21	0.1380952380952381	0.0	0.0	0.16666666666666666	0.6190476190476191	0.38095238095238093	0.14285714285714285	0.047619047619047616	0.5714285714285714
DENDRITIC CELL	7	7	2	DENDRITIC CELL	1.0	21	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
EC	7	7	2	EC	1.0	21	0.060167827814886644	0.0	0.0	0.07692307692307693	0.6190476190476191	0.23809523809523808	0.14285714285714285	0.0	0.6190476190476191
EPITHELIAL CELL	7	7	2	EPITHELIAL CELL	1.0	21	0.13900226757369616	0.0	0.0	0.14285714285714285	0.6666666666666666	0.3333333333333333	0.19047619047619047	0.047619047619047616	0.6190476190476191
IMMUNE CELL	7	7	2	IMMUNE CELL	1.0	21	0.007936507936507936	0.0	0.0	0.0	0.9523809523809523	0.047619047619047616	0.0	0.0	0.047619047619047616
MESENCHYMAL	7	7	2	MESENCHYMAL	1.0	21	0.07346938775510205	0.0	0.0	0.14285714285714285	0.7142857142857143	0.2857142857142857	0.09523809523809523	0.0	0.38095238095238093
PODOCYTE	7	7	1	PODOCYTE	1.0	21	0.13462629533240844	0.0	0.0	0.2727272727272727	0.5238095238095238	0.42857142857142855	0.2857142857142857	0.0	1.4761904761904763
ASTROCYTES	6	6	2	ASTROCYTES	1.0	15	0.040578403078403075	0.0	0.0	0.08116883116883117	0.6	0.13333333333333333	0.0	0.0	0.4666666666666667
