source_corpus	paper_id	paper_key	cell_type	normalized_cell_type	neighborhood	relation	relation_label	marker_scope	marker_scope_label	n_markers	n_comparison_profiles	n_background_profiles	paper_n_profiles	local_marker_lb_log2	atlas_marker_lb_log2	marker_lb_gap_log2	observed_mean_profile_recall	expected_mean_profile_recall	mean_profile_recall_lift	observed_union_recall	expected_union_recall	union_recall_lift	n_recovered_markers	n_unrecovered_markers	recovered_marker_names	unrecovered_marker_names
biorxiv	001efeeb-7491-1014-a82f-ef19de5990ad	biorxiv:001efeeb-7491-1014-a82f-ef19de5990ad	REGENERATIVE EPITHELIAL	REGENERATIVE EPITHELIAL	epithelial	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	9	123	3350	1	0	12	12	0	0.000331674958541	0	0	0.0385355429766	0	0	9	NA	ATP6V0A4; ATP6V1B1; NXPH2; DUSP15; SPINK1; FOXI1; CLCNKB; CLCNKA; TMEM213
biorxiv	001efeeb-7491-1014-a82f-ef19de5990ad	biorxiv:001efeeb-7491-1014-a82f-ef19de5990ad	REGENERATIVE EPITHELIAL	REGENERATIVE EPITHELIAL	epithelial	same_broad_neighborhood	Same broad lineage	local_private_markers	Local-only markers	9	123	3350	1	0	12	12	0	0.000331674958541	0	0	0.0385355429766	0	0	9	NA	ATP6V0A4; ATP6V1B1; NXPH2; DUSP15; SPINK1; FOXI1; CLCNKB; CLCNKA; TMEM213
biorxiv	013a7c23-7117-1014-9b42-823175dea768	biorxiv:013a7c23-7117-1014-9b42-823175dea768	NEURONS	NEURONS		same_exact_label	Same reported label	all_reported_markers	All reported markers	5	2	3350	1	0	12	12	0	0.00107462686567	0	0	0.00214747159724	0	0	5	NA	CREB1; ONECUT2; JUND; ONECUT1; ONECUT3
biorxiv	013a7c23-7117-1014-9b42-823175dea768	biorxiv:013a7c23-7117-1014-9b42-823175dea768	NEURONS	NEURONS		same_exact_label	Same reported label	local_private_markers	Local-only markers	5	2	3350	1	0	12	12	0	0.00107462686567	0	0	0.00214747159724	0	0	5	NA	CREB1; ONECUT2; JUND; ONECUT1; ONECUT3
biorxiv	01e5e65d-751c-1014-a8e3-b5f1d7a951ab	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	DC	DC		same_exact_label	Same reported label	all_reported_markers	All reported markers	12	4	3346	5	3	12	9	0	0.00221657700737	0	0	0.00876623479039	0	0	12	NA	IL21R; IL23A; CCR6; OSM; STAT4; TNFRSF14; SPRED1; CCL13; IFNL1; SOCS1; CCL5; CCL3L1
biorxiv	01e5e65d-751c-1014-a8e3-b5f1d7a951ab	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	DC	DC		same_exact_label	Same reported label	local_private_markers	Local-only markers	9	4	3346	5	3	12	9	0	0.00262336454805	0	0	0.0103625259099	0	0	9	NA	CCR6; OSM; TNFRSF14; SPRED1; CCL13; IFNL1; SOCS1; CCL5; CCL3L1
biorxiv	01e5e65d-751c-1014-a8e3-b5f1d7a951ab	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	TC	TC		same_exact_label	Same reported label	all_reported_markers	All reported markers	10	3	3346	5	3	12	9	0	0.00239091452481	0	0	0.0071319734008	0	0	10	NA	IFNGR1; IL21R; IL7; IL26; IL5; IL2RA; STAT4; CSF2; IL13; TLR7
biorxiv	01e5e65d-751c-1014-a8e3-b5f1d7a951ab	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	TC	TC		same_exact_label	Same reported label	local_private_markers	Local-only markers	8	3	3346	5	3	12	9	0	0.00280185295876	0	0	0.00835516535658	0	0	8	NA	IFNGR1; IL7; IL26; IL5; IL2RA; CSF2; IL13; TLR7
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	CD4+ TISSUE RESIDENT MEMORY T CELL (TRM)	CD 4 TISSUE RESIDENT MEMORY T CELL TRM	T cell	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	3	253	3340	11	4	12	8	0.0421607378129	0.00838323353293	5.02917372483	1	0.861575052814	1.16066498993	3	0	ITGAE; CD69; CXCR6	NA
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	CD4+ TISSUE RESIDENT MEMORY T CELL (TRM)	CD 4 TISSUE RESIDENT MEMORY T CELL TRM	T cell	same_broad_neighborhood	Same broad lineage	local_private_markers	Local-only markers	3	253	3340	11	4	12	8	0.0421607378129	0.00838323353293	5.02917372483	1	0.861575052814	1.16066498993	3	0	ITGAE; CD69; CXCR6	NA
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	CD8+ EXHAUSTED T CELL (TEXH)	CD 8 EXHAUSTED T CELL TEXH	T cell	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	3	253	3340	11	4	12	8	0.0869565217391	0.0115768463074	7.51124437781	1	0.936011527292	1.06836291097	3	0	LAG3; HAVCR2; PDCD1	NA
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	CD8+ EXHAUSTED T CELL (TEXH)	CD 8 EXHAUSTED T CELL TEXH	T cell	same_broad_neighborhood	Same broad lineage	local_private_markers	Local-only markers	2	253	3340	11	4	12	8	0.098814229249	0.0131736526946	7.50089831117	1	0.963441979396	1.03794522284	2	0	LAG3; PDCD1	NA
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	CD8+ PROLIFERATING EXHAUSTED T CELL	CD 8 PROLIFERATING EXHAUSTED T CELL	T cell	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	3	253	3340	11	4	12	8	0.030303030303	0.012874251497	2.35377026075	1	0.936588384807	1.06770489173	3	0	TOP2A; HAVCR2; MKI67	NA
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	CD8+ PROLIFERATING EXHAUSTED T CELL	CD 8 PROLIFERATING EXHAUSTED T CELL	T cell	same_broad_neighborhood	Same broad lineage	local_private_markers	Local-only markers	2	253	3340	11	4	12	8	0.0138339920949	0.015119760479	0.914961061324	1	0.964307265669	1.03701386021	2	0	TOP2A; MKI67	NA
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	GC1	GC 1		same_exact_label	Same reported label	all_reported_markers	All reported markers	3	1	3340	11	4	12	8	0	0.00189620758483	0	0	0.00189620758483	0	0	3	NA	BCL6; NEIL1; RGS13
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	GC1	GC 1		same_exact_label	Same reported label	local_private_markers	Local-only markers	3	1	3340	11	4	12	8	0	0.00189620758483	0	0	0.00189620758483	0	0	3	NA	BCL6; NEIL1; RGS13
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	INFLAMMATORY CANCER-ASSOCIATED FIBROBLAST (ICAFS)	INFLAMMATORY CANCER ASSOCIATED FIBROBLAST ICAFS	fibroblast/stromal	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	3	148	3340	11	4	12	8	0.103603603604	0.0137724550898	7.52252252252	1	0.836976019754	1.19477736088	3	0	DCN; PDGFRA; CXCL1	NA
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	INFLAMMATORY CANCER-ASSOCIATED FIBROBLAST (ICAFS)	INFLAMMATORY CANCER ASSOCIATED FIBROBLAST ICAFS	fibroblast/stromal	same_broad_neighborhood	Same broad lineage	local_private_markers	Local-only markers	3	148	3340	11	4	12	8	0.103603603604	0.0137724550898	7.52252252252	1	0.836976019754	1.19477736088	3	0	DCN; PDGFRA; CXCL1	NA
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	MAST CELL	MAST CELL		same_exact_label	Same reported label	all_reported_markers	All reported markers	3	14	3340	11	4	12	8	0.47619047619	0.0061876247505	76.9585253456	1	0.0816795613981	12.2429648603	3	0	KIT; TPSAB1; TPSB2	NA
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	MAST CELL	MAST CELL		same_exact_label	Same reported label	local_private_markers	Local-only markers	3	14	3340	11	4	12	8	0.47619047619	0.0061876247505	76.9585253456	1	0.0816795613981	12.2429648603	3	0	KIT; TPSAB1; TPSB2	NA
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	MYOFIBROBLAST-LIKE CAF (MYCAFS)	MYOFIBROBLAST LIKE CAF MYCAFS	fibroblast/stromal	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	3	148	3340	11	4	12	8	0.0608108108108	0.010379241517	5.85888773389	0.666666666667	0.597049164837	1.11660262827	2	1	COL1A1; POSTN	MFAP2
