normalized_cell_type	marker_scope	marker_scope_label	n_profiles	n_papers	example_reported_labels	median_n_markers	median_observed_union_recall	median_expected_union_recall	median_union_recall_lift	pct_union_lift_gt_1	median_observed_mean_profile_recall	median_expected_mean_profile_recall	median_mean_profile_recall_lift
T CELL	all_reported_markers	All reported markers	38	37	T CELL; T-CELL; ΑΒ T CELL; ΓΔ T CELL	3.0	0.9285714285714286	0.26147648440910015	3.5354778374918485	0.9736842105263158	0.18036786786786785	0.00853797957523929	24.875814446414058
B CELL	all_reported_markers	All reported markers	30	30	B CELL; B-CELL	3.5	0.7083333333333333	0.13680849071232903	5.440060050075247	0.9655172413793104	0.2137931034482759	0.005191075451833917	45.221300742034046
FIBROBLAST	all_reported_markers	All reported markers	29	29	FIBROBLAST	4.0	0.7	0.18020344625910675	2.9814573955809127	0.896551724137931	0.1285714285714286	0.007623318385650224	15.577639751552795
MACROPHAGE	all_reported_markers	All reported markers	29	29	MACROPHAGE	3.0	0.6666666666666666	0.21618851425886887	2.819181635390021	0.8928571428571429	0.10714285714285714	0.009159697331740343	11.089069422276584
ENDOTHELIAL CELL	all_reported_markers	All reported markers	28	28	ENDOTHELIAL CELL	3.0	0.6666666666666666	0.13385208897900946	3.9936962023814857	0.9285714285714286	0.16049382716049382	0.005543111677694087	25.983860731144784
MONOCYTE	all_reported_markers	All reported markers	24	24	MONOCYTE	3.5	0.3333333333333333	0.17602401069445706	2.4493701750657646	0.7083333333333334	0.09565217391304348	0.008953630864258842	9.865098868785068
CELL	all_reported_markers	All reported markers	19	8	Α CELL; Α-CELL; Β CELL; Β-CELL; Γ-CELL; Δ-CELL; Ε-CELL	8.0	0.5	0.031439114374574605	14.425047438204565	1.0	0.08823529411764706	0.0021463891756778783	38.96610169491525
CLUSTER 2	all_reported_markers	All reported markers	19	19	CLUSTER 2; CLUSTER-2	5.0	0.07692307692307693	0.09122964300425988	0.6968029692443616	0.42105263157894735	0.004273504273504274	0.005626929588686386	0.6473093302361594
MICROGLIA	all_reported_markers	All reported markers	18	18	MICROGLIA	6.5	0.6274509803921569	0.06560413310679589	9.31226816033475	0.9444444444444444	0.0857843137254902	0.004087610201160318	24.628676470588232
CD 4 T CELL	all_reported_markers	All reported markers	17	17	CD4 + T CELL; CD4 T CELL; CD4+ T CELL; CD4+T CELL	5.0	0.5454545454545454	0.12090690560668696	4.430799738246358	0.8235294117647058	0.0625	0.008363201911589008	11.553867403314916
PLASMA CELL	all_reported_markers	All reported markers	16	16	PLASMA CELL	3.0	1.0	0.04697865006668178	12.981135986058625	0.9375	0.21587301587301588	0.0032237965017693337	55.56883589998345
NK CELL	all_reported_markers	All reported markers	16	16	NK CELL	4.0	0.6333333333333333	0.13098883378651183	4.215799137865507	0.875	0.14	0.009504028996808155	13.405708796486895
MAST CELL	all_reported_markers	All reported markers	15	15	MAST CELL	3.0	1.0	0.0397648754324329	21.611524552857514	0.9333333333333333	0.40476190476190477	0.0029020314219953968	84.0252100840336
TREG	all_reported_markers	All reported markers	15	15	TREG	4.0	0.75	0.11210524123833154	6.690142153171306	1.0	0.3979591836734694	0.008607784431137726	46.39389736477115
