source_corpus	paper_id	paper_key	relation	relation_label	marker_scope	marker_scope_label	n_profiles_with_comparison	paper_n_profiles	local_marker_lb_log2	atlas_marker_lb_log2	marker_lb_gap_log2	median_observed_union_recall	median_expected_union_recall	median_union_recall_lift	median_observed_mean_profile_recall	median_expected_mean_profile_recall	median_mean_profile_recall_lift
biorxiv	5a3c7d4e-70da-1014-80b6-cd48bfa975fe	biorxiv:5a3c7d4e-70da-1014-80b6-cd48bfa975fe	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	10	4	12	8	0.3333333333333333	0.03719100686309588	8.96274022804409	0.06666666666666667	0.007582560111742992	8.792105263157893
biorxiv	06056998-6fcf-1014-a978-d2cf5726c0ad	biorxiv:06056998-6fcf-1014-a978-d2cf5726c0ad	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	1	0	12	12	0.75	0.10470033526664099	7.16330084416607	0.029891304347826088	0.0013432835820895521	22.2524154589372
biorxiv	fc7595eb-733c-1014-9892-ed444a916a2a	biorxiv:fc7595eb-733c-1014-9892-ed444a916a2a	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	4	2	12	10	1.0	0.15706017465824543	6.366986425272649	0.175	0.004282441987849816	40.86453488372092
biorxiv	ede8f8d0-6d2d-1014-a8e8-fbbc8a92dcf4	biorxiv:ede8f8d0-6d2d-1014-a8e8-fbbc8a92dcf4	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	2	1	12	11	1.0	0.15719635079432265	6.361470828978788	0.012195121951219513	0.0014183338309943267	8.598202824133505
hca	0083_10.1126_sciimmunol.adz8650_c0046d094c	hca:0083_10.1126_sciimmunol.adz8650_c0046d094c	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	4	14	4	12	8	0.9	0.1369250145560585	6.067144550436968	0.04736190724335593	0.003925681750074917	16.46546052631579
biorxiv	fa200037-7001-1014-b4a8-b2d1b5dda72e	biorxiv:fa200037-7001-1014-b4a8-b2d1b5dda72e	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	2	1	12	11	0.5833333333333333	0.0974630363893221	6.025219356819491	0.08867521367521367	0.0027495769881556685	32.477153188691645
hca	0295_10.1016_j.isci.2021.102551_1c1e582cdd	hca:0295_10.1016_j.isci.2021.102551_1c1e582cdd	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	6	3	12	9	0.9	0.20449745718524726	5.903013532957843	0.01097972972972973	0.0016965620328849027	7.764734872293012
biorxiv	b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e	biorxiv:b7d0eaf3-6f9e-1014-bc01-ef7867d59c7e	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	6	3	12	9	1.0	0.17261965600532725	5.793083030875342	0.032520325203252036	0.0016442451420029896	19.77827050997783
hca	0273_10.15252_embj.20105114_43aa56d0ae	hca:0273_10.15252_embj.20105114_43aa56d0ae	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	1	0	12	12	1.0	0.17889283546858498	5.589938788664391	0.012195121951219513	0.0016417910447761195	7.427937915742794
hca	0442_10.1038_s41591-024-03011-9_e42f5ec07c	hca:0442_10.1038_s41591-024-03011-9_e42f5ec07c	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	6	3	12	9	0.8375	0.33777727308402233	4.951378629246861	0.03053789083200848	0.0045366218236173395	9.616821779194833
hca	0090_10.1038_s41586-021-03852-1_eec89a5e36	hca:0090_10.1038_s41586-021-03852-1_eec89a5e36	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	5	27	5	12	7	1.0	0.17590392026961763	4.890692389170911	0.01944444444444444	0.0016546329723225032	10.06803355079217
hca	0281_10.1016_j.devcel.2019.06.001_238d93bfef	hca:0281_10.1016_j.devcel.2019.06.001_238d93bfef	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	10	4	12	8	0.25	0.126703576592115	4.628570144421329	0.05593607305936073	0.0027436895141175295	14.375570776255707
biorxiv	36b52534-7118-1014-9621-c8d35d0ed1df	biorxiv:36b52534-7118-1014-9621-c8d35d0ed1df	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	1	0	12	12	0.42857142857142855	0.09292176496879427	4.61217486253468	0.0028288543140028285	0.000511727078891258	5.528052805280527
hca	0279_10.1186_s12860-019-0199-y_bf14d4299c	hca:0279_10.1186_s12860-019-0199-y_bf14d4299c	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	2	1	12	11	0.6285714285714286	0.1489668929675924	4.588460582183091	0.07912087912087912	0.004227274666211662	19.815112231289135
hca	0412_10.1038_s41598-019-57110-6_5feef6086a	hca:0412_10.1038_s41598-019-57110-6_5feef6086a	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	2	1	12	11	1.0	0.2202056562962547	4.5412094167764945	0.04504504504504504	0.0034836269533193988	12.93050193050193
hca	0075_10.1126_scitranslmed.abm1375_6de08b3db5	hca:0075_10.1126_scitranslmed.abm1375_6de08b3db5	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	2	2	1	12	11	0.5631578947368421	0.17756498512795563	4.406176135939168	0.014649122807017544	0.0036758812528484546	4.884103780140365
biorxiv	8bff4e38-6c13-1014-bcce-e068e3eafd28	biorxiv:8bff4e38-6c13-1014-bcce-e068e3eafd28	same_broad_neighborhood	Same broad lineage	all_reported_markers	All reported markers	1	6	3	12	9	0.8571428571428571	0.2154672396795876	3.9780657997822715	0.02787456445993031	0.0021780909673286357	12.797704447632709
