source_corpus	paper_id	paper_key	n_profiles	n_genes	n_distinct_marker_signatures	n_duplicate_profile_signatures	all_profiles_locally_identifiable	information_lower_bound_log2	greedy_local_panel_size	greedy_local_panel_genes	n_pairs	mean_jaccard	median_jaccard	q25_jaccard	q75_jaccard	pct_jaccard_eq_0	pct_jaccard_ge_0_10	pct_jaccard_ge_0_25	pct_jaccard_eq_1	mean_shared_genes
hca	0148_10.1113_jp287812_fd3137bc12	hca:0148_10.1113_jp287812_fd3137bc12	30	89	28	3	False	5	26	ASPM; VWF; COL1A2; CLEC4C; PTPRB; IBSP; MSR1; ABCC9; FBLN1; ITGA8; CXCL2; MMP9; C6; NAMPT; CLNK; GNLY; IL1R2; IL18R1; PROX1; COL4A2; BLK; SKAP1; DCN; CUX2; CENPE	435	0.0146360153256705	0.0	0.0	0.0	0.9770114942528736	0.022988505747126436	0.01839080459770115	0.006896551724137931	0.05517241379310345
hca	0364_10.1161_circulationaha.120.046528_00aa2deb4c	hca:0364_10.1161_circulationaha.120.046528_00aa2deb4c	29	109	27	4	False	5	22	MYL9; FOS; COL1A2; TXNIP; TUBA1B; CCL4; MGP; MERTK; VCAN; TNFRSF9; IL4R; CREM; VWF; KLRB1; PDGFRB; GNLY; FLT3; DNAJA1; NFKB1; STMN1; MYH11; FBN1	406	0.013488598156085841	0.0	0.0	0.0	0.9556650246305419	0.03201970443349754	0.022167487684729065	0.0049261083743842365	0.0812807881773399
hca	0290_10.1101_235499_566cff6e3c	hca:0290_10.1101_235499_566cff6e3c	29	100	28	2	False	5	20	TCF21; PAX2; GATA3; CTGF; KDR; COL3A1; TNNI1; ROBO2; PECAM1; DCN; TYROBP; COL9A3; HBG1; CDH1; WT1; CDH6; MYOG; MEIS1; MEF2C; ELAVL4	406	0.013956661154937015	0.0	0.0	0.0	0.9187192118226601	0.04926108374384237	0.007389162561576354	0.0024630541871921183	0.10837438423645321
hca	0090_10.1038_s41586-021-03852-1_eec89a5e36	hca:0090_10.1038_s41586-021-03852-1_eec89a5e36	27	123	27	0	True	5	26	CCL20; CCL21; CFTR; SOX8; TFAP2B; CLDN11; CLCA1; BEST2; ANO2; GAL; TRPM5; CHGB; CPA1; OLFM4; CA2; CALCA; RBP2; AKAP7; EFNB2; TPH1; TOP2A; ITGB7; NXPH2; SELE; PROX1	351	0.0007733007733007734	0.0	0.0	0.0	0.9943019943019943	0.002849002849002849	0.0	0.0	0.005698005698005698
hca	0089_10.1038_s41586-020-2797-4_6e65d21b5d	hca:0089_10.1038_s41586-020-2797-4_6e65d21b5d	26	106	26	0	True	5	25	ALDH1A2; CNN1; CD38; CX3CL1; SEMA3G; DCN; NRXN3; TNC; IL4R; MYH7; TREM2; MSLN; CRYAB; VWF; BACH2; ADGRL2; PRX; PROX1; TNNT2; GPAM; LYVE1; SOX5; FHL1; HAMP; CDH13	325	0.0007472527472527472	0.0	0.0	0.0	0.9938461538461538	0.006153846153846154	0.0	0.0	0.006153846153846154
hca	0350_10.1038_s41421-020-0157-z_3083f6da26	hca:0350_10.1038_s41421-020-0157-z_3083f6da26	26	155	26	0	True	5	21	CXCR6; IL7R; GZMB; VCAN; MYC; CXCR5; FGR; ICA1; ZBTB32; TYROBP; CD74; CHI3L2; IL4R; CCR7; IKZF2; COCH; LTB; LYZ; LGALS1; GZMK; STMN1	325	0.01314317413628844	0.0	0.0	0.0	0.9230769230769231	0.04	0.009230769230769232	0.0	0.1723076923076923
biorxiv	219b21d9-7007-1014-9157-ab439216a355	biorxiv:219b21d9-7007-1014-9157-ab439216a355	24	70	23	2	False	5	21	ACTA2; POSTN; GPNMB; MX1; TNFRSF11B; MSMO1; CDH19; FBLN1; BIRC5; ITGA6; MYBL2; RARRES2; PTGDS; VWF; CDC20; ITGA8; STMN1; CD276; OAS2; RERGL; STEAP4	276	0.010645272601794343	0.0	0.0	0.0	0.9637681159420289	0.036231884057971016	0.018115942028985508	0.0036231884057971015	0.06159420289855073
hca	0465_10.1016_j.cell.2020.12.016_af8ed7d941	hca:0465_10.1016_j.cell.2020.12.016_af8ed7d941	24	85	24	0	True	5	21	VIM; BMP5; NEUROD1; NPY; THY1; TGFBR3; CEACAM1; FCN1; CCDC80; WFDC2; CD79A; PHOX2B; CTSC; KLRB1; SMOC2; SLC5A7; CCR7; CPA3; TOP2A; CHGA; BEST4	276	0.003109903381642512	0.0	0.0	0.0	0.9818840579710145	0.018115942028985508	0.0	0.0	0.021739130434782608
hca	0109_10.7554_elife.91792.1_056dda27be	hca:0109_10.7554_elife.91792.1_056dda27be	24	78	24	0	True	5	20	FCGR3A; ITGAE; ACTA2; RORC; TYROBP; FCN1; GNLY; FOXP3; TRPM5; LYZ; CRYAB; APOC3; CR2; BATF3; EFNB2; CLEC10A; MERTK; NOTCH3; NCR2; CD3D	276	0.008804922935357718	0.0	0.0	0.0	0.9637681159420289	0.036231884057971016	0.010869565217391304	0.0	0.05434782608695652
hca	0085_10.1073_pnas.2200914119_3dd916fb05	hca:0085_10.1073_pnas.2200914119_3dd916fb05	23	102	23	0	True	5	18	BCAS1; KRT12; DCN; NOTCH3; KRT14; COL15A1; JAG1; ATP1A2; CDH19; TYR; KRT15; DCT; PTPRC; BIRC5; RARRES1; PAX6; SELE; CEMIP	253	0.01395525659879727	0.0	0.0	0.0	0.924901185770751	0.05928853754940711	0.011857707509881422	0.0	0.09881422924901186
hca	0384_10.1038_s41422-021-00529-2_d6c8237ebe	hca:0384_10.1038_s41422-021-00529-2_d6c8237ebe	22	64	22	0	True	5	16	BCL11B; EOMES; IL7R; PTGDR2; TCF7; NRP1; CD34; ITGAE; GATA3; RORC; HSP90AA1; NFIL3; PTGS2; MECOM; GZMB; KRT81	231	0.01977661588051198	0.0	0.0	0.0	0.9004329004329005	0.07792207792207792	0.012987012987012988	0.0	0.12987012987012986
hca	0284_10.1002_hep4.1854_fe09f5fe1e	hca:0284_10.1002_hep4.1854_fe09f5fe1e	21	82	20	2	False	5	18	KRT7; ACTA2; RBP1; FGFR3; AOX1; MARCO; LYZ; CYP3A5; IL32; DCN; APOC3; KRT18; CNN2; TGFB1; VWF; PROX1; IL6; PIGR	210	0.02995498645211162	0.0	0.0	0.0	0.8952380952380953	0.08571428571428572	0.03333333333333333	0.004761904761904762	0.2619047619047619
