source_corpus	paper_id	paper_key	cell_type	normalized_cell_type	neighborhood	n_markers	n_local_private_markers	local_private_fraction	n_same_label_other_paper_profiles	n_same_label_other_paper_markers	marker_fraction_recovered_by_same_label_other_papers	local_private_fraction_recovered_by_same_label_other_papers	n_same_neighborhood_other_paper_profiles	marker_fraction_recovered_by_same_neighborhood_other_papers	local_private_marker_names
biorxiv	001efeeb-7491-1014-a82f-ef19de5990ad	biorxiv:001efeeb-7491-1014-a82f-ef19de5990ad	REGENERATIVE EPITHELIAL	REGENERATIVE EPITHELIAL	epithelial	9	9	1.0	0	0			123	0.0	ATP6V0A4; ATP6V1B1; NXPH2; DUSP15; SPINK1; FOXI1; CLCNKB; CLCNKA; TMEM213
biorxiv	013a7c23-7117-1014-9b42-823175dea768	biorxiv:013a7c23-7117-1014-9b42-823175dea768	NEURONS	NEURONS		5	5	1.0	2	8	0.0	0.0	0		CREB1; ONECUT2; JUND; ONECUT1; ONECUT3
biorxiv	01e5e65d-751c-1014-a8e3-b5f1d7a951ab	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	DC	DC		12	9	0.75	4	16	0.0	0.0	0		CCR6; OSM; TNFRSF14; SPRED1; CCL13; IFNL1; SOCS1; CCL5; CCL3L1
biorxiv	01e5e65d-751c-1014-a8e3-b5f1d7a951ab	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	KC	KC		5	5	1.0	0	0			0		CCL7; CCL20; CCR2; IL15RA; IL15
biorxiv	01e5e65d-751c-1014-a8e3-b5f1d7a951ab	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	LC	LC		8	6	0.75	0	0			0		CCL17; CCND2; CXCR4; JAK1; IL22RA2; STAT6
biorxiv	01e5e65d-751c-1014-a8e3-b5f1d7a951ab	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	MC	MC		8	7	0.875	0	0			0		CD33; IL10RA; CCND3; IL10; ITGAX; IFNGR2; CD7
biorxiv	01e5e65d-751c-1014-a8e3-b5f1d7a951ab	biorxiv:01e5e65d-751c-1014-a8e3-b5f1d7a951ab	TC	TC		10	8	0.8	3	32	0.0	0.0	0		IFNGR1; IL7; IL26; IL5; IL2RA; CSF2; IL13; TLR7
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	CD4+ TISSUE RESIDENT MEMORY T CELL (TRM)	CD 4 TISSUE RESIDENT MEMORY T CELL TRM	T cell	3	3	1.0	0	0			253	1.0	ITGAE; CD69; CXCR6
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	CD8+ EXHAUSTED T CELL (TEXH)	CD 8 EXHAUSTED T CELL TEXH	T cell	3	2	0.6666666666666666	0	0			253	1.0	LAG3; PDCD1
biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	CD8+ PROLIFERATING EXHAUSTED T CELL	CD 8 PROLIFERATING EXHAUSTED T CELL	T cell	3	2	0.6666666666666666	0	0			253	1.0	TOP2A; MKI67
