partition	coverage_threshold	group_a	group_b	n_separating_genes	separating_gene_names
broad_neighborhoods	0.05	B cell	NK cell	36	CD38; CD79B; TYROBP; CD22; TNFRSF17; PRDM1; GZMH; GZMB; CD79A; NKG7; CD69; GZMK; BCL6; GNLY; SDC1; JCHAIN; KLRD1; IRF8; XCL1; GZMA; NCAM1; BANK1; MS4A1; EOMES; ITGAM
broad_neighborhoods	0.05	B cell	T cell	47	CD38; CD79B; CD4; CD22; TNFRSF17; FOXP3; PRDM1; TCF7; LAG3; GZMH; GZMB; CD79A; NKG7; CD69; IFNG; GZMK; BCL6; SDC1; CCR7; JCHAIN; IL2RA; HAVCR2; LEF1; CD27; IRF8
broad_neighborhoods	0.05	B cell	dendritic cell	29	CD38; CD79B; CD22; TNFRSF17; PRDM1; CD79A; BCL6; SDC1; BATF3; JCHAIN; CLEC10A; IRF4; CD27; BANK1; MS4A1; CD1C; MZB1; XCR1; CD19; FCER1A; CADM1; IL3RA; PAX5; TLR7; CLEC9A
broad_neighborhoods	0.05	B cell	endothelial	37	CD38; CD79B; SELE; CD22; TNFRSF17; PRDM1; FLT1; CD79A; VWF; BCL6; SDC1; PROX1; PTPRB; KDR; PLVAP; JCHAIN; LYVE1; CCL21; MMRN1; CD27; IRF8; BANK1; MS4A1; PDPN; SOX17
broad_neighborhoods	0.05	B cell	epithelial	26	CD38; CD79B; CD22; TNFRSF17; PRDM1; TP63; CD79A; BCL6; SDC1; EPCAM; SPDEF; JCHAIN; CD27; IRF8; BANK1; MS4A1; KRT8; MZB1; CD19; KRT5; KRT14; PAX5; TLR7; MUC2; IGHA1
broad_neighborhoods	0.05	B cell	fibroblast/stromal	34	CD38; CD79B; DCN; CD22; TNFRSF17; PRDM1; MYL9; CD79A; ACTA2; COL1A1; PDGFRB; BCL6; SDC1; JCHAIN; POSTN; MYH11; PDGFRA; CD27; LUM; IRF8; RGS5; SFRP2; TAGLN; BANK1; THY1
broad_neighborhoods	0.05	B cell	monocyte/macrophage	36	CD38; CD79B; CD22; TNFRSF17; PRDM1; LYZ; TREM2; CD79A; BCL6; SDC1; IL1B; CD68; APOE; JCHAIN; CD27; IRF8; S100A8; BANK1; MS4A1; C1QC; S100A9; CD14; MZB1; C1QB; C1QA
broad_neighborhoods	0.05	NK cell	T cell	29	CD4; TYROBP; FOXP3; TCF7; LAG3; IFNG; GNLY; CCR7; IL2RA; KLRD1; HAVCR2; LEF1; CD27; XCL1; NCAM1; CD8A; CTLA4; CD3D; IL7R; ITGAM; TIGIT; PDCD1; SELL; NCR1; CD3E
broad_neighborhoods	0.05	NK cell	dendritic cell	31	TYROBP; GZMH; GZMB; NKG7; CD69; GZMK; GNLY; BATF3; CLEC10A; KLRD1; IRF4; CD27; IRF8; XCL1; GZMA; NCAM1; CD1C; EOMES; ITGAM; XCR1; FCER1A; PRF1; CADM1; IL3RA; NCR1
broad_neighborhoods	0.05	NK cell	endothelial	37	SELE; TYROBP; GZMH; GZMB; FLT1; NKG7; VWF; CD69; GZMK; GNLY; PROX1; PTPRB; KDR; PLVAP; LYVE1; KLRD1; CCL21; MMRN1; CD27; XCL1; GZMA; NCAM1; PDPN; EOMES; SOX17
