component	source_corpus	paper_id	paper_key	cell_type	normalized_cell_type	n_markers	marker_names	marker_ids	label_group	marker_program
1	biorxiv	1f87890c-7e00-1014-91de-cf40554be0ec	biorxiv:1f87890c-7e00-1014-91de-cf40554be0ec	CD14+ MONOCYTE	CD 14 MONOCYTE	4	LYZ;LGALS3;S100A8;CD14	ENSG00000090382;ENSG00000131981;ENSG00000143546;ENSG00000170458	Monocyte	Inflammatory monocyte-like
1	biorxiv	396ad855-6e2e-1014-85f5-9bd33dea0f81	biorxiv:396ad855-6e2e-1014-85f5-9bd33dea0f81	CD14+ MONOCYTE	CD 14 MONOCYTE	7	VCAN;MS4A6A;LGALS3;S100A8;S100A9;CD14;CD163	ENSG00000038427;ENSG00000110077;ENSG00000131981;ENSG00000143546;ENSG00000163220;ENSG00000170458;ENSG00000177575	Monocyte	Inflammatory monocyte-like
1	biorxiv	5200cce7-72d7-1014-98f6-994ae061fa4b	biorxiv:5200cce7-72d7-1014-98f6-994ae061fa4b	MONOCYTE	MONOCYTE	3	S100A8;S100A9;LAIR1	ENSG00000143546;ENSG00000163220;ENSG00000167613	Monocyte	Mast/granulocyte-like
1	biorxiv	a6ffed23-717d-1014-ae02-d2e67f78dddd	biorxiv:a6ffed23-717d-1014-ae02-d2e67f78dddd	MYELOID CELL	MYELOID CELL	3	LYZ;C1QB;AIF1	ENSG00000090382;ENSG00000173369;ENSG00000204472	Broad myeloid	Inflammatory monocyte-like
1	biorxiv	b88cbe76-6c0b-1014-a018-e498be98267a	biorxiv:b88cbe76-6c0b-1014-a018-e498be98267a	MACROPHAGE	MACROPHAGE	3	LYZ;CD14;AIF1	ENSG00000090382;ENSG00000170458;ENSG00000204472	Macrophage	Inflammatory monocyte-like
1	biorxiv	c245f005-7ab6-1014-adbd-b49bd8bfffbc	biorxiv:c245f005-7ab6-1014-adbd-b49bd8bfffbc	MONOCYTE	MONOCYTE	3	LYZ;S100A9;CD14	ENSG00000090382;ENSG00000163220;ENSG00000170458	Monocyte	Inflammatory monocyte-like
1	biorxiv	c8264099-6fc3-1014-9d27-9ae05a0c1d33	biorxiv:c8264099-6fc3-1014-9d27-9ae05a0c1d33	MONOCYTE	MONOCYTE	3	S100A8;S100A9;CD14	ENSG00000143546;ENSG00000163220;ENSG00000170458	Monocyte	Inflammatory monocyte-like
1	biorxiv	d2042444-7138-1014-94ac-a1f590fd3173	biorxiv:d2042444-7138-1014-94ac-a1f590fd3173	MONOCYTE	MONOCYTE	3	FCN1;S100A8;S100A9	ENSG00000085265;ENSG00000143546;ENSG00000163220	Monocyte	Inflammatory monocyte-like
1	biorxiv	e2efdcad-73c4-1014-9c6c-8a89f519fd2d	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CDC2.1	CDC 2 1	5	VCAN;APOE;S100A8;S100A9;CD14	ENSG00000038427;ENSG00000130203;ENSG00000143546;ENSG00000163220;ENSG00000170458	Dendritic	Inflammatory monocyte-like
1	biorxiv	e6e04172-6c15-1014-9229-c57ac33d21f6	biorxiv:e6e04172-6c15-1014-9229-c57ac33d21f6	MONOCYTE	MONOCYTE	4	LYZ;S100A8;S100A9;CD14	ENSG00000090382;ENSG00000143546;ENSG00000163220;ENSG00000170458	Monocyte	Inflammatory monocyte-like
1	biorxiv	ebaf49e5-7438-1014-8951-c3e925f71d14	biorxiv:ebaf49e5-7438-1014-8951-c3e925f71d14	DYSFUNCTIONAL CD14 MONOCYTE	DYSFUNCTIONAL CD 14 MONOCYTE	5	TSPO;S100A8;S100A9;S100A12;S100A6	ENSG00000100300;ENSG00000143546;ENSG00000163220;ENSG00000163221;ENSG00000197956	Monocyte	Inflammatory monocyte-like
1	biorxiv	f3be1d12-72db-1014-a9a0-ac8d78e3151e	biorxiv:f3be1d12-72db-1014-a9a0-ac8d78e3151e	MONOCYTE-DERIVED CELL	MONOCYTE DERIVED CELL	3	VCAN;S100A8;S100A9	ENSG00000038427;ENSG00000143546;ENSG00000163220	Monocyte	Inflammatory monocyte-like
1	biorxiv	f3be1d12-72db-1014-a9a0-ac8d78e3151e	biorxiv:f3be1d12-72db-1014-a9a0-ac8d78e3151e	MYELOID CELL	MYELOID CELL	3	LYZ;ITGAM;CD14	ENSG00000090382;ENSG00000169896;ENSG00000170458	Broad myeloid	Inflammatory monocyte-like
1	biorxiv	f787a6d9-6ce3-1014-a3f6-a662a1333571	biorxiv:f787a6d9-6ce3-1014-a3f6-a662a1333571	MONOCYTES	MONOCYTES	3	S100A8;S100A9;CD14	ENSG00000143546;ENSG00000163220;ENSG00000170458	Monocyte	Inflammatory monocyte-like
1	hca	0109_10.7554_elife.91792.1_056dda27be	hca:0109_10.7554_elife.91792.1_056dda27be	INFLAMMATORY MONOCYTES	INFLAMMATORY MONOCYTES	4	S100A8;S100A9;CD14;FCGR3A	ENSG00000143546;ENSG00000163220;ENSG00000170458;ENSG00000203747	Monocyte	Inflammatory monocyte-like
1	hca	0109_10.7554_elife.91792.1_056dda27be	hca:0109_10.7554_elife.91792.1_056dda27be	MONOCYTES	MONOCYTES	5	FCN1;S100A8;S100A9;CD14;FCGR3A	ENSG00000085265;ENSG00000143546;ENSG00000163220;ENSG00000170458;ENSG00000203747	Monocyte	Inflammatory monocyte-like
1	hca	0207_10.1016_j.immuni.2020.11.017_b182001861	hca:0207_10.1016_j.immuni.2020.11.017_b182001861	MONOCYTE	MONOCYTE	3	S100A8;ITGAM;CD14	ENSG00000143546;ENSG00000169896;ENSG00000170458	Monocyte	Inflammatory monocyte-like
1	hca	0284_10.1002_hep4.1854_fe09f5fe1e	hca:0284_10.1002_hep4.1854_fe09f5fe1e	INFLAMMATORY MACROPHAGES	INFLAMMATORY MACROPHAGES	3	LYZ;S100A8;S100A9	ENSG00000090382;ENSG00000143546;ENSG00000163220	Macrophage	Inflammatory monocyte-like
1	hca	0325_10.1016_j.celrep.2017.10.030_a9d12a5d7c	hca:0325_10.1016_j.celrep.2017.10.030_a9d12a5d7c	MACROPHAGES	MACROPHAGES	5	ANXA1;S100A8;S100A9;CD14;CRIP1	ENSG00000135046;ENSG00000143546;ENSG00000163220;ENSG00000170458;ENSG00000213145	Macrophage	Inflammatory monocyte-like
1	hca	0349_10.1038_s41467-023-36296-4_67ae3c1e19	hca:0349_10.1038_s41467-023-36296-4_67ae3c1e19	MDSC	MDSC	3	S100A8;S100A9;S100A12	ENSG00000143546;ENSG00000163220;ENSG00000163221	Broad myeloid	Inflammatory monocyte-like
1	hca	0414_10.1186_s13059-020-02210-0_30c1533a3e	hca:0414_10.1186_s13059-020-02210-0_30c1533a3e	MONOCYTE	MONOCYTE	4	VCAN;S100A8;S100A9;S100A12	ENSG00000038427;ENSG00000143546;ENSG00000163220;ENSG00000163221	Monocyte	Inflammatory monocyte-like
1	hca	0460_10.1016_j.cell.2021.08.003_652ffcecb6	hca:0460_10.1016_j.cell.2021.08.003_652ffcecb6	MACROPHAGE	MACROPHAGE	3	S100A8;S100A9;S100A12	ENSG00000143546;ENSG00000163220;ENSG00000163221	Macrophage	Inflammatory monocyte-like
2	biorxiv	03092aac-75a4-1014-b9cc-d44d468fbd97	biorxiv:03092aac-75a4-1014-b9cc-d44d468fbd97	STRAD13⁺ MACROPHAGE	STRAD 13 MACROPHAGE	3	STARD13;CD163;MRC1	ENSG00000133121;ENSG00000177575;ENSG00000260314	Macrophage	Complement macrophage-like
2	biorxiv	d8ee72e2-7047-1014-a159-a9ef37bce7a4	biorxiv:d8ee72e2-7047-1014-a159-a9ef37bce7a4	MACROPHAGE	MACROPHAGE	3	MSR1;CD68;MRC1	ENSG00000038945;ENSG00000129226;ENSG00000260314	Macrophage	Complement macrophage-like
2	biorxiv	e2efdcad-73c4-1014-9c6c-8a89f519fd2d	biorxiv:e2efdcad-73c4-1014-9c6c-8a89f519fd2d	CDC2.4	CDC 2 4	4	C3;C1QC;C1QB;C1QA	ENSG00000125730;ENSG00000159189;ENSG00000173369;ENSG00000173372	Dendritic	Complement macrophage-like
2	hca	0068_10.1093_ibd_izac201_351dddd961	hca:0068_10.1093_ibd_izac201_351dddd961	MACROPHAGE	MACROPHAGE	3	S100A8;C1QB;C1QA	ENSG00000143546;ENSG00000173369;ENSG00000173372	Macrophage	Complement macrophage-like
2	hca	0148_10.1113_jp287812_fd3137bc12	hca:0148_10.1113_jp287812_fd3137bc12	MACROPHAGE	MACROPHAGE	3	MSR1;CD163;MRC1	ENSG00000038945;ENSG00000177575;ENSG00000260314	Macrophage	Complement macrophage-like
2	hca	0161_10.1681_asn.2020030326_bf5d42b566	hca:0161_10.1681_asn.2020030326_bf5d42b566	DONOR MACROPHAGE	DONOR MACROPHAGE	6	F13A1;C1QC;CD14;C1QB;C1QA;KIAA1671	ENSG00000124491;ENSG00000159189;ENSG00000170458;ENSG00000173369;ENSG00000173372;ENSG00000197077	Macrophage	Complement macrophage-like
2	hca	0217_10.1186_s40478-023-01568-z_30cfefc163	hca:0217_10.1186_s40478-023-01568-z_30cfefc163	BORDER-ASSOCIATED MACROPHAGE	BORDER ASSOCIATED MACROPHAGE	3	LYVE1;CD163;MRC1	ENSG00000133800;ENSG00000177575;ENSG00000260314	Macrophage	Complement macrophage-like
2	hca	0349_10.1038_s41467-023-36296-4_67ae3c1e19	hca:0349_10.1038_s41467-023-36296-4_67ae3c1e19	C1QC+ MACROPHAGE	C 1 QC MACROPHAGE	3	C1QC;C1QB;C1QA	ENSG00000159189;ENSG00000173369;ENSG00000173372	Macrophage	Complement macrophage-like
2	hca	0365_10.3389_fendo.2022.874915_81de77d539	hca:0365_10.3389_fendo.2022.874915_81de77d539	MACROPHAGE	MACROPHAGE	4	C1QC;C1QB;C1QA;CD163	ENSG00000159189;ENSG00000173369;ENSG00000173372;ENSG00000177575	Macrophage	Complement macrophage-like
2	hca	0481_10.1016_j.immuni.2023.01.002_2da3d3f446	hca:0481_10.1016_j.immuni.2023.01.002_2da3d3f446	MACROPHAGE	MACROPHAGE	3	C1QC;C1QB;CD163	ENSG00000159189;ENSG00000173369;ENSG00000177575	Macrophage	Complement macrophage-like
