collection	common_cl_id	common_cl_label	doi	gene_names	label_cl_id	label_cl_label	label_confidence	label_rationale	marker_cl_id	marker_cl_label	marker_confidence	marker_rationale	ontology_relation	paper_id	profile_id	reported_label	title	year
benchmark	CL:0000782	myeloid dendritic cell	10.1038/s41586-022-04518-2	"[""CD1C"", ""CLEC10A"", ""PTPRC""]"	CL:0002399	CD1c-positive myeloid dendritic cell	high	The profile expresses CD1C and CLEC10A markers and the source text explicitly identifies this as a CD1C+ DC population, matching the CD1c-positive myeloid dendritic cell definition.	CL:0001057	myeloid dendritic cell, human	high	CD1C and CLEC10A are canonical markers for human myeloid dendritic cells (also called conventional dendritic cells type 2), and PTPRC (CD45) confirms hematopoietic origin.	shared_parent	1	18	DENDRITIC CELL 2	A single-cell atlas of human and mouse white adipose tissue	2022
benchmark	CL:0000766	myeloid leukocyte	10.1038/s41586-022-04518-2	"[""CD14"", ""PLEKHG5"", ""PTPRC""]"	CL:0002477	adipose macrophage	high	The profile is from a white adipose tissue atlas and expresses CD14 (monocyte/macrophage marker) and PTPRC (CD45), matching the adipose macrophage definition of CD45-positive macrophages located in adipose tissue.	CL:0001054	CD14-positive monocyte	high	CD14 is the defining marker for this cell type, and PTPRC (CD45) confirms leukocyte identity, making CD14-positive monocyte the most specific match.	shared_parent	1	27	MACROPHAGE 1	A single-cell atlas of human and mouse white adipose tissue	2022
benchmark	CL:0000766	myeloid leukocyte	10.1038/s41586-022-04518-2	"[""CD14"", ""CSF3R"", ""TREM2"", ""PTPRC""]"	CL:4047053	TREM2-positive macrophage	high	The marker gene TREM2 directly identifies this as a TREM2-positive macrophage, which is found in adipose tissue as stated in the candidate definition.	CL:0001054	CD14-positive monocyte	high	The marker profile with CD14, CSF3R, TREM2, and PTPRC (CD45) expression directly matches CD14-positive monocytes in white adipose tissue.	shared_parent	1	28	MACROPHAGE 2	A single-cell atlas of human and mouse white adipose tissue	2022
benchmark	CL:0000766	myeloid leukocyte	10.1038/s41586-022-04518-2	"[""CD14"", ""CSF3R"", ""CLEC10A"", ""PROS1"", ""PTPRC""]"	CL:0002477	adipose macrophage	high	The profile is from a white adipose tissue atlas and expresses CD14 (macrophage marker) and PTPRC (CD45), matching the adipose macrophage definition of CD45-positive macrophages located in adipose tissue.	CL:0001054	CD14-positive monocyte	high	The marker profile shows CD14, PTPRC (CD45), and monocyte-associated markers CSF3R, CLEC10A, and PROS1, which strongly indicate a CD14-positive monocyte population.	shared_parent	1	29	MACROPHAGE 3	A single-cell atlas of human and mouse white adipose tissue	2022
benchmark	CL:0000766	myeloid leukocyte	10.1038/s41586-022-04518-2	"[""CSF3R"", ""IRS2"", ""PTPRC""]"	CL:0000576	monocyte	high	The reported label 'MONOCYTE 1' and marker genes (CSF3R, IRS2, PTPRC/CD45) directly indicate a general monocyte population without sufficient evidence to specify a particular monocyte subtype.	CL:0000775	neutrophil	high	CSF3R (granulocyte colony-stimulating factor receptor) is a specific marker for neutrophils, combined with PTPRC (CD45, pan-leukocyte marker) and IRS2, strongly indicating neutrophil identity.	shared_parent	1	34	MONOCYTE 1	A single-cell atlas of human and mouse white adipose tissue	2022
benchmark	CL:0000623	natural killer cell	10.1038/s41586-022-04518-2	"[""CD96"", ""PTPRC"", ""KLRD1""]"	CL:0000623	natural killer cell	high	The reported label 'NATURAL KILLER CELL' with markers CD96, PTPRC, and KLRD1 directly matches the general natural killer cell type from white adipose tissue.	CL:0000623	natural killer cell	high	The markers CD96, PTPRC (pan-leukocyte), and KLRD1 (CD94, an NK cell receptor) are characteristic of natural killer cells.	same_term	1	36	NATURAL KILLER CELL	A single-cell atlas of human and mouse white adipose tissue	2022
benchmark	CL:0000815	regulatory T cell	10.1038/s41586-022-04518-2	"[""CTLA4"", ""CD96"", ""PTPRC""]"	CL:0000815	regulatory T cell	high	The reported label, marker CTLA4, and source sentence describing CTLA4+ human regulatory T cells directly match the general regulatory T cell definition.	CL:0000815	regulatory T cell	high	CTLA4 is a canonical marker of regulatory T cells, combined with PTPRC (CD45) confirming leukocyte identity and CD96 which is expressed on activated Tregs.	same_term	1	41	REGULATORY T CELL	A single-cell atlas of human and mouse white adipose tissue	2022
benchmark			10.1038/s41586-022-04518-2	"[""THEMIS"", ""CD96"", ""PTPRC""]"	CL:0000084	T cell	high	The reported label 'T CELL 1' and marker genes THEMIS (T cell-specific), CD96 (expressed on T cells), and PTPRC (CD45, pan-leukocyte marker) indicate a general T cell population without specific subset markers.			unmapped	No candidate Cell Ontology terms were retrieved.	marker_unmapped	1	44	T CELL 1	A single-cell atlas of human and mouse white adipose tissue	2022
benchmark	CL:0000084	T cell	10.1038/s41586-022-04518-2	"[""CD96"", ""THEMIS"", ""LEF1"", ""PTPRC""]"	CL:0000084	T cell	high	The marker genes CD96, THEMIS, LEF1, and PTPRC (CD45) are all characteristic pan-T cell markers, and the reported label 'T CELL 2' indicates a general T cell population without specific subset markers.	CL:0000084	T cell	high	CD96, THEMIS, LEF1, and PTPRC (CD45) are all expressed in T cells, but the markers are not specific enough to identify a particular T cell subtype from the candidates.	same_term	1	45	T CELL 2	A single-cell atlas of human and mouse white adipose tissue	2022
benchmark	CL:0000945	lymphocyte of B lineage	10.1038/s41590-021-00922-4	"[""CD79A"", ""JCHAIN"", ""IGKC""]"	CL:0000236	B cell	high	The reported label 'B CELL' and markers CD79A, JCHAIN, and IGKC are characteristic of B cells in general without sufficient specificity to map to a more specialized B cell subtype.	CL:0000786	plasma cell	high	CD79A, JCHAIN, and IGKC are canonical markers of antibody-secreting plasma cells.	shared_parent	2	47	B CELL	Single-cell sequencing of human white adipose tissue identifies new cell states in health and obesity	2021
