source	comparison	k	profile_index	profile_id	reported_label	cl_id	cl_label	overlap_n	overlap_at_k	jaccard_at_k	mean_marker_jaccard_to_neighbors	mean_ontology_similarity_to_neighbors
Ontology	Observed	1	0	59	MATURE NATURAL KILLER CELL	CL:0000939	CD16-positive, CD56-dim natural killer cell, human	0	0.0	0.0	0.07142857142857142	0.3333333333333333
Ontology	Random	1	0	59	MATURE NATURAL KILLER CELL	CL:0000939	CD16-positive, CD56-dim natural killer cell, human	0	0.0	0.0	0.0	0.1111111111111111
Ontology	Observed	1	1	294	B CELL	CL:0000236	B cell	0	0.0	0.0	0.0	0.25
Ontology	Random	1	1	294	B CELL	CL:0000236	B cell	0	0.0	0.0	0.0	0.14285714285714285
Ontology	Observed	1	4	1057	HNDAM	CL:0000129	microglial cell	1	1.0	1.0	0.030303030303030304	0.25
Ontology	Random	1	4	1057	HNDAM	CL:0000129	microglial cell	0	0.0	0.0	0.0	0.1
Ontology	Observed	1	6	1829	EXHAUSTED CD8 T CELL	CL:0020031	CD8-positive exhausted alpha-beta T cell	0	0.0	0.0	0.0	0.3333333333333333
Ontology	Random	1	6	1829	EXHAUSTED CD8 T CELL	CL:0020031	CD8-positive exhausted alpha-beta T cell	0	0.0	0.0	0.0	0.1111111111111111
Ontology	Observed	1	7	2113	PLASMACYTOID DENDRITIC CELL	CL:0001058	plasmacytoid dendritic cell, human	0	0.0	0.0	0.0	0.5
Ontology	Random	1	7	2113	PLASMACYTOID DENDRITIC CELL	CL:0001058	plasmacytoid dendritic cell, human	0	0.0	0.0	0.0	0.16666666666666666
Ontology	Observed	1	8	2259	ALVEOLAR MAC	CL:0000583	alveolar macrophage	1	1.0	1.0	0.125	0.3333333333333333
Ontology	Random	1	8	2259	ALVEOLAR MAC	CL:0000583	alveolar macrophage	0	0.0	0.0	0.0	0.09090909090909091
Ontology	Observed	1	9	2263	NK CELL	CL:0000623	natural killer cell	1	1.0	1.0	0.07142857142857142	0.3333333333333333
Ontology	Random	1	9	2263	NK CELL	CL:0000623	natural killer cell	0	0.0	0.0	0.0	0.1111111111111111
Ontology	Observed	1	10	2449	ACTIVATED MEMORY CELL	CL:0000813	memory T cell	0	0.0	0.0	0.0	0.25
Ontology	Random	1	10	2449	ACTIVATED MEMORY CELL	CL:0000813	memory T cell	0	0.0	0.0	0.0	0.1111111111111111
Ontology	Observed	1	12	3111	MONOCYTE	CL:0000576	monocyte	1	1.0	1.0	0.5	0.3333333333333333
Ontology	Random	1	12	3111	MONOCYTE	CL:0000576	monocyte	0	0.0	0.0	0.0	0.2
Ontology	Observed	1	13	3291	MONOCYTE	CL:0002057	CD14-positive, CD16-negative classical monocyte	1	1.0	1.0	0.5	0.3333333333333333
Ontology	Random	1	13	3291	MONOCYTE	CL:0002057	CD14-positive, CD16-negative classical monocyte	0	0.0	0.0	0.0	0.2
Ontology	Observed	1	14	3472	CD4.9	CL:0000624	CD4-positive, alpha-beta T cell	1	1.0	1.0	0.25	0.25
Ontology	Random	1	14	3472	CD4.9	CL:0000624	CD4-positive, alpha-beta T cell	0	0.0	0.0	0.0	0.25
Ontology	Observed	1	15	3509	CXCL9-POSITIVE	CL:0000235	macrophage	1	1.0	1.0	0.125	0.3333333333333333
Ontology	Random	1	15	3509	CXCL9-POSITIVE	CL:0000235	macrophage	0	0.0	0.0	0.0	0.3333333333333333
Ontology	Observed	1	16	3819	CD8T_GZMB	CL:0000794	CD8-positive, alpha-beta cytotoxic T cell	0	0.0	0.0	0.0	0.3333333333333333
Ontology	Random	1	16	3819	CD8T_GZMB	CL:0000794	CD8-positive, alpha-beta cytotoxic T cell	0	0.0	0.0	0.0	0.08333333333333333
Ontology	Observed	1	17	3856	DCS	CL:0000451	dendritic cell	0	0.0	0.0	0.0	0.5
Ontology	Random	1	17	3856	DCS	CL:0000451	dendritic cell	0	0.0	0.0	0.0	0.16666666666666666
Label	Observed	1	7	2113	PLASMACYTOID DENDRITIC CELL	CL:0001058	plasmacytoid dendritic cell, human	0	0.0	0.0	0.0	0.5
Label	Random	1	7	2113	PLASMACYTOID DENDRITIC CELL	CL:0001058	plasmacytoid dendritic cell, human	0	0.0	0.0	0.0	0.16666666666666666
Label	Observed	1	6	1829	EXHAUSTED CD8 T CELL	CL:0020031	CD8-positive exhausted alpha-beta T cell	1	1.0	1.0	0.25	0.25
Label	Random	1	6	1829	EXHAUSTED CD8 T CELL	CL:0020031	CD8-positive exhausted alpha-beta T cell	0	0.0	0.0	0.0	0.1111111111111111
Label	Observed	1	14	3472	CD4.9	CL:0000624	CD4-positive, alpha-beta T cell	1	1.0	1.0	0.25	0.25
Label	Random	1	14	3472	CD4.9	CL:0000624	CD4-positive, alpha-beta T cell	0	0.0	0.0	0.0	0.25
Label	Observed	1	16	3819	CD8T_GZMB	CL:0000794	CD8-positive, alpha-beta cytotoxic T cell	0	0.0	0.0	0.0	0.25
Label	Random	1	16	3819	CD8T_GZMB	CL:0000794	CD8-positive, alpha-beta cytotoxic T cell	0	0.0	0.0	0.0	0.08333333333333333
Label	Observed	1	12	3111	MONOCYTE	CL:0000576	monocyte	1	1.0	1.0	0.5	0.3333333333333333
Label	Random	1	12	3111	MONOCYTE	CL:0000576	monocyte	0	0.0	0.0	0.0	0.2
Label	Observed	1	13	3291	MONOCYTE	CL:0002057	CD14-positive, CD16-negative classical monocyte	1	1.0	1.0	0.5	0.3333333333333333
Label	Random	1	13	3291	MONOCYTE	CL:0002057	CD14-positive, CD16-negative classical monocyte	0	0.0	0.0	0.0	0.2
