profile_i	profile_j	profile_id_i	profile_id_j	label_i	label_j	cl_id_i	cl_id_j	cl_label_i	cl_label_j	marker_jaccard	ontology_similarity	ontology_common_id	ontology_graph_distance	label_similarity	same_paper
0	1	59	294	MATURE NATURAL KILLER CELL	B CELL	CL:0000939	CL:0000236	CD16-positive, CD56-dim natural killer cell, human	B cell	0.0	0.125	CL:0000542	7.0	0.0	False
0	2	59	341	MATURE NATURAL KILLER CELL	IMMUNE-REGULATORY	CL:0000939		CD16-positive, CD56-dim natural killer cell, human		0.0	0.0			0.0	False
0	3	59	445	MATURE NATURAL KILLER CELL	B REGULATORY	CL:0000939	CL:0000969	CD16-positive, CD56-dim natural killer cell, human	regulatory B cell	0.0	0.09090909090909091	CL:0000542	10.0	0.0	False
0	4	59	1057	MATURE NATURAL KILLER CELL	HNDAM	CL:0000939	CL:0000129	CD16-positive, CD56-dim natural killer cell, human	microglial cell	0.0	0.08333333333333333	CL:0000842	11.0	0.0	False
0	5	59	1333	MATURE NATURAL KILLER CELL	DENDRITIC CELL	CL:0000939	CL:0001056	CD16-positive, CD56-dim natural killer cell, human	dendritic cell, human	0.0	0.1	CL:0000842	9.0	0.0	False
0	6	59	1829	MATURE NATURAL KILLER CELL	EXHAUSTED CD8 T CELL	CL:0000939	CL:0020031	CD16-positive, CD56-dim natural killer cell, human	CD8-positive exhausted alpha-beta T cell	0.0	0.09090909090909091	CL:0000542	10.0	0.0	False
0	7	59	2113	MATURE NATURAL KILLER CELL	PLASMACYTOID DENDRITIC CELL	CL:0000939	CL:0001058	CD16-positive, CD56-dim natural killer cell, human	plasmacytoid dendritic cell, human	0.0	0.09090909090909091	CL:0000842	10.0	0.0	False
0	8	59	2259	MATURE NATURAL KILLER CELL	ALVEOLAR MAC	CL:0000939	CL:0000583	CD16-positive, CD56-dim natural killer cell, human	alveolar macrophage	0.0	0.09090909090909091	CL:0000842	10.0	0.0	False
0	9	59	2263	MATURE NATURAL KILLER CELL	NK CELL	CL:0000939	CL:0000623	CD16-positive, CD56-dim natural killer cell, human	natural killer cell	0.07142857142857142	0.3333333333333333	CL:0000623	2.0	0.0	False
0	10	59	2449	MATURE NATURAL KILLER CELL	ACTIVATED MEMORY CELL	CL:0000939	CL:0000813	CD16-positive, CD56-dim natural killer cell, human	memory T cell	0.23076923076923078	0.1111111111111111	CL:0000542	8.0	0.0	False
0	11	59	2737	MATURE NATURAL KILLER CELL	NEUTROPHIL	CL:0000939	CL:0000775	CD16-positive, CD56-dim natural killer cell, human	neutrophil	0.0	0.09090909090909091	CL:0000738	10.0	0.0	False
0	12	59	3111	MATURE NATURAL KILLER CELL	MONOCYTE	CL:0000939	CL:0000576	CD16-positive, CD56-dim natural killer cell, human	monocyte	0.0	0.1111111111111111	CL:0000842	8.0	0.0	False
0	13	59	3291	MATURE NATURAL KILLER CELL	MONOCYTE	CL:0000939	CL:0002057	CD16-positive, CD56-dim natural killer cell, human	CD14-positive, CD16-negative classical monocyte	0.0	0.09090909090909091	CL:0000842	10.0	0.0	False
0	14	59	3472	MATURE NATURAL KILLER CELL	CD4.9	CL:0000939	CL:0000624	CD16-positive, CD56-dim natural killer cell, human	CD4-positive, alpha-beta T cell	0.058823529411764705	0.1	CL:0000542	9.0	0.0	False
0	15	59	3509	MATURE NATURAL KILLER CELL	CXCL9-POSITIVE	CL:0000939	CL:0000235	CD16-positive, CD56-dim natural killer cell, human	macrophage	0.0	0.1111111111111111	CL:0000842	8.0	0.0	False
0	16	59	3819	MATURE NATURAL KILLER CELL	CD8T_GZMB	CL:0000939	CL:0000794	CD16-positive, CD56-dim natural killer cell, human	CD8-positive, alpha-beta cytotoxic T cell	0.16666666666666666	0.09090909090909091	CL:0000542	10.0	0.0	False
0	17	59	3856	MATURE NATURAL KILLER CELL	DCS	CL:0000939	CL:0000451	CD16-positive, CD56-dim natural killer cell, human	dendritic cell	0.0	0.1111111111111111	CL:0000842	8.0	0.0	False
1	2	294	341	B CELL	IMMUNE-REGULATORY	CL:0000236		B cell		0.0	0.0			0.0	False
1	3	294	445	B CELL	B REGULATORY	CL:0000236	CL:0000969	B cell	regulatory B cell	0.0	0.25	CL:0000236	3.0	0.0	False
1	4	294	1057	B CELL	HNDAM	CL:0000236	CL:0000129	B cell	microglial cell	0.0	0.1111111111111111	CL:0000842	8.0	0.0	False
1	5	294	1333	B CELL	DENDRITIC CELL	CL:0000236	CL:0001056	B cell	dendritic cell, human	0.0	0.14285714285714285	CL:0000842	6.0	0.0	False
1	6	294	1829	B CELL	EXHAUSTED CD8 T CELL	CL:0000236	CL:0020031	B cell	CD8-positive exhausted alpha-beta T cell	0.0	0.125	CL:0000542	7.0	0.0	False
1	7	294	2113	B CELL	PLASMACYTOID DENDRITIC CELL	CL:0000236	CL:0001058	B cell	plasmacytoid dendritic cell, human	0.1111111111111111	0.125	CL:0000842	7.0	0.0	False
1	8	294	2259	B CELL	ALVEOLAR MAC	CL:0000236	CL:0000583	B cell	alveolar macrophage	0.0	0.125	CL:0000842	7.0	0.0	False
1	9	294	2263	B CELL	NK CELL	CL:0000236	CL:0000623	B cell	natural killer cell	0.0	0.16666666666666666	CL:0000542	5.0	0.0	False
1	10	294	2449	B CELL	ACTIVATED MEMORY CELL	CL:0000236	CL:0000813	B cell	memory T cell	0.0	0.16666666666666666	CL:0000542	5.0	0.0	False
1	11	294	2737	B CELL	NEUTROPHIL	CL:0000236	CL:0000775	B cell	neutrophil	0.0	0.125	CL:0000738	7.0	0.0	False
1	12	294	3111	B CELL	MONOCYTE	CL:0000236	CL:0000576	B cell	monocyte	0.0	0.16666666666666666	CL:0000842	5.0	0.0	False
1	13	294	3291	B CELL	MONOCYTE	CL:0000236	CL:0002057	B cell	CD14-positive, CD16-negative classical monocyte	0.0	0.125	CL:0000842	7.0	0.0	False
