source	comparison	k	profile_index	profile_id	reported_label	cl_id	cl_label	overlap_n	overlap_at_k	jaccard_at_k	mean_marker_jaccard_to_neighbors	mean_ontology_similarity_to_neighbors
Ontology	Observed	1	0	59	MATURE NATURAL KILLER CELL	CL:0000939	CD16-positive, CD56-dim natural killer cell, human	0	0.0	0.0	0.07142857142857142	0.3333333333333333
Ontology	Random	1	0	59	MATURE NATURAL KILLER CELL	CL:0000939	CD16-positive, CD56-dim natural killer cell, human	0	0.0	0.0	0.0	0.1
Ontology	Observed	1	1	294	B CELL	CL:0000987	IgA plasma cell	1	1.0	1.0	0.1111111111111111	0.3333333333333333
Ontology	Random	1	1	294	B CELL	CL:0000987	IgA plasma cell	0	0.0	0.0	0.0	0.1
Ontology	Observed	1	4	1057	HNDAM	CL:4047053	TREM2-positive macrophage	1	1.0	1.0	0.030303030303030304	0.5
Ontology	Random	1	4	1057	HNDAM	CL:4047053	TREM2-positive macrophage	0	0.0	0.0	0.0	0.1111111111111111
Ontology	Observed	1	6	1829	EXHAUSTED CD8 T CELL	CL:0011025	exhausted T cell	1	1.0	1.0	0.25	1.0
Ontology	Random	1	6	1829	EXHAUSTED CD8 T CELL	CL:0011025	exhausted T cell	0	0.0	0.0	0.0	0.125
Ontology	Observed	1	7	2113	PLASMACYTOID DENDRITIC CELL	CL:0000786	plasma cell	1	1.0	1.0	0.1111111111111111	0.3333333333333333
Ontology	Random	1	7	2113	PLASMACYTOID DENDRITIC CELL	CL:0000786	plasma cell	0	0.0	0.0	0.0	0.2
Ontology	Observed	1	8	2259	ALVEOLAR MAC	CL:0000235	macrophage	1	1.0	1.0	0.125	1.0
Ontology	Random	1	8	2259	ALVEOLAR MAC	CL:0000235	macrophage	0	0.0	0.0	0.0	0.1111111111111111
Ontology	Observed	1	9	2263	NK CELL	CL:0000623	natural killer cell	1	1.0	1.0	0.07142857142857142	0.3333333333333333
Ontology	Random	1	9	2263	NK CELL	CL:0000623	natural killer cell	0	0.0	0.0	0.0	0.14285714285714285
Ontology	Observed	1	10	2449	ACTIVATED MEMORY CELL	CL:0000910	cytotoxic T cell	1	1.0	1.0	0.3333333333333333	1.0
Ontology	Random	1	10	2449	ACTIVATED MEMORY CELL	CL:0000910	cytotoxic T cell	0	0.0	0.0	0.0	0.1
Ontology	Observed	1	12	3111	MONOCYTE	CL:0002057	CD14-positive, CD16-negative classical monocyte	1	1.0	1.0	0.5	1.0
Ontology	Random	1	12	3111	MONOCYTE	CL:0002057	CD14-positive, CD16-negative classical monocyte	0	0.0	0.0	0.0	0.2
Ontology	Observed	1	13	3291	MONOCYTE	CL:0002057	CD14-positive, CD16-negative classical monocyte	1	1.0	1.0	0.5	1.0
Ontology	Random	1	13	3291	MONOCYTE	CL:0002057	CD14-positive, CD16-negative classical monocyte	0	0.0	0.0	0.0	0.2
Ontology	Observed	1	14	3472	CD4.9	CL:0011025	exhausted T cell	1	1.0	1.0	0.25	1.0
Ontology	Random	1	14	3472	CD4.9	CL:0011025	exhausted T cell	0	0.0	0.0	0.0	0.3333333333333333
Ontology	Observed	1	15	3509	CXCL9-POSITIVE	CL:0000235	macrophage	1	1.0	1.0	0.125	1.0
Ontology	Random	1	15	3509	CXCL9-POSITIVE	CL:0000235	macrophage	0	0.0	0.0	0.0	0.2
Ontology	Observed	1	16	3819	CD8T_GZMB	CL:0000910	cytotoxic T cell	1	1.0	1.0	0.3333333333333333	1.0
Ontology	Random	1	16	3819	CD8T_GZMB	CL:0000910	cytotoxic T cell	0	0.0	0.0	0.0	0.1111111111111111
Ontology	Observed	1	17	3856	DCS	CL:0000841	mature conventional dendritic cell	0	0.0	0.0	0.0	0.3333333333333333
Ontology	Random	1	17	3856	DCS	CL:0000841	mature conventional dendritic cell	0	0.0	0.0	0.0	0.1
Label	Observed	1	7	2113	PLASMACYTOID DENDRITIC CELL	CL:0000786	plasma cell	0	0.0	0.0	0.0	0.16666666666666666
Label	Random	1	7	2113	PLASMACYTOID DENDRITIC CELL	CL:0000786	plasma cell	0	0.0	0.0	0.0	0.2
Label	Observed	1	6	1829	EXHAUSTED CD8 T CELL	CL:0011025	exhausted T cell	1	1.0	1.0	0.25	1.0
Label	Random	1	6	1829	EXHAUSTED CD8 T CELL	CL:0011025	exhausted T cell	0	0.0	0.0	0.0	0.125
Label	Observed	1	14	3472	CD4.9	CL:0011025	exhausted T cell	1	1.0	1.0	0.25	1.0
Label	Random	1	14	3472	CD4.9	CL:0011025	exhausted T cell	0	0.0	0.0	0.0	0.3333333333333333
Label	Observed	1	16	3819	CD8T_GZMB	CL:0000910	cytotoxic T cell	0	0.0	0.0	0.0	0.3333333333333333
Label	Random	1	16	3819	CD8T_GZMB	CL:0000910	cytotoxic T cell	0	0.0	0.0	0.0	0.1111111111111111
Label	Observed	1	12	3111	MONOCYTE	CL:0002057	CD14-positive, CD16-negative classical monocyte	1	1.0	1.0	0.5	1.0
Label	Random	1	12	3111	MONOCYTE	CL:0002057	CD14-positive, CD16-negative classical monocyte	0	0.0	0.0	0.0	0.2
Label	Observed	1	13	3291	MONOCYTE	CL:0002057	CD14-positive, CD16-negative classical monocyte	1	1.0	1.0	0.5	1.0
Label	Random	1	13	3291	MONOCYTE	CL:0002057	CD14-positive, CD16-negative classical monocyte	0	0.0	0.0	0.0	0.2
