profile_i	profile_j	profile_id_i	profile_id_j	label_i	label_j	cl_id_i	cl_id_j	cl_label_i	cl_label_j	marker_jaccard	ontology_similarity	ontology_common_id	ontology_graph_distance	label_similarity	same_paper
0	1	59	294	MATURE NATURAL KILLER CELL	B CELL	CL:0000939	CL:0000987	CD16-positive, CD56-dim natural killer cell, human	IgA plasma cell	0.0	0.09090909090909091	CL:0000542	10	0.0	False
0	2	59	341	MATURE NATURAL KILLER CELL	IMMUNE-REGULATORY	CL:0000939	CL:0001064	CD16-positive, CD56-dim natural killer cell, human	malignant cell	0.0	0.0	CL:0000000	12	0.0	False
0	3	59	445	MATURE NATURAL KILLER CELL	B REGULATORY	CL:0000939	CL:0001201	CD16-positive, CD56-dim natural killer cell, human	B cell, CD19-positive	0.0	0.1111111111111111	CL:0000542	8	0.0	False
0	4	59	1057	MATURE NATURAL KILLER CELL	HNDAM	CL:0000939	CL:4047053	CD16-positive, CD56-dim natural killer cell, human	TREM2-positive macrophage	0.0	0.1	CL:0000842	9	0.0	False
0	5	59	1333	MATURE NATURAL KILLER CELL	DENDRITIC CELL	CL:0000939	CL:2000001	CD16-positive, CD56-dim natural killer cell, human	peripheral blood mononuclear cell	0.0	0.125	CL:0000842	7	0.0	False
0	6	59	1829	MATURE NATURAL KILLER CELL	EXHAUSTED CD8 T CELL	CL:0000939	CL:0011025	CD16-positive, CD56-dim natural killer cell, human	exhausted T cell	0.0	0.1	CL:0000542	9	0.0	False
0	7	59	2113	MATURE NATURAL KILLER CELL	PLASMACYTOID DENDRITIC CELL	CL:0000939	CL:0000786	CD16-positive, CD56-dim natural killer cell, human	plasma cell	0.0	0.1111111111111111	CL:0000542	8	0.0	False
0	8	59	2259	MATURE NATURAL KILLER CELL	ALVEOLAR MAC	CL:0000939	CL:0000235	CD16-positive, CD56-dim natural killer cell, human	macrophage	0.0	0.1111111111111111	CL:0000842	8	0.0	False
0	9	59	2263	MATURE NATURAL KILLER CELL	NK CELL	CL:0000939	CL:0000623	CD16-positive, CD56-dim natural killer cell, human	natural killer cell	0.07142857142857142	0.3333333333333333	CL:0000623	2	0.0	False
0	10	59	2449	MATURE NATURAL KILLER CELL	ACTIVATED MEMORY CELL	CL:0000939	CL:0000910	CD16-positive, CD56-dim natural killer cell, human	cytotoxic T cell	0.23076923076923078	0.1	CL:0000542	9	0.0	False
0	11	59	2737	MATURE NATURAL KILLER CELL	NEUTROPHIL	CL:0000939	CL:0001064	CD16-positive, CD56-dim natural killer cell, human	malignant cell	0.0	0.0	CL:0000000	12	0.0	False
0	12	59	3111	MATURE NATURAL KILLER CELL	MONOCYTE	CL:0000939	CL:0002057	CD16-positive, CD56-dim natural killer cell, human	CD14-positive, CD16-negative classical monocyte	0.0	0.09090909090909091	CL:0000842	10	0.0	False
0	13	59	3291	MATURE NATURAL KILLER CELL	MONOCYTE	CL:0000939	CL:0002057	CD16-positive, CD56-dim natural killer cell, human	CD14-positive, CD16-negative classical monocyte	0.0	0.09090909090909091	CL:0000842	10	0.0	False
0	14	59	3472	MATURE NATURAL KILLER CELL	CD4.9	CL:0000939	CL:0011025	CD16-positive, CD56-dim natural killer cell, human	exhausted T cell	0.058823529411764705	0.1	CL:0000542	9	0.0	False
0	15	59	3509	MATURE NATURAL KILLER CELL	CXCL9-POSITIVE	CL:0000939	CL:0000235	CD16-positive, CD56-dim natural killer cell, human	macrophage	0.0	0.1111111111111111	CL:0000842	8	0.0	False
0	16	59	3819	MATURE NATURAL KILLER CELL	CD8T_GZMB	CL:0000939	CL:0000910	CD16-positive, CD56-dim natural killer cell, human	cytotoxic T cell	0.16666666666666666	0.1	CL:0000542	9	0.0	False
0	17	59	3856	MATURE NATURAL KILLER CELL	DCS	CL:0000939	CL:0000841	CD16-positive, CD56-dim natural killer cell, human	mature conventional dendritic cell	0.0	0.1	CL:0000738	9	0.0	False
1	2	294	341	B CELL	IMMUNE-REGULATORY	CL:0000987	CL:0001064	IgA plasma cell	malignant cell	0.0	0.0	CL:0000000	12	0.0	False
1	3	294	445	B CELL	B REGULATORY	CL:0000987	CL:0001201	IgA plasma cell	B cell, CD19-positive	0.0	0.14285714285714285	CL:0000945	6	0.0	False
1	4	294	1057	B CELL	HNDAM	CL:0000987	CL:4047053	IgA plasma cell	TREM2-positive macrophage	0.0	0.1	CL:0000842	9	0.0	False
1	5	294	1333	B CELL	DENDRITIC CELL	CL:0000987	CL:2000001	IgA plasma cell	peripheral blood mononuclear cell	0.0	0.125	CL:0000842	7	0.0	False
1	6	294	1829	B CELL	EXHAUSTED CD8 T CELL	CL:0000987	CL:0011025	IgA plasma cell	exhausted T cell	0.0	0.1	CL:0000542	9	0.0	False
1	7	294	2113	B CELL	PLASMACYTOID DENDRITIC CELL	CL:0000987	CL:0000786	IgA plasma cell	plasma cell	0.1111111111111111	0.3333333333333333	CL:0000786	2	0.0	False
1	8	294	2259	B CELL	ALVEOLAR MAC	CL:0000987	CL:0000235	IgA plasma cell	macrophage	0.0	0.1111111111111111	CL:0000842	8	0.0	False
1	9	294	2263	B CELL	NK CELL	CL:0000987	CL:0000623	IgA plasma cell	natural killer cell	0.0	0.1111111111111111	CL:0000542	8	0.0	False
1	10	294	2449	B CELL	ACTIVATED MEMORY CELL	CL:0000987	CL:0000910	IgA plasma cell	cytotoxic T cell	0.0	0.1	CL:0000542	9	0.0	False
1	11	294	2737	B CELL	NEUTROPHIL	CL:0000987	CL:0001064	IgA plasma cell	malignant cell	0.0	0.0	CL:0000000	12	0.0	False
1	12	294	3111	B CELL	MONOCYTE	CL:0000987	CL:0002057	IgA plasma cell	CD14-positive, CD16-negative classical monocyte	0.0	0.09090909090909091	CL:0000842	10	0.0	False
1	13	294	3291	B CELL	MONOCYTE	CL:0000987	CL:0002057	IgA plasma cell	CD14-positive, CD16-negative classical monocyte	0.0	0.09090909090909091	CL:0000842	10	0.0	False
1	14	294	3472	B CELL	CD4.9	CL:0000987	CL:0011025	IgA plasma cell	exhausted T cell	0.0	0.1	CL:0000542	9	0.0	False
1	15	294	3509	B CELL	CXCL9-POSITIVE	CL:0000987	CL:0000235	IgA plasma cell	macrophage	0.0	0.1111111111111111	CL:0000842	8	0.0	False
1	16	294	3819	B CELL	CD8T_GZMB	CL:0000987	CL:0000910	IgA plasma cell	cytotoxic T cell	0.0	0.1	CL:0000542	9	0.0	False
1	17	294	3856	B CELL	DCS	CL:0000987	CL:0000841	IgA plasma cell	mature conventional dendritic cell	0.0	0.1	CL:0000738	9	0.0	False
2	3	341	445	IMMUNE-REGULATORY	B REGULATORY	CL:0001064	CL:0001201	malignant cell	B cell, CD19-positive	0.0	0.0	CL:0000000	10	0.5	False
2	4	341	1057	IMMUNE-REGULATORY	HNDAM	CL:0001064	CL:4047053	malignant cell	TREM2-positive macrophage	0.0	0.0	CL:0000000	8	0.0	False
2	5	341	1333	IMMUNE-REGULATORY	DENDRITIC CELL	CL:0001064	CL:2000001	malignant cell	peripheral blood mononuclear cell	0.0	0.0	CL:0000000	6	0.0	False
2	6	341	1829	IMMUNE-REGULATORY	EXHAUSTED CD8 T CELL	CL:0001064	CL:0011025	malignant cell	exhausted T cell	0.0	0.0	CL:0000000	11	0.0	False
2	7	341	2113	IMMUNE-REGULATORY	PLASMACYTOID DENDRITIC CELL	CL:0001064	CL:0000786	malignant cell	plasma cell	0.0	0.0	CL:0000000	10	0.0	False
2	8	341	2259	IMMUNE-REGULATORY	ALVEOLAR MAC	CL:0001064	CL:0000235	malignant cell	macrophage	0.0	0.0	CL:0000000	7	0.0	False
2	9	341	2263	IMMUNE-REGULATORY	NK CELL	CL:0001064	CL:0000623	malignant cell	natural killer cell	0.0	0.0	CL:0000000	10	0.0	False
2	10	341	2449	IMMUNE-REGULATORY	ACTIVATED MEMORY CELL	CL:0001064	CL:0000910	malignant cell	cytotoxic T cell	0.0	0.0	CL:0000000	11	0.0	False
2	11	341	2737	IMMUNE-REGULATORY	NEUTROPHIL	CL:0001064	CL:0001064	malignant cell	malignant cell	0.0	1.0	CL:0001064	0	0.0	False
2	12	341	3111	IMMUNE-REGULATORY	MONOCYTE	CL:0001064	CL:0002057	malignant cell	CD14-positive, CD16-negative classical monocyte	0.0	0.0	CL:0000000	8	0.0	False
2	13	341	3291	IMMUNE-REGULATORY	MONOCYTE	CL:0001064	CL:0002057	malignant cell	CD14-positive, CD16-negative classical monocyte	0.0	0.0	CL:0000000	8	0.0	False
2	14	341	3472	IMMUNE-REGULATORY	CD4.9	CL:0001064	CL:0011025	malignant cell	exhausted T cell	0.0	0.0	CL:0000000	11	0.0	False
