collection	doi	family	gene_names	n_genes	paper_id	profile_id	reported_label	title	year
benchmark	10.1038/s41586-022-04518-2	dendritic	"[""CD1C"", ""CLEC10A"", ""PTPRC""]"	3	1	18	DENDRITIC CELL 2	A single-cell atlas of human and mouse white adipose tissue	2022
benchmark	10.1038/s41590-021-00922-4	b_plasma	"[""CD79A"", ""JCHAIN"", ""IGKC""]"	3	2	47	B CELL	Single-cell sequencing of human white adipose tissue identifies new cell states in health and obesity	2021
benchmark	10.1038/s41590-021-00922-4	nk	"[""FCGR3A"", ""FGFBP2"", ""KLRF1"", ""EOMES"", ""CD62L"", ""CD16"", ""T-BET"", ""PRF1"", ""GZMB"", ""GZMH"", ""KLRC2"", ""GNLY""]"	12	2	59	MATURE NATURAL KILLER CELL	Single-cell sequencing of human white adipose tissue identifies new cell states in health and obesity	2021
benchmark	10.1016/j.devcel.2020.05.010	macrophage	"[""CD163"", ""HLA-DRA"", ""LYZ"", ""TYROBP"", ""CD74"", ""CSF1R""]"	6	7	170	MACROPHAGE	Single-cell RNA sequencing of human, macaque, and mouse testes uncovers conserved and divergent features of mammalian spermatogenesis	2020
biorxiv	10.1101/2025.03.24.644909	b_plasma	"[""IGLC2"", ""IGHA1"", ""IGLL5"", ""JCHAIN"", ""IGLC3"", ""LY86""]"	6	18	294	B CELL	Molecular Mechanisms of Chinese Medicine in Regulating Colorectal Cancer Immune Microenvironment: Insights from Single-Cell Transcriptomics and Network Pharmacology	2025
biorxiv	10.1101/2022.02.03.478962	treg	"[""CXCL1"", ""CXCL2"", ""CXCL3"", ""CXCL8"", ""CCL20""]"	5	27	341	IMMUNE-REGULATORY	Mesenchymal-epithelial transition in lymph node metastases of oral squamous cell carcinoma is accompanied by ZEB1 expression	2022
biorxiv	10.1101/2023.02.26.530153	treg	"[""CD19"", ""CD24"", ""CD38""]"	3	41	445	B REGULATORY	Multiscale networks in multiple sclerosis	2023
biorxiv	10.1101/2020.11.16.373274	other_t	"[""GNLY"", ""KLRG1"", ""GZMA"", ""GZMH""]"	4	100	888	NK T CELL	Celda: A Bayesian model to perform bi-clustering of genes into modules and cells into subpopulations using single-cell RNA-seq data	2020
biorxiv	10.1101/2024.01.04.574155	monocyte	"[""S100A8"", ""S100A9"", ""VCAN"", ""CD14"", ""MS4A6A"", ""LGALS2"", ""CD163"", ""FCN1""]"	8	123	1041	CD14+ MONOCYTE	Single-cell RNA sequencing of peripheral blood mononuclear cells reveals complex cellular signalling signatures of metformin treatment type 2 diabetes mellitus	2024
biorxiv	10.1101/2024.01.04.574155	naive_memory_t	"[""CD4"", ""CCR7"", ""SELL"", ""LEF1"", ""TSHZ2"", ""MAL"", ""TCF"", ""AQP3"", ""RPL32"", ""IL7R""]"	10	123	1042	CD4+ T CELL	Single-cell RNA sequencing of peripheral blood mononuclear cells reveals complex cellular signalling signatures of metformin treatment type 2 diabetes mellitus	2024
biorxiv	10.1101/2024.01.04.574155	macrophage	"[""C1QA"", ""HES4"", ""RHOC"", ""S100A12"", ""S100A8"", ""S100A9""]"	6	123	1048	MONOCYTE/MACROPHAGE	Single-cell RNA sequencing of peripheral blood mononuclear cells reveals complex cellular signalling signatures of metformin treatment type 2 diabetes mellitus	2024
biorxiv	10.1101/2025.09.25.678630	macrophage	"[""GPNMB"", ""SPP1"", ""MYO1E"", ""LGALS3"", ""ABCA1"", ""ADARB1"", ""DMXL2"", ""DSCAM"", ""FMN1"", ""FNIP2"", ""IQGAP2"", ""MYO1D"", ""NHSL1"", ""PRKCE"", ""RASGRP3"", ""SAMD4A"", ""SCARB2"", ""SOCS6"", ""SULT1C2"", ""TANC2"", ""UGCG"", ""APOE"", ""TREM2"", ""ARID5B"", ""MAFB"", ""MITF"", ""PPARG"", ""TNFAIP8L3"", ""GAS7""]"	29	124	1057	HNDAM	Integrative analysis reveals generalizable human neurodegenerative disease-associated glial states	2025
biorxiv	10.1101/2022.09.09.507305	dendritic	"[""HLA-DQA1"", ""HLA-DPA1"", ""HLA-DRB1""]"	3	170	1333	DENDRITIC CELL	A Variational Inference Approach to Single-Cell Gene Regulatory Network Inference using Probabilistic Matrix Factorization	2023
biorxiv	10.1101/2023.07.03.547491	monocyte	"[""ISG15"", ""IFI44"", ""IFIT5""]"	3	182	1430	MONOCYTE	Single-cell analysis of signalling and transcriptional responses to type I interferons	2023
biorxiv	10.1101/2025.05.23.655666	other_immune	"[""CSF3R"", ""IL1R2"", ""GLT1D1"", ""PADI4""]"	4	221	1740	NEUTROPHIL	A Multimodal Spatial and Epigenomic Atlas of Human Adult Lung Topography	2025
biorxiv	10.1101/2022.08.19.504494	exhausted_t	"[""PDCD1"", ""TOX"", ""CXCL13""]"	3	236	1829	EXHAUSTED CD8 T CELL	CausalCell: applying causal discovery to single-cell analyses	2022
biorxiv	10.1101/2020.05.06.080259	dendritic	"[""IL3RA"", ""IRF8"", ""MPEG1"", ""JCHAIN""]"	4	273	2113	PLASMACYTOID DENDRITIC CELL	Integrative Single-cell RNA-Seq and ATAC-Seq Analysis of Human Developmental Haematopoiesis	2020
biorxiv	10.1101/2024.04.15.589544	macrophage	"[""MARCO"", ""FABP4"", ""MCEMP1"", ""CD163"", ""APOE""]"	5	300	2259	ALVEOLAR MAC	Unveiling the influence of tumor and immune signatures on immune checkpoint therapy in advanced lung cancer	2024
