component	dominant_program	n_profiles_cluster	n_papers_cluster	n_labels_cluster	top_labels	core_marker_genes	gene_id	gene_name	marker_cluster_f1	marker_cluster_coverage	marker_cluster_purity	marker_cluster_gene_count	global_gene_count	best_label_f1	best_label_group	best_label_coverage	best_label_purity	best_label_n_profiles	marker_to_label_f1_ratio	log2_marker_to_label_f1_ratio	shift_class
6	Residency	4	4	4	CD4+ TISSUE RESIDENT MEMORY T CELL (TRM) (1); CD8.4 (1); CD8+ T CELL (1); TISSUE RESIDENT MEMORY T (TRM) CELL (1)	CD69; ITGAE; CXCR6; ZNF683; ITGA1	ENSG00000176083	ZNF683	0.28571428571428575	0.5	0.2	2	10	0.0		0.0	0.0	0	inf	3.934112064343543	marker-cluster enriched
3	Cytotoxic	19	16	18	CYTOTOXIC T CELL (2); CD4-CTLS (1); MAIT (1); CD8+ T CELLS (1); GZMH+ CD8+ T CELL (1); CD8.3 (1)	GZMB; PRF1	ENSG00000137441	FGFBP2	0.26666666666666666	0.21052631578947367	0.36363636363636365	4	11	0.0		0.0	0.0	0	inf	3.841302253980942	marker-cluster enriched
3	Cytotoxic	19	16	18	CYTOTOXIC T CELL (2); CD4-CTLS (1); MAIT (1); CD8+ T CELLS (1); GZMH+ CD8+ T CELL (1); CD8.3 (1)	GZMB; PRF1	ENSG00000180644	PRF1	0.30379746835443044	0.631578947368421	0.2	12	60	0.020408163265306124	T CELL	0.02631578947368421	0.016666666666666666	38	14.88607594936709	3.002373024740133	marker-cluster enriched
3	Cytotoxic	19	16	18	CYTOTOXIC T CELL (2); CD4-CTLS (1); MAIT (1); CD8+ T CELLS (1); GZMH+ CD8+ T CELL (1); CD8.3 (1)	GZMB; PRF1	ENSG00000100453	GZMB	0.3058823529411765	0.6842105263157895	0.19696969696969696	13	66	0.024691358024691357	CD 8 T CELL	0.06666666666666667	0.015151515151515152	15	12.38823529411765	2.8662834406002684	marker-cluster enriched
6	Residency	4	4	4	CD4+ TISSUE RESIDENT MEMORY T CELL (TRM) (1); CD8.4 (1); CD8+ T CELL (1); TISSUE RESIDENT MEMORY T (TRM) CELL (1)	CD69; ITGAE; CXCR6; ZNF683; ITGA1	ENSG00000134545	KLRC1	0.11111111111111112	0.25	0.07142857142857142	1	14	0.0		0.0	0.0	0	inf	2.712718047919529	weak or similar
1	Naive/memory	32	24	28	NAIVE T CELL (2); TCM (2); CD4+ T CELL (2); NAIVE CD4+ T CELL (2); CEFX-SPECIFIC BRAIN METASTASIS-INFILTRATING PD-1+ CD8+ T CELL (1); NAIVE T CELLS OR TCMS (1)	CCR7; SELL; TCF7	ENSG00000188404	SELL	0.627906976744186	0.84375	0.5	27	54	0.08450704225352113	CD 4 T CELL	0.17647058823529413	0.05555555555555555	17	7.430232558139535	2.632186530783034	marker-cluster enriched
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000135077	HAVCR2	0.36065573770491804	0.3548387096774194	0.36666666666666664	11	30	0.04444444444444444	TREG	0.06666666666666667	0.03333333333333333	15	8.114754098360656	2.5623589256174206	marker-cluster enriched
1	Naive/memory	32	24	28	NAIVE T CELL (2); TCM (2); CD4+ T CELL (2); NAIVE CD4+ T CELL (2); CEFX-SPECIFIC BRAIN METASTASIS-INFILTRATING PD-1+ CD8+ T CELL (1); NAIVE T CELLS OR TCMS (1)	CCR7; SELL; TCF7	ENSG00000081059	TCF7	0.5866666666666667	0.6875	0.5116279069767442	22	43	0.08695652173913045	NAIVE T CELL	0.6666666666666666	0.046511627906976744	3	6.746666666666666	2.503879590195313	marker-cluster enriched
4	Other	15	14	4	T CELL (11); T CELLS (2); T-CELL (1); CD4 AND CD8 T CELLS (1)	CD3D; CD3E; CD3G	ENSG00000102245	CD40LG	0.07692307692307691	0.06666666666666667	0.09090909090909091	1	11	0.0		0.0	0.0	0	inf	2.276840205358824	weak or similar
3	Cytotoxic	19	16	18	CYTOTOXIC T CELL (2); CD4-CTLS (1); MAIT (1); CD8+ T CELLS (1); GZMH+ CD8+ T CELL (1); CD8.3 (1)	GZMB; PRF1	ENSG00000159674	SPON2	0.07407407407407407	0.05263157894736842	0.125	1	8	0.0		0.0	0.0	0	inf	2.2337971846086973	weak or similar
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000089012	SIRPG	0.0625	0.03225806451612903	1.0	1	1	0.0		0.0	0.0	0	inf	2.0443941193584534	weak or similar
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000134256	CD101	0.0588235294117647	0.03225806451612903	0.3333333333333333	1	3	0.0		0.0	0.0	0	inf	1.9786263492074327	weak or similar
3	Cytotoxic	19	16	18	CYTOTOXIC T CELL (2); CD4-CTLS (1); MAIT (1); CD8+ T CELLS (1); GZMH+ CD8+ T CELL (1); CD8.3 (1)	GZMB; PRF1	ENSG00000105374	NKG7	0.22535211267605634	0.42105263157894735	0.15384615384615385	8	52	0.044444444444444446	T CELL	0.05263157894736842	0.038461538461538464	38	5.070422535211268	1.9287257954089227	marker-cluster enriched
3	Cytotoxic	19	16	18	CYTOTOXIC T CELL (2); CD4-CTLS (1); MAIT (1); CD8+ T CELLS (1); GZMH+ CD8+ T CELL (1); CD8.3 (1)	GZMB; PRF1	ENSG00000115523	GNLY	0.16	0.3157894736842105	0.10714285714285714	6	56	0.0273972602739726	CD 4 T CELL	0.058823529411764705	0.017857142857142856	17	5.840000000000001	1.925121332685605	marker-cluster enriched
1	Naive/memory	32	24	28	NAIVE T CELL (2); TCM (2); CD4+ T CELL (2); NAIVE CD4+ T CELL (2); CEFX-SPECIFIC BRAIN METASTASIS-INFILTRATING PD-1+ CD8+ T CELL (1); NAIVE T CELLS OR TCMS (1)	CCR7; SELL; TCF7	ENSG00000126353	CCR7	0.5686274509803921	0.90625	0.4142857142857143	29	70	0.13793103448275865	CD 4 T CELL	0.35294117647058826	0.08571428571428572	17	4.122549019607842	1.898060126679821	marker-cluster enriched
3	Cytotoxic	19	16	18	CYTOTOXIC T CELL (2); CD4-CTLS (1); MAIT (1); CD8+ T CELLS (1); GZMH+ CD8+ T CELL (1); CD8.3 (1)	GZMB; PRF1	ENSG00000196154	S100A4	0.05128205128205128	0.05263157894736842	0.05	1	20	0.0		0.0	0.0	0	inf	1.8335388538612591	weak or similar
7	Cytotoxic	4	3	4	CD4.7 (1); CD8+GZMB (1); CD8+GZMK (1); EFFECTOR CD8+ T CELLS (1)	GZMA; GZMH; IFNG; CCL4; PRF1; CCL3; CCL5; EOMES	ENSG00000111537	IFNG	0.16	1.0	0.08695652173913043	4	46	0.03278688524590164	CD 8 T CELL	0.06666666666666667	0.021739130434782608	15	4.88	1.7697454608905816	marker-cluster enriched
6	Residency	4	4	4	CD4+ TISSUE RESIDENT MEMORY T CELL (TRM) (1); CD8.4 (1); CD8+ T CELL (1); TISSUE RESIDENT MEMORY T (TRM) CELL (1)	CD69; ITGAE; CXCR6; ZNF683; ITGA1	ENSG00000083457	ITGAE	0.23076923076923075	0.75	0.13636363636363635	3	22	0.05405405405405406	CD 8 T CELL	0.06666666666666667	0.045454545454545456	15	4.269230769230768	1.759709718758408	marker-cluster enriched
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000153283	CD96	0.047619047619047616	0.03225806451612903	0.09090909090909091	1	11	0.0		0.0	0.0	0	inf	1.7574296967259218	weak or similar
5	Other	9	8	4	T CELL (6); T CELL CLUSTER (1); T-CELL (1); CD4+ AND CD8+ T CELL (1)	CD8A; CD3E; CD4	ENSG00000164458	T	0.19999999999999998	0.1111111111111111	1.0	1	1	0.05128205128205127	T CELL	0.02631578947368421	1.0	38	3.9000000000000004	1.6258927647760384	marker-cluster enriched
1	Naive/memory	32	24	28	NAIVE T CELL (2); TCM (2); CD4+ T CELL (2); NAIVE CD4+ T CELL (2); CEFX-SPECIFIC BRAIN METASTASIS-INFILTRATING PD-1+ CD8+ T CELL (1); NAIVE T CELLS OR TCMS (1)	CCR7; SELL; TCF7	ENSG00000138795	LEF1	0.4	0.40625	0.3939393939393939	13	33	0.12000000000000001	CD 4 T CELL	0.17647058823529413	0.09090909090909091	17	3.333333333333333	1.584962500721156	marker-cluster enriched
1	Naive/memory	32	24	28	NAIVE T CELL (2); TCM (2); CD4+ T CELL (2); NAIVE CD4+ T CELL (2); CEFX-SPECIFIC BRAIN METASTASIS-INFILTRATING PD-1+ CD8+ T CELL (1); NAIVE T CELLS OR TCMS (1)	CCR7; SELL; TCF7	ENSG00000091409	ITGA6	0.037037037037037035	0.03125	0.045454545454545456	1	22	0.0		0.0	0.0	0	inf	1.511899038531433	weak or similar
3	Cytotoxic	19	16	18	CYTOTOXIC T CELL (2); CD4-CTLS (1); MAIT (1); CD8+ T CELLS (1); GZMH+ CD8+ T CELL (1); CD8.3 (1)	GZMB; PRF1	ENSG00000100450	GZMH	0.28	0.3684210526315789	0.22580645161290322	7	31	0.08695652173913043	CD 8 T CELL	0.13333333333333333	0.06451612903225806	15	3.22	1.4879380463262917	marker-cluster enriched
3	Cytotoxic	19	16	18	CYTOTOXIC T CELL (2); CD4-CTLS (1); MAIT (1); CD8+ T CELLS (1); GZMH+ CD8+ T CELL (1); CD8.3 (1)	GZMB; PRF1	ENSG00000203747	FCGR3A	0.07792207792207792	0.15789473684210525	0.05172413793103448	3	58	0.020833333333333332	T CELL	0.02631578947368421	0.017241379310344827	38	3.74025974025974	1.261886829179711	weak or similar
6	Residency	4	4	4	CD4+ TISSUE RESIDENT MEMORY T CELL (TRM) (1); CD8.4 (1); CD8+ T CELL (1); TISSUE RESIDENT MEMORY T (TRM) CELL (1)	CD69; ITGAE; CXCR6; ZNF683; ITGA1	ENSG00000213949	ITGA1	0.16	0.5	0.09523809523809523	2	21	0.05555555555555555	CD 8 T CELL	0.06666666666666667	0.047619047619047616	15	2.8800000000000003	1.2523871616342852	marker-cluster enriched
4	Other	15	14	4	T CELL (11); T CELLS (2); T-CELL (1); CD4 AND CD8 T CELLS (1)	CD3D; CD3E; CD3G	ENSG00000289746	CD3G	0.6451612903225806	0.6666666666666666	0.625	10	16	0.25925925925925924	T CELL	0.18421052631578946	0.4375	38	2.488479262672811	1.2520990958760374	high in both
1	Naive/memory	32	24	28	NAIVE T CELL (2); TCM (2); CD4+ T CELL (2); NAIVE CD4+ T CELL (2); CEFX-SPECIFIC BRAIN METASTASIS-INFILTRATING PD-1+ CD8+ T CELL (1); NAIVE T CELLS OR TCMS (1)	CCR7; SELL; TCF7	ENSG00000127528	KLF2	0.13793103448275862	0.125	0.15384615384615385	4	26	0.04878048780487805	CD 8 T CELL	0.06666666666666667	0.038461538461538464	15	2.8275862068965516	1.1992234451886619	marker-cluster enriched
3	Cytotoxic	19	16	18	CYTOTOXIC T CELL (2); CD4-CTLS (1); MAIT (1); CD8+ T CELLS (1); GZMH+ CD8+ T CELL (1); CD8.3 (1)	GZMB; PRF1	ENSG00000197540	GZMM	0.18749999999999997	0.15789473684210525	0.23076923076923078	3	13	0.07142857142857144	CD 8 T CELL	0.06666666666666667	0.07692307692307693	15	2.624999999999999	1.1823943534045283	marker-cluster enriched
6	Residency	4	4	4	CD4+ TISSUE RESIDENT MEMORY T CELL (TRM) (1); CD8.4 (1); CD8+ T CELL (1); TISSUE RESIDENT MEMORY T (TRM) CELL (1)	CD69; ITGAE; CXCR6; ZNF683; ITGA1	ENSG00000172215	CXCR6	0.13793103448275865	0.5	0.08	2	25	0.05	CD 8 T CELL	0.06666666666666667	0.04	15	2.7586206896551726	1.1738678709117678	marker-cluster enriched
4	Other	15	14	4	T CELL (11); T CELLS (2); T-CELL (1); CD4 AND CD8 T CELLS (1)	CD3D; CD3E; CD3G	ENSG00000211751	TRBC1	0.125	0.06666666666666667	1.0	1	1	0.05128205128205127	T CELL	0.02631578947368421	1.0	38	2.4375000000000004	1.024442141266313	marker-cluster enriched
4	Other	15	14	4	T CELL (11); T CELLS (2); T-CELL (1); CD4 AND CD8 T CELLS (1)	CD3D; CD3E; CD3G	ENSG00000133639	BTG1	0.11764705882352941	0.06666666666666667	0.5	1	2	0.05	T CELL	0.02631578947368421	0.5	38	2.352941176470588	0.9755469562754607	weak or similar
7	Cytotoxic	4	3	4	CD4.7 (1); CD8+GZMB (1); CD8+GZMK (1); EFFECTOR CD8+ T CELLS (1)	GZMA; GZMH; IFNG; CCL4; PRF1; CCL3; CCL5; EOMES	ENSG00000274221	CCL3	0.0784313725490196	0.5	0.0425531914893617	2	47	0.03225806451612903	CD 8 T CELL	0.06666666666666667	0.02127659574468085	15	2.431372549019608	0.913464519481527	weak or similar
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000181847	TIGIT	0.5217391304347826	0.5806451612903226	0.47368421052631576	18	38	0.3018867924528302	TREG	0.5333333333333333	0.21052631578947367	15	1.7282608695652175	0.7510449202118981	high in both
5	Other	9	8	4	T CELL (6); T CELL CLUSTER (1); T-CELL (1); CD4+ AND CD8+ T CELL (1)	CD8A; CD3E; CD4	ENSG00000211772	TRBC2	0.1818181818181818	0.1111111111111111	0.5	1	2	0.1	T CELL	0.05263157894736842	1.0	38	1.818181818181818	0.7500217469916522	marker-cluster enriched
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000188389	PDCD1	0.27499999999999997	0.3548387096774194	0.22448979591836735	11	49	0.15625	CD 8 T CELL	0.3333333333333333	0.10204081632653061	15	1.7599999999999998	0.7430916969630477	marker-cluster enriched
2	Exhaustion	31	27	22	TREG (10); CD8+ EXHAUSTED T CELL (TEXH) (1); EXHAUSTED CD8 T CELL (1); CD4+ T CELL (1); REGULATORY T CELL (1); EXHAUSTED T CELL (1)	CTLA4; TIGIT	ENSG00000089692	LAG3	0.25	0.2903225806451613	0.21951219512195122	9	41	0.14285714285714285	CD 8 T CELL	0.26666666666666666	0.0975609756097561	15	1.75	0.7293524100563312	marker-cluster enriched
6	Residency	4	4	4	CD4+ TISSUE RESIDENT MEMORY T CELL (TRM) (1); CD8.4 (1); CD8+ T CELL (1); TISSUE RESIDENT MEMORY T (TRM) CELL (1)	CD69; ITGAE; CXCR6; ZNF683; ITGA1	ENSG00000110848	CD69	0.18181818181818182	1.0	0.1	4	40	0.10526315789473684	CD 4 T CELL	0.17647058823529413	0.075	17	1.7272727272727275	0.6880939978484508	marker-cluster enriched
4	Other	15	14	4	T CELL (11); T CELLS (2); T-CELL (1); CD4 AND CD8 T CELLS (1)	CD3D; CD3E; CD3G	ENSG00000277734	TRAC	0.36363636363636365	0.26666666666666666	0.5714285714285714	4	7	0.2222222222222222	T CELL	0.13157894736842105	0.7142857142857143	38	1.6363636363636365	0.6634082467352742	marker-cluster enriched
7	Cytotoxic	4	3	4	CD4.7 (1); CD8+GZMB (1); CD8+GZMK (1); EFFECTOR CD8+ T CELLS (1)	GZMA; GZMH; IFNG; CCL4; PRF1; CCL3; CCL5; EOMES	ENSG00000139187	KLRG1	0.2	0.5	0.125	2	16	0.12121212121212122	CD 4 T CELL	0.11764705882352941	0.125	17	1.6500000000000001	0.6396395933414706	marker-cluster enriched
3	Cytotoxic	19	16	18	CYTOTOXIC T CELL (2); CD4-CTLS (1); MAIT (1); CD8+ T CELLS (1); GZMH+ CD8+ T CELL (1); CD8.3 (1)	GZMB; PRF1	ENSG00000145649	GZMA	0.18666666666666668	0.3684210526315789	0.125	7	56	0.11267605633802816	CD 8 T CELL	0.26666666666666666	0.07142857142857142	15	1.656666666666667	0.6393976795576182	marker-cluster enriched
