gene_name	gene_id	shift_class	marker_cluster_f1	best_label_f1	best_label_group	n_profiles_all	n_profiles_tcell	n_papers_tcell	top_tcell_labels	top_tcell_marker_clusters	top_tcell_cluster_programs
BATF	ENSG00000156127	label enriched	0.1818181818181818	0.2857142857142857	TREG	13	7	7	TREG (4); TREG SUBSET (1); ACTIVATED T CELLS (1); CD4 + TREG (1)	C2 (4)	Exhaustion (3); Regulatory (1)
CCR7	ENSG00000126353	marker-cluster enriched	0.5686274509803921	0.1379310344827586	CD 4 T CELL	70	41	31	CD4+ T CELL (5); TCM (3); NAÏVE T CELL (2); NAÏVE CD8+ T CELL (1); CD4+ TEM (1); NAIVE T CELLS OR TCMS (1); TN (1); MEMORY CD4+ T CELL (1)	C1 (29)	Naive/memory (29)
CD3D	ENSG00000167286	high in both	0.5660377358490566	0.5	T CELL	38	26	24	T CELL (17); T CELLS (2); CD4+ T CELL (2); T-CELL (1); CD4 AND CD8 T CELLS (1); TCM (1); ΑΒ T CELL (1); CD8+ T CELL (1)	C4 (15); C5 (1); C1 (1)	Other (12); Cytotoxic (3); Naive/memory (2)
CD3G	ENSG00000289746	high in both	0.6451612903225806	0.2592592592592592	T CELL	16	14	12	T CELL (6); T CELLS (2); CD4+ T CELL (2); T-CELL (1); CD4 AND CD8 T CELLS (1); CD8+ T CELL (1); NAIVE T CELL (1)	C4 (10); C1 (2)	Other (10); Naive/memory (2)
CD8B	ENSG00000172116	label enriched	0.0714285714285714	0.2857142857142857	CD 8 T CELL	13	8	7	CD8+ T CELL (3); T CELL CLUSTER 0 (1); CYTOTOXIC EFFECTOR CD8+ T CELL (1); HIGHLY EXPANDED T CELL (1); CD8+ T-CELL (1); CD4 AND CD8 T CELLS (1)	C4 (1)	Other (1)
FOXP3	ENSG00000049768	high in both	0.4375	0.4583333333333332	TREG	33	23	21	TREG (11); CD4+CTLA4+T CELL (1); REGULATORY T CELL (1); T CELL (1); CD4.4 (1); TREG.2 (1); CD4_5 (1); CD4+ T CELL (1)	C2 (14)	Exhaustion (8); Regulatory (6)
GZMB	ENSG00000100453	marker-cluster enriched	0.3058823529411765	0.0246913580246913	CD 8 T CELL	66	25	22	TERMINALLY-DIFFERENTIATED PHENOTYPE OF CD8+ T CELL (1); CD4-CTLS (1); MAIT (1); CD8+ T CELLS (1); GZMH+ CD8+ T CELL (1); CD4+ TEM (1); T CELL (1); CYTOTOXIC T CELL (1)	C3 (13); C7 (1)	Cytotoxic (14)
HAVCR2	ENSG00000135077	marker-cluster enriched	0.360655737704918	0.0444444444444444	TREG	30	18	15	CD8+ EXHAUSTED T CELL (TEXH) (1); CD8+ PROLIFERATING EXHAUSTED T CELL (1); TERMINALLY-DIFFERENTIATED PHENOTYPE OF CD8+ T CELL (1); CD4+ T CELL (1); EXHAUSTED T CELL (1); CD8+ PROLIFERATING T CELL (1); T CELL (1); EXHAUSTION-LIKE CD8+ CAR-T CELL (1)	C2 (11)	Exhaustion (11)
PRF1	ENSG00000180644	marker-cluster enriched	0.3037974683544304	0.0204081632653061	T CELL	60	25	21	CD8+ T CELLS (1); GZMH+ CD8+ T CELL (1); CD4+ TEM (1); T CELL (1); CYTOTOXIC EFFECTOR CD8+ T CELL (1); CD4.7 (1); CD8.3 (1); CD8.5 (1)	C3 (12); C7 (3); C2 (1)	Cytotoxic (15); Exhaustion (1)
SELL	ENSG00000188404	marker-cluster enriched	0.627906976744186	0.0845070422535211	CD 4 T CELL	54	35	25	CD4+ T CELL (3); NAÏVE T CELL (2); TCM (2); NAÏVE CD4+ T CELL (2); B7H3.BC CAR-T CELLS (1); NAÏVE CD8+ T CELL (1); CD4+ TEM (1); NAIVE T CELLS OR TCMS (1)	C1 (27)	Naive/memory (27)
TNFRSF4	ENSG00000186827	label enriched	0.12	0.2352941176470588	TREG	19	11	11	TREG (4); TREG.2 (1); CD4+ TREG (1); CD4 + T CELL (1); EXHAUSTED T-CELL, T-REGULATORY CELL (1); TEM (1); CD4 T-NFΚB (1); REGULATORY T CELLS (1)	C2 (3)	Regulatory (2); Exhaustion (1)
TNFRSF9	ENSG00000049249	label enriched	0.1395348837209302	0.2222222222222222	TREG	12	9	8	TREG (3); EXHAUSTION-LIKE CD8+ CAR-T CELL (1); TREG.2 (1); CD4+ TREG (1); CD8+ T CELL (1); CD4_TREG (1); EXHAUSTED CD8+ T CELL (1)	C2 (3)	Exhaustion (3)
ZNF683	ENSG00000176083	marker-cluster enriched	0.2857142857142857	0.0		10	2	2	CD8.4 (1); TISSUE RESIDENT MEMORY T (TRM) CELL (1)	C6 (2)	Residency (2)
