set_name	color_class	genes	match_rule	n_genes_in_set	n_profiles	n_papers	top_labels	top_marker_clusters	top_cluster_programs
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	any	2	45	34	CD4+ T CELL (6); TCM (3); NAÏVE T CELL (2); NAÏVE CD4+ T CELL (2); B7H3.BC CAR-T CELLS (1); NAÏVE CD8+ T CELL (1); CD4+ TEM (1); NAIVE T CELLS OR TCMS (1)	C1 (31)	Naive/memory (31)
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	at least 2	2	31	22	NAÏVE T CELL (2); CD4+ T CELL (2); TCM (2); NAÏVE CD8+ T CELL (1); CD4+ TEM (1); NAIVE T CELLS OR TCMS (1); TN (1); CSF-UNEXPANDED T CELL (1)	C1 (25)	Naive/memory (25)
Naive/memory green markers	marker-cluster enriched	SELL; CCR7	all	2	31	22	NAÏVE T CELL (2); CD4+ T CELL (2); TCM (2); NAÏVE CD8+ T CELL (1); CD4+ TEM (1); NAIVE T CELLS OR TCMS (1); TN (1); CSF-UNEXPANDED T CELL (1)	C1 (25)	Naive/memory (25)
Cytotoxic/exhaustion green markers	marker-cluster enriched	HAVCR2; PRF1; GZMB	any	3	49	36	T CELL (2); EXHAUSTED CD8+ T CELL (2); CD8+ EXHAUSTED T CELL (TEXH) (1); CD8+ PROLIFERATING EXHAUSTED T CELL (1); TERMINALLY-DIFFERENTIATED PHENOTYPE OF CD8+ T CELL (1); CD4-CTLS (1); MAIT (1); CD8+ T CELLS (1)	C3 (16); C2 (11); C7 (3)	Cytotoxic (19); Exhaustion (11)
Cytotoxic/exhaustion green markers	marker-cluster enriched	HAVCR2; PRF1; GZMB	at least 2	3	19	18	TERMINALLY-DIFFERENTIATED PHENOTYPE OF CD8+ T CELL (1); CD8+ T CELLS (1); GZMH+ CD8+ T CELL (1); CD4+ TEM (1); T CELL (1); CYTOTOXIC T CELL (1); RECIPIENT T CELL (1); INTERFERON RESPONSIVE CYTOTOXIC CD8 T CELL (1)	C3 (9); C2 (1); C7 (1)	Cytotoxic (10); Exhaustion (1)
Cytotoxic/exhaustion green markers	marker-cluster enriched	HAVCR2; PRF1; GZMB	all	3	0	0			
Residency green marker	marker-cluster enriched	ZNF683	any	1	2	2	CD8.4 (1); TISSUE RESIDENT MEMORY T (TRM) CELL (1)	C6 (2)	Residency (2)
Residency green marker	marker-cluster enriched	ZNF683	all	1	2	2	CD8.4 (1); TISSUE RESIDENT MEMORY T (TRM) CELL (1)	C6 (2)	Residency (2)
CD3 blue markers	high in both	CD3D; CD3G	any	2	28	26	T CELL (17); CD4+ T CELL (3); T CELLS (2); T-CELL (1); CD4 AND CD8 T CELLS (1); TCM (1); ΑΒ T CELL (1); CD8+ T CELL (1)	C4 (15); C1 (3); C5 (1)	Other (12); Naive/memory (4); Cytotoxic (3)
CD3 blue markers	high in both	CD3D; CD3G	at least 2	2	12	10	T CELL (6); T CELLS (2); T-CELL (1); CD4 AND CD8 T CELLS (1); CD4+ T CELL (1); CD8+ T CELL (1)	C4 (10)	Other (10)
CD3 blue markers	high in both	CD3D; CD3G	all	2	12	10	T CELL (6); T CELLS (2); T-CELL (1); CD4 AND CD8 T CELLS (1); CD4+ T CELL (1); CD8+ T CELL (1)	C4 (10)	Other (10)
Treg blue marker	high in both	FOXP3	any	1	23	21	TREG (11); CD4+CTLA4+T CELL (1); REGULATORY T CELL (1); T CELL (1); CD4.4 (1); TREG.2 (1); CD4_5 (1); CD4+ T CELL (1)	C2 (14)	Exhaustion (8); Regulatory (6)
Treg blue marker	high in both	FOXP3	all	1	23	21	TREG (11); CD4+CTLA4+T CELL (1); REGULATORY T CELL (1); T CELL (1); CD4.4 (1); TREG.2 (1); CD4_5 (1); CD4+ T CELL (1)	C2 (14)	Exhaustion (8); Regulatory (6)
Costimulation orange markers	label enriched	BATF; TNFRSF4; TNFRSF9	any	3	22	20	TREG (8); EXHAUSTION-LIKE CD8+ CAR-T CELL (1); TREG.2 (1); TREG SUBSET (1); CD4+ TREG (1); CD4 + T CELL (1); CD8+ T CELL (1); EXHAUSTED T-CELL, T-REGULATORY CELL (1)	C2 (9)	Exhaustion (7); Regulatory (2)
Costimulation orange markers	label enriched	BATF; TNFRSF4; TNFRSF9	at least 2	3	4	4	TREG (2); TREG.2 (1); CD4+ TREG (1)	C2 (1)	Regulatory (1)
Costimulation orange markers	label enriched	BATF; TNFRSF4; TNFRSF9	all	3	1	1	TREG (1)		
CD8 orange marker	label enriched	CD8B	any	1	8	7	CD8+ T CELL (3); T CELL CLUSTER 0 (1); CYTOTOXIC EFFECTOR CD8+ T CELL (1); HIGHLY EXPANDED T CELL (1); CD8+ T-CELL (1); CD4 AND CD8 T CELLS (1)	C4 (1)	Other (1)
CD8 orange marker	label enriched	CD8B	all	1	8	7	CD8+ T CELL (3); T CELL CLUSTER 0 (1); CYTOTOXIC EFFECTOR CD8+ T CELL (1); HIGHLY EXPANDED T CELL (1); CD8+ T-CELL (1); CD4 AND CD8 T CELLS (1)	C4 (1)	Other (1)
